,company,headline,date,overall_rating,author_position,pros,cons
0,JustDial,Worst work culture,2022-04-09,1.0,Certified Internet Consultant (CIC),Nothing good about to tell,"No pros
Worst work culture 
Less salary
Not a professional
Chhcjcjc"
1,JustDial,Good to work,2022-04-09,3.0,Officer,Great place to work initially,Nothing really to say badly
2,JustDial,best company,2022-04-09,5.0,Sales Manager,best company and best manager support,"no growth, incremnt no chances"
3,JustDial,Company is good but customer support team work is not good.,2022-04-08,3.0,Sales Manager,Company is good and the salary is also on the time,Customer support team work is not good.
4,JustDial,Good,2022-04-08,4.0,Certified Internet Consultant (CIC),Over pressure but in salary it's very good company,"Nothing, every thing is good"
5,JustDial,Frontend at JustDial,2022-04-07,5.0,Software Development Engineer,"Ownership of work and contributing to whichever project you want.
Good place for growing as an individual and becoming a team player.",Low paying as compared to competitors.
6,JustDial,IT Management is WORST,2022-04-06,1.0,Full Stack Developer,You will get your salary on time .  that's all,"Pathetic work culture,  they not following code structure and good procedures which is important to any applications.   Managers/Tech leads are here since ages when thy are passed out to there colleges(11-12 Years). for them it's a govt job here otherwise they don't have any knowledge regarding the team management and how to treat employees."
7,JustDial,Good job,2022-04-04,5.0,Business Development Manager,Very good work culture in company,There is nothing to dislike
8,JustDial,Good to work here,2022-04-03,4.0,Service Operations Manager,I would say they lot's of learning,You will get good learning and lot's of thing that will teach us
9,JustDial,Ok ok,2022-04-02,2.0,Telemarketing,Work from home available with fixed week off,High pressure intolerant higher authority sucks
10,JustDial,Good,2022-04-01,5.0,Software Engineer,Good and suitable for good start,Salary structure was not good
11,JustDial,Good,2022-04-01,4.0,Certified Internet Consultant (CIC),Good the work experience ai,Good fot every one the
12,JustDial,Smarters  can live,2022-03-30,5.0,Assistant Manager,"Working Style, Job Role, Cool","Learn New Things, Daily Updates"
13,JustDial,Good company,2022-03-30,5.0,Customer Service Representative (CSR),"Great environment, good team support",No cons no disadvantages at all
14,JustDial,nice job,2022-03-29,4.0,Sales Associate,"friendly environment,best salary good company",nothing nothing nothing nothing nothing
15,JustDial,worst experience starting of my career,2022-03-28,2.0,Test Engineer,pathetic behaviour with freshers dont join not good for testing,"I Joined as fresher but they behave very rudely not even understand how to treat with freshers. team lead -rasika so arrogant. 
mangement listen to leads only"
16,JustDial,Company Review,2022-03-27,4.0,Customer Service Representative,"Better Environment
2 Week Off
Half day incase of emergency
Good Teammates","Tissues are always out of stock
Should install sanitary dispenser."
17,JustDial,Perl,2022-03-26,4.0,Software Engineer,"Good environment
Helping staff
Overall good for freshers",Same type of process only
18,JustDial,Just don't go for it.,2022-03-25,2.0,Certified Internet Consultant,Best ways to understand the business tactics,Salary is not at par with your hard work.
19,JustDial,Its best company Name to work,2022-03-25,5.0,Anonymous Employee,Its the Best company to Learn and earn,No cons to discuss about
20,JustDial,good,2022-03-24,5.0,Anonymous Employee,good experience in work for freshers,no timings to do wok
21,JustDial,Best Company,2022-03-23,5.0,Anonymous Employee,"Super Company
Best Company
Good Company
Marvelous Company
Top 10 COmpany","No Cons
No Cons
No Cons
No Cons
No Cons"
22,JustDial,Review,2022-03-22,5.0,Ui\Ux Designer,"Work life balance, Diversity, benefits and compensation","not applicable, not applicable, not applicable, not applicable, not applicable,"
23,JustDial,Good company to work,2022-03-22,5.0,Telemarketing Executive,"Good environment to work, Team support",working hours are not flexible
24,JustDial,Life of JD,2022-03-21,1.0,Business Development Executive,"Justdial is an organization from where you can learn retail sales, field sales & customer interaction very easily. Good to start your carrier","Your boss will surely abuse you, sometimes he can slap you.
Your clients might abuse or beat you.
No work-life balance, you will be treated like animals here. 
8.30 AM to 8.30 PM, morning meeting will be conducted in parks(Even in summers also)."
25,JustDial,Good,2022-03-19,3.0,Sales Executive,"Good environment, easy task,good staf","Over time, less salary, no growth"
26,JustDial,great,2022-03-19,4.0,Customer Retention,good company to start career,no bad points to describe
27,JustDial,no career growth,2022-03-19,2.0,Justdial Ambassador,only good things working with jd is you get many contactts in city,top management & managers are not worthy
28,JustDial,Good experience,2022-03-19,4.0,Business Development Associate (BDA),Manager and he team was helpful,I don't know anything about this
29,JustDial,Inbound calls,2022-03-19,5.0,Customer Service,Good work experience working here,All good experience working here
30,JustDial,Good experience with Justdial,2022-03-17,4.0,Team Leader,Supportive staff with best service provider to the customer,They do not stop ECS
31,JustDial,N,2022-03-16,4.0,Certified Internet Consultant (CIC),No pros in this company,Only politics and favoritism here
32,JustDial,not a bad experience,2022-03-11,5.0,Account Manager,improves communication skills and helps to part time studying,facing bad calls and pressure of ATT
33,JustDial,Good,2022-03-10,5.0,Software Engineer,Very good. Excellent place. Enabling Environment,The compensation could be better
34,JustDial,Good interview and bad job,2022-03-10,2.0,Justdial Ambassador,"HR Service, Training, Work Schedule, Salaries,",Everything else apart from the Pros
35,JustDial,NA,2022-03-09,3.0,Manager,For fresher and telemarketing scope good,Need automation in system and overall process
36,JustDial,Reality of justdial,2022-03-08,1.0,Information Retrieval Officer,Present in the city so less travelling,Pathetic Company politics & the head has a lot of ego.
37,JustDial,OVERALL experience WAS GOOD,2022-03-07,3.0,Quality Analyst,"Okay company
Every individual's 1st company","Lot of Politics 
No job security"
38,JustDial,Average,2022-03-07,3.0,Hiring Manager,"No pros.
No growth in this company","Bad management.
Poor work life balance"
39,JustDial,Good work life balance during my time,2022-03-06,5.0,Senior Software Engineer,"Its good company who wants to settle for their life, no risk, very good for girls esp. during my time in their",Very less opportunity to guide on new skills
40,JustDial,Sales,2022-03-06,4.0,Certified Internet Consultant (CIC),Good experience at justdail company,I have some issues from my backend
41,JustDial,Good,2022-03-03,4.0,Operation Executive,Good Insentive and Promotion and Timings and Perks and weekoff,"No increments on time
Working hours
Targets
Wait for long time to get increments
Other"
42,JustDial,Good company to work,2022-03-03,4.0,Anonymous Employee,Good work environment. Friendly colleagues,Frequent extra hours. Little work life balance
43,JustDial,Better work environment,2022-03-02,3.0,Business Development,"healthy culture
fixed hours
incentive
travel allowance
preferred location",high pressure with low growth
44,JustDial,Good,2022-03-01,4.0,Business Manager,Good environment and working culture,No issues with in the company
45,JustDial,Good,2022-02-28,5.0,Product Manager,"Good work environment, good atmostphere","Nothing as of today, really good place"
46,JustDial,Outer shell of the company looks good.,2022-02-28,1.0,Certified Internet Consultant (CIC),Place of work is your hometown or some place near by it.,"The cons cannot be described in words unless you work in the company. 
The basic idea of business is missing.
The company itself creat rukus between employees."
47,JustDial,Unprofessional Behaviour No Growth,2022-02-27,1.0,Assistant Sales Manager,"Good as a local search engine.
Fast and relevant information.
Learning possibilities are good for new joined from their Team Leaders","Clients So much irritated from JD inquiry

No support from company to Employees

No Designation Growth

No Monetory Growth

As for Team Leader - He's the only one who will hire employee for his team No HR support 
Employees are only responsible for after sales Services to clients

Employees faces misbehave from Dissatisfied paid expired client of a company & from paid clients too

Last employee salary increment was done after 2.5 years and that is just kind of (chillar)
Too less 

They don't work on Client satisfaction, They only works on daily bases sale by just convencing the client on daily basis. They don't work on Client responce too 

Employees (TL) are HR, Employee are trainer, Employees are Customer Service dept., Employees are Website Designer, Employee are Fully Responsible for everything.

Client are irritated from their ECS hit policy. Some of them are irritated as their ECS is still hitting after completion of 1 years 

No employee satisfaction"
48,JustDial,Job Roll,2022-02-27,5.0,Business Development Associate (BDA),Diversification of the job environment,Alot of negative views in market
49,JustDial,Job description,2022-02-26,4.0,BDE,"Your must be in sky level, if your skill is good you can earn good incentives",6 working days if it is 5 working days it will be good
50,JustDial,fffff,2022-02-26,4.0,IRO,good manager good working good,none none none none none
51,JustDial,Best Place to work,2022-02-26,5.0,Graphic Designer,"Salary on time, Good appraisal, supportive managers",No cons as of now.
52,JustDial,Not good place,2022-02-26,2.0,Sales Executive,No career growth totally west off time,"From bed to … bed? Hey I’m not judging, it’s nice."
53,JustDial,Neutral experience,2022-02-25,5.0,IRO,Good place to work as fresher,Same kind of job to work
54,JustDial,Job review,2022-02-23,3.0,Cec,If you want to learn sales then it is very good place. Time to time training sessions are conducted.,The Managers use abusive language
55,JustDial,Salary,2022-02-21,3.0,Just Dial,You will get 2 week offs.,Too less salary. High Work load.
56,JustDial,"E commerce based company, for Business vendor growth",2022-02-21,2.0,Senior BDE,It was good in support,Continuous Travelling and pressure of targets
57,JustDial,Less Hike,2022-02-20,3.0,IT Executive,Good for Freshers where they can manage to learn on Linux based Systems.,Less chances of Career growth.
58,JustDial,Good,2022-02-20,5.0,Team Leader,Very good Company to work,Nice working culture nice to work out
59,JustDial,Good company,2022-02-19,4.0,BC,Best managers in the company,Nothing as such to note
60,JustDial,Good,2022-02-18,5.0,Consultant,Good to work at this place,nothing to mention here you will enjoy
61,JustDial,Best company,2022-02-17,5.0,IRO,Good salary and incentives and facilities,"Work load, stress, night hours"
62,JustDial,Excellent experience,2022-02-17,4.0,Certified Internet Consultant (CIC),Good services and geniune leads given to the customer,I don't think so anything is there probably
63,JustDial,nice,2022-02-17,3.0,Anonymous Employee,Good work culture and no stress,No proper managment and no wfh during covid time
64,JustDial,manager,2022-02-16,3.0,Sales Manager/MSM,good benefits with great team work,little pay with no bonus
65,JustDial,Good,2022-02-16,4.0,Senior Lead Automation Engineer,Work life balanced even in pandemic,No latest technology is used
66,JustDial,Hectic work,2022-02-15,2.0,Certified Internet Consultant (CIC),Learned to interact with others.,Else everything was con. Being on the field was never an easy task.
67,JustDial,waste company,2022-02-15,1.0,Sales Associate,no salary on time and targets unable to acheive,nothing to learn and career will be in gloom
68,JustDial,Nice place to work,2022-02-14,5.0,Senior Software Engineer,"Great place to work for fresher it's okay
.
.
.
.","Nothing as such all seems to be okay except the salary credit date
.
.
.
."
