,company,headline,date,overall_rating,author_position,pros,cons
0,KPN,Quite good,2022-04-04,4.0,Devops Engineer,I learned a lot. I met a group of more experienced colleagues who really cared about improving my skills.,This is not a very good company for people from abroad.
1,KPN,Sales Advisof,2022-03-14,3.0,Part-time Sales Advisor,Great organisation with good benefits,Organisation is to hierarchical for my own.
2,KPN,Good employer,2022-02-09,4.0,Software Tester,"Flexible employer
Decent wages
Nice work balance",Big company so it there are a lot of management layers
3,KPN,"Enthusiastic and engaging people, positive environment and rewarding.",2022-02-04,5.0,Anonymous Employee,"- Fair salaries
- Enthusiastic and friendly people
- Engaging work
- Real team ethos
- Genuine Flexible working
- Good communication",I can't think of any right now.
4,KPN,Best place I have ever worked,2022-02-01,5.0,Legal Assistant,Lots and lots of benefits,NONE amazing people work life balance amazing benefits
5,KPN,Good,2022-01-28,4.0,Marketeer,Its a reliable and strong company.,Its very big and can be slow.
6,KPN,Alright,2022-01-25,3.0,Ncs Advisor,"Not bad, but high staff turn over",High staff turn over.. just feel like a number most days
7,KPN,Great Company,2022-01-23,3.0,Litigation Executive,"In the Multi track department working there was great, you were left to use your own initiative and therefore learnt a lot and also a slower pace dealing with much larger valued claims.","in the fast track department this was the opposite and more about how much money you are bringing in a month, extremely high pressured and micromanaged."
8,KPN,good company,2022-01-21,4.0,Director,pleasant work environment all around,constant downsizing affects morale in every day work
9,KPN,KPN,2022-01-15,3.0,Sales Director,Enlightened management with world view,Does not promote U.S. employees
10,KPN,Sales Advisor,2022-01-13,4.0,Sales Advisor,Good job for part time,- courses seem more important than hands-on training and assistance in learning on the floor.
11,KPN,Lovely place to work,2022-01-08,5.0,Paralegal,The people are so welcoming and kind. The work given is varied and no day is the same - it’s really interesting and there is always a challenge and something new to learn. They are a really supportive company with lots of progression routes and they want you to succeed and work to the best of your ability.,"I have no cons, it’s a really great place to work"
12,KPN,Just ok,2022-01-03,2.0,Slater,In town so easy to get to,"Pay 
Lots of micromanagement
Prefer to hire externally instead of promoting/developing current staff"
13,KPN,Good,2021-12-26,5.0,Consultant,Employee friendly good work balance,Beter inclusion more salary international
14,KPN,Amazing place to work,2021-12-06,5.0,Senior DevOps Engineer,Great people and amazing culture to work in.,No complaints so far and I have been working for 2 years at the company.
15,KPN,Great,2021-12-02,5.0,Accounts Payable,"Work ethic, diverse , people , professional",I can’t seem to think of any cons
16,KPN,Nice company,2021-12-01,4.0,Program Manager,In KPN you can talk openly and has a good environment,Definitely the Salary could be higher
17,KPN,Guiding customers in the technolgy jungle,2021-12-01,3.0,Account Executive,"Good Employer
Innovative services
Great Partner Colloborations
The best network
5G frontrunner","To much legacy
Old School Culture
Not fit with all markets
Less diversity
Less businessmodel innovation"
18,KPN,Great employer,2021-11-26,5.0,Data Scientist,"Social working atmosphere, respecting of work-life balance. Willing to invest in your professional growth.",Might sometimes feel like a stale organisation. Change is slow often.
19,KPN,kpn data science,2021-11-25,4.0,Data Scientist,"company culture, innovation mindset, employee training and development",a bit slow due to the company size
20,KPN,A lot of opportunities,2021-11-19,4.0,Software Developer,"- people-oriented
- flat organization
- not too bad salary","- bureaucratic 
- sometimes a bit slow"
21,KPN,Good employer,2021-10-15,4.0,Mangerment,"Good training options, challenging projects","not international, rigid, too many meetings and very political environment"
22,KPN,good,2021-10-04,5.0,Research Intern,amazing place to work beautiful,no i dont have any negatives
23,KPN,Excellent employer,2021-09-27,5.0,Retail Sales Associate,"- Good salary
- Awesome co-workers
- Flexible work activities",- Systems are not always optimal
24,KPN,No stability unless you look for something temporary,2021-09-26,1.0,Customer Expert,"good ergonomic work area, good training.","mandatory vacation unpaid when its not busy. contract doesnt get extended if they dont need you anymore. working hours are terrible, targets are not realistic."
25,KPN,Good working environment!,2021-09-07,4.0,Piano Teacher,Friendly co-workers to work with,Not good at equipment maintenance
26,KPN,KPN,2021-08-31,3.0,DevOps Cloud Engineer,"Access to large scale infrastructure, and the needs behind it, within a enterprise level company","Not very inclusive
Not much support with career development"
27,KPN,Old school security,2021-08-03,2.0,Senior Security Engineer,"Plenty of benefits, 50% discount on all products for up to 6 people, new laptop, nice training budget.",Organization frustrated with security. Doesn't want to work together
28,KPN,Jong and Ambitious,2021-06-29,5.0,Sales & Service Specialist,The team building is amazing.,"Work hour 
Vacation promissory 
Promotion
Bonussen"
29,KPN,IT System Admin,2021-06-25,4.0,Anonymous Employee,Work can always be fun if you take ownership,Dutch language is a must
30,KPN,Great place to work,2021-06-25,5.0,Senior Data Scientist,"Freedom, flexibility, respect, good work/life balance","Huge company, so expected red tape."
31,KPN,KPN,2021-06-17,4.0,Anonymous Employee,Nice company to work for. Takes good care of their employees.,Too much hierarchy and things can go too slow sometimes
32,KPN,Great company,2021-06-11,5.0,Young Talent Program,"Flexibility, learning, fun, progressive, opputunities","Dutch oriented, hierarchy, none none"
33,KPN,Excellent work place,2021-06-05,4.0,Anonymous Employee,"A lot of opportunities with an open culture, but depends on the teams and office locations, enthusiastic people and the agile culture is a work in progress.","Thirdparty solutions and legacy providers are slowing down the innovation speed, still big corporate culture and old systems, a bit bureocratic sometimes."
34,KPN,Good work/life balance and learning curve of cutting edge technologies,2021-05-27,3.0,Anonymous Employee,"work/life balance
cutting edge technologies
development of expertise over the full stack","high turnover 
loads of legacy code"
35,KPN,its good,2021-05-25,4.0,Anonymous Employee,"close, easy going, nice, good envirornment, good salary","not competitive, no creaeer development, pressure, traffic, personal reason"
36,KPN,"Good starting point for relocation, good end stop before finising the career, boring for senior devs",2021-05-19,3.0,Lead Python Developer,"- a lot of space for self-improvement
- flat hierarchy inside KPN
- modern technology stack
- great pension options
- quite high salary for medior-level devs
- work/life balance is not that balanced and actually ""life"" part has bigger focus here.","- technical debt is not addressed that well and is constantly piling up
- backend services architecture is not being reviewed by anyone, sometimes decisions about it are being made by management
- a lot of integrations with third-party services, sometimes it is completely unclear who is responsible for what
- no so high rates for experienced developers
- work/life balance is not that balanced and actually ""life"" part has bigger focus here, sometimes it was really annoying that people leave as soon as it is their time to leave without finishing simple task we were working in pair
- processes sometimes seem to be more important than achieving actual results, though they are not that enforced, so team still have freedom to work in a way they prefer
- not so much technical challenges for senior devs"
37,KPN,Working,2021-05-13,4.0,Anonymous Employee,good work environment. stable work,"not competitive pay, insurance benefits"
38,KPN,Nice environment to work,2021-05-05,4.0,Senior Python Developer,Nice culture. Flat Hierarchy. Focus on personal development. Modern Stack,A lot of overhead between Cross functional teams
39,KPN,great company to work,2021-05-03,5.0,Anonymous Employee,"good environment, relax, lot's of new projects","a lot's of meeting, cooperate environment"
40,KPN,One of the best places I've ever worked,2021-04-22,5.0,Data Scientist,KPN is a really cool company with great colleagues and interesting projects. You feel the positivity in the air when you walk in to the office.,Its a big company and a lot of stuff takes time to happen.
41,KPN,Good company,2021-04-18,4.0,IT Lead,International company to work for,No cons working for kpn
42,KPN,It's okay,2021-04-07,4.0,Software Engineer,"- flexible
- good people
- personal development day
- money for development
- culture","- little innovation
- hype driven development"
43,KPN,Good experience,2021-04-06,4.0,Junior Data Scientist,"- Great atmosphere
- A lot of learning",- Still maturing data science in that company
44,KPN,Good place to work,2021-03-23,5.0,Licensed Practical Nurse (LPN),good benifts/ availblity to grow,pay scale is not up to par
45,KPN,KPN is a good company,2021-03-07,5.0,Consultant,The best company I have worked for,I do not see any cons
46,KPN,Good starting job,2021-03-05,4.0,Data Analytics Engineer,"Relaxed environment, work from home",Lower salary with respect to other companies
47,KPN,Great company to work for,2021-02-23,5.0,Sales Operations and Marketing Manager,"Well paid, good training system, very nice working environment",Manager levels are not diverse
