,company,headline,date,overall_rating,author_position,pros,cons
0,MZ,They work you like a Dog,2022-04-04,1.0,Head of Live Operations,"- Good Perks
- Made some good friends","- Horrible hours
- No work/life balance
- Low pay
- No career advancement
- Once they know you're exploring opportunities at another company, they will fire you."
1,MZ,Awesome,2022-04-04,5.0,Director,Great everything no complaints at all,nothing to gripe about great place
2,MZ,Friendly and helpful team,2022-03-28,5.0,Art Producer,"The people are great to work with! They make everything super fun and engaging. 
PTO policy is very good. 
Flexible timings as can be. 
My manager is very thoughtful. 
I have full autonomy in my role which gives me room to grow and work on developing efficient processes.",I can't think of any at the moment. I'm happy at my job.
3,MZ,Not so good,2022-02-22,2.0,Director,Location. Cafeteria. Parties were great.,Everything. The management was awful.
4,MZ,salaries,2021-12-29,1.0,Senior Technical Recruiter,full time position onsite only,work hrs controlled to specific hrs
5,MZ,Great company,2021-07-08,5.0,Anonymous Employee,They are great to their employees,Sometimes you may be the last to know about change
6,MZ,Great people,2021-07-02,2.0,Production Manager,"some really smart people
hyper-engaged teams
lots to learn","bullying culture from snr snr management
crazy hours"
7,MZ,Complete Nightmare,2021-03-23,1.0,2D Artist,The pay was not too bad. It was the only way they are able to convince people to give up their soul.,Company was led by people who failed upwards.
8,MZ,MZ,2021-03-11,4.0,Senior UA Manager (Mobile),people caring culture of Machine Zone,"workload, we usually have to work overtime"
9,MZ,Poor Management,2021-03-10,1.0,Database Engineer,Start up culture and awesome perks,"Poor management, lack of work life balance, no vision"
10,MZ,OK company to work with.,2021-02-26,3.0,Senior Software Engineer,"The pay is good, the benefits are good. Free food and snacks.",The company lose their soul on building innovation games.
11,MZ,MZ sucks,2021-02-19,1.0,People Operations,"Pay, snacks, catered lunch, benefits","Management, leadership, over worked, under appreciated"
12,MZ,"Good Money, Bad Management",2021-01-31,2.0,Senior Artist,"Really good pay, solid coworkers, decent perks, rumor is it's gotten better.","Management was a mess, expected to work unreasonable hours, political bias affected managements decisions"
13,MZ,Gaming,2021-01-30,4.0,Analyst,Nice company to work with,Too mch work sometimes in the company
14,MZ,Legit,2021-01-14,5.0,Blog Writer,All good here at MZ.,"Nada, I love working here."
15,MZ,Former QA Tester,2021-01-10,5.0,Manual QA Tester,"Love the perks, free food",Sometimes had to work through lunch and after normal working hours
16,MZ,If you value your health do not work here.,2020-11-16,1.0,Product Manager,"- Free food(pre-pandemic)

- Some really nice people to work with and spend long hours at the office with.

- They pay really well.","- Horrible work-life balance: Expect to be working 50-80 hours a week if you are a part of the Design, Analytics, Live Operations, Product Management. You should also expect to be asked to cancel your time off, and be frowned upon if you refuse to do so.

- Extremely fast environment that focuses on reactionary tactics rather than solid planning and execution. Expect for plans to change every single day MULTIPLE times. This will increase the amount of errors every team makes and lead to a lot of post-mortem meetings that could have been avoided.

- Volume over Quality: If you're passionate about making GOOD video games, don't come here. They will make promises to you about your opportunities to build out and rebuild games. If you still aren't convinced, require your demands be written in your contract. They will refuse.

- Micromanagement: The everything needs to go through the CEO, even your time off requests. Team leaders have no say in how their team operates and Executive Producers dictate every single thing you do. That's not to say the Executive Producers are bad, they have to deal with the CEO looming over their shoulders at all times. Expect to be contacted on your days off.

- Discretionary Time Off = You're less likely to actually take time off. They say there's no limit to how much DTO you can take off, but HR keeps tabs on people the moment they've taken more than 40 hours of DTO."
17,MZ,From great to mediocre,2020-11-05,1.0,Software Engineer,"Fun culture
Great benefits for the family
Free food","Work on a lot of random gimmicks
No long term future
Tight deadline"
18,MZ,Too much P2W,2020-09-26,2.0,Game Designer,Lots of different stuff to do so you are always engaged and busy,"Too money focused. You have new gameplay idea? Does it milk players? Nope, then no thanks. Does it require engineering effort? Yes, then no thanks as well..."
19,MZ,Worked here for 3 years,2020-09-22,2.0,Quality Assurance,Great perks and health benefits,"Yearly layoffs. They lay off many employees EVERY YEAR. Unprofessional CEO, constantly saying offensive phrases, opinions and embarrassing staff during meetings."
20,MZ,Political Game of Thrones,2020-09-19,2.0,Engagement Specialist,"Compensation is pretty good. Decent bonus structure. 

If you're hourly, you'll reap the benefits. Ability to move up if you just put in the hours (not really about contribution or tangible impact).

HR leaves very nice reviews of what the company could be. I think it's a positive because we can all strive to be better.","Place is great for people who like politics and maneuvering through the corporate ladder. I've seen junior associates get promoted leaps and bounds because they were willing to put in the hours. It's not really about impact, it's more about perception, and how many hours you're willing to clock.

No one really even plays the games that work on the games or are even gamers. Designers only look at excel sheets and a person I worked with who ran an important team she barely even knew what the IP was about or games in general.

The work environment is terrible because everyone just puts in hours versus works intelligently. This means working on weekends and a culture that promotes this. This literally means weekends at 1am. You can choose not to do this, but your chances of moving up regardless of your tangible impact will be close to nothing.

They'll tell you things are getting better, but the leads here don't value it. Everyone on the team I worked on that were the leads pretty much worked all the time and super inefficiently. I've never seen so many people do things so inefficiently. Because everything is so inefficient everyone has job security which might be the intent.

I've worked at other companies where three people could run a game. This company has about 30 people run a game because it breaks up all the pieces so everyone gets their tiny slice. They're also majorly possessive about their little piece so it's impossible to garner any more efficiency. Literally if you do something because it's more efficient, but someone else was supposed to do it you'll hear an earful about overstepping your role."
21,MZ,Review so I can use Glassdoor,2020-09-17,3.0,Anonymous Employee,It was a company that paid people money,It was a company that made people work
22,MZ,Dumpsterfire,2020-09-10,1.0,Special Education Teacher,World class team running the kitchen. Breakfast was particularly good.,Leadership with extremely short term thinking.
23,MZ,"Imbalance in benefits, little potential for growth",2020-08-19,2.0,Customer Support Representative,"Well stocked snacks, nice coworkers.","Little room for advancement, management doesn't seem to care about career development or mentorship. Ever-shrinking benefits."
24,MZ,Needs leadership and vision,2020-07-11,1.0,Anonymous Employee,"Perks, pay and people. Good place for a boot camp.","Have a hard time learning from the past. Unorganized, every project had to go through at least one art direction change if not 2 or more. No vision for their games, design is developed alongside production causing massive rework. 

If you have a passion for making fun experiences I would think twice. Whenever the game is designed, how fun is not part of the discussion and the CEO explicitly said not to use that word, rather how fun the game is measured in how much the player spends."
25,MZ,Worst place I've ever worked - Seriously,2020-07-01,1.0,Anonymous Employee,"great cafeteria, solid health insurance, phone stipend, commuter benefits","I think it would be misleading to list many of the ""perks"" as ""pros"" since you'll never get to use them.

Permanent crunch mode. The game teams are disorganized messes and individual contributors make massive, costly mistakes without even a sense of regret (""Ooops, I just blew out a vertical and cost us tens of thousands of dollars with one keystroke.. Better luck next time!"")

There's no established way to get work done. By this I mean no real processes. There are reports and dashboards that people forget exist or don't care about where you find ancient bugs and logs of high impacting user issues.

The only thing you might learn here, if you last long enough, is how to recognize tons of red flags for your next job."
26,MZ,Mixed,2020-05-24,3.0,Senior Site Reliability Engineer,"cool technologies, large team, not too much micromanagement",business is poorly run by upper level management
27,MZ,Terrible place to work,2020-05-23,1.0,Engineer,"Good salaries, all round good people.","Clueless managers, upper management never cared about employees"
