,company,headline,date,overall_rating,author_position,pros,cons
0,MakeMyTrip,Great experience working with MMT,2022-04-09,5.0,Assistant Manager,"Most importantly no leave policy, you need to be up to the mark in your work then no one will ask why you have taken leaves. 
Cross team working exposure 
interaction with extremely seniors helps to grooms skills.
environment is good
it gives almost all facilities that an employees wants.","cab facility is not available.
few rigid people destroys the culture"
1,MakeMyTrip,Great Work Culture,2022-04-07,4.0,Assistant Manager,Flat hierarchy - can reach even leaders without any obstacle,Little process gaps in moving within the organisation
2,MakeMyTrip,Perfect place to work,2022-04-06,4.0,Senior Executive,"Good salary, perfect work environment","Lots of sales pressure, nothing else"
3,MakeMyTrip,Employee Centric,2022-04-05,5.0,Deputy Manager,"Learning Opportunities, Good Synergies inter and intra department, Flexibility",Not that I can think of
4,MakeMyTrip,Best place to work,2022-04-03,3.0,Senior Software Engineer,"-- Easy to approach Management, 
-- Managers support your thought
-- Flexible time",-- Meals are not fully free :(
5,MakeMyTrip,"Good Quality work, very impactful. Workload sometimes",2022-04-02,4.0,Lead Data Scientist,"1. Very Impactful and empowering work ( you control lot of crucial business aspects related to your project )
2. Highly practical and result oriented approach to ML,RL and DL
3. Good exposure and visibility, 
4. Steep learning curve, 
5. excellent peer group, 
6. Engineering work is awesome","1. You might feel to be under-pressure at times.
2. Work is engineering heavy rather than ML/DL heavy.
3. Little to no work where you can apply ML DL on unstructured data. 
4 .Benefits, work-life balance and holidays/WFH policy can be better.
5. Lot of dependencies on other teams."
6,MakeMyTrip,Good,2022-03-31,4.0,BDM Manager,Very good.. recommended to all,No Cons as of now
7,MakeMyTrip,Mypartner,2022-03-30,5.0,Senior Business Manager,Best place to grow and get more exposure in travel industry,Too much load on a single person
8,MakeMyTrip,Good,2022-03-29,4.0,Front End Developer,"Nice culture, lot of learning with new opportunity","Bad management, not interacting with people properly"
9,MakeMyTrip,Amazing company to work with,2022-03-29,5.0,Assistant Manager,All good and very convenient working environment.,Nothing bad about this company.
