,company,headline,date,overall_rating,author_position,pros,cons
0,Matrimony.com,Nice place to Learn but not to work long time,2022-04-05,2.0,Manager,"Good, Over time , Sales pressure,Always working in stress","Good place to learn and train. but working on all days there is no holiday .
tech support will be always in troubhlepresure . Less Values for EMP."
1,Matrimony.com,Environment,2022-04-04,4.0,Software Developer,Good place to work and learning environment,Need to update in integration of
2,Matrimony.com,Nice company,2022-04-03,4.0,Anonymous Employee,Nice environment. good to learn,no cons about this company
3,Matrimony.com,"poor management, very bad office",2022-03-24,1.0,Key Account Manager,hard to find any pros,you easily find these and everyday youy have to face
4,Matrimony.com,Good for work not for long time,2022-03-23,3.0,Senior Relationship Manager,"No pros
Attrition rate is low","Attendance issue, Less salary, Bad management, leave issue,"
5,Matrimony.com,Excellent🤩,2022-03-20,5.0,,It's a great place to work😍 with lots of opportunities to grow in your profession. There is always appreciation for best work. The management is so supportive. Decent environment with great culture in Telugu matrimony.,Long working hours than expected
6,Matrimony.com,Only politics,2022-03-17,1.0,Customer Support Executive,"No pros only cons, Nothing else","Too much politics
Over time work
Too much pressure
No benefits
No upraisal
Unwanted salary deduction
Non responsive HR
Worthless TL"
7,Matrimony.com,Good company,2022-03-12,4.0,Relationship Executive,Good environment place and easy to close team leader and colleagues,It's really good to new joiner
8,Matrimony.com,Excellent place to work,2022-02-27,5.0,Manager,On time incentive & salary,Day to day sales atmosphere
9,Matrimony.com,Good work culture,2022-02-27,3.0,Human Resources Business Partner HRBP,"Good work life balance, learning opportunities",Frequent Leadership level changes affected the processes
10,Matrimony.com,In interview they mention about time stretch on the month end only but the reality is different.,2022-02-25,4.0,Customer Service Executibe,Good insentive given by company. Salary comes within time,Heavy workload and mental pressure
11,Matrimony.com,Work life balance is good,2022-02-15,4.0,Sales Executive,Work-life balance is good and very positive atmosphere,"When targets are not met, then there is some pressure from the top executive either it's a best company to start your career"
12,Matrimony.com,Company review and nice place to work,2022-02-15,5.0,Research Analyst,Good environment and friendly co workers,"Nothing to say in cons, All good here"
13,Matrimony.com,Best place to start if you have backlogs/no degree,2022-02-07,2.0,Senior Associate,Comfortable environment to work with.,Could provide better appraisal benefits.
14,Matrimony.com,Good company to learn,2022-02-04,5.0,Software Engineer,"Positive learning curve, updated technologies.","Work life balance, management is not well organised"
15,Matrimony.com,no comments simply,2022-01-30,3.0,Customer Service Associate,friendly environment Easy process and best situation,salary insufficient no growth no tech knowledge
16,Matrimony.com,ok,2022-01-18,3.0,Area Manager,good working area. profetional approch,"did well, employee friendly company"
17,Matrimony.com,Great organization to work,2022-01-15,5.0,Manager,"Always provide opportunity to learn and grow along with the organization.

There is a strong leadership team to guide .",Nothing to mention at this point of time
18,Matrimony.com,Excellent place to work for freshers,2022-01-13,4.0,Human Resources Business Partner,Management is very supportive and there is culture of learning for freshers,No cons. Salary is on time. All are very supportive. CEO is very inspiring.
19,Matrimony.com,Positive review,2022-01-11,4.0,Senior Software Engineer,Very good product and better place for learning,Work life balance has to be there for employee and pays are not standardized
20,Matrimony.com,Mediocre impact due to low quality tesm,2022-01-07,3.0,Senior Product Lead,Lots of data and insights to play with,Sub standard team and lots of well-intentioned but useless folks at the top management
21,Matrimony.com,Great place to work,2022-01-06,5.0,General Manager,"Culture, management and career path",Place for the people who understands the work culture
22,Matrimony.com,Nice company,2022-01-04,5.0,Relationship Executive,Good environment to do work,Nive salary structure of company
23,Matrimony.com,Recommended,2022-01-03,4.0,Executive,Stress free environment to work,Less pay for the employees
24,Matrimony.com,worked as a telemarketing executive,2022-01-03,3.0,Sales Executive,"work, culture, good atmosphere, supportive staff, salary o n time","pressure, stretch in shifts, more documentation"
25,Matrimony.com,Good,2021-12-23,3.0,Assistant Manager,Good place to face challenges,"Parity concern on salary, designation and so on"
26,Matrimony.com,Good,2021-12-22,3.0,Senior Executive,Employee friendly and employees promotion,Work pressure and daily targets
27,Matrimony.com,Good work atmosphere,2021-12-18,3.0,Executive Sales,You get good pay as a fresher,There's no much learning here.
28,Matrimony.com,Good for freshers who lives in that particular area.,2021-12-12,2.0,Customer Executive,"Colleagues are helpful.
Fixed timing.
Nice office (traditional)","Very Low salary
The call flow is too high
No promotion, I have talked with a few seniors about it."
29,Matrimony.com,Bad company,2021-12-10,1.0,Sales Executive,Nothing to say i don't think the atmosphere is good there to start a career,Everything is worst here. No full salary given to employees
30,Matrimony.com,good salary paid  on time,2021-11-29,4.0,Branch Manager,very good salary package paid on time,nothing to specify much about the company
31,Matrimony.com,Useless Management,2021-11-28,1.0,Executive Design,Nothing to share any pros,"No long term employment security.

Very very lesser salaries

For higher performance you will get appraisal like max 500-1200 /- every year 

No proper regulated management

Customer centricity is worst

All looks out for how to get the money from customers rather than providing the better services.."
32,Matrimony.com,Sales,2021-11-18,5.0,Corporate Account Manager,Good to start your professional career,No such issue faced all are good
33,Matrimony.com,work life balance,2021-11-11,4.0,Executive Corporate Sales,"gives you the best work life balance , good working enviroment",no growth for over 10 months in work like
34,Matrimony.com,Avoid,2021-11-09,1.0,Zonal Service Head,Nothing to mention. No pros.,Better to avoid. Clueless management.
35,Matrimony.com,matrimony.com great place to work,2021-11-05,4.0,Senior Executive Assistant,matrimony through different aspects give us platform to learn new things and enhance our skills.,Managing time is little difficult task
36,Matrimony.com,QA engineer,2021-11-03,3.0,Anonymous Employee,"Good Environment,job security, flexible work timings","Low salary,Low hikes,No automation scope"
37,Matrimony.com,Not a good one,2021-11-01,3.0,Senior Sales Executive,"No pros
They will tell positive about the job which is a good one
If u have sales pitch u can achieve it in a proper time 
U will have excellent leadership skills with in a short period of time 
Manager guidance will be all the time","All problems
Targets
Pressure
No proper leads for the customers 
No proper incentive"
38,Matrimony.com,Fresher,2021-10-25,3.0,Trainee Software Engineer,Good for learning and development,No proper requirement is given for the tast.managers and management are not supportive.
39,Matrimony.com,Best place to work in terms of salary & learning,2021-10-23,5.0,Senior Human Resources Executive,To work in matrimony.com is one of the most stable and market leadership organization in matrimony. Also in pandemic they provide full salary.,Nothing i have faced in my entire period in this company.
40,Matrimony.com,A great place to work,2021-10-20,4.0,Anonymous Employee,"Learning opportunities, Support from team, Transparency",-Limited scope for exploring different roles
41,Matrimony.com,very good,2021-10-19,5.0,Software Devoloper,"Very good,work life balance ,flexibility","no cons ,everything is good"
42,Matrimony.com,worked for 1 year,2021-10-19,1.0,Relationship Manager,"salary on time
nice infrastucture
nothing apart from this","work pressure
sun working mostly
no work life balance 
bossy managers
very bad apraisal"
43,Matrimony.com,Workspace,2021-10-18,5.0,Senior PHP Developer,Work from home option available.,Low Salary increment percentage only
44,Matrimony.com,Software Engineer,2021-10-18,4.0,Software Engineer,"Good Environment
Good culture
Female safety 
Job security","Low package
No scope for Updated tools
No hikes as expected"
45,Matrimony.com,GOOD COMPANY TO WORK FOR,2021-10-14,5.0,Associate Manager,"Job security, well established company, good experience","Low pay, lot of paperwork"
46,Matrimony.com,"As I was worked as a sales executive , I was happy to say that I have learned  many personalities by facing many clients",2021-10-13,5.0,Sales Executive,This will be a best platform for a job seekers and also we can able to adapt easily. We can also learn about business development ideas and about how to manage the problems as well.,Targets will make some pressure but from my point hardwork only pays off. So working in Target makes us to do more work.
47,Matrimony.com,Company's Work culture,2021-09-28,3.0,Anonymous Employee,Work life balance is good,Technical exposure needs to be improved
48,Matrimony.com,Worst organization to start your career,2021-09-27,1.0,Senior Executive Corporate Sales,* The wedding services department is worst be it operations or sales,"* No work life balance
* No learning
* No proper hierarchy r a standardized approach 
* No benefits"
49,Matrimony.com,It was good,2021-09-24,4.0,Test Engineer,Flexible timings and no pressure at work. Friendly and funny environment,Not so challenging environment makes it dull for the career growth
50,Matrimony.com,Cutture,2021-09-17,4.0,Manager,Good work culture but tremendous sales pressure,Incentive structure is not motivating any employee
51,Matrimony.com,relationship executive,2021-09-17,3.0,Relationship Executive,"low sales pressure as compare to edtech company
retail manager is good","bad HR policy
bad senior level management
no career growth
never get any paid leave if you have"
