,company,headline,date,overall_rating,author_position,pros,cons
0,Media.net,Best workplace,2022-04-08,5.0,Web Developer,Work- life balance is best,U have to be self motivated
1,Media.net,"Everything is good, upper Management can be good",2022-04-07,4.0,Software Engineer SD2,You can have a good work-life balance.,Learning is not that much here.
2,Media.net,Great place to work at,2022-04-07,5.0,Anonymous Employee,"Some cutting edge tech
mostly opensource",Management needs to be proactive sometimes
3,Media.net,Work Process not Streamlined,2022-03-30,1.0,Software Test Engineer,1] Competitive Salary 2] Great Benefits 3] Good Company 4] Medical Insurance,"I got into a wrong team where Work Process is not streamlines
Everyday Production Releases
No Proper Working Hours
Management not filling the gaps
Everyday Urgent Priority task

Note: Overall Media.net is a great company, just I got into a wrong team where Work Process is not streamlined"
4,Media.net,Awesome place to work,2022-03-30,5.0,Manager,Great work life balance and competitive pay; Lots of learning opportunities,Nothing so far in my last 1 year
5,Media.net,Nice COmpany,2022-03-29,5.0,Ui\Ux Designer,FlexibleTiming is the greatest benefit.,None that I can think about
6,Media.net,Very good first job,2022-03-27,4.0,Platform Engineer,"1. Fast paced environment.
2. Very good WLB.
3. Smart peers.",1. Work can get stagnated after some time.
7,Media.net,Great place to work for,2022-03-27,5.0,UI Developer,"Culture, Flexi hours, Benefits, Great place to work, Transparent",Nothing i can think of
8,Media.net,Hires 2 donkeys for the price of 1.5,2022-03-26,1.0,Software Engineer,"- Relatively better compensation.
- Has access to DirectI infra.","- That relatively better compensation is used very well by the company. They make one engineer do twice the amount of work and hire them at 1.5x price.
- Zero work life balance, you would get calls left and right with 0 respect to work life boundaries.
- You'd forget all of your technical learnings and would feel like a junior doing repetitive work.
- Some products are just legal white collar SCAMS (Yep you read it right, Scams).
- Repetitive donkey work.
- Do not join if you're a QA, you're life would be ""HELL"".
- Dare you to logout on time, as you would be bombarded with extra work a meetings."
9,Media.net,worst,2022-03-24,1.0,Anonymous Employee,There no pros only cons,Senior management is useless and sadistic
10,Media.net,Nice place to work,2022-03-24,4.0,Analyst,Good environment good place honest people,"high work hours, more issue with employees"
11,Media.net,Work culture of the company,2022-03-23,5.0,Network Administrator,"Lot of perks in the company
colleagues are very helpful 
good technical exposure
good salary increment","lot of process
shift timings are not good"
12,Media.net,Good learning. Can get monotonous over time.,2022-03-22,4.0,Performance Marketing Specialist,"Good work culture, comfortable workspaces. 
Young and communicative seniors","New inventions
Transparency 
Short learning curve"
13,Media.net,Co-operative people and amazing work culture,2022-03-21,3.0,Marketing Associate,"Understanding team, great mentors but it also depends on team",Different role at work as described in job description and title
14,Media.net,Very good culture for sre,2022-03-21,4.0,Site Reliability Engineer,Best opportunity to grow as an sre,No proper management for teams
15,Media.net,Great place to learn & grow in Ad Tech,2022-03-20,5.0,Senior Business Development Associate,Worked in Media.net for around 4 years and it's a great place to learn and grow in Ad tech,Working hours may not be favourable (however; helped beat the traffic)
16,Media.net,Good to work,2022-03-20,4.0,Senior Web Applications Developer,"Good work life balance
Learning environment","Late appraisal
Uncertainty of role
Clarity of work"
17,Media.net,Amazing company,2022-03-18,5.0,Manager,"Culture, people, cutting edge tech",None that I can think of
18,Media.net,One of the best company,2022-03-16,5.0,Project Manager,"challenging work, good growth and learning. Good people",delayed upraisals and retention based comp.
19,Media.net,Satisfying Job Role & Enviroment,2022-03-15,5.0,Lead Database Developer,"Excellent work environment.
Many Different technologies to work on.",Salary includes performance bonus as well.
20,Media.net,review,2022-03-14,5.0,Anonymous Employee,Great place to work. Excellent Management,No Cons as far as I am concerned
21,Media.net,Very organised and relaxed working culture,2022-03-14,5.0,Software Engineer II SDE2,Good working culture with lot of opportunities to grow.,none as of now. all good.
