,company,headline,date,overall_rating,author_position,pros,cons
0,Modsy,Low compensation,2022-04-08,1.0,Designer,I can not think of any beside working from home!,The pay is very low and no benefits
1,Modsy,Great Job,2022-04-01,4.0,Remote Designer,make your own hours is always a pro!,Having to work extra hours to get projects done
2,Modsy,"Great company, great people",2022-03-25,5.0,Designer,"Flexible work from home
Nice software
Good support system
Helpful and friendly managers",Would like hours to be a little more flexible
3,Modsy,Flexible,2022-03-15,5.0,Remote Designer,It is an awesome job! I am a mom and this job gives me the flexibility of being a mom while still following my passion and career in design. I love that I don't have to do the same design style over and over again... one day I'm doing mid century modern next a boho chic. I love having the ability of pushing myself as a designer while helping others.,If you don't take criticism well or are open to becoming a better designer and person it may not be the job for you. You must be open to working on your weaknesses.
4,Modsy,Dream Job,2022-03-14,5.0,Designer,"Obviously, working from home and all that entails: no traffic, no gas usage, don’t have to leave my pets alone, etc. Modsy is great with their training, their communication, their metrics are fair and necessary for quality of work, I get to do what I love and get paid for it, great bonuses for efficiency, awesome Customer Service. They say that if you do what you love you’ll never work a day in your life and I’m living it! Modsy runs a tight ship and you have to be motivated and dedicated. I love it!","Learning takes effort, but if I can do it anyone can. You just need to be organized."
5,Modsy,Worst employer ever!,2022-03-14,1.0,Design Specialist,Work from home. There really are none.,Modsy is fast food interior design. There are too many platforms to learn in the 2 week training before being thrown into working with clients. Modsy requires employees to deceive clients into believing the first 2 design options created for a room was done by their dedicated Design Specialist (DS) but they actually are done by an initial designer and they are usually not to the client’s liking. Then additional design revisions can be handed off to another DS but emails to the client indicate that all along it’s the same person. The designs whipped out (because of stress to do 20 designs a day) are terrible. As a DS I wrote more emails than designing since that is what the company looks at to determine productivity. As well as how much furniture is sold and no client wanted to order a sofa or chair they hadn’t seen or sat in. It truly was the worst job ever!
6,Modsy,Awesome company!,2022-03-08,5.0,Interior Designer,"I like everything about Modsy! Their designs, brands, and employees.",No con's just tedious work!
7,Modsy,Terrible Company,2022-02-15,1.0,Interior Designer,Only pro is the ability to work from home...but you can find that all over the place now.,"You are hired as independent contractors and receive zero benefits. 
They changed their payment structure for the third time in a year. Each restructure gets worse. Now you only get paid for initial designs, any additional work you do is unpaid and unable to be billed for. Seems illegal.
Your weekly ""goals"" or items you have to hit each week are fairly difficult and require a lot of additional time. You can be fired at any moment for not reaching these weekly goals.

Constant pressure to push Modsy furniture. 

I could go on and on with how bad this company has gotten. In a company wide meeting all designers were accused of rigging the system and stealing money from Modsy. That's when I had enough."
8,Modsy,Meh,2022-02-14,3.0,3D Artist,"Work life balance
Awesome culture
Great benefits",Consistently pays below average salary
9,Modsy,Good,2022-02-08,4.0,Remote Designer,Work from Home and flexible schedule,Can be stressful at times
10,Modsy,Can use some work,2022-01-22,3.0,Customer Success Associate,nice work environment to be in.,They did not value the hard work that associates put in. Those who did less work were still valued at the same level as those who did triple their work.
11,Modsy,Okay,2022-01-20,3.0,Interior Designer,"Flexible hours, create your own schedule",Low pay for the amount of work
12,Modsy,Great for college students and recent grads,2022-01-19,4.0,Remote Interior Designer,Experience to applying design standards and principles to residential spaces.,There are tight deadlines. If your someone’s who prefers a slower paced design process this is the opposite. Deliverables are expected to be produced in a short amount of time.
13,Modsy,"Tech Focused, Not Design Driven",2022-01-12,2.0,Remote Interior Stylist,"Good opportunity to work remotely, some chances to use creativity, nice and supportive leads.","Unorganized and chaotic, not a transparent business, unrealistic time expectations that result in a low quality service, and of course the low pay."
14,Modsy,Decent Entry Level Remote Opportunity,2022-01-10,4.0,E-designer,"Flexible schedule, fair hourly base pay, supportive management","fast paced, in-house software can be a drudge"
15,Modsy,Low pay,2022-01-06,2.0,Stylist,company growth for the employees,pay and management decisions change dramatically
