,company,headline,date,overall_rating,author_position,pros,cons
0,Momentive.ai,Awesome place to work,2022-04-07,5.0,Anonymous Employee,Momentive is a great place to work. All the employees are very friendly and always willing to collaborate. The leadership is well structured and cares about individual contributors.,Can’t think of any cons
1,Momentive.ai,Overall quite happy,2022-04-07,4.0,Business Development Representative,"Very supportive team, great benefits and tons of resources",semi-frequent shifting of processes or expectations but nothing unmanageable
2,Momentive.ai,Great place to work & supportive,2022-04-06,4.0,Anonymous Employee,"Colleagues are great, pay is OK",Pay could be better but everything else is great about company
3,Momentive.ai,Cant go wrong,2022-04-06,5.0,Sales Development Representative (SDR),"Amazing place to work, the culture is unreal and the support is even more unbelievable. From the moment I was hired I was waiting to see the real business side but this company has not surprised me with anything. They remain to care about employees and the people they hire are also great individuals who support one another. Honestly this is the best place i have ever worked... and the best place i may ever work.","A lot of change but there needs to be change to be competitive, also I was there through the rebranding."
4,Momentive.ai,Upward Momentum at Momentive,2022-04-06,5.0,Senior Customer Engagement Representative,- upper management listens to feedback and follows through,- some roles do not have a clear path for growth
5,Momentive.ai,Flexibility to do your best work,2022-04-05,5.0,Anonymous Employee,"Momentive offers employees the choice on where and how to do their best work. Most roles are eligible for either hybrid or remote. 

Amazing benefits and Focus Friday's in support of reducing the number of meetings.",Constant change and opportunity to share more learnings from the top.
6,Momentive.ai,Great culture,2022-04-04,4.0,Senior Financial Analyst,Smart teammates and great culture,noisy vision and long hours
7,Momentive.ai,status quo,2022-03-31,4.0,People Team Member,"Good place to grow skills, people are overall friendly",tend to work lean. work life balance has faded
8,Momentive.ai,Great commitment to diversity,2022-03-24,5.0,Anonymous Employee,Diversity isn't just a market pitch- it's part of the company's OKRs!,"Large organization pains, slow to change"
9,Momentive.ai,Marketing,2022-03-22,3.0,Associate Business Systems Analyst,"company bonus, work from home, flexibility, several regularly scheduled town halls for employees to learn about what's going on","6+ people left the overall marketing team while I worked there in 1 year, my job title did not match the work done, not every department was diverse as the company makes it seem, sales and marketing are not fully aligned from my experience"
10,Momentive.ai,Sales org is toxic,2022-03-21,1.0,Anonymous Employee,- Good benefits and 401k matching,"- Sales leadership does not care about you as a person. They look at you as a number and that's it. 
- Turnover is incredibly high for BDRs and AEs.
- Base pay is awful for BDRs; also now they base a portion of quota on whether or not an AE can close a deal so it's out of your hands.
- Culture is toxic overall, there's no cohesiveness whatsoever. Everyone is only about themselves and don't actually care about working as a team.
- I personally went through a mental health crisis and was swept under a rug. Job duties were decreased without any heads up or explanation."
11,Momentive.ai,"Great place to work overall, some areas to improve on",2022-03-10,4.0,Senior Product Designer,"- A lot of great people
- Good salary and benefits
- Nice perks: gym stipend, access to mental health, fertility and adoption benefits, paid 4week sabbatical on hitting your 4 year mark, unlimited PTO.
- If you can'
- When offices are open there are nice on-site perks and camaraderie","- Work can be tedious
- Misalignment on priorities and resourcing due to the current siloed nature of the business.
- Inter-departmental politics can be tiring
- Organization tends to promote the same type of person"
12,Momentive.ai,Still a Great Place to do You're Very Best Work,2022-03-07,5.0,Service Delivery Manager,"Our culture is amazing, the people are talented, the products help our customers understand their customer, and our CEO, Zander, is the best!",If only we could all have Chef Derrick's food.
13,Momentive.ai,"Great brand, horrible pay, churn and burn shop. Not many people hitting quota.",2022-03-05,2.0,Account Executive,"The people and culture are top notch. Product is a decent competitor in the marketplace depending on what you're selling and what vertical.

You won't get fired if you miss quota. Direct management is very supportive. 

Great diversity initiative.","Turnover is HUGE. In the last 6 months, the turnover in the sales org has been huge. When you see 1/4 of the sales staff leave within 2 years, it sets off alarm bells. 

The sales staff is paid about ~70% of market and management will entice you with 4x accelerators after you hit quota. This sounds amazing, but <10% of people hit quota and most of the people don't make OTE.

The products need way more R+D into it to remain competitive in the CX landscape. Discounts are usually the way most deals are won. 

Quota is always changing and there's a different initiative each week.

Training is from the 90's with Sandler and needs to adapt.

Executive leadership seems more like a figurehead and isn't very transparent with what's happening in the day-to-day. Example being with the failed Zendesk acquisition.

Promotions are very bureaucratic with set timelines as opposed to merit."
14,Momentive.ai,Great company and great people making products that matter and help people make better decisions.,2022-03-03,5.0,Software Engineer I,"Great benefits
Great work-life balance
Remote work","Product training is lacking for new hires, employees intended to be ""product experts"" often don't know basic things about the product. Company can be too lax at times when dealing with under performing employees."
15,Momentive.ai,Great company to work for,2022-03-03,5.0,People Team,"Great work place culture, amazing benefits, flexible working hours",I cannot think of any!
16,Momentive.ai,Talent is leaving due to pay,2022-02-25,3.0,Account Executive,"Amazing Culture, everyone is motivated and supportive.",The pay is below standard. Nothing compared to the competitive Silicon Valley compensation. Talent has left. Talented leaders and Account Executives have left due to pay.
17,Momentive.ai,Great work life Balance,2022-02-18,4.0,Account Executive,Supportive team and willing to help others,Low pay compared to other organizations
18,Momentive.ai,Leadership cares about the employees.,2022-02-15,4.0,Engineering Manager,"Good people, good benefits, mature operation","Strategic mishaps at the executive strategy level and less than stellar growth means some of the best people have left. However, its a really pleasant place to work, just maybe not a rocketship."
19,Momentive.ai,Stay away from this churn and burn dumpster fire,2022-02-15,1.0,Sales Manager,Brand looks good on your resume but keep reading.,"HR always fires people at the end of the month which means no healthcare benefits. 

Employees can access customer data at any given time. Like the work they're doing with the software.

Sr Management bashes anyone that leaves and will twist the truth to prevent employees from reaching out. Should have believed you D.H.

The turnover rate is crazy high! Maybe due to low pay, frequent quota structure changes, and an uber-liberal culture that's shoved down your throat. Pretty liberal myself, but this is weird.

Recruiting staff will pressure you to hire anyone with a pulse. You are pressured to move forward with someone because they are a ""diversity hire."" HR does not see a problem with this. 

Promotes DEI culture but pays women way less. My base was 22k more than my female counterpart J.S.

Company signed up to deliver a large revenue number but won't be able to meet it without continuously hiring employees or outsourcing their work. This puts a strain on middle-management who will always have new ppl they'll need to train as they miss their number.

Less than 5% of ppl will hit their quota. Facts. Probably due to bad onboarding, training from the 90's, inconsistent GTM strategies, lack of direction, poor execution, spray and pray approach etc.

CRM is a data nightmare. Just no.

I can go on."
20,Momentive.ai,Great place to work,2022-02-15,5.0,Anonymous Employee,"Love the culture, the people - always learning",Hard to come up with any
21,Momentive.ai,Employee-centric company that is a great place to work,2022-02-09,5.0,Software Engineer,"Great work-life balance
Cares a lot about employee happiness","Not politically neutral
Nothing else, really"
22,Momentive.ai,Great work culture,2022-02-08,5.0,Software Engineer,They truly encourage engineers to stay curious and keep learning,Still bridging the gap for a remote work culture but have come a far way and is actually way better than many other industry leaders
23,Momentive.ai,Excellent company,2022-02-08,5.0,Anonymous Employee,Everything works well in this company,"Not really any disadvantages, loved GetFeedback"
24,Momentive.ai,Good Place to work,2022-02-04,4.0,Product Designer,"Good place to work 
Great work life balance","It’s pretty slow 
People are great"
25,Momentive.ai,Great company!,2022-02-04,5.0,Senior Software Engineer,supportive management and good diversity. Really generous benefits pre-pandemic but now it feels like other companies caught up,Work life balance may vary by teams
26,Momentive.ai,Amazing company with great culture,2022-01-27,5.0,Anonymous Employee,Employees are treated fairly and with respect. Everybody is super nice.,Cannot think of any cons
27,Momentive.ai,Great place to work,2022-01-25,5.0,Software Engineer III,Leaders at all levels care about employees and the customers. Company culture is top-notch.,I can't think of any. It is a great place to work.
28,Momentive.ai,Great work culture,2022-01-19,4.0,Inside Sales Manager,"A very supportive environment of the employees, support of professional and personal development.",The communication channels and corrective actions need to be improved.
