,company,headline,date,overall_rating,author_position,pros,cons
0,Myntra,Good place to work with balanced work-life,2022-04-08,5.0,Lead Software Engineer,- Employee friendly policies make it worthwhile,- Not found one yet
1,Myntra,"ALL good,",2022-04-06,4.0,Anonymous Employee,"all good, perks and all",flexibility no work life balance
2,Myntra,good experience,2022-04-06,5.0,Manager,lot of learning new process and function,no work life balance during events time
3,Myntra,Below par salaries,2022-04-06,4.0,Business Analyst,"Good Work culture, Good work for a BA",Salaries are way below industry standards.
4,Myntra,Good place to learn key skills in eCommerce industry.,2022-04-04,5.0,Senior Manager,"Myntra attracts some of the best talents in the country. You get to work with innovative, bright minds.

Comparatively flat org structure, allowing one to lead a function, team independently at the early stage of your career.

You get to hone your data analytics skills at Myntra as many of the strategic and day to day decision making happens based on data. Helps gain valuable data analytical skills.","Recently many top positions are getting filled by direct recruitment from Flipkart. This inhibits the growth aspirations of Myntra old timers. Also, the open culture has changed to become more bureaucratic in recent months."
5,Myntra,"No headline, Company name it self is a head line",2022-04-03,1.0,Marketing Manager,"- Employee benefits 
- Employee care","- No dignity for manager 
- Employees have upper hand over manager 
- Talk more work less 
- Job satisfaction and Carrier Growth is close to nothing or zero

The above points does not imply to all but unfortunately most of them fall in the same category"
6,Myntra,Great company to build your career at...,2022-03-31,5.0,Director,"work culture, people policies, leadership, ethical practices",frequent changes in leadership team
7,Myntra,Myntra life and extra benifits,2022-03-29,3.0,Senior Engineer,"Employee benefits are good like food coupon, medical insurence, cab service.
Flexible work timing though there is no work life balance for few teams. 
Good no of leaves and additional paid wellness leaves.","Top management are leaving and work culture is changing drastically. 
Before there was a clean plan on which direction we are going but now there are new plans kicks in all the time.

You will not have any clear idea on what you will be working on next month or what you will learn. Some work will be thrown to you at the last moment and you have to just get it done. No matter if you learn something or not. 

Managers are only concerned about thir OKR and work. They doesnt care about you or your health or mental conditions. Same goes for HR. You will see hardly one interaction with HR. Some people doesnt even get to know who is their HR also. 
HR doesnt help you in any case. If you say something you will see the consequences. 

Good luck."
8,Myntra,Decent company with startup issues,2022-03-28,3.0,Associate Director,"1. Ananth Narayanan as the CEO. One of the most sorted CEOs and human beings
2. Decent culture which was employee friendly, fun and fashionable
3. Fast growth environment where high performers can get promoted fast","1. Lack of long term clarity post Flipkart and Walmart merger
2. Not great marketing leaders
3. Non worthy people leading functions at the top, without much maturity"
9,Myntra,Bad Leadership,2022-03-26,1.0,Software Developer,Recharge leaves after sale events,"Many, not possible to wirte all of them"
10,Myntra,"Nice place , work culture , and great learning",2022-03-22,5.0,Engineer,"* Nice place to work 
* Learning opportunity","Nothing as of now , everything is good"
11,Myntra,Stay away from marketing team,2022-03-18,1.0,Marketing,"Good facilities, learning opportunities and great environment.","Toxic, stressful. The marketing head (still there) lacks maturity and work ethics and cultivates unhealthy environment. No matter how much or effective your effort, you will always be made to feel inadequate while credit for the work taken away. I will not recommend joining the marketing team, if you do, you’ll soon start planning to leave. Google “Negging” and you will get the gist. The whole department is empty because of one person."
12,Myntra,-,2022-03-17,5.0,Womenswear Designer,"work culture. time management, work life balace","-nothing , na, na, na"
13,Myntra,Best place to work,2022-03-17,5.0,Software Engineer,Good work life balance and culture.,Some team has lack of support.
14,Myntra,Would not recommend at all if you want peace and do not want to suffer from micromanagement,2022-03-16,2.0,Technical Lead,"Good Salary. but still lot of disparity in the salary band.
Individual contributors are good people at Myntra.
Not much pros in terms of WFH scenario.","Full of micromanagement which flows from top management till the Manager level.
No complaints would be listened and you'd be told to listen and work as said because ""afterall he/she is your manager"".
Full blame games and few teams have totally incapable managers who only product toxic culture. 
Pulse surveys, Manager effectiveness ratings are regularly taken in the company but the results are not reviewed and acted upon.
Not recommended at all to join Storefront Team.
Managers produce toxic work environment by micromanagement and blaming strategies.
People at IC level are staying forcibly and not happily.
I tried sharing feedbacks on behalf of the team and the other teammates did as well to the senior leadership, but nothing was acted upon."
15,Myntra,Great place to work,2022-03-14,5.0,Data Analyst,Best work culture at par,Over time but very rarely
16,Myntra,NA,2022-03-12,3.0,Associate Director,Decent Pay package and a bunch of good problems to solve,Lack of vision and depth of LT team
17,Myntra,Review of experience,2022-03-10,4.0,Manager,"Work environment, flexible leaves, Good colleagues","Data, time extension, problem issues"
18,Myntra,good culture,2022-03-09,4.0,Digital Creative Lead,Good opportunity to learn and explore new things. Dynamic Work culture.,No work Life Balance. No security
19,Myntra,Good place to work,2022-03-08,3.0,Video Editor,Work life balance was good,"Nothing to say, everything was fine"
20,Myntra,Great place to work,2022-03-07,5.0,Senior Officer,"Work culture, company goals and growth",Work life balance during sales
21,Myntra,good,2022-03-06,3.0,Production Worker,better good best awsm nice,fine okay can be better need to work
22,Myntra,Good Culture & great learning opportunities; but under-paid & under-promoted,2022-03-06,3.0,Manager,"- Great People & Policies- one of the best in ecommerce industry
- Ample amount of opportunities to drive new initiatives & learn","- Pay is low as per industry average & hence huge attrition is currently being observed in the org
- Promotions are slow even for top performers; HR department states non-sense reasons like we promote in 2.5-3 years which is very unjustified
- No work-life balance- expect to work 13-14 hours a day"
23,Myntra,Good place but too much work pressure,2022-03-03,4.0,Anonymous Employee,"Brand name 
Smart people around 
Professional set up 
They give ESOPS ( wealth creation )","Pressure 
Politics 
Too much changes being asked by leadership all the time"
24,Myntra,Amazing,2022-03-03,5.0,Designer,Collection they have and work space,It was great giving interview and office workspace is too good
25,Myntra,I have worked as a buyer in Myntra.,2022-03-03,5.0,Buyer,"Beautiful workplace
Helpful colleagues 
Fashionable environment","No job security
People are super clever"
26,Myntra,Nice,2022-03-01,5.0,Trainer,Work life balance and supportive manager,Cant think of as such
27,Myntra,"Great Work Life Balance, Average work",2022-02-27,3.0,Senior Software Engineer,"- Great work life balance
- Unlimited health care leaves
- Great office","- A lot of guys left in past few years, not many people who can be appoached to understand the working systems
- Work depends on team. Not a lot of technical work in my team
- Planning to re-open office around April 2022
- Limit on usage of new tools/technologies in team"
28,Myntra,Associate category manager,2022-02-24,4.0,Associate,"Good learning and opportunities.
Good benegits",Politics and issues in giving holidays
29,Myntra,A very dynamic environment,2022-02-20,3.0,Manager,"Digital-first organisation. 
Good learning experiences.
Fast paced organisation.","High attrition rate. 
Low work-life balance.
Management changing stances too often.
Super fast-paced organisation.
Lower pay scales"
30,Myntra,It is a great place to work,2022-02-16,5.0,Deputy Director,"liked working with Myntra for its processes, leader support and sophisticated team structure",nothing specific that i can say
31,Myntra,Responsible for monitoring the key metrices and driving actions to improve profitability,2022-02-16,5.0,Business Finance Manager,"Fun work culture, good work life balance, leadership approachabiliy, focus on learning and growth, incentives for working extra mile, easy to switch to different role in similar profile or different profile or even to Flipkart, employee discount on Myntra app!","Strong competition with Ajio, Nykaa, Mensa and other e-commerce startups may affect market share and profitability of business. Performance bonus is usually given in terms of ESOPs which take 4 years to vest and till company get listed, difficult to convert it into cash."
32,Myntra,Amazing place to work,2022-02-14,5.0,Senior Software Engineer,"Always using latest and greatest open source tech
Great learning culture 
Good wlb",Leadership keeps changing quite often
33,Myntra,Good,2022-02-14,4.0,Senior Market Research Analyst,Getting talk your views and perspectives,Hindi is the mandatory language
34,Myntra,Good company,2022-02-14,4.0,Software Engineer,"Good Work culture, benefits are good",Not so much consequences.everything is good here
35,Myntra,good to work,2022-02-12,3.0,Anonymous Employee,Work life balance is there,Less growth and less knowledge
36,Myntra,Myntra review,2022-02-12,3.0,Anonymous Employee,Great environment to work in,hierarchy of growth can be an issue
37,Myntra,Good Work life balance with good compensation but less learning,2022-02-09,4.0,Software Engineer,"Good work-life balance
Good leave policy
Very helpful colleagues
Very good infra, opportunity to learn
Good compensation",Environment is already stable thus less scope of learning
38,Myntra,Amazing culture,2022-02-09,5.0,Manager,"- projects with real impact 
- strong culture",None that particularly stand out
