,company,headline,date,overall_rating,author_position,pros,cons
0,Nearbuy,KAM@nearbuy,2022-01-27,5.0,Key Account Manager (KAM),"Superb work culture, duly reward performance.",Planning at senior management could have been better.
1,Nearbuy,Astonishing Organization,2022-01-26,5.0,Key Account Manager,"Stunning work culture 
Work life balance",Moderate salary is the only con
2,Nearbuy,Good to learn,2022-01-18,4.0,Senior Software Engineer,Latest technology and goof management,Can't think of any con.
3,Nearbuy,I'm operating computer from at the age 12.,2021-12-26,3.0,Computer Operator,I'm also good in software and hardware.,I will do my work efficiently.
4,Nearbuy,Salary of a SDE at Nearbuy,2021-12-02,4.0,Software Engineer,"Good salary, best environment with good space, Gets to learn Startup culture","Growth is less, No onsite opportunity"
5,Nearbuy,One of the Best work culture,2021-10-29,4.0,Research Analyst,"Supportive Team, Healthy work culture","Some times works become monotonous, which is some where not good ."
6,Nearbuy,Best place to work,2021-10-11,5.0,Business Head,"Freedom to take action
Passionate team members
Empowerment at every level
Transparency",lost focus for some time
7,Nearbuy,Good,2021-09-19,4.0,Associate,Cheerful place to work at,They no longer have their office in Bangalore
8,Nearbuy,great,2021-08-14,5.0,MLO-Senior Loan Services Specialist,great staff enjoy working with them fast response helpful nice supportive,slow responses could be better need improvements more staff and help
9,Nearbuy,Good place to work,2021-08-02,4.0,Marketing Consultant,"Good team, autonomy to make decisions",Can't think of any cons
10,Nearbuy,"Great culture, Great learning",2021-06-18,4.0,Senior Software Development Engineer,"Great environment,Positive vibe , Great people",There is nothing as cons
11,Nearbuy,Good organization to work with,2021-06-08,4.0,Marketing Consultant,"Great culture & values
There is a diversity in office
Team outing 
Team activities",Work hours are not set
12,Nearbuy,Good working culture.,2021-06-02,5.0,Relationship Manager,"Seniors are really helpful. 
No politics.",Less career growth in the company.
13,Nearbuy,Good,2021-06-02,4.0,Data Analyst,Good and nice for work,Not such known to me
14,Nearbuy,Overall good experience,2021-05-24,3.0,Designer,"- Active environment, enery-driven peers, good growth opportunites","Biased management, less transparency in decisions"
15,Nearbuy,I want rejoined,2021-05-22,5.0,Data Collection,This is amazing job and company,Nice job nice place nice people
16,Nearbuy,Great place to work,2021-05-19,4.0,Product Manager,Had a good experience working at nearbuy until the parent organisation decided to merge operations,Don't have many cons to share
17,Nearbuy,Great Place to Work,2021-05-13,5.0,Anonymous Employee,"Great team, great culture, Good learning opportunities",Not many options for Tax benefits
18,Nearbuy,They are nothing of what they claim to be,2021-05-11,1.0,Anonymous Employee,There's no pros for this horrible company,They are real good at being bad
19,Nearbuy,Great place to work,2021-04-28,4.0,Anonymous Employee,Great place to work at. Amazing team members.,I do not have any cons.
20,Nearbuy,Very Nice,2021-04-20,5.0,Anonymous Employee,"Friendly Environment , Good Learning Oppurtunity",None. Did not face anything bad
21,Nearbuy,Great place to work,2021-04-05,5.0,Writer,"Friendly colleagues, great learning environment",Nothing as such that I can think so
22,Nearbuy,Coolest people ever met,2021-04-05,5.0,Key Account Manager,"Learning at every stage, Most friendly colleagues who will spare time from their busiest schedule to help you out, CEO & CTO will go out of their way to make decisions for the well being of the employees",Pros outweigh whatever a little con the company has
23,Nearbuy,Nearbuy.com,2021-03-14,3.0,Key Account Manager,Good working environment for remote resources.,Variable pay is highly contingent
24,Nearbuy,Bad Culture,2021-02-22,5.0,Marketing Associate,"Flexible working hours
Good Environment and Infrastructure","No work-life balance
Bad compensation 
Bad behavior
Too much workload"
25,Nearbuy,Uncertainty,2021-02-17,3.0,Analyst,Easy going culture with nice environment,Not willing to understand new concepts
26,Nearbuy,I would like to work here again.,2021-02-05,5.0,Operations Executive,Working culture is best I have seen ever than any other organisations.,Currently no cons from my side
27,Nearbuy,Great upper management,2021-01-23,4.0,Key Account Manager,"- Chill work culture 
- Great leadership
- Work life balance","- Culture needed improvement
- Lacked diverse crowd
- More activities for employee engagement"
28,Nearbuy,Brilliant place to work,2021-01-05,5.0,Human Resources,"1. Great work culture
2. Will learn a lot.",Nothing that I can think of.
29,Nearbuy,Work is play here...,2020-12-02,5.0,Software Developer,"Work life balance , good environment , supporting peoples etc",Not as such found any cons.
30,Nearbuy,Good,2020-11-26,4.0,Marketing Intern,"Good experience, cordial mentors, certificate provided at the end","not a lot of responsibilities, don't pay much"
31,Nearbuy,Amazing company and culture,2020-11-25,5.0,Key Account Manager,The culture and respect for every employee working is amazing,There are no downsides in this company. Probably the best company to work for
32,Nearbuy,Good company,2020-11-18,4.0,Senior Software Engineer,Great Culture and engineering practices,"there are None, it was great"
33,Nearbuy,Good profile for the company,2020-11-11,5.0,Relationship Manager,Good profile for the company,HR’s are not well informed about everything
34,Nearbuy,Company feedback,2020-10-26,3.0,Key Account Manager,"- Chill work time/environment
- NO stress
- Understanding leadership
- No Politics
- Importance for personal time & work life balance is given
- Opportunity to give feedback is taken positively","- NO scope for growth or innovation
- No company culture 
- Mundane and boring work environment 
-Mundane JD based on department"
35,Nearbuy,Not bad,2020-10-05,4.0,Associate Product Manager,The team was motivated well,Too many layoffs. The org was always struggling
36,Nearbuy,Worked under a great team. Probably one of the best places to work.,2020-10-05,5.0,Portal Operations Analyst,"Supportive and Encouraging Leaders. 
Stress-free environment.",There were no major down sides experienced
37,Nearbuy,Great place to work,2020-10-01,4.0,QA Manager,Its a great place to work,"No cons, its a great place to work"
38,Nearbuy,Excellent Work Culture,2020-09-30,5.0,Anonymous Employee,Nearbuy has one of the best Work Culture,Nothing as such to mention
39,Nearbuy,Nearbuy,2020-09-01,4.0,Software Engineer,Good Work culture and environment,Not I can find any
