,company,headline,date,overall_rating,author_position,pros,cons
0,Netcore Cloud,Good Company,2022-04-06,4.0,Anonymous Employee,Netcore is very strong in Email n SMS business... Growing well even in Marketing Automation suite of things..,Very much sales n business driven....
1,Netcore Cloud,Good company to work for,2022-04-04,4.0,AVP,"- Lots of learning
- Very Lean & approachable organisation
- Boostrapped","- Process not defined
- Working hours"
2,Netcore Cloud,Good company,2022-04-01,4.0,Sales Development Representative (SDR),"Good working environment 
Good learning",Frequently changing mid level management
3,Netcore Cloud,Great Place to work,2022-03-16,4.0,Sales developement representative,Great environment to work at,has a lot of competition
4,Netcore Cloud,Great place to work,2022-03-10,4.0,SDR Manager,"Salary, management, incentive structure and PTO",None so far. Keep doing what u are doing
5,Netcore Cloud,Alright,2022-03-07,3.0,Account Manager,"- decent work environment 
- smart folks to work with","- teams are spread out very thin 
- pay is not too great"
6,Netcore Cloud,Bullys. More people resign than join.,2022-03-06,1.0,Digital Marketer,Programs centered around the greatness of management.,"I, and my entire team experienced high levels of bullying  by the management. The people working: management or experienced members of staff, refuse to show basic levels of professionalism. I have been made to answer calls at odd hours, made to work on public holidays, and at multiple times made to feel incapable to accept a low payscale.

Off lately, people are resigning, and the people who stick with Netcore, are either responsible for showing 0%  professional concern for young talent or are victims of bullying.

All said, their business partners are slowly waking up to the operations of this organisation – make profit off cheap labour.

Embarrassing."
7,Netcore Cloud,Good Company,2022-03-04,5.0,Anonymous Employee,Good you can work longterm here.,There is no cons I found here
8,Netcore Cloud,very good,2022-02-24,3.0,Anonymous Employee,very good company and good appraisals,no they should work proactively to reach goals
9,Netcore Cloud,Good,2022-02-23,3.0,Sales Development Representative (SDR),Nice people to work with.,"Locality of the building should be good, no parking facility"
10,Netcore Cloud,Good place to work,2022-02-20,4.0,Anonymous Employee,Balanced life good management free for discussion,Senior management is very slow for approvals
11,Netcore Cloud,Great Place to learn but bad work life balance,2022-02-18,2.0,Regional Sales Manager,"Aggressive team, appetite to grow, a good place to learn and grow, job security","No work-life balance, HR policies quite old school, not a good paymaster. Commission policy and pay outs need major improvement"
12,Netcore Cloud,Good growth for Freshers,2022-02-15,3.0,Senior Manager,"Good growth for Freshers or 2-3 yrs experience people. 
Lot to learn in Martech space and make relationship with multiple brands as almost every enterprise brands uses some or other service. 
A human company to work and management takes care of employees.","Lot of internal politics in few teams. Company is growing and adapting new processes implemented but still micromanagent done by owners.
All teams are understaffed making team members to stretch more."
13,Netcore Cloud,NA,2022-02-14,4.0,Software Engineer,A good versatile technology stack and always giving freedom to explore and try new things,"Since its a small organisation, senior folks are a bit overloaded as well so new joiners learning curve is difficult as very few people get time to help those out."
14,Netcore Cloud,Good opportunities for intern,2022-02-13,5.0,Intern,Interns have a good chance to have their job confirmed if worked hard and performed well.,No cons as such for now.
15,Netcore Cloud,"Good culture, Good boss, Good colleagues",2022-02-11,4.0,Partner Manager,"1. Efficient leadership to follow
2. Colleagues with great work ethics
3. Lots of learning opportunities
4. Timely salary","So far I have observed that this company has almost zero medical benefits for the employees. My previous company used to reimburse my parents and my medical costs like visiting doctors, cost of medicines, cost of medical tests, etc. at actuals, there was no upper limit."
16,Netcore Cloud,Need Improvement in Work Culture,2022-02-11,3.0,Enterprise Sales,"- Improving and investing a lot on products 
- expanding their workforce across the world","- Not investing in culture as they are approaching towards IPO, they are very aggresive 
- No Clarity on incentives 
- Family run business"
