,company,headline,date,overall_rating,author_position,pros,cons
0,Neustar,Great company to work for!,2022-04-07,5.0,Technical Architect,"Very collaboratives teams across the organization, good culture, remote work and flexibility",None that I could recollect
1,Neustar,Benefits,2022-04-02,5.0,Senior Facilities Supervisor,Best workplace there is to grow.,Company was acquired for it value
2,Neustar,SOC,2022-04-01,4.0,Information Security Engineer,This is a great company for those new to the cybersecurity industry. Working in a SOC requires troubleshooting routing issues and other security related events for customers. I found that being self motivated with a problem-solving mindset will get you noticed by your managers. This company will reward hard work and new skill development.,Working nights at a 24/7 SOC can be exhausting.
3,Neustar,Great place to work and grow,2022-03-23,5.0,Anonymous Employee,Great work enviorment and option to work from home,ever changing work landscape can lead to some uncertanty
4,Neustar,Great Employer,2022-03-17,5.0,Senior Information Security Engineer,"- Tuition assistance
- Flexible schedule for work+life
- Good Leadership
- Growth Opportunities","None at this time, great company."
5,Neustar,Great Community,2022-03-16,5.0,Implementation Intern,Lots of growth and development occuring.,There aren't many cons I could give.
6,Neustar,Work life balance,2022-03-11,4.0,Database Administrator (Database Administrator),"Work life balance
Opportunity to involve in diff techs",Nothing observed as of now
7,Neustar,A good marketing analytics company,2022-03-02,4.0,Principal Statistician,"If you want to work in marketing analytics Neustar should be at the top of the list given its best-in-class data and products. You will work with a lot of smart people and have access to A LOT of data. Management generally seems to care about inclusion, diversity, mental health, and getting people’s feedback, although the actual results will likely depend on the specific group you are a part of. Neustar is really a combination of many acquisitions over time, and whatever group you hire into will have its own set of quirks and culture, so it is hard to give one overall statement about the company. But the company as a whole has done well to position itself in the space and is growing because of it.","Neustar is large enough that bureaucracies are abundant, but that can be said for most companies this size. Neustar is stingy with raises but if your business unit and the company does well this can be offset with nice bonuses. Come review time Neustar uses a bell curve and forces everyone to fit on it, so if you want to be rated anything better than a “strong performer” (the middle of the bell curve) you had better be the best thing since sliced bread. Prior to the pandemic Neustar significantly clamped down on working from home which was a major concern for a lot of employees. Having said that, Neustar was recently been acquired by TransUnion so HR related concepts like above could change."
8,Neustar,"Leader in identity resolution, super exec leadership, strong culture",2022-03-02,5.0,Key Account Manager,"Excellent and diverse value propositions across industries and functional departments , strong executive leadership, employee centric, strong sales skill and experience","Operational 'bandaids' with internal processes and resources due to multiple acquisitions over time. Understaffed Sales operations, no deal desk support, and understaffed legal."
9,Neustar,Good Culture,2022-02-25,3.0,Associate Data Analyst,"Good Culture, Technology and Paid Time Off.",Not very good work life balance.
10,Neustar,Neustar Great,2022-02-16,5.0,Consultant,"Amazing, Fun, Cool, Pays well","Too amazing too fun, yes."
