,company,headline,date,overall_rating,author_position,pros,cons
0,Ola,NA,2022-04-08,3.0,Senior Category Manager,High learning curve for new professional,Unstable work environment must be crazy to work
1,Ola,Good learning but poor culture,2022-04-08,3.0,Senior Software Engineer,"Get to solve challenging technical problems.
Exposure to various tech stacks.","Poor work life balance
Management not employee friendly"
2,Ola,"Go Getter, Open to explore good opportunities",2022-04-01,3.0,Sr. Executive Assistant to Chief Executive Officer,"Good Job Opportunity during Panademic, Good Working atmosphere with amenities",Certain Protocols and Process needs to be streamlined
3,Ola,analyst,2022-03-30,2.0,Analyst,good to work and enjoy snacks and juice,"too long working hours, tiring chairs and office"
4,Ola,Asset Engineer,2022-03-30,3.0,Asset Engineer,Good to work in the Org,money that is paid to someone in exchange for something that has been lost or damaged
5,Ola,Ho,2022-03-28,3.0,Process Associate,Good morning sir your smile will be there are,No salary no problem but I am not able to understand
6,Ola,Okay company.,2022-03-27,3.0,Business Development Executive,Good pay in timely manner,Less holiday than other companies
7,Ola,Bad management,2022-03-27,3.0,Software Engineer,"* Great tech stack
* Lots of opportunities to learn and create an impact","* Deteriorating WLB.
* Micro management. 
* High iteration rate leading to unstable products
* No stable higher management"
8,Ola,Heads SMS Business for OLA Corporate - B2B Business,2022-03-27,3.0,Senior Manager,"Phased Faced, Great Exposure towards learning & growth","Repetitive , Unfocused work on Mid level management, No Business Outlook"
9,Ola,"Culture sucks, Opportunity-Ownership Rocks",2022-03-25,3.0,Project Manager,"Good opportunity if you’re a self starter and do things/learn things on your own
Enough funding in the bank
Pay you well","Employees aren’t valued
Fickle decisioning of management
Unrealistic plans and expectations
Throwing money at every problem 
Partial performance / appraisal reviews without measuring actual output
Top management - Zero stability
Constant vision, mission missing"
10,Ola,No long term plans,2022-03-25,2.0,City Manager,Good Pay Master. IJP benefits,Very poor top management and no long term goals
11,Ola,Review,2022-03-23,3.0,Anonymous Employee,Company where you can learn a lot,work life balance is a challange
12,Ola,Review,2022-03-22,5.0,Associate,Great experience with the team,Salary was not so good
13,Ola,Great learning,2022-03-21,5.0,Senior Program Manager,Good workplace to learn new things,work life balance could be better
14,Ola,Not worthy of your life,2022-03-18,1.0,Analyst,No pros except exciting project titles,"Bad HR policies.
Bad management, KMPs, 14 hr job + on weekends.
5 star reviews in glassdoor follow a pattern and are fake."
15,Ola,Ola,2022-03-16,2.0,Customer Service,Nothing except salary and nothijng,"Everything, micro managment, politics, no growth"
16,Ola,Line supporter,2022-03-15,3.0,Anonymous Employee,Good to work with nice environment,Canteen food is not good
17,Ola,bad company,2022-03-15,1.0,Product Analyst,no pros at all in the company,only cons in the company
18,Ola,Its really great to work here,2022-03-14,5.0,Cab Driver,I am so happy to work here,No there is ng to say
