,company,headline,date,overall_rating,author_position,pros,cons
0,Ooyala,Good product and benefits,2022-04-03,3.0,Technical Account Manager (TAM),"The benefits were good, daily free lunch, weekly free breakfasts and social events.",Management looking for an exit rather than trying to enhance the product offering.
1,Ooyala,Somewhat Chaotic,2022-03-02,2.0,Technical Account Manager (TAM),Young company that showed promise,Disorganised and going through a lot of change
2,Ooyala,good people terrible managment,2021-10-15,3.0,Office Manager,"employees, middle management, offices, environment","C level management, employees care"
3,Ooyala,Caput,2021-08-04,1.0,Sales,Went out of business and sold of the parts to others,Went out of business and dissolved equity for employees across the board
4,Ooyala,I worked at Ooyala when it was going through a tumultuous time.,2021-06-07,3.0,Sales Development Representative (SDR),"Great People, Nice Office Space, Good Management","Product Confusion, Product Ideas weren't clear"
5,Ooyala,Tech Domain,2021-06-07,3.0,Staff Engineer,Good company if you wanted to learn new things. Very matured way of building softwares. Follow good CI/CD practices.,Need to have strong visions to enhance the products.
6,Ooyala,Great place to work,2021-03-11,5.0,Account Manager,Gained a lot of experience and knowledge. Was able to pivot my career.,Limited career growth in the company.
7,Ooyala,Good,2021-03-01,4.0,Engineering Manager,Good Good good good good,Nothing here really good company
8,Ooyala,Sold out to Dalet,2021-02-27,1.0,Customer Success Manager (CSM),Young Company and was interesting Technology,Disorganised Mess - Obviously preparing to sell the company
9,Ooyala,Dont do it!,2021-02-16,1.0,Anonymous Employee,nothing good to mention. was a bad experience.,puhhhh .... where should i start?
10,Ooyala,Great work life balance,2021-02-10,4.0,Anonymous Employee,"Fun people, advanced tech and lots to learn. Work life balance was exellent something that helped out a lot when it came to performing.","Tricky business to make money in and some parts of the business was totally neglected, something that caused some job security issues."
11,Ooyala,Good place,2021-02-09,3.0,Senior Software Engineer,"- Free snacks unlimited
- Ambience
-People
-",- Management was not good enough to define strategy atleast for chennai office
12,Ooyala,No Longer in Business for a reason,2021-01-25,1.0,Training Program Manager,They had a good run,They let it be run into the ground
13,Ooyala,Good Company,2021-01-25,5.0,Anonymous Employee,Good culture Work balance Good people,Wrong decisions by Management & HR policy
14,Ooyala,Miss the crew,2020-12-11,4.0,Senior Solutions Architect,The people were great and the office in San Jose was a great place to visit. Support for remote work was also quite good.,"Clients and client management could be challenging especially if they have not been signed up yet. 
It was often human resource tight for SAs at times"
15,Ooyala,Good place with caveats,2020-11-07,3.0,Staff Engineer,"Good place to work , nice team, good perks",Management lacked vision and execution.
16,Ooyala,You couldn't ask for a better place to work.,2020-08-27,5.0,Businessman,"Don't work here if you want to hate your job. Literally the best employer I've had since I started working at the tender age of 14, some 50 years ago. The chairs are very comfortable.",They won't let me work more than 40 hours per week.
17,Ooyala,Ooyala review,2020-07-20,4.0,Software Engineer,"Leading edge tech stack. Constantly looking for ways to improve their product.
The engineers are extremely good at what they do.",Not many cons I can think ok
18,Ooyala,Was a fantastic company with a healthy culture,2020-06-08,5.0,Anonymous Employee,"Culture, lack of bureaucracy, entrepreneurial, fun, great people",Was unable to integrate newly acquired technologies that were acquired into Ooyala's long term business model.
19,Ooyala,Excellent,2020-03-28,5.0,Staff Software Development Engineer In Test,"Flexibility in timings, excellent manager, good work culture",Management could have done a better job
20,Ooyala,something good turned in a shipwreck,2020-02-28,2.0,Anonymous Employee,"office location, compensation, good international reach","short sighted management, lack of vision, absence of any strategy"
21,Ooyala,Great company,2020-01-31,3.0,Counsel,"Fantastic culture, great people, good benefits",Leadership changes caused lack of vision
22,Ooyala,Very very very bad managment,2019-12-11,1.0,Software Engineer,A very nice industry and some really cool products,"The management was a mess, I can not recall the numbers of CEO that changed in one year."
23,Ooyala,Great company to work for,2019-11-26,4.0,Senior Director,Travel. Product that leads the market.,Too many changes in executive team
24,Ooyala,People made the difference,2019-11-04,3.0,Partnership Manager,"Start up culture, enjoyed taking on responsibilities I might not have had elsewhere early in my career",Struggling product and strategy
25,Ooyala,Great Company,2019-10-22,5.0,Senior Sales Engineer,A great team to work with.,The OTT space has become commoditised.
26,Ooyala,Bittersweet But Learned Alot,2019-09-23,1.0,QA Manager,Transparent to a fault - if you didn't see this coming you are blind.,"we didn't win, so my stock isn't worth anything."
27,Ooyala,Sr.Tech Support,2019-07-27,4.0,Anonymous Employee,Good work-life balance and a nice environment.,"As of now, no comments."
28,Ooyala,Good place to work,2019-07-06,4.0,Senior Associate,"Work Life Balance,
WFH
Latest technologies
Good management",Nothing that I know of.
29,Ooyala,A cool company to work with,2019-06-24,5.0,Anonymous Employee,"Work culture is great!
Unlimited snacks
Prime location & excellent infrastructure
Unlimited work from home
Top notch technology to work with
Variable Pay","Less Transparency
Continuous change of decisions to sell their product to competitors"
30,Ooyala,Manager,2019-06-19,4.0,Manager,Employee friendly work environment and values,Product stability and lack of aggressive marketing
31,Ooyala,Good Place to Work and Learn lot of technology stack,2019-05-13,5.0,Anonymous Employee,"Freedom to work on different modules, lots of opportunity available to learn new technology stack.",Nothing to be exact about anything.
32,Ooyala,I have been working at Ooyala full-time,2019-05-09,3.0,Anonymous Employee,Nice work culture and get chance to work in new technologies.,Company's management is not upto the mark.
33,Ooyala,Manager,2019-04-11,3.0,Anonymous Employee,Good bunch of people work there. Helpful.,Going through a lot of change
34,Ooyala,More cons than pros,2019-04-05,1.0,Anonymous Employee,"- Talented and friendly co-workers
- Nice friendly atmosphere amongst the ordinary staff","- Lack of vision or direction for the product
- Lack of transparency from management about company performance or what is coming down the pipeline
- Constant reorganisations and restructuring creates a chaotic and stressful work environment 
- Decision makers say one thing and then do the opposite
- The people doing the all the hard work never get the recognition"
35,Ooyala,Everything is a mess,2019-04-02,2.0,Anonymous Employee,Great people who somehow keep being tricked into working here,"There's no structure, management is a mess, projects are constantly being started then scrapped, decision makers are constantly changing their minds"
36,Ooyala,Disintegrating,2019-03-28,1.0,Anonymous Employee,"They were good - good office culture, good perks.","Now, the company is downsizing, and everything good is being retracted. No benefits. Massive redundancies, no perks. No communication."
