,company,headline,date,overall_rating,author_position,pros,cons
0,Orbitz Worldwide,Good company,2022-02-23,4.0,Software Developer,Good perks at the company,Stagnant career at the company
1,Orbitz Worldwide,2018 to 2019,2022-01-12,5.0,Help Desk Technician,The best work atmosphere ever.,Distance between departments was an obstacle
2,Orbitz Worldwide,Great Place to grow!,2022-01-10,4.0,Marketing Coordinator,Therma is truly a collaborative workplace,"Limited office locations, and remote opportunities."
3,Orbitz Worldwide,Decent job,2021-08-30,3.0,Accountant,"Pretty good benefits
Really sweet and generous co workers","Unorganized leadership
No sense of professionalism"
4,Orbitz Worldwide,Awesome place to work,2021-08-23,5.0,Anonymous Employee,Working together like a family,there was no cons for me
5,Orbitz Worldwide,Good,2021-07-28,3.0,Accountant,"good benefits
decent pay
good company work culture","bad leadership
unorganized 
can't move up"
6,Orbitz Worldwide,Good slow paced work easy,2021-06-15,5.0,Forklift Driver,Work will keep you busy not too hard good boss Gio he is awesome to work for,It’s through a temp agency
7,Orbitz Worldwide,good place to work,2020-10-16,4.0,Software Engineer,good place to work full time,nothing major to report about cons
8,Orbitz Worldwide,Orbitz to Expedia,2020-05-12,5.0,Senior UI Developer,Orbitz had a great UI Community.,Most of the Orbitz development work got lost after the Expedia acquisition.
9,Orbitz Worldwide,"Great Company, I Miss OWW",2020-02-27,5.0,Hotel,smaller organization competing with two large companies,we had to do more with less
10,Orbitz Worldwide,Amazing Team,2019-07-29,5.0,Anonymous Employee,"Great Leadership
Strong team synergy
Open and transparent","Nothing so far, keep up the good work"
11,Orbitz Worldwide,Overall a good company to work for prior to the Expedia acquisition,2019-06-13,4.0,Market Coordinator,"Team, management, leadership, growth opportunities, supportive",Culture changed after Expedia acquisition
12,Orbitz Worldwide,Awesome workplace,2019-06-13,5.0,Software Engineer,"Great environment, freedom to take innovative projects. Be curious and learn all you can.","Nothing really, great place to work."
13,Orbitz Worldwide,OK - but it's changed a lot,2019-01-11,3.0,,"I worked in operations, and it was an incredibly target-rich environment with lots of problems to solve.","Lack of good leadership resulted in strategic priorities getting ignored in favor of tactical fire-fighting. Luckily, lots has changed since they were bought by Expedia, so it's possible things are a lot better... they are at least different."
14,Orbitz Worldwide,"Great Culture, formerly bad structure",2018-11-02,4.0,Anonymous Employee,"Amazing culture, smart coworkers, nice perks.",Prior to Expedia acquisition the company's ownership structure was a challenge.
15,Orbitz Worldwide,Its Was amazing to work here,2018-06-01,5.0,Sales,"Nice staff and Agents, they care about their employees",Be prepared for new and sudden changes
16,Orbitz Worldwide,IT Operations,2018-04-02,4.0,Anonymous Employee,"Somewhat positive environment, excellent perks/benefits.","Lacking with bonuses and raises. Sometimes promotions are given to those that do not have the proper skill set or experience for their current position. Promotions are sometimes given with no pay raise, just a different title and additional responsibilities."
17,Orbitz Worldwide,Great people,2017-11-10,4.0,Anonymous Employee,Strong Technical people working on cutting edge technology,Nothing I can think of
18,Orbitz Worldwide,Mess of a company,2017-11-09,2.0,Anonymous Employee,dot-com atmosphere with good location,"no clear direction for growth, sleazy practices with fees"
19,Orbitz Worldwide,"Great company, Great culture",2017-08-07,5.0,Anonymous Employee,"Always working on the leading edge in tech, analytics, marketing, etc.","Chicago went from being the heart of the company to a satellite office as part of Expedia.  Expedia is a good company, but the pulse of the office changed."
20,Orbitz Worldwide,"Great in the beginning, drastic changes post acquisition",2017-07-21,2.0,Anonymous Employee,"OWW before the acquisition was a fantastic place to work in Chicago
Fun, excellent work life balance, good work, intellectually smart co-workers and co-operative team members 
Post acquisition by Expedia, pros were new challenging opportunities, great perks,","Some issues prior to acquisition owing to  information silos  and lack of complete organization/consistency  in the data and IT systems .. access to applications was limited and difficult to get

Lot of upheaval post the acquisition...increased politics, micro management and Orbitz office  sort of degraded to ""remote"" office  of Expedia  in Chicago
Certain director level execs and project managers extremely mean to work with ...did not have any accountability to senior leadership for the way they managed their teams....lot of micro management by team leaders who lack technical knowledge and business acumen... 
not at all a friendly work environment"
21,Orbitz Worldwide,Good Company,2017-05-04,5.0,Senior Accountant,"Boss was great, tons of flexiblity and travel disounts.","Too bad the sold off to expedia, because i got laid off."
22,Orbitz Worldwide,Low Compensation but Great culture,2017-03-05,4.0,Anonymous Employee,People and culture there are awesome,Compensation wise are pretty low especially they are located in Chicago
23,Orbitz Worldwide,Good Place to work in Chicago,2017-03-01,5.0,Anonymous Employee,Pretty chilled out environment at work,Compensation is below the average salaries.
24,Orbitz Worldwide,Workload,2017-02-20,3.0,Anonymous Employee,Opportunity for growth was plenty.,small team with high expectations
25,Orbitz Worldwide,software engineer,2017-02-14,4.0,,good work life balance .,workload is kind of less.
26,Orbitz Worldwide,Amazing Culture,2017-01-21,5.0,Software Engineer,The culture at Orbitz is just simply amazing and my general life-happiness was always at a positive. Things have changed quite a bit with the Expedia acquisition but things have been looking up.,The acquisition has left people feeling gloomy
27,Orbitz Worldwide,Senior Software Engineer,2016-12-19,5.0,Software Engineer,Good co-workers and culture.,"Usual management woes, too much politics."
28,Orbitz Worldwide,Good,2016-11-23,4.0,IT Manager,"Great culture, some good changes coming with Expedia.","Can be a bit chaotic, not in a good way.  Unorganized at times and the former leadership team seemed a bit funky."
29,Orbitz Worldwide,Amazing talent!,2016-11-14,5.0,Mailroom Associate,"The talent at Orbitz Worldwide now owned by parent company Expedia Inc. was amazing, really friendly, passionate and professional about their roles. Amazing down to earth SLT members as well. Something that made me smile everyday! And hopefully I can experience again!",Prefer not to say at this time.
30,Orbitz Worldwide,"Great company to work for devops, not so much for DM!",2016-10-28,2.0,Technical Lead,Great work culture. Awesome environment for developers and technologists. Ideas are exchanged openly. Innovation is something appreciated by top management.,"I ended up having a horrendous Boss who was a micro manager maniac. He'd ask your whereabouts if you're away from your desk for more than 30 minutes. He'd take your brain dump, and puts your idea down. He'd then go and present it to the top management claiming this is his great idea, so he could get credit for that. If you had done 99% of the time great job, he'd focus on the 1% in your annual review, when you did not out perform.  

My immediate management had full control of the situation, and thus manipulated it. I took my concerns to my manager's Boss. It turned out that he is also a micro manager. Unfortunately this was my worst nightmare. When Expedia took over Orbitz, he jumped at the opportunity and eliminated my position. Thus ending my nightmare!

Reflecting back on last one year since I left Orbitz, this was the best time for me. My mental and physical health has improved. I got a chance to work with amazing people. They appreciate your work. I should probably go back to my old Boss and thank him for giving me the opportunity to explore new opportunities :)

Moral of the story: If you ever get into such a situation, do not waste even a minute. There're plenty of great opportunities out there for the right person."
31,Orbitz Worldwide,Not the same after the merger with Expedia,2016-10-16,3.0,Product Manager,Nicer facilities after the merger; same work in the travel space,More business travel; less control over product direction; more corporate culture after the merger
32,Orbitz Worldwide,Good Company but band management,2016-10-04,3.0,Anonymous Employee,"Good benefits, flexibility especially after the takeover by Expedia",Bad management after the take over especially the BLR office.   One needs to think twice with such people if its worth the job. People are dead scared to speak up honestly
33,Orbitz Worldwide,Great company,2016-10-03,4.0,Anonymous Employee,Lots of smart developers. Always more to learn,Process can move slow at times.
34,Orbitz Worldwide,Regional Sales Manager,2016-10-03,4.0,,"Great leadership, good benefits, remote and with tools I needed to succeed.",Acquisition by Expedia resulted in complete overhaul of sales.
35,Orbitz Worldwide,Marketing Dept interaction,2016-09-16,5.0,,"Competent people, also they are generally friendly.",having to deal with typical large corporation beauracracy
36,Orbitz Worldwide,Orbitz review,2016-09-15,4.0,,A lot of opportunity if willing to move.,Larger company can be more challenging to navigate.
37,Orbitz Worldwide,Good work environment,2016-09-10,4.0,,"Strong technical company, willing to push the envelope of what is possible in technology.","Nothing to speak of, good place to work."
38,Orbitz Worldwide,Market Coordinator,2016-09-09,5.0,Market Coordinator,"Fun, Friendly global online Travel company on cutting edge. Technology driven with customers best interests in mind.",System tools upgrades/improvements slow to come so you must be resourceful to navigate around the challenges when applicable.
39,Orbitz Worldwide,Great Company for developing skills,2016-08-30,4.0,,The company whole heartily believes in developing talent from within and encourage technical development from all its IT staff.,"Learn or leave, after a bit if you aren't developing skills you might slowly loose favor with management."
40,Orbitz Worldwide,Best Place to work in Chicago,2016-07-09,5.0,Anonymous Employee,"Great work-life balance, competitive salaries, challenging work environment, international organization, lots of opportunities to move around within the company.

The company always made strides to better itself, which made it a great place to work.",For a medium sized company there were more politics than I would have expected. There were occasions during my tenure that management was not in tune with the rest of the staff.
41,Orbitz Worldwide,Orbitz review,2016-07-08,4.0,,"Generally a good place to work. 
Decent benefits, casual dress code, and a laid-back culture. 
Monthly happy hours with beer and wine.","In some groups it was extremely difficult to get promoted and/or move on to other jobs within the company.  
Some managers and directors played favorites. 
Work at home policies were inconsistent, some teams allowed it while others did not. 
However -  things may be different now since the company was acquired early this year."
42,Orbitz Worldwide,Senior Product Manager,2016-07-08,4.0,Anonymous Employee,Great people to work with,Lack of general strategic direction
43,Orbitz Worldwide,Good Team,2016-07-04,3.0,Senior Manager,"Lots of opportunity to try new roles, collaborative team, entrepreneurial environment, good people",Leadership changes since 2014 have really pushed down the spirit of the company.  It used to be a fantastic place to work.
44,Orbitz Worldwide,Okay experience,2016-07-02,2.0,,"-Relaxed work environment
-okay benefits",Management is unprofessional - gossips constantly
45,Orbitz Worldwide,Enjoy my job at Orbitz for Business,2016-06-28,4.0,Anonymous Employee,Working for Orbitz for Business feels like a family.  The work/life balance is excellent.  My manager is always there for me and always ensures my needs are met.  My immediate teammates are also my friends.,"There really aren't too many cons, other than to say that sometimes technology releases that affect end users aren't fully tested causing issues for those end users"
46,Orbitz Worldwide,Orbitz Worldwide,2016-06-22,3.0,GREAT BRITAIN,"Good Teamwork. management structure also they provided benefits to staff such as a travel fund.
also regular team events and quarterly meetings",Sold to a competitor . resulting in redundancies
47,Orbitz Worldwide,Great company to work,2016-06-07,5.0,Market Manager,"Before the merge with Expedia, the pros included;  leadership team, enviroment, flexibility, talented people ...","After Expedia´s acquisition, most Orbitz employees had to leave, ending the Orbitz Era. Its a shame that Expeda did not take advantage of many talented people."
48,Orbitz Worldwide,Great experience and place to work,2016-06-01,5.0,,Awesome team and all the support whenever needed,A bit of a disconnect between departments/divisions
49,Orbitz Worldwide,Challenging work with fun people - Work loads unbalanced,2016-05-27,3.0,Director,Challenging work and many talented individuals. Lots of collaboration.  Flexible work schedules for many groups.,Focus was a bit erratic at times.  Work-life balance was non-existent for some departments while others were successful.  Too many meetings.
50,Orbitz Worldwide,Great Company,2016-05-26,4.0,Market Manager,Working for Orbitz was an amazing experience. Very inclusive and great work life balance,The biggest con was the merger with Expedia. A lot of great people amazinf employees no longer had jobs.
51,Orbitz Worldwide,Good Place,2016-05-24,4.0,,"A lot of very talented and smart people, an entrepreneurial atmosphere and the ability to make an impact and see the result of your work.","Entrepreneurial atmosphere often led to duplicate efforts or inefficiency. Often, ideas were duplicated that may have been tried many months or even years prior. While things move fast, they aren't always documented for posterity."
52,Orbitz Worldwide,Good work life balance,2016-05-20,5.0,Anonymous Employee,Good work life balance and good culture,low pay and not good career path
