,company,headline,date,overall_rating,author_position,pros,cons
0,Outbrain,Great company,2022-04-10,4.0,Senior Account Executive,"- incredibly inclusive culture with great people
- company takes care of employees","- training is a little bit a 'learn by doing' culture and unstructured, but this is changing rapidly and for the better"
1,Outbrain,Nice Company,2022-03-30,3.0,Account Manager,"-relax environment
- flexible working terms","people are not saying ""Hi"" in the office (snubs and most of them are old)"
2,Outbrain,Environment,2022-03-23,4.0,Human Resources Manager,The environment in outbrain is very collaborative and supportive.,There is no cons to say.
3,Outbrain,outbrain,2022-03-17,5.0,Data Analyst,"good place, good people and nice atmosphere",No courses and no professional developments
4,Outbrain,Review,2022-03-15,5.0,Account Manager,"Great team, good management, decent salaries",Have not really found them.
5,Outbrain,"Great compony, great people",2022-03-11,5.0,MIS Manager,"Hybrid work, great DNA, nice people",No cons. Great place to work
6,Outbrain,"Amazing People, Amazing Culture",2022-03-10,5.0,Chief Strategy Officer,"No ego, no backstabbing, truly everyone tries to help you succeed at your job. People love working here because you work on world-class challenges, creating products that influence the lives of billions of people and you get to do it with the smartest, nicest people around.",The brand perception in some countries (like in the US) is not as respected and positive as it is in other countries around the world.
7,Outbrain,Great company,2022-03-08,5.0,"Director, Account Management",Worked for over 5+ years and still enjoying it.,No cons to flag here.
8,Outbrain,Recommended,2022-02-17,5.0,Software Engineer,"*nice and professional people
*Feels like family
*Company culture is awesome
*Engineering organization is one of the best in Israel
*Great place for parents , the managers give you balance when there are sick kids","*Compensation is lower vs other hi-tech companies, even with the company doing really well in profits . Everyone knows it and the management keeps promising it will improve , but it doesn't
*The product is click baits
*There is a lot of work because it hard to hire people because of low salaries"
9,Outbrain,Great,2022-01-19,5.0,Anonymous Employee,Great company from every point of view,"Salaries a little below the market average, but mostly compensated by the great knowledge that you get working there"
10,Outbrain,Great Culture,2022-01-17,5.0,Account Manager,"Great induction, friendly team and really good culture! There is good work-life balance and management is super supportive.",Salary package below average for the industry & benefits aren’t great
11,Outbrain,Great company,2022-01-10,5.0,Senior Software Engineer,"Good terms, great employer. Nice colleagues.",No company wide health insurance.
12,Outbrain,Amazing place to work for,2022-01-05,4.0,Techincial Support,Outbrain culture is something special,"Package can be better, bonus and options/ stock delivery."
13,Outbrain,You should be so lucky!,2022-01-03,5.0,Senior Business Manager,"Innovative space with a worthy mission and a great set of solutions for a wide variety of media clients.
Great culture with a strong team ethos and lots of opportunities to grow.
Value their team like company's prime asset.","Glass ceiling for individual contributors. 
Can come off a bit culty with their leadership team."
14,Outbrain,Great company,2022-01-01,5.0,Anonymous Employee,Fantastic environment & internal mobility.,Nothing specific to mention honestly.
15,Outbrain,Pros / cons,2021-12-30,4.0,Anonymous Employee,"Hybrid mode, Work-life balance, Amazing people, 
Innovative","Outside Tel Aviv
Low salaries compared to tech companies
Low amount of company events
Old office"
16,Outbrain,Great Company and people,2021-12-27,5.0,Devops Engineer,"Working Hybrid 
 flexible hours
Very good onboarding.
Great people",Office location are too far for me
17,Outbrain,"Great place to work, great people, perfect atmosphere.",2021-12-26,5.0,Full Stack Developer,"Great people, Great atmosphere, various technologies, interesting work, internal mobility, good salary.","No bonuses.
Can be better with extra benefits to employees."
18,Outbrain,Great company to work for,2021-12-16,5.0,Account Manager,"Great people, great culture, great work-life balance",Sometimes salaries are not very competitive
19,Outbrain,Amazing Place to work at,2021-12-07,5.0,Anonymous Employee,"An amazing place to work and to develop yourself in your career. 
Very respectful and smart people, great management that gives clear goals and honest feedback, a lot of opportunities for a personal growth and you can feel that the company really cares about their employee's wellbeing and work/life balance.","Honestly, so far cannot think of any."
