,company,headline,date,overall_rating,author_position,pros,cons
0,PCCW,Variety of Work Good Benefits Low Salary,2022-04-01,3.0,Technical Officer,"Collaboration opportunities with other companies and government
A variety of industries
Good benefits","Very low salary
Very little advancement in career
Too relaxed environment"
1,PCCW,Good company culture,2022-03-28,4.0,Business Development,"The colleagues are nice.
Can WFH regarding to the guideline from the government.",Low salary and won't got increased pay.
2,PCCW,Junior Solution Developer,2022-03-27,3.0,Solution Developer,Good environment at HQ. Elastic working time,"Low salary, no bonus at all."
3,PCCW,Good for retirement,2022-03-22,3.0,IT Manager,Stable and no much workload,Salary increment is very low
4,PCCW,Working at pccw,2022-03-21,4.0,Network Lead,Flexible and base salary is good,"Hr response very slow, can't make claims in time"
5,PCCW,Working at PCCW,2022-03-15,4.0,Senior Software Engineer,"Good compensation, nice working environment. work life balance.",Not much negative on this company
6,PCCW,HR Manager,2022-03-03,5.0,Human Resources Manager,Good environment. nice colleague. easy job,no career path. no challenging job
7,PCCW,Good,2022-02-21,4.0,Systems Administrator,Cozy enviroment and easy workload,Salary is not competitive enough
8,PCCW,Blue chip company,2022-02-19,2.0,Senior Officer,Great exposure and a dynamic company,Heavy workload. Package not commensurate with efforts.
9,PCCW,No Growth,2022-02-08,2.0,IT Architect,Not Much of benefits to mention,"No Growth and development opportunities, very old tech stack"
10,PCCW,Not a difficult job,2022-02-07,2.0,Assistant Content Creator,"casual attire, nice colleagues, job not busy","low pay, need OT, no bonus"
11,PCCW,No career advancement,2022-02-06,2.0,Business Development Manager,"There's a sense to job security in PCCW, doesn't matter what kind of economic scale is like outside, they will also give their staff a strong sense of job security","No career advancement, no promise bonus each year, long working hours, strong political manipulating"
12,PCCW,Producer,2022-02-05,2.0,Producer,It was free to let you create,working hours too long and no pay
13,PCCW,Good exposure,2022-01-27,4.0,Anonymous Employee,"- Competitive offer
- International exposure
- Trainings",- Increase is rare and less than 10%
14,PCCW,low benefit,2022-01-16,2.0,Anonymous Employee,giant company which contributes to ones portfolio,"Even if you've got bonus, part of them are given in company shares and the company requires you to finish a certain employment period to cash out, but i am talking about just a very small amount of money, it's not worth."
15,PCCW,Job review,2022-01-16,2.0,Help Desk Specialist,"Good management and friendly colleagues, work life balance","Unattractive salary package, lack of performance based rewards"
16,PCCW,SD Agent,2022-01-13,3.0,Service Desk Engineer,Good stepping stone to step into the technical field,"Limited break time
Impatient Operation Leads."
17,PCCW,"Stable hours,  work life balance",2022-01-13,3.0,Senior Product Manager,"- Stable hours
- Work Life Balance","- Conservative company
- Limited career progress"
18,PCCW,Good company to work,2022-01-11,4.0,Systems Administrator,Good working environment and colleague,Salary need to be revised
19,PCCW,bad,2022-01-06,3.0,Technical Officer,"big company, have sick leave","low salary, not up to date"
20,PCCW,Flexible working hours,2022-01-04,5.0,Solution Developer,"Great Environment ,cultre and flexible working hours","Less Salary , other than that evrthing is good"
21,PCCW,Underpaid,2022-01-03,1.0,Manager,"friendly colleagues, laid back work environment","no annual salary review, pays below market salary unless you make it to SVP/ C level"
22,PCCW,"Nice people around, but heavy workload",2021-12-24,3.0,Company Secretarial Officer,Nice and helpful teammates and nice supervisors,"Poor fringe benefits, no OT claim"
23,PCCW,New Job,2021-12-24,3.0,Senior Technical Officer,"Chill and relax, staffs are friendly","Slow and repetitive work, not ambitious"
24,PCCW,Worst then ever,2021-12-21,1.0,Engineer,"Nothing good , a lot workload & project throw","Too many cons to mention
Long work hour 
On site support 
Too strict 
A lot things have to report n check
Always middle person 
No prospect 
No proper structure 
No guide & steps on what to do etc 
TL can sudden jump to AOM kawan with OM Pull in 2-3 month. 
High turn over rate"
25,PCCW,Online,2021-12-17,1.0,Group Communication Manager,A work-life balance working style,"Unclear business direction
Direct-power management style"
26,PCCW,Repetitive work,2021-12-15,3.0,Anonymous Employee,Nice teammates and colleagues. Good for pre-retirement life.,Poorly paid. Still using Win95 system for some client data base '0'
27,PCCW,not good company,2021-12-05,2.0,Senior Specialist,work life balance and good medical insurance,low salary and poor career path
28,PCCW,No Career Progress,2021-12-05,2.0,PMO Analyst,"No Good, everything should be improved","Everything should be improved, please"
29,PCCW,Short term is fun.. Long term you may have to rethink again,2021-11-22,4.0,Senior Content Executive,"Well known local giant company
The Company's reputation can get you far
Great for networking","Old school management style
Always company first before staff welfare
Questionable HR department
High turnover rate"
30,PCCW,Good working environment,2021-11-12,4.0,Anonymous Employee,"- Colleagues are friendly, young and driven
- Good benefits","- Long working hours 
- Overload"
31,PCCW,Okay,2021-10-25,4.0,Analyst,"Interactive and team-heavy work involved
Lots of meetings",A Lots of individual work
