,company,headline,date,overall_rating,author_position,pros,cons
0,Paytm,Flexibility,2022-04-10,4.0,Assistant General Manager,"Freedom to make decisions
High growth",Market brand image is bad
1,Paytm,Overall good,2022-04-09,3.0,Senior Software Engineer,"1.Better job security
2. Good learning of security standards in app
3. Team Colleges are helping and good","1. Very less financial growth specially in last 3 years in mostly verticals ,average appraisal 6 percent

2. Bad appraisal policy, it takes almost 1.5 year to complete, even more if you join after december
3. Many good developers are leaving because of package difference as compared to growing industry"
2,Paytm,Good to work but Job security is not there,2022-04-09,4.0,Team Leader,Good Salary they provide.Working culture is good.Outings they provide.,Job security is not there.Too many employee they hire for same product in same location.
3,Paytm,Senior Growth Marketing Manager,2022-04-08,5.0,Senior Growth Marketing Manager,"Good work culture, amazingly talented people","Work is dynamic, which is good also if you're a hustler and want to learn"
4,Paytm,Cheap company playing cheap tactics,2022-04-08,1.0,Operations Associate,I wish I could take those years back that I spent at paytm.,Everything and anything that has to do with paytm is a con.
5,Paytm,Good work culture,2022-04-08,5.0,Territory Sales Manager,Good management must join paytm business,Work culture good place to work at paytm
6,Paytm,Work life,2022-04-07,5.0,Senior Key Account Manager,"Work life balance is good, and pays well for work",Will be field on roads all the day
7,Paytm,"One of the best places, i have worked till date",2022-04-07,5.0,Manager Marketing,Smooth onboarding and helpful staff,Till date nothing i have to to fill in cons
8,Paytm,good,2022-04-07,5.0,Junior Manager,bright future in best organization,no downside in paytm by myside
9,Paytm,Good experience,2022-04-07,4.0,Manager,"Good experience
Sat sun off
Nothing as such","Politics, low salary and no motivation"
10,Paytm,Paytm need improvemnt,2022-04-07,3.0,Anonymous Employee,Paytm is good in salary benefits,Work-life balance and culture need improvement
11,Paytm,Good Enough,2022-04-06,3.0,Software Engineer,"Good work and learning, Good wlb","Micromanaged, work on weekends, no benefits"
12,Paytm,Toxic work culture,2022-04-06,1.0,Software Engineer,1. Will pay you okay but please don’t join just because of this,"1. Toxic work culture, lot of politics.
2. Blame game is always on
3. No work life balance. You don’t left with life or soul if you work here
4. Micromanaging managers
5. Life’s hell after joining"
13,Paytm,Good,2022-04-06,3.0,FSR1,Good job for freshers only,No growth or promotion too pressure
14,Paytm,Not worth it,2022-04-06,3.0,Key Account Manager (KAM),"Nothing actually, its a total field job and salary is very less.",Where do i even start from.
15,Paytm,.,2022-04-05,3.0,Senior Software Engineer,good learning and real time exposure,poor work life balance and management
16,Paytm,Culture at paytm,2022-04-05,4.0,Anonymous Employee,"All departments are in a structured way, so work is divided.","Few, but one can ignore"
17,Paytm,Amazing place to work,2022-04-04,5.0,QA Engineer,"Work Life balance is totally amazing.
Supporting team members.
Amazing work culture
Manager support",Challenges in initial stage but our worth full for long run
18,Paytm,Great company to work for.,2022-04-04,4.0,Anonymous Employee,Great company to work for.,Work can be too much at times.
19,Paytm,Great,2022-04-04,3.0,Senior Quality Engineer,Transparency between team and seniors and HODs,"Work life balance issue
Very hectic schedule"
20,Paytm,Great,2022-04-04,3.0,Senior Quality Engineer,Transparency between team and seniors and HODs,"Work life balance issue
Very hectic schedule"
21,Paytm,Operations Executive,2022-04-04,3.0,Operations Executive,"Good Learning
Support from Leadership
Good opportunities","Low Pay
No work life balance
Extended hours"
22,Paytm,It is good company,2022-04-04,4.0,Anonymous Employee,Yes  i work in paytm for 2 months,But for some family problems i quit the job
23,Paytm,Great place to work,2022-04-04,5.0,Visual Designer,"Team culture, work-life balance, guidance, and support",Not found any cons there
24,Paytm,Prod based companies gives a good experience in every field,2022-04-02,3.0,QA Engineering,Paytm has diversity in work. You may be hired for one post but you will learn about every thing.,Less perks than other companies
25,Paytm,below average work environment,2022-04-02,3.0,Content Writer,Join if you seek no significant career growth and want to live from paycheck to paycheck with a laid back attitude.,"- Favoritism 
- Anyone can become a manager or TL even without having no team to lead or prior experience, training, or qualifications. 
- Lack growth 
- No room for ideas and creativity
- No quality monetary appraisals or increments for non-technical staff"
26,Paytm,GOOD,2022-04-01,3.0,Team Lead,You learn a lot as its is a growing org,NO work life balance for employees
27,Paytm,A corporate with startup DNA,2022-03-31,4.0,Vice President,"Authority, Independence, opportunity, responsibility are the way of life.",Becomes bit overwhelming as its not a typical corporate.
28,Paytm,we are working in sincearly,2022-03-31,5.0,Team Leader,paytm product is well in a day i was visit the market i told a merchant how is paytm producthe saying very well he keeping EDC machine Sound box and apreciate the our product,not at all its correct
29,Paytm,Great and Employee friendly,2022-03-30,5.0,Operation Executive,"Work culture is great and employee well being is always a priority in Paytm, an exceptional leadership team",Nothing Nothing Nothing Nothing Nothing Nothing
30,Paytm,good,2022-03-30,5.0,Manager,perks are very good here,politics is very bad here
31,Paytm,Not worth it,2022-03-30,2.0,Assistant General Manager,Good learning curve and peers,Lack of vision and mission
32,Paytm,Manager,2022-03-30,5.0,Manager,Nice to work in Paytm,None i dont see any con
33,Paytm,Wonderful Experiance,2022-03-29,5.0,Junior Manager,Our management is very supportive and helpful.,"NO company is perfect as there are lots of technologies, Rules and regulations are updating."
