,company,headline,date,overall_rating,author_position,pros,cons
0,Peloton Interactive,Was great for a litle bit,2022-04-09,4.0,Field Specialist,"Had good pay
good benefits
Good people working with each other","Management was inexperienced 
Hours were all over the place
Did not receive much help with anything"
1,Peloton Interactive,It was okay,2022-04-09,4.0,Business Specialist,"culture, compensation, and flexibility of job",Culture is kind of cult like
2,Peloton Interactive,"good pay, too many discrepancies",2022-04-08,2.0,Member Support Associate,pay and benefits / wfh,"favoritism, sales quota like atmosphere, terrible communication"
3,Peloton Interactive,RUN,2022-04-08,1.0,Warehouse Associate,"They have good parental leave,","Horrible, inconsistent management. Upper management was a joke who just barked unrealistic orders without ever stepping foot in a warehouse. 
They have no sense of how to spend money. Renting a massive building for a 20 year lease in NY when EVERYONE WORKS FROM HOME. like what? 
Their third party service is gonna ruin them for sure. Across the country these guys get horrific ratings and surveys. Members would say their rude, uneducated, left a mess, damaged their homes, came to “fix” a bike and then left it completely unassembled because they don’t know how to fix them. They wouldn’t wear masks at the peak of COVID, one of them told one of our members once that they only had a second grade education. These people are a mess and I feel bad for anyone who had their bike relievers or serviced by them"
4,Peloton Interactive,"Started off great, now another Amazon",2022-04-08,2.0,Brand Ambassador,Meeting and greeting new customers and not stuck at a desk 24/7.,"Driving around London and the south for hours on end with routes that are miles apart and illogical. Management that see you as just a number and expect you to be happy to after driving 12 hours a day, every day."
5,Peloton Interactive,Company misleading,2022-04-07,2.0,Manufacturing Lead,"Excellent pay, paid time off, parental leave, benefit packages, employee stock program.","Upper management is very misleading and secretive. Zero to no care for employees at bottom of the org chart. Upper management lies to lower employees about job status. Often will be asked to do the work of a salary employee, but will not get the pay for the job. Promotions are about who you know, not what you know. Its almost impossible to move up."
6,Peloton Interactive,Operations,2022-04-07,4.0,Anonymous Employee,"Benefits, Culture, Inclusion, Pay. Overall a very positive experience.",Upper management felt very removed from the operational teams. Better communication and transparency (especially when it comes to initiatives that directly impact the team).
7,Peloton Interactive,Generous Company,2022-04-07,4.0,Sales Specialist,"Great pay, good time off, benefits available. Good snacks and gifts sent often.",Poor management. Newer company that is still working out their business plan and they why behind what they do.
8,Peloton Interactive,Keep Looking,2022-04-06,2.0,Field Operations Supervisor,Immediate leaders were great to work for.,"Decisions made from upper leadership were poorly thought through and lacked evidence of effectiveness, company is a mess."
9,Peloton Interactive,Great company so far,2022-04-05,4.0,Business Analyst,"- Company culture amazing, community, and D&I programs
- Work-life balance",- Management fluctuations and re-orgs and possible layoffs.
10,Peloton Interactive,Good place,2022-04-04,4.0,Field Operations Specialist,Good place to work at,New company in the making
11,Peloton Interactive,Great Company,2022-04-04,5.0,Operations Coordinator,"Very inclusive workplace. Great morale and the work is every changing, always keeping you on your toes.",Nothing to complain about. The recent layoffs have been difficult.
12,Peloton Interactive,Ok temporary job,2022-04-04,3.0,Anonymous Employee,"decent commission, fun co-workers at ground level",too much virtue signaling was patronizing
13,Peloton Interactive,Missed Opportunity,2022-04-04,2.0,Sales Specialist,"Pretty good store culture, flexible work schedule, used to have pretty good pay","Absolutely clueless middle and upper management, change for the sake of change, corporate completely out of touch with retail. Dead end job with no opportunity for growth or advancement on any level."
14,Peloton Interactive,HR team in need of love and attention!,2022-04-04,2.0,Humam Resources Specialist,Good pay and benefits. Great perks!,HR Leadership was disconnected from the team and we were often being asked to do more with a lack of resources and support. Team meme era were going above and beyond on processes and policies only for them to get stopped at the leadership review process.
15,Peloton Interactive,Field Specialist at Peloton,2022-04-02,4.0,Anonymous Employee,"flexible, great co workers, great benefits","inconsistent work, lots of driving"
16,Peloton Interactive,Great Company for Learning Everything,2022-04-01,5.0,Field Operations Supervisor,"Great Benefits.
Culture is good.
Positive outlook.",- Communication is poor. The customer facing has no visibility of the future.
17,Peloton Interactive,Freaking the Best,2022-03-30,5.0,Sales Specialist,"I've been in retail for over 20 years and this is one of the best jobs I have single handly ever worked. The base pay is great, the commission structure is fair and the hours are super easy for work , life , balance.",If you're wanting to move up there is a lack of upward mobility but if you just want to make a ton of cash it is a great job for that.
18,Peloton Interactive,Showroom Sales,2022-03-30,3.0,Sales Specialist,Supportive of growth and encouraging management,Sales targets slightly unrealistic and company processes don't always make sense.
19,Peloton Interactive,no job security,2022-03-30,2.0,Field Operations Coordinator,"good benefits, good pay, schedule flexibility","too political, no job security"
20,Peloton Interactive,Amazing company with room for growth,2022-03-29,5.0,Field Operations Team Lead,Positive environment with the most amazing culture.,The are no cons to working there.
21,Peloton Interactive,Great Product/Mission - Poor Execution during/post COVID,2022-03-29,4.0,Manager,"- Strong mission + values
- Amazing product + brand (high engagement, low churn)
- Customer centric + focused
- Lots of smart folks passionate about their work
- Great benefits + desire to build a great company/culture
- 100% YoY growth prior to COVID","- Indecisiveness at the top level often reversing decisions
- Lack of accountability in the org or ability to learn from failure
- Compensation not consistent across teams + roles"
22,Peloton Interactive,life at peloton,2022-03-28,2.0,Certified Service Technician,pretty good until they decided to layoff half the company out of nowhere because of their mistakes,"layoffs out of nowhere
unreliable
not worth it in th long run"
23,Peloton Interactive,Loved the people but the company is a mess internally!,2022-03-28,3.0,Talent Acquisition Coordinator,"I loved my co-workers, awesome people! I will absolutely stay in contact with most of them for a very long time. I only ever worked for Peloton during Covid, fully remote. Went into the Plano office 2-3 times, it was a ghost town. I went for the  free snacks and drinks if I'm going to be honest. I learned a ton though and enjoyed most of my time at the company as a whole!!","The company is so unorganized internally, I had 5 different managers in the span of a year and a half. Not a lot of communication from higher-ups. If changes were made, they were made instantly with no heads up what so ever. In the end, the company became about ego instead of putting your head down and doing the work. On top of all that, I was unfortunately laid off. I found out morning of when I opened my work laptop and didn't have access to ANYTHING."
24,Peloton Interactive,Incredible Company,2022-03-28,4.0,Sales Expert,"A lot of the staff are amazing, products are incredible, lots of benefits and the culture and ethos of the company is fantastic.","If you're looking for financial security each month, the commission can change greatly from month to month, and showroom to showroom due to footfall. This won't be for everyone."
25,Peloton Interactive,great,2022-03-27,5.0,Sales Specialist,great time working for this company,none that I can think of
26,Peloton Interactive,Great but also... a mess?,2022-03-25,4.0,Program Manager,"Tons of opportunity to create and build, great product, great people for the most part",Organizational missteps leading to massive layoffs
27,Peloton Interactive,Leadership not aligned,2022-03-25,2.0,Business Analyst,Culture and people are progressive,"Leadership at the highest level does not set goals, meaning each team is working on many different projects but it's not clear how they connect to a company goal or mission"
28,Peloton Interactive,Amazing place to work,2022-03-24,5.0,Sales Associate,"Great benefits, compensation for sales, healthy work environment",Can be stressful at times.
29,Peloton Interactive,Great Pay and Benefits - Massive Confusion and Tone Deaf Mgmt,2022-03-23,2.0,Program Manager,Good people to work with as well as good comp and benefits,"Major disconnect from Executive to Team
Reckless decision making 
Lack of transparency"
30,Peloton Interactive,Love it!,2022-03-23,5.0,Anonymous Employee,The workplace culture is wonderful.,The processes can be hectic.
31,Peloton Interactive,Amazing,2022-03-23,5.0,Operations,The best job I ever had,Nothing much to say to be honest
32,Peloton Interactive,"Buckle up, rough times ahead",2022-03-23,2.0,Team Leader,"Great co-workers
Good benefits
Decent pay","Poor leadership at HQ in New York
Tuesday to Saturday schedule
No flexibility to work remotely when needed"
33,Peloton Interactive,"Awful, Lying management.",2022-03-23,1.0,Warehouse Worker,"Co-workers were awesome, they loved working for peloton.",Management lied constantly about the state of the company and fired our entire warehouse. Terrible place to work now and in the future. Will be bankrupt soon.
34,Peloton Interactive,Peloton,2022-03-22,4.0,Engineer,"flexible working hours, free snacks",The former top management steered to the wrong direction
