,company,headline,date,overall_rating,author_position,pros,cons
0,People Group,Manager,2022-03-03,5.0,User Experience Designer,Very good company. And awesome work culture & values.,nothing I noticed . Everything is nice.
1,People Group,Digital Marketing,2022-02-28,5.0,Associate,"-Lots to learn
-Great people
-Great salary",-No cons as such to mention
2,People Group,Great opportunity to learn and good work life balance,2022-02-26,5.0,Manager,Shaadi provides you with a platform to learn new technologies and implement them. Here you grow alongside the company.,Never faced any cons as of yet.
3,People Group,One of the Best Places to work,2022-02-22,5.0,Senior Product Manager/Product Manager,"- Management puts faith in you and gives complete ownership
- You have the flexibility to manage your work and time
- Friendly culture. Celebrate Wins and Learn from Losses.
- New ideas are appreciated and everyone is encouraged to think of something new
- No rigid hierarchy. No doors - you have ears of everyone
- Great compensation and work life balance",Nothing I can think of
4,People Group,Work Environment,2022-02-18,4.0,Software QA Engineer,"1. Very Helpful environment to work with.
2. Will come across various technologies to test API and web.
3. Focus is given on automation as well.
4. Friendly and supportive environment",No cons have been seen yet
5,People Group,great place,2022-02-14,4.0,Data Engineer,"nice enivornment, felxible work hour",as such now i didn't faced any cons but obviously there'll be something related to that
6,People Group,Positive tech culture,2022-01-31,4.0,Senior DevOps Engineer/Build & Release Engineer,"- Company is growing so there are opportunities that might not immediately exist
- Company provides regular communication, listen to and consider new ideas, and continually encourages growth, both personally and professionally
willing to share (you typically don't get such easy access and support)
- Our clients are real-time users and we are doing incredible things that impact them directly. That's powerful! (and fun to be associated with)
- This is a place you can call home; many employees have been here a long time which allows deep integration into the business and the ability to create pathways to success for others","No company is perfect. While we grow, there are things that are evolving (updating
technology, formalizing procedures, etc.) that come along with any
growing company. It's important to not get hung up on what's wrong, but to focus on
what is happening that is right and the progress in actions (not just words) that support
that. With this growth is an opportunity to define the future and the role you play in it.
That mindset is rewarded at People interactive."
7,People Group,Great Company..Good People,2022-01-31,5.0,Associate Quality Engineer,"people , culture . .",none . . . . .
8,People Group,Best company,2022-01-26,5.0,Tele Sales,Friendly and quality and nice behaviour also,I will thankful to gave me an opportunity to prove my skills
9,People Group,CEO is Awesome,2022-01-24,2.0,Anonymous Employee,"Just Because of the CEO and Good People the ratings and Reviews are good.
working from home is a good option.","Scrum masters of Shaadi Tech Team is Dominating , Lots Of Bad Gossips which is not good for any ones career and mental health,
Team HR & VP please look into this matter, Rest everything is Good."
10,People Group,Good,2021-12-24,3.0,Anonymous Employee,"Good culture, data based decision making",Not thatvi can think of
11,People Group,Great experience !,2021-12-04,5.0,Product Manager,"Good work culture
People are supportive 
Lots of learning
Flexible",Can’t think of any right now
12,People Group,Good place to start,2021-11-23,3.0,Anonymous Employee,Work culture here is quite descent,Salary can be on little higher side
13,People Group,lkn;n,2021-11-22,3.0,Anonymous Employee,not too shabby to work for,not many to think of
14,People Group,Good employee centric company,2021-11-18,4.0,Senior Vip Consultant,"Payments on time, employee centric,","Work Pressure, stressful sometime to deal"
15,People Group,Great place to work,2021-11-16,5.0,Management Trainee,"Good work culture, Supportive team members, freedom to use different technologies and decent pay.","Nothing in particular, all good."
16,People Group,Great Experience,2021-11-14,5.0,Senior Team LEader,"Supportive colleagues, Good work culture, Lots of resources, Good salary, and challenging work which provides a steep learning curve. I have an opportunity to go through MT program, helps in lot of ways to understand business and work culture.","The pace at which this organization works, responsibilities might get overwhelming at the beginning."
17,People Group,Great place to work,2021-11-11,5.0,Anonymous Employee,"Environment, culture, work, pay - all amazing.",None none none none none
18,People Group,Work Culture @People Interactive,2021-11-10,5.0,Senior Team LEader,"Very good management training program, it has given me good exposure to different vertical of the organization. which has helped me to understand the working of the entire organization. 
Really liked overall work culture of the team here, the team here does not expect you to work during your off time (can be leave or week off)","At the start with the responsibility the requirements are little overwhelming. I guess this is not specific to this organization, it happens with everyone at the start of the career joining any organization"
19,People Group,Great Company to work with,2021-11-10,5.0,Associate Product Manager,"Good In Hand Salary
Helpful team members
Good Work Culture
Work Life Balance
Good Career Growth opportunities
Good Training Program","No variable Component in the starting (All fixed)
I personally don't like Mumbai, so location is an issue."
20,People Group,"Good company, good people",2021-10-29,5.0,Anonymous Employee,"No politics, no power centres",No particular cons that I can think of really
21,People Group,Company is Good,2021-10-13,2.0,Anonymous Employee,"Good company,HR taking good initiative to make the work culture more decorative.

Good opportunity to learn.","Scrum masters is too dominating, supporting Nepotism in near future,

Scrum masters is holding a responsible hand in the iteration rate of the employees.

Lots of Gossips which makes the environment filthy."
22,People Group,Good,2021-10-12,5.0,Anonymous Employee,Good place to work great place to work,Nothing that I can think of as of now
23,People Group,Work culture and learning,2021-09-27,5.0,Data Scientist,Get to explore data science very well.,"Believe no cons as such. If you love the technical roles, you will love working here."
24,People Group,Good opportunity,2021-08-31,4.0,Associate Manager,Good environment and positive people,"Not much,everything is great, people are good here!"
25,People Group,Great place to work at,2021-08-25,5.0,CEO-Founder,"- culture
- learning curve
- stability
- commitment",can move faster ... but getting there
26,People Group,Good,2021-08-22,3.0,Senior Product Advisor,"You can get so much learnings if you are a good learner.
Salary on time.","Work pressure is bit high.
Low Management."
27,People Group,Awesome place to work!,2021-07-30,5.0,Human Resources,It has a great working culture.,There is nothing as of now.
28,People Group,Good and Reliant,2021-07-19,4.0,Senior Product Advisor,"The best part is that the company makes you feel like your are a part of its family. There are multiple drives to ensure safety and well being of its employees. The salary is on time always, jo matter what the situation, the best environment to learn and work as a team. I am in the sales team, I hope needless to say the work n life balance is not that great, but I am never disturbed while on week off. Best place to earn and learn","I stay far from where I work, ai just wish if there were any travelling facility provided to employee's working for international clients."
29,People Group,An ideal workplace to learn and grow,2021-07-19,5.0,Human Resources,"1. People-centric policies
2. Helpful colleagues
3. Opportunity to learn new things
4. Growth potential is high
5. Tax friendly salary structure",None that I can think of as of now.
30,People Group,Very good,2021-07-09,4.0,Data Analyst,Given Excellent jon opportunity and  promotion,Found New Challanges and achieve your goal
31,People Group,Amazing company but forget work life balance if joining sales team,2021-07-08,3.0,Membership Sales Counselor,"Amazing environment, lots of employee benefits",Management needs to be strong especially the HRteam
32,People Group,Nice Company to work with,2021-05-20,4.0,Senior QA Engineer,"Nice culture , Professional Environment, Learning","NO as such , Environment was good"
33,People Group,This job is so beautiful  and the management is excellent,2021-05-12,4.0,Sales Associate,"Good work environment, and management is so supportive",There is not much growth in this organization
34,People Group,Excellent Place,2021-05-12,5.0,Product Manager,Great place to work for starters.,No cons that i can think of.
35,People Group,Great Place to work,2021-05-11,5.0,Product Manager,"High ownership
Product Driven Org
Good work life balance","Saturated Market Potential
Lower pay scale"
36,People Group,Taking care of Pan India offices.,2021-05-11,5.0,Senior Team Leader,It is very supportive for all of us.,I don't like politics in the organization.
37,People Group,Best company to work.,2021-05-11,5.0,CRM Senior Consultant,I am blessed that I am working for People's group. It's not just a company but a family.,No Cons at all. Everything is fine.
38,People Group,Nice work culture,2021-05-10,4.0,Quality Executive,did not find any till date..so cant mention,its a wonderful organisation to wrk with. nice work culture and nice pay scale.
39,People Group,People Group,2021-05-06,5.0,Sales Executive,Nice Company Learn a lot from this company,I think company has to improve a little bit in screening of profile ..
40,People Group,That is the best company,2021-05-03,5.0,Senior Product Advisor,"Get Good Salary, Healthy Environment.",Proper Weekly Off Not Getting.
41,People Group,Good company,2021-04-14,5.0,Sales Associate,its a good company and also good people,no nothing as much all good............................
42,People Group,Lack of good leadership in tech and no focus on improving technically,2021-04-13,2.0,Software Engineer,"The scale at which they operate is great

Work-Life Balance & Leaves is good","Technically they still operate largely on the legacy code and hacky approaches are still preferred to make it work. Hence no chance to learn after a point.

Compensation & hikes are below average

Focus is only on the product side, whereas technical innovation is not encouraged

A lot of credible employees have left the organisation including the CTO and the old employees make sure to work in a way to safeguard their position using internal knowledge"
43,People Group,Happy,2021-04-07,5.0,Technical Support Engineer,Great Place to work and grow,Long hours to and develop
44,People Group,centre manager,2021-03-09,5.0,Centre Manager,"its a nice experience with People Group , I knew all loopholes and aspects of this company..",Internal Promotion happened but salary will not correct
45,People Group,Good Place to Work,2021-03-08,4.0,Lead Engineer,"- Good work culture
- Good work life balance
- interesting work","- Leave policy can be employee friendly
- Compensation can be eased out"
46,People Group,Over all best place to work,2021-03-01,5.0,Senior Software Engineer,"Learning, vision, leaves , f3",Nothing as such to mention
47,People Group,Good place to work,2021-02-19,4.0,Team Leader,"Good working environment, helping people.

job security",Nothing as such.. just lots of work load.
48,People Group,N/a,2021-02-16,3.0,Senior Executive,Good Company to start with,not worked long enough to be able to comment on this
49,People Group,Good but slow,2021-02-15,3.0,Team Lead,Nice work environment cool and lot to learn,slow growth rate for everyone. monotonous
50,People Group,Creative work place,2021-01-20,5.0,Anonymous Employee,great leadership cascading down the line,none for now.. generally good
51,People Group,AAAAA,2021-01-16,4.0,Tax Associate,"Great learning, good Salary, good enviornment","late seating, pressure, no proper system"
52,People Group,Good Place to work,2021-01-14,5.0,Senior Engineering Manager,Innovation & working on new things,Nothing such to highlight here
53,People Group,Great!!!,2021-01-13,5.0,Junior Systems Administrator,A good place to work,none great place for in my time there.
54,People Group,Good company,2021-01-13,4.0,Administrative Assistant,5 star team work good company,Long hours no other cons
55,People Group,Good culture,2021-01-12,4.0,Anonymous Employee,good culture & best practices,Not sure. Do not have anything to say
56,People Group,Good company,2020-12-29,5.0,Sales,"- Good company
-good colleague
-salary on time",nothing as such..................................... good company
57,People Group,Technically Good Company.,2020-11-26,2.0,Anonymous Employee,"Company is good.also the working environment.,","Backend Guild QA pretend to do work, but not contributing a satisfactory work.
The QA head is good hope everybody is recognised on the basis of their work done."
58,People Group,Good going.,2020-11-26,3.0,Anonymous Employee,"Company is good, Best technology to work with..",Back end QAs of guild should be guilty for not doing any work.
59,People Group,Going good,2020-11-05,5.0,CRM Executive,"'It's great people that make great companies! 

True for this company","Nothing as such, everything is fine"
60,People Group,customer healing,2020-11-05,5.0,Sales Advisor,"amazing filed , good opportunity for growth.","limit opportunity , some limitation"
61,People Group,Good company,2020-11-02,5.0,Product Advisor,I have worked this organisation last 4 years very enjoy to work this process senior also very supportive and caring we have make a new good friends on this organisation,Not any downside are now
62,People Group,Think before you leave,2020-10-15,4.0,Technology Lead,"its a good company, always welcome you with open arms","old peopla re still same, need new managers and new process."
63,People Group,Working at Shaadi.com,2020-10-13,3.0,Anonymous Employee,"*good work culture
*polite seniors
*great work place for learning","*hard to get promotions
*uneven hierarchy"
64,People Group,Nice,2020-09-28,3.0,Customer Support Representative,Amazing Place to learn and grow,Ther are no cons as such
65,People Group,No,2020-09-24,5.0,Administrator,Good atmosphere in the office,no flexibility and rigid working hours
66,People Group,Sales,2020-09-24,5.0,People Group,"good colleague, 
company is good","too much pressure, managers are giving pressure"
67,People Group,Good  working environment,2020-09-23,4.0,Manager,Good team and can get chance for learning new skill,No cons ..but workload is there
68,People Group,Good work environment with learning opportunities,2020-09-22,4.0,Human Resources Executive,"senior support
Interactive employees
learning based approach",No downsides but there is always room to make things better over time.
69,People Group,Good place to work,2020-09-11,4.0,Senior Software Engineer,"Friendly work environment.
Good salary.
Fun loving people to work with.",I have not encountered anything.
70,People Group,A great place to work with,2020-09-03,5.0,Centre Manager,"As an organization shaadi.com is an employee friendly organization which values each team member be it support staff, front level sales force or mid/senior level. The seniors themselves lead by example
Each employee can reach to any of the system hierarchy and is being heard without any prejudice.
All types of support is being offered being it mental welbeing or physical . Their policies takes care of their family as well.",no cons for me all pros
71,People Group,----,2020-08-25,4.0,Team Leader,"Great management to work with, perks",Appraisal system and salary increment
72,People Group,Great place to work and grow,2020-08-18,5.0,Team Leader,"Working here for mare than 7 years, I have say that the environment is great and have learnt a lot here. Management is very helpful.",None that I can think as of now.
