,company,headline,date,overall_rating,author_position,pros,cons
0,PokerStars,Not great not terrible,2022-04-05,4.0,Product Owner (PO),"Security, okay pay, working with good tools",Bad retention policy which leads to great employees not being valued
1,PokerStars,Great,2022-04-05,5.0,Software Developer,Everything is great working here,Nothing is bad working here
2,PokerStars,Just ok,2022-04-02,3.0,Project Manager,Good benefits and flexibility when comes to work,Poor HR. Toxic environment and a lot of false people.
3,PokerStars,Unable to deal with bullies,2022-03-18,1.0,User Exerience Designer,"Good employee benefits, you could tell that the senior management really did want to look after the staff. There was a lot on diversity and inclusion and I believe that there was a real intent to do the right thing. I thought senior management came across very well in meetings.","When I worked at Poker Stars there was a culture of bullying in our team, which was not addressed properly at the time. There is very little female leadership and I felt that my gender had a large amount to do with how I was treated."
4,PokerStars,Good,2022-03-16,5.0,Adimistration Assistant,"Stability, good benefits, people, multiple locations","Every location has a different perks, would be good if Leeds had more option - buying holidays or flexible working. Still we have managers who thinks 9 to 5 is the only way of working."
5,PokerStars,PokerStars review,2022-03-15,5.0,Anonymous Employee,Competitive annual bonus system amongst other pros,From time to time might get into micromanagement too much in some areas
6,PokerStars,more pros than cons,2022-03-12,4.0,Knowledge Specialist,"Great health insurance, work systems adapted very well to covid, nice extracurricular activities.",Annual salary increases are minimal.
7,PokerStars,"So far, so good",2022-03-07,5.0,Site Reliability Engineer,"Excellent pay
Employee care
Great Colleagues
Good benefits
Great people","Bad inter-culture
Slow transition
Lack of resource"
8,PokerStars,The Bonus calculation changes a lot,2022-03-03,3.0,Software Engineer,"good employee insurance， and used to have cafeteria(but WFH right now, so don't have now)",Two many senior management changes and senior technology guys leave. bonus calculation changes a lot
9,PokerStars,Great place to work,2022-03-02,4.0,Product Owner,"Takes care of the employees 
Flexible ways of working",No visibility on salary grades and promotion structure
10,PokerStars,pok,2022-02-28,4.0,Poker Dealer,"good, easy work, great atmosphere, peer help","too much work, not up to the mark"
11,PokerStars,Really enjoyable company,2022-02-23,5.0,Quality Specialist,"Easy going environment, friendly management, many perks.","Constantly changing, no free food :), I don't really have anything to complain about. Just filling in the words

Well, to be fair, salaries could be better. Dublin is extra expensive and inflation is not taken into consideration when salary increases are given."
12,PokerStars,Customer Support Chat Specialist,2022-02-17,3.0,Customer Support Chat Specialist,"friendly and helpful colleagues, team spirit",no flexibility in measuring achievements
13,PokerStars,Great company to work for,2022-02-15,5.0,Operations,"Salary, work/life balance, health insurance, yearly bonus","For me, i think the system is working great"
14,PokerStars,Good times,2022-02-05,4.0,Customer Support,Good times opportunities for growth,None that I can think of
15,PokerStars,Overview,2022-02-01,5.0,Senior Customer Support Advisor,"Relaxed office environment
Fair compensation
Diversity and inclusion on a high level",No systematic career development plans
16,PokerStars,Nice workplace,2022-01-29,3.0,Anonymous Employee,Company is nice to work. Your suggestions are taken seriously and you have opportunities to speak up.,The company is really confusing and messy. Sometimes you dont who to talk to
17,PokerStars,Job Overview,2022-01-26,4.0,Operations Manager,Great pay in the Poker industry. Social job with ability to network with powerful people,"Bad for your personal life, a lot of weekend work etc"
18,PokerStars,A great company to learn and grow,2022-01-26,4.0,Data Analyst,"Work-life balance
Decent pay
Great learning opportunity
Health Allowances
Quarterly Reward cards","Have not seen yet
Have not seen yet
Have not seen yet
Have not seen yet
Have not seen yet"
19,PokerStars,Great place to work,2022-01-22,5.0,Anonymous Employee,"Great team, great peers, many learning opportunities",Salaries should reach market standards
20,PokerStars,Went downhill quickly,2022-01-18,2.0,Director,"Great people
Great benefits and salary",Chaotic management driven by personal goals rather than wider company success
21,PokerStars,Review,2022-01-11,5.0,Anonymous Employee,"Great work. Decent salary,Good management",The hike is very low.
22,PokerStars,Good place to work,2022-01-03,3.0,Anonymous Employee,"Stability, top position in the field, career development opportunities",Old school tools and processes which need improvement
23,PokerStars,reviewing bets,2021-12-23,1.0,In Play Trader,work from home and support from managers,broken tools and systems. Old tools that need to be changed
24,PokerStars,One of the best coompany to work with,2021-12-22,5.0,Customer Verification Advisor,"Best work environment and amazing guidance and motivation.
Very friendly management and seniors.
Amazing HR specially Zara, she be the best.",Can improve in shifts and work balance
25,PokerStars,Great place to be at,2021-12-06,5.0,Tech Specialist,"Guidance
Benefits
Team spirit
Management
Ease of work
Able to manager your own tasks and duties.",Can be a bit time restricted when comes to booking holidays depending on your department.
26,PokerStars,The best place to work,2021-12-04,5.0,Customer Verification Advisor,"Employee friendly
Perfect Work life balance
Flexible shifts.
Competitive salary.",In india its registered as LLP which might be a drawback if any one is looking to apply for a personal loan from a bank.
27,PokerStars,Good company and culture,2021-12-02,4.0,Software Engineer,"- Great office (Leeds)
- Good leadership
- Learning and Development time (half day per week)
- Agile-first 
- Remote working","- Poor annual leave policy (no buy / sell, max 5 day carry over limited to only 3 months)
- Opaque salary banding / progression"
28,PokerStars,Great company,2021-11-23,5.0,Program Manager,Excellent benefits and good work environment,No cons. Excellent company to wirk
29,PokerStars,Good company with a lot of opportunities,2021-11-15,4.0,Project Manager,"Many challenges that you can learn from 
Good opportunities
Stable company growth and development
A lot of special technological features
Good compensation","Lack of full-scale PM experience some PMI areas are missed
Challenging and demanding environment - too busy sometimes"
30,PokerStars,Verifying documents for customers to play online,2021-11-15,5.0,Customer Verification Advisor,Amazing staff and good support,I want to grow more than just verifying documents.
31,PokerStars,Thankless Work,2021-11-11,3.0,Marketing,The people and the perks!,Impossible deadlines and unreasonable management
32,PokerStars,Good Place to work,2021-11-09,4.0,Manager,Nice people and good culture,Difficult to move forward realistically
33,PokerStars,Very good,2021-11-08,5.0,Customer Support Specialist,"Flexibility, vending machine, gaming room","tight targets, big expectations, office location"
34,PokerStars,PokerStars,2021-11-06,4.0,Account Specialist,Cool office and fun activities,"Somewhat inadequate management, many incompetent employees"
35,PokerStars,Good company with overall good salaries,2021-11-03,4.0,Fraud Investigator,"Good salary, a lot of training, they keep you advised about what is happening in the company.",If they could pay for trasportation pass would be perfect
36,PokerStars,Night Shifts,2021-11-02,3.0,Fraud Analyst,"Salary is not the worst, benefits are okay, comfortable office","Unorganized, tiring shifts (11h per shift), schedules changing on short notice without any consideration for the employees"
37,PokerStars,poker,2021-10-27,3.0,Poker Player,The freedom of work hours,The unreliability regarding the future
38,PokerStars,Great employer,2021-10-13,5.0,Senior Software Developer,"Work life balance, benefits, salary",Company has recently been acquired
39,PokerStars,Good,2021-10-05,4.0,Anonymous Employee,"Salary 
Work / life balance
Nice people","Lack of progression
Budget changes last minute"
40,PokerStars,IT Manager,2021-10-03,5.0,IT Manager,"Great benefits, above average salary",Can be expected to work longer hours
41,PokerStars,"""Problem Analyst""",2021-10-01,4.0,Quality Assurance Analyst,"Friendly people, free lunch, great benefits",Recently acquired by Flutter entertainment
