,company,headline,date,overall_rating,author_position,pros,cons
0,QuintoAndar,Great place to work,2021-08-20,4.0,Product Management,"Work is great, people have autonomy and flexibility to make decisions. Top management and C-Level are accessible and easy to reach out. Smart people who achieve great results. Product culture is great, with lots of room to innovate, fail and learn.","Fast paced company which is heavily results-oriented, and with aggressive goals and timeline. It can be stressful for some people"
1,QuintoAndar,"Fast paced environment, good learning",2021-08-04,4.0,Software Engineer,"Great people, plenty of growth opportunities, a lot of different projects experimenting with new technologies and frameworks. Good feedback culture","Priorities can change fast, team structure also changes a lot, what can impact the overall productivity. Although there were some moments when everyone's work was shared, I felt that the teams could interact more with each other"
2,QuintoAndar,best place to work,2021-06-04,5.0,Marketing Manager,very good place to work and learn,none that I can think of
3,QuintoAndar,Best place to work,2021-06-01,5.0,SRE/DevOps Engineer,"Great salary, great tech stack.",No bonuses or Participation PLR
4,QuintoAndar,Loving the Company,2021-05-31,5.0,Operations Manager,"Great culture and outstanding team,","No bonus or PLR, could have better benefits"
5,QuintoAndar,It's a company that helps you to develop hard and soft skills.,2021-01-20,4.0,Performance Analyst,"a lot of learning, and carrer development",management team with less knowledge than ops.
6,QuintoAndar,Very welcoming and digital environment,2020-11-20,5.0,People Partner,People are really welcoming and open to new ideas. Zero bureocracy and not hierarchical. I feel my voice heard and I can see and feel the value of my work.,"It still lacks some structures and organization, but again, still a startup and we are learning."
7,QuintoAndar,Nice place to learn and work with great people,2020-03-18,4.0,Product Designer,"- Gentle and fun coworkers
- Nice place to lear about data science, analytics, product development and startup culture","- the company is too big, that means you won't have a cozy environment to work, won't know everybody
- silos"
8,QuintoAndar,Content Designer,2019-10-28,3.0,Anonymous Employee,"Ambient, team, resources and benefits.",Design is not a priority. Decisions based on profit.
9,QuintoAndar,a good place to work,2019-10-18,5.0,Software Quality Assurance Analyst,"good workplace and good team, its good to work here",career plan is weak and they only think about the software engineers
10,QuintoAndar,Lead Software Engineer,2019-05-13,5.0,Lead Software Engineer,"Great place to learn and impact people. A great business that has a striving culturee, with full of space to develop and learn",Lt of different contexts can be exhausting sometimes.  You need to be ready do learn quickly and adapt fast.
11,QuintoAndar,"Great culture, terrible recruitment and compensation",2019-04-12,4.0,Customer Experience Analyst,They are very good at doing what they say culture wise. The overall feeling in the company is quite good. They have a unique business (for now at least),Compensation is low for what they expect and comparing to other startups. Benefits are good but would do better increasing salaries.
12,QuintoAndar,Software Engineer,2019-01-20,5.0,Software Engineer,"Fast-paced environment, teams with tech enthusiasts who thrive for quality and impact.",I have no cons until now. The company seems very preoccupied in keeping the good environment and people motivated.
13,QuintoAndar,"Good colleagues, boring problems",2019-01-16,2.0,Software Engineer,There are some really good software engineers and leaders among the staff,The company isn't techonology focused
14,QuintoAndar,ok,2018-12-16,2.0,,good company but has some trouble finding a business model,good colleagues but no opportunities to grow
15,QuintoAndar,Great opportunity!,2018-12-14,5.0,Anonymous Employee,"- We´re focused on doing something that the market has never seen, so that gives you the opportunity to think about different processes and ways to do your job - you wouldn't find that in just any company. 

- In here, the best idea is the one that we implement, so it doesn't matter you level or experience, if you have a great project and you prove that it'll solve one of our problems, you'll be able to structure it and see it happening

- You'll have the opportunity to think. We don't do stuff only because it's cool, we have a mindset of solving big problems, and in my experience that made me a lot more racional and structured when I think about new tasks or projects 

- We care about our people and you'll see it daily. More than partners, I have friends in here and that makes work something nice. I come here with a big smile knowing that I'll make a difference on someone elses day.","- For sure, we still have a long way to structure our processes, we are learning and iterating every single day - and sometimes I have a feeling that we could plan a bit more 

- Everything happens very fast, so if you're used to slow processes you'll probably find it hard to addapt - things change within hours and that demands a positive vision of change from our teams :) 

- We still have a lot of problems to solve! And obviously we cannot attack all of them at once... So you have to be patient and aquire the mindset of solving what's biggest and have the biggest impact 

Despite the fact the we have a lot to improve, that only makes us more motivated to keep on going and thinking things in a way most companies woundn't :)"
16,QuintoAndar,Possibly the best startup to work in Brazil,2018-07-15,5.0,Software Engineer,"Work-life balance, transparent management, investment sugar, internationally looked upon, socially impactful content.","Grew too fast and in a inconsistent way. Seems like a ""garage startup"" in some crucial points, while being mature in other ones."
17,QuintoAndar,One of the best startups in BRazil,2018-06-30,4.0,Data Engineer,Great culture and people working there,Weird career path and constant shift in organization
18,QuintoAndar,"High level people, great challenges and huge level of autonomy!",2018-06-18,4.0,Anonymous Employee,Working at QuintoAndar is such a huge opportunity to go further in your professional career. Everyday we deal with many challenges to keep our stakeholders satisfied. We have the autonomy to take decisions with responsabilities and we are always prepared to solve the problems that appears with a dream team supporting every part of the proccess. And we are constantly stimulated to take these decisions to make our work as good as our services.,"Sometimes we tend to feel a little far for being based in other cities, but always try to stay close in online meetings and with a great coordinator that keeps the team together."
19,QuintoAndar,"Amazing, challenging, and fast paced environment",2018-06-14,5.0,Product,"+ By far the best team I've worked with. This is widely known in the market, other companies barely interview you before making an offer when you work at QuintoAndar.
+ Challenging. We are the first company to offer an end to end rental experience, and there is no one we can copy or benchmark in most of what we do. You have to be good, and you have to work hard if you want to succeed.
+ Brutal transparency. Everyone is surprisingly honest and give feedback about everyone else's work and about what's happening at the company. Radical candor is an everyday reality.","- This is a fast paced environment. DO NOT COME if what you want is an organized structure, a stable career plan and just sitting on your desk from 9 to 5."
