,company,headline,date,overall_rating,author_position,pros,cons
0,Razorpay,One of the most memorable experience,2022-04-09,5.0,Product Manager,"Was amazing to be a part of the team growing the startup together during the early days. 

Founders are really ambitious and have done right by the team and the mission!",The startup now is too big and operates more like an established company.
1,Razorpay,Amazing work life,2022-04-08,5.0,Finance Analyst,Great work life balance and amazing office.,Pay could have been made better.
2,Razorpay,Excellence & Autonomy,2022-04-04,5.0,Human Resources,"a) The system demands excellence and also provides autonomy to drive your priorities
b) Meritocratic environment, good performers will be well rewarded
c) Clean work environment, less to nil politics","a) High work pressure, comes with fast pace of growth"
3,Razorpay,Good company,2022-04-02,4.0,Software Development Engineer (SDE),"Better perks 
flexible working hours
great people
good tech stack","Medical policy is really bad
Be cautious about work that comes your way else you'll have burnouts quickly"
4,Razorpay,Bad FNF,2022-03-31,1.0,Manager,Good Company for smaller delights,"Bad FNF 
Bad incentive structure"
5,Razorpay,Nice work place,2022-03-29,4.0,Software Engineer,Extreme good learning and growth as a company,None that can be told about the company
6,Razorpay,Work environment,2022-03-28,5.0,Senior Solutions Engineer,It's great vibe at work place with some if the most energetic people around,Nothings that i can think of as such
7,Razorpay,For a better prospect,2022-03-26,4.0,Business Development Associate (BDA),"Work Culture 
Systematic work timing","Less Salary
Less incentive scheme as compared to other sales organisation"
8,Razorpay,Best organization to learn,2022-03-12,5.0,Junior Associate,Amazing work culture with all teams,Nothing as such to write
9,Razorpay,Nice place,2022-03-10,4.0,Key Account Manager,"work life blamce , culture , ethics","no growth , no vision"
10,Razorpay,Analyst,2022-03-05,5.0,Analyst,It was nice to work there,"Only contract employee has problem,"
11,Razorpay,Great place to work,2022-03-04,4.0,Anonymous Employee,"- Quality peers & work
- Great Culture
- Top of the market pay",- All original Razors are no longer part of the company
12,Razorpay,Great place to be!,2022-03-04,5.0,Recruiter,"1. Good Work Culture
2. Work life balance
3. Growth Opportunities
4. Holistic development",Nothing as of now to be mentioned.
13,Razorpay,good,2022-03-02,3.0,Software Engineer,good life at razorpay + balanced,no cons as of now....
14,Razorpay,Goodf place,2022-03-02,4.0,Sales Associate,Good place to work at with,Hectic work schedule at work
15,Razorpay,Employee care is a huge concern.,2022-02-26,3.0,Anonymous Employee,"Chilled out work environment, decent pay, free lunch","I feel many folks here have been quite difficult to deal with and got a ""I don't care"", "" I am too important to respond to you or get back to you "" attitude.  I don't think many of them are""people's person""  or at least they don't believe in being kind and respectful with all of their colleagues. That's the biggest con I have experienced here. It's actually a trend here. Some people think they are way too important and got very less regard for others. HR department in particular is very painful to deal with. They seem to hate dealing with the employees. I thought that's what they get paid for but maybe I am wrong. Also, it will take you forever to get responses from Finance team. 

I don't feel secure here at all . Most of the people are in their own bubble and if you are too honest and say things that could potentially hurt their ego, you are in trouble. Razorpay may be doing well overall but there are aspects where they are quite backward imo. Employee care is definitely not a priority. It may seem ironical as there are benefits like free lunch, free food etc but it is what it is. Free food is not our priority.  Not mine at least."
16,Razorpay,Good,2022-02-21,5.0,Associate Solutions Engineer,Overall the experience was very good,Nothing as such. The entire team was helpful.
17,Razorpay,amazing,2022-02-19,5.0,Anonymous Employee,good work environment and culture,no cons as of now
18,Razorpay,Great company to work,2022-02-17,5.0,Junior Analyst I,"Great work environment, friendly, grea work exp","No cons, good company for work"
19,Razorpay,Work Life Balance,2022-02-15,3.0,Analyst,"Good infrastructure
Lot of Employee Goodies
Initial Pay is decent","Work life balance isn't great 
Expected long hours of work often"
20,Razorpay,Promising Organisation,2022-02-14,4.0,Product Support Engineer,"High growth rate
Friendly teammates
Nice pay",nothing seems a difficult when managers can solve things for you
21,Razorpay,Great place to work,2022-02-13,5.0,Team Lead,Amazing work space & Young people around,I was just thinking for a con & am Still thinking
22,Razorpay,Best place to work,2022-02-11,5.0,Anonymous Employee,Best place to work in and around.,No cons reviewed from my end.
23,Razorpay,Best for freshers,2022-02-10,4.0,Anonymous Employee,Good Environment and cultural values,Work life balance gets out of hand sometimes
24,Razorpay,awesome company,2022-02-03,5.0,Business Analyst,Great work culture & awesome people,I did not find any cons as such
25,Razorpay,excellent,2022-02-01,4.0,Software Engineer,excellent culture and best for new technological exposure,"found nothing, as on date"
26,Razorpay,Great place to work,2022-01-29,5.0,Senior Analyst,"-Good growth
-Bi-Annual review cycle
-Good pay
-Lots to learn as this is a startup/unicorn setup","-Seems a little disorganised, especially when one is hired from an MNC setup"
27,Razorpay,Good place to work,2022-01-28,3.0,Junior Analyst,"Good work life balance, Incentives etc","no Growth, micro management, etc"
28,Razorpay,Razorpay review,2022-01-27,5.0,Senior Associate,"Work life balance, good hr policies",Nothing I can remember as of now
29,Razorpay,Excellent Place to Work,2022-01-27,5.0,Senior Associate,"Good Work Culture, Work- Life Balance",Compensation is a bit on a lower end
30,Razorpay,Great place to work!,2022-01-26,5.0,Data Scientist,"- Great career growth opportunities, especially for developers
- Senior management and HR are attentive to your needs
- Great culture",None that I can think of.
31,Razorpay,Company culture getting from bad to worse,2022-01-25,2.0,Business Development,"- Brand name
- Learning 
- Founders","- Clueless middle management 
- High attrition
- No bandwith with any of the teams
- Company culture has become terrible in recent months"
32,Razorpay,Great Work Culture,2022-01-22,4.0,Senior Manager,"- Awesome work culture
- Freedom to do 
- Transparency
- You can move to multiple team within the org. (IJP)","- Work Load
- Biased sometimes."
33,Razorpay,Super awesome work environment,2022-01-21,5.0,Production Support Engineer,3 stars rated in facilities,Nothing I could sense till date
