,company,headline,date,overall_rating,author_position,pros,cons
0,Reliance Communications,Good,2022-04-08,4.0,Anonymous Employee,It is a Good company.,Nothing to write in Cons.
1,Reliance Communications,culture,2022-03-22,3.0,DGM Marketing,Good. Atleast our department had very good time with work and fun mixed up well.,"lots of departments , separate buildings"
2,Reliance Communications,Great Place to work,2022-03-16,5.0,Network Engineer,"Everyone is supportive, Salary on time",Nothing ... it's a good company to work
3,Reliance Communications,You good every work will going well,2022-03-09,4.0,Site Acquisition Manager,Company always be honest with me and me too,Some staff was narrow minded that why there were some company issues
4,Reliance Communications,Not good for career growth,2022-03-02,2.0,FM Engineer,"Flexible environment, good campus and office",No growth in career and salary
5,Reliance Communications,Good working,2022-03-02,4.0,Anonymous Employee,Good working culture in the organisation,Nothing negative about this group of company
6,Reliance Communications,Good place to work,2022-03-02,5.0,Headliner,A good place to work with good salary,The place is busy at times
7,Reliance Communications,Poor work culture,2022-02-24,1.0,General Manager,Nothing to write about . difficult to imagine an organisation so big existed without any pros,Sick culture/ poor pay masters
8,Reliance Communications,A good Organization to have a great learning experience & exposure.,2022-02-22,3.0,Human Resources,"Huge Organisation, Immensely Experience Sr. Management to learn from.","Salary does not get appraised with Role,
Designation Does not change with Role."
9,Reliance Communications,Customer service,2022-02-19,3.0,Customer Service Representative,"Systems, Employee, Engagement, Seniors, Process","HR, Compensation, Work-life, Balance, Salary"
10,Reliance Communications,Opportunnity to work with Witty People,2022-02-13,5.0,"Senior Manager, Operations","Lot of Learning opportunities
Working with intellect around
Cash Rich company","No Cons, its a very good company"
11,Reliance Communications,Good,2022-02-10,5.0,Manager,Very good employee benefit best,Not much as a con
12,Reliance Communications,very good company that I experienced forever.,2022-02-08,5.0,Electric Utility Engineer,very good atmosphere to work 24/7 basis.I really spend my carreer with 100% dedication with my team.,we maintained electric utilty system wihtout any power failure and got award of best cluster team award in corona pandemic years(2020-21) for assuring zero outage.
13,Reliance Communications,Cover with protocol developing,2022-02-04,3.0,Software Engineer,This high reputation company for job.,This is a very bad quality for maintenance
14,Reliance Communications,Good company with weak leadership,2022-02-02,3.0,General Manager,"Integrated Telecom business, Too many experts around, good campus,","Weak leadership, poor strategy , value erosion"
15,Reliance Communications,Ok,2022-02-02,2.0,Account Manager,Good company for work long time,"Finance is not stable 
Bank corrupt"
16,Reliance Communications,Bad Company,2022-01-27,1.0,Manager Collections,"Bad culture
Bonus are not clear","Bad culture
No role of HR"
17,Reliance Communications,good,2022-01-26,4.0,Engineer,Value of the tallent and knowledfe,less salary increment over the year
18,Reliance Communications,Marketing,2022-01-20,2.0,CSE,you are not in office or in front of manger all the time,Its Pure hardcore marketing Job
19,Reliance Communications,Executive,2022-01-18,5.0,Anonymous Employee,Good hike good salary work,Politics sop manager not good
20,Reliance Communications,Good to learn more,2022-01-14,4.0,Anonymous Employee,"Enhanced skills 
Productive environment 
Organized well",It was a little stressful
21,Reliance Communications,.,2022-01-13,3.0,Business Analyst,Good exposure and team wise learning growth if starting your career,Hierarchical challenges and lot of permission issues incase new ideas are tapped
22,Reliance Communications,UI-UX Designer   Manager,2022-01-10,5.0,Digital Account Manager/UI-UX Designer,Great company to work for. Very employee friendly. Dislikes. Career growth/promotion is slow. Hikes are decent. Work Details. Work ...,No Work from home if Familly Emergency
23,Reliance Communications,Software,2022-01-09,5.0,Software Engineer,"Good working environment, it is fun",Nothing bad about it as such
24,Reliance Communications,Excellent,2021-12-22,5.0,Manager,"Excellent work environment, Good and helpful coworkers",Nothing to complain about the Company
25,Reliance Communications,Learning lot,2021-12-14,5.0,Electrical Engineer,learning lot in electrical field,In continue power maintaining in plant
26,Reliance Communications,Good Company,2021-12-10,3.0,Asssisant Manager,Great work culture in the RCOM,Growth of the employees is slow
27,Reliance Communications,Review,2021-12-07,4.0,Assistant Manager,"Good team
Good exposer
Good work culture","Salary is very low
Fnf still pending"
28,Reliance Communications,Product manager,2021-12-03,3.0,Anonymous Employee,"Great team, good learning, Decent salary","Long process time , less team meetings, Formal"
29,Reliance Communications,Good,2021-11-30,5.0,Fresher,Good work environment.....very nice salary,Bad work politics......overall bad....not nice
30,Reliance Communications,Experience,2021-11-20,4.0,Network Engineer,They are very concerned for safety of employees,None as far as my knowledge
