,company,headline,date,overall_rating,author_position,pros,cons
0,RentPath,Headed in the right direction,2022-04-06,4.0,Sales Associate,Headed in the right direction!,Hitting some bumps in the turnaround.
1,RentPath,Salary,2022-04-04,2.0,Sales Representative,"Pay, Benefits, Remote work, that’s all","Micromanagement, inexperienced manager, harassment, product is not worth the cost."
2,RentPath,Enjoyed a long career there. Great departmental teamwork without politics or games.,2022-03-28,5.0,Online Media Specialist,The company overall has a productive and positive atmosphere. They always work to keep goals within their sights and evolve to meet client needs and market changes.,None significant that don't exist in just about any typical large corporation.
3,RentPath,Rentpath,2022-03-23,5.0,Customer Service Representative,Flexible and has work from home.,You're given a lot to learn in this department and things are always moving. There is a lot to learn.
4,RentPath,Job is great,2022-03-17,5.0,Call Center Agent,Great management and team support,Software issues and down time and job security
5,RentPath,Fun Atmosphere,2022-03-16,5.0,CX Specialist,Great place to work for fresh graduates. Super fun atmosphere.,"The youthful atmosphere is not for everyone, but I enjoyed it. Great entry level experience that can open the door to external opportunities."
6,RentPath,Not much leadership,2022-03-14,3.0,Anonymous Employee,Ability to determine own schedule,Constantly changing goals and priorities
7,RentPath,Hostile and Sick Environment,2022-03-14,1.0,Senior QA Engineer,There is a lot of learning curve,"The management is sick, micromanaging, pulls the team down with no reason.

The team who have been there for more than a decade survive and make it difficult for the new comers. It is literally bullying and no support for the management.Takes a toll on the health and personal life and it is mainly because of the team management.Several people quit and it is a pattern and no solution."
8,RentPath,NA,2022-03-02,2.0,Anonymous Employee,Great work life balance and flexibility.,No room for growth and to many what if
9,RentPath,Ehhhh,2022-02-23,3.0,Customer Service Representative,"Awesome co-workers, great for team-building!",Toxic management environment. Accepted sexists managers and disregarded any personal and career growth amongst the team.
10,RentPath,Cares about it's employees,2022-02-23,5.0,Sales Executive,"Flexibility, provides you with the tools you need to work & you are not just a number at Rentpath.",Not too much to say here.
11,RentPath,Great company overall,2022-02-23,5.0,Sales Executive,Great company to work for,Gone through so many changes the past couple years
12,RentPath,Great place to work.,2022-02-16,5.0,Digital Marketing Analyst,The people are incredible. They've really turned thing around and gone in a more modern direction.,The work is hard but it's rewarding.
13,RentPath,Great place to polish your skill,2022-02-12,5.0,Big Data Engineer,"You can find time to advance your skill.
There is always challenging works waiting for you.","Some colleagues may be over protecting themselves.
Bleeding in human resource."
14,RentPath,RentPath is a great place to work,2022-02-12,5.0,Sr. Product Manager,"growing company, rager to innovate",overcoming legacy roadblocks and regaining market share
15,RentPath,Company identity crisis,2022-02-02,3.0,Sales Representative,"Remote, and decent benefits. Good amount of vacation/days off.","Bankruptcy, and constant focus on Co Star. Lots of people are leaving."
