,company,headline,date,overall_rating,author_position,pros,cons
0,Robins & Morton,Great Company,2022-03-26,5.0,Construction Coordinator,"Great atmosphere, great people, competitive pay",I have no cons to list
1,Robins & Morton,Excellent,2022-03-21,5.0,Assistant Superintendent,"Great culture, would recommend working at any level and any position.","I personally do not have any cons, they take care of their employees."
2,Robins & Morton,"Good people, bad business decisions",2022-03-16,2.0,Anonymous Employee,"Great benefits, good pay, very nice people","The company as a whole has made some very bad business decisions, in the past 5 years, that have affected its employees in some very bad ways. 
Management is out of touch with the lower level employees and what they do. 
Upper management is quick to fire, even if you have worked there for a long time vs. talking it out with you first."
3,Robins & Morton,Fun!,2022-03-10,4.0,Community Service Officer (CSO),Great people great staff fun and friendly,None x x x x x none
4,Robins & Morton,Great,2022-03-01,5.0,Project Engineer,Great place with good people,We work a lot of hours. But so does every contractor
5,Robins & Morton,Great Family Company,2022-02-10,4.0,Assistant Superintendent,"Great pay/benefits, great culture, and caring management.",Constant travel and long hours
6,Robins & Morton,Better Than I Could Have Hoped For,2022-01-27,5.0,Director,"Robins & Morton truly walks the talk. What other companies say, they do.","There's a strong culture, and it takes a little time to fit in -- but it's worth it."
7,Robins & Morton,Robins and Morton,2022-01-23,3.0,Carpenter Foreman,Lots of room for growth,"Too many company politics, Upper management is only focused on being cheap to get a bigger bonus. This affects the labor you get,the quality of the tools you use and raises. Promotions are based on popularity instead of performance"
8,Robins & Morton,Life Changing,2022-01-21,5.0,Yard Dog Operator/Forklift Driver,"Down to earth, caring, and devoted employers. Great opportunities for advancement. Learn just about any skill you need for advancement. Overall great place to work its not a job with these guys its a career.","Bad weather at times, are the only cons I can see....."
9,Robins & Morton,A Company you want to work for.,2022-01-21,5.0,Intern/Co-op,"During my time at R & M, I never felt a time where I wasn't valued, and incorporated into the team. They are not inclusive, and care about their employees, which is something you will not see at other places. I have thoroughly enjoyed my time with them, and look forward to spending more.","Some other companies may offer higher salaries, but that also comes with some serious costs that you do not have to deal with at Robins & Morton. Their benefits are second to none."
10,Robins & Morton,Family Oriented Company,2022-01-16,4.0,Field Engineer,"- Excellent Tinier and Upper Management
- Family oriented, like an extended family
- caring company
- Very competitive pay 
- excellent benefits
- Travel a lot (training, projects, company events)","- You don't know where your next project is going to be until only weeks before or how long it is going to be(3 months-3years).
- Sometimes the project requires 7days a week depending the top managers on the site and or capabilities of the subcontractors. 
- Not all Head managers are the same. Some are amazing, some are terrible and just enough to keep there jobs. You never know until your tied in to the project."
11,Robins & Morton,Great place to work!,2022-01-14,5.0,Field Engineer,Has great benefits and really puts people over profits.,You will have to travel.
12,Robins & Morton,Best Company I've worked for!,2022-01-12,5.0,Jobsite Assistant,"Competitive pay
they care about you AND your family
Healthy work environment
and the list goes on!","depends on your supervisor, some supervisors are simply perfect! and others not so great!"
13,Robins & Morton,Great,2021-12-25,5.0,Field Engineer,"Problem solving is a daily task. 
Surrounded by lots of smart, seasoned co-workers that help sharpen each member of the team.",Traveling is a must to work here.
14,Robins & Morton,Good Company,2021-11-11,4.0,Field Superintendent,Good money and great benefits.,College is more important than field experience.
15,Robins & Morton,@!,2021-10-28,3.0,Anonymous Employee,"Great forward thinking mentality
Family oriented",Hold back employees if your good at what you're currently doing.
16,Robins & Morton,Amazing Family Oriented Company,2021-10-26,5.0,Assistant Superintendent,"Great pay, benefits, and collaborative atmosphere.",Very long hours and often times very stressful. It’s hard to maintain a positive work life balance.
17,Robins & Morton,Great Family Oriented Company,2021-10-13,5.0,Superintendent,"- Leadership knows me and my family.
- Leadership cares about and considers employee/family in decision making
- Plenty of room for internal growth and advancement
- Regular reviews with supervisor
- Encourages Training 
- Encourages scheduling Time-off",- Travel is typically required in this industry
18,Robins & Morton,Awesome Company,2021-10-12,5.0,Project Safety Manager,"Great environment. My time here at Robins and Morton has not been that long, but I could see immediately this is a team of talented, skilled and exceptional people. The team strives for excellence in craft and in caring, not only in words but in action.",Not any that I have found
19,Robins & Morton,"Good, stable company with good people.",2021-10-12,5.0,Senior Preconstruction Estimator,"Reputation, people, policies, supporting employees",Controlling growth in an uncertain market
20,Robins & Morton,Value their employees!,2021-10-11,5.0,Senior Project Manager,"A great companyt that places emphasis on developing their employees through continuing education, allowing employees to establish professional career goals, excellent leadership that leads by example.

The company has great initiatives which promote sustainability, 3D modeling, prefabrication, self-perform all of which will be required to remain an industry leader.",I do not have any CONS!
21,Robins & Morton,Best Company EVER,2021-10-11,5.0,Division Safety Director,"It will be obvious that I appreciate this company. We have great benefits, and the company is family oriented. The company regularly surprises me and never lets me down. Every company has its issues - I can't find them and I would definitely say if I could.","New projects historically required moves for me, but that said, the experiences, compensation and travel benefits make up for the moves. I've lived in several different states and loved something about every one."
22,Robins & Morton,Best Company to Work,2021-10-11,5.0,Project Manager,Great environment. The people are the best to work with. Competitive salaries. The company really takes care of you.,I cant think of any cons
23,Robins & Morton,Family Atmosphere & Outstanding Growth Potential,2021-10-11,5.0,Assistant Superintendent,"-Competitive Salary
-Year-round training opportunities
-Diverse construction teams
-Challenging, yet unique projects
-Executive level support even on small projects
-Awesome benefits",-Must be willing to travel
24,Robins & Morton,Great place to work!,2021-10-11,5.0,LV Project Manager,"There are so many pros I do not know where to start. First, the culture at this company is incredible. The job scheduling and processes make coming to work most days a success! Salaries are competitive, and the support is always there when you need it.",I cannot think of anything negative worth mentioning at this point. We are growing and with that come difficult learning curves. But every challenge is worth it with this company.
25,Robins & Morton,Robins & Morton,2021-10-11,5.0,Division Safety Manager,"Plenty of opportunity for advancement and recognition in the company. There is always a chance for advancement with in the company, more so than other companies I have worked for.","There are not many cons in the company, Robins & Morton is not perfect in any manner. Robins & Morton is always trying to improve and keep employees in the company."
26,Robins & Morton,Awesome place to work!,2021-10-11,5.0,"Manager, Information Technology","The people are great and has a family focused atmosphere. It's a large company without the ""corporate"" feeling.",It's hard to find any cons. I will update the review if  I find any!
27,Robins & Morton,Robins & Morton,2021-10-11,5.0,Field Superintendent,"Best place to work. Great leaders, great people. Great job opportunities.",I do not have any cons.
28,Robins & Morton,Great Culture,2021-10-11,5.0,Anonymous Employee,"I appreciate the opportunities for training, development, and goal setting at this organization. Everyone has a positive attitude and a teamwork mentality.",I think it is good that the company is working on a diversity initiative.
29,Robins & Morton,Greatest company ever!,2021-10-11,5.0,Senior Superintendent,"Family environment
Great benifits
Opportunity to grow
Great pay","Construction is a demanding industry, especially healthcare construction
Relocating every couple of years"
30,Robins & Morton,I am so lucky to work for such a great company.,2021-10-11,5.0,Senior Project Manager,"Robins & Morton truly cares about their employees. You are not just a number or a position, but a person that is valued by the company as an ambassador of the company in all you do. I would say it is a privilege to be part of a great company.",Wish I had started working for Robins Morton earlier in my career.
31,Robins & Morton,Great company,2021-10-11,5.0,Anonymous Employee,"1. Family Friendly
2. Growth Opportunity
3. Equips their employee's to move up within the organization
4. Willing to listen and understand needs of individuals
5. They place importance on the individual, it's not always about the $
6. People that have great work ethic and a collaborative spirit do well in this organization
7. Great Pay
8. Great Vacation
9. Good Health Benefits
10. 401K","1. If your naturally a reserved/quiet individual you may find growth a little harder to attain. You'll have to find a champion to get you moving towards your career goals.
2. Corporate/Divisional offices do not offer a hybrid work schedule across all departments."
32,Robins & Morton,Like family,2021-10-11,5.0,Safety Coordinator,"Great Benefits
Incredible Teamwork
Competitive Pay
Opportunities for growth and development","There are few cons and not worth mentioning except the traveling. 
Work life balance can be a challenge if you do not manage your time wisely."
33,Robins & Morton,Positive Review,2021-10-11,5.0,MEP Manager,"- Cares about employee development
- Transparent and commits to open door policy
- Fosters and supports employee creativity and overall company innovation
- Understands that there is a life outside of the jobsite",- Lots of planning and meetings that could seem illogical for someone that does not understand the complete process.
34,Robins & Morton,"Great Company, Kind People",2021-10-11,5.0,Benefits Coordinator,"Robins & Morton is an awesome company, full of people who care about your well-being and development.",No cons come to mind
35,Robins & Morton,Good Management,2021-10-11,5.0,Assistant VDC Coordinator,"Regional work allows people to stay close to family & friends. 
Management focuses on a happy employee and does what it can to accommodate.","Travel is required, but as stated above, the management does what it can to accommodate."
36,Robins & Morton,Great company that cares about it's employees!,2021-10-11,5.0,Construction Jobsite Assistant,"This is a company that really cares about it's employees and everyone is so helpful. It doesn't matter who you call or what you need, coworkers that you've never met will go out of their way to be of assistance. I wish I would have found R&M sooner!!",Healthcare cost is great...just wish the coverage was a little better. I really have no other cons at all.
37,Robins & Morton,Be prepared to travel.,2021-10-11,2.0,Superintendent,Good mentorship program. Travel everywhere.,Upper management has favorites. All not treated fairly.
38,Robins & Morton,Be Ready,2021-10-08,5.0,Laborer,Great people to work with.,No cons at this time.
39,Robins & Morton,Carter Lorch,2021-10-08,5.0,Site Monitor,"- Encourages employees to strive for better.
- Provides necessary tools and needs to employees.
- Invests in the employees that desire to move up.
- Provides Morale boosting activities/cookouts not only for R&M employees, but also other trades.","- Would like to see longer “break” periods other than 2 15mins and 1 30min. Breaks feel too rushed, and based on where you are parked, can drastically reduce any true break you may have."
40,Robins & Morton,Current Employee R&M review.,2021-10-08,5.0,Carpenter/Laborer,"Management staff are extremely helpful, courteous & accessible. Fair pay. Very engaged in employee appreciation. Leadership is unmatched, and I’ve been in the construction industry for 14 years. Knowledgeable leaders.","Not many that I could think of. I enjoy showing up to the job site everyday. Wish there were Pepsi products on site, but coke is fine. I’ve been here for 14 months and it’s absolutely great! Hourly insurance premiums are high."
41,Robins & Morton,R and M review,2021-10-08,5.0,Site Monitor,Great place to work nice people life time of friends,There aren't not one con
42,Robins & Morton,R&M the company that will help you grow,2021-10-08,5.0,Machine Operator,The reason to work for robins & Morton is it's a company that you can grow in and management will help you with whatever you're trying to achieve in the company,Can't think of anything that falls under cons
43,Robins & Morton,Great Opportunity even Greater Team,2021-10-08,5.0,Site Monitor,The amount of learning potential here at Robins & Morton is endless,I have not a single complaint about this company but I would like to see more opportunities to learn more about other positions and shadow salaried employees
44,Robins & Morton,Awesome place to work,2021-10-08,5.0,Site Monitor,Amazing place to work. I've never worked for another company that cares as much about their employees,There is not one con
45,Robins & Morton,Company review,2021-10-08,5.0,Operator,"Very intuitive work place, amazing management with endless opportunities.",Communication can be an issue at times
46,Robins & Morton,Family like atmosphere,2021-10-08,5.0,General Laborer,I never worked for a company that has shown me support in everyway. I had a personal issue and the company stood not behind me but beside me throughout the whole ordeal. I am proud to be associated with a company whom is not just my employer but an extended part of my family. I do not consider my co-workers as only co-workers but my brothers and sisters. It has been and is an honor to be a part of Robins and Morton.,I really do not have anything negative to say thus far my experience with this company has been awesome.
47,Robins & Morton,Employee Current review,2021-10-08,5.0,Remote Site Monitor,They provide you with everything you need. They also help you with anything you would like to do or even become in the company.,I truly don’t have one
48,Robins & Morton,Robins & Mortons,2021-10-08,5.0,Site Monitor,"Wants everyone to grow and succeed, and will do everything in their power to make sure tht happens.. Well respectful and very great positive attitude towards everyone.. This my other family. Love my job.",Haven't found none and I'm being honest..
49,Robins & Morton,Top dog,2021-10-08,5.0,Construction Laborer,The people first and foremost. The hourly pay is stupendous.,"Sometime the communication is not where we need to be, but getting better we still early on the jobsite"
50,Robins & Morton,Nathan's job,2021-10-08,5.0,Site Monitor,"Competitive pay , great co-workers, opportunities to move up in the company",Miss communication with other co workers
51,Robins & Morton,This is the better company you are looking for,2021-10-07,5.0,Assistant Project Manager (APM),"1) Outstanding work/life balance
2) Highly motivated team like atmosphere
3) High quality medical benefits
4) Strong leaders and managers help to develop younger talent",1) Limited WFH opportunities (if at all)
52,Robins & Morton,Excellent atmosphere work,2021-10-06,5.0,Construction General Foreman,"Robins & Morton is the amazing company because they promote a family atmosphere and despite having so many employees they take very seriously when listening to the needs of everyone in the field, also offering excellent opportunities for growth and training.",Sometimes we have to travel
53,Robins & Morton,Great,2021-10-04,5.0,Anonymous Employee,Pride in work and family atomosphere,I can not think of a downside
54,Robins & Morton,So happy I found this company and they accepted me into their family!,2021-10-04,5.0,Office Services Support,Learn something important every day. Please are eager to share their knowledge and are glad to hear yours as well.,That it took me so long to find this amazing company to work with.
55,Robins & Morton,Fantastic Company,2021-10-04,5.0,Safety,"Robins & Morton is truly the greatest company in Birmingham to work for. Competitive pay, flexible hours, family oriented, and just an all around awesome place.","Just like any job in construction, there is usually travel involved."
56,Robins & Morton,Permanent Career Home,2021-10-04,5.0,Superintendent,"-Stability & Character of Senior Leadership
-Autonomy to Manage effectively
-Family Atmosphere
-Meaningful work with great clients
-Rewarding growth and compensation",-National Reach leads to relocation
57,Robins & Morton,A great company to work for,2021-10-04,5.0,Field Engineer,"They look out for their employee's best interests.
The company feels more like a family than an employer.
No matter where you stand within the company you are acknowledged.",Its construction so you will be required to relocate at times.
58,Robins & Morton,Family Oriented Company That Cares,2021-10-03,4.0,Project Assistant,"Fair salary with consistent merit increases, job stability, great teamwork on the jobsites, continuous effort by the company to give employees the best work environment possible.",Slow promotions with limited opportunities for the jobsite admins
59,Robins & Morton,Amazing Company Culture,2021-10-03,5.0,Anonymous Employee,"I've worked at Robins & Morton for nearly 20 years and although we've grown in the amount of work we do each year, our strong family-oriented company culture has remained the same. From the top levels of leadership through departmental and project leadership - everyone cares about each team member and how they're doing both personally and professionally.",There are no cons to working at Robins & Morton.
60,Robins & Morton,Best in Class,2021-10-03,5.0,Senior Superintendent,Respect for employees and focus on a entrepreneurial culture,When a project ends you start the process all over again which is more of a welcomed challenge than a a con.
61,Robins & Morton,Good company overall,2021-10-01,4.0,Assistant Project Manager,Good pay and great benefits. Tons of opportunities and trainings to help you grow. A lot of smart employees and up to date on the latest technology.,"Upper management can sometimes drop the ball making it harder on you, but that can a problem with any company. The travel can get old and the hours can get long as well, but you know what you're signing up for."
62,Robins & Morton,working at robins morton,2021-10-01,5.0,Construction Superintendent,"great support, safety conscious, family like workplace.",doing expense reports by myself
63,Robins & Morton,R&M shows they care about every project they’re apart of and dedicate the man power and care for the owners.,2021-10-01,5.0,Field Engineer,"They have valued me when I was an intern, and they show that same respect and treatment now that I’m a full time employee. The team looks forward to bonding with each other, and wants to make the team feel like a family.",Construction calls for long hours in demanding situations. R&M holds their employees to a high standard and expects them to always meet those standards.
64,Robins & Morton,Great company to work for,2021-10-01,5.0,Assistant Superintendent,The culture and people are wonderful to work with!,"Long hours and travelling can be a pain, but most of the places I've gotten to live have been pretty great!"
65,Robins & Morton,Great people to work with,2021-10-01,5.0,Assistant Project Manager (APM),weekly paychecks. personnel attention. good benefits. Accesible all around,as everywhere else you work long hours
66,Robins & Morton,Great Place to Work,2021-10-01,5.0,Assistant Project Manager,Great place to work; Continuous Education; Growth Opportunities,Travel / Relocation; Project-specific roles vary from company roles
67,Robins & Morton,Best Company Ever!,2021-10-01,5.0,Assistant Superintendent,Terrific advancement opportunities for anyone that has the desire. Excellent support from all colleagues across the board. A company that truly cares about its employees and trade partners. Ive never worked for any company that takes the safety and well being of its employees and makes it the most important consideration.,No cons in 4 years and counting
68,Robins & Morton,Feel at home and needed,2021-10-01,5.0,Superintendent,There is a since of belonging that was lacking in other company's that I have worked for. The salary and benefits are very competitive with any other company.,You still have to go to work to get paid.
69,Robins & Morton,My Future,2021-10-01,5.0,Low Voltage Resource Manager,"Robins & Morton is a place we can work, grow, explore new ideas, celebrate our successes and failures, and come together as a family.",I did not come to Robins & Morton sooner in my career.
70,Robins & Morton,Couldn't ask for a better employer,2021-10-01,5.0,Project Engineer,Above average compensation. Strong learning environment. Flexible with personal days off. I feel that colleagues and senior level management truly care about me as a person.,"-They sure keep us busy, which I enjoy for the most part. But sometimes the work load can be challenging.
-Quite a bit of travel at times.
-"
71,Robins & Morton,Excellent Company,2021-10-01,5.0,Project Engineer,"-Family Environment
-Multiple career paths
-Rewarding work",-May be asked to travel/relocate for work
72,Robins & Morton,Making a new worker feel welcome,2021-10-01,5.0,Project Safety Manager,I am a new employee and I feel Robins Morton have went out of their way to assist me in my transition,nothing at this time comes to my mind
73,Robins & Morton,Great Company,2021-10-01,5.0,Superintendent,"Family Environment. The longer you stay with the company the more you start to appreciate it.
Very competitive pay, solid raises every year (At least for the past 5 years)
Great profit Sharing
Owners who care about their employees
Field Driven construction approach (all resources are dedicated to supporting the field) Admin, IT, HR, etc.",Lots of relocating/moving. Work life balance. Hard to schedule vacation time in advance.
74,Robins & Morton,Great Company!!!,2021-10-01,5.0,Vice President,Opportunities abound at Robins and Morton,No Cons for this company
