,company,headline,date,overall_rating,author_position,pros,cons
0,Rocket Internet,BI developer,2022-01-21,5.0,Business Intelligence Specialist,one of the best well-known company in the middle east,data might be very diversified in this company
1,Rocket Internet,Not fun,2022-01-03,1.0,Anonymous Employee,"travel, young teams, expand network","under paid, overworked, very male dominated"
2,Rocket Internet,Best learning in my career,2021-12-25,5.0,Venture Builder,"Learning, Experience, People, Travel, Process building","Sometime over aggressive culture, a bit unstructured (but room for bringing in structure)"
3,Rocket Internet,no better way to start your career,2021-12-10,4.0,Head Of Operations,"Large amounts of responsibility/ability to grow
Autonomy 
Process driven","Cut-throat, cowboy culture, not for everyone
Gender balance is 100% off"
4,Rocket Internet,The point of vew of a summer intern,2021-11-26,4.0,Anonymous Employee,good for learning new skills.,its pretty unorganized and not very professional.
5,Rocket Internet,A great start of my career path,2021-11-17,5.0,Digital Marketing Intern,"A fast-paced environment with an amazing team and a lot of awesome people. We ran startups together so there are a lot of opportunities to learn and get myself into working with new concepts. Even if I am not familiar with them, I can train myself to research also I can get help from other teammates and the Project Manager. After working here, I have quite a lot to add to my CV in experience field, and got my paid internship right after.",Not getting paid is quite demotivating but it's worth the time and effort.
6,Rocket Internet,Great learning experience,2021-11-12,2.0,EIR (Entrepreneur In Residence),In just a few months you can learn a lot about startups and e-commerce.,"Weak leadership in the middle management : in the past they used to attract great people, (i.e. ex-McKisey, Bain, BCG) but now the company relies on fresh graduates from MBA with almost no previous experience in managerial roles, maybe it is due to the low/absent salary.

High turnover and it so it is hard to build trust with the team. 

Next, they are not paying interns and it causes difficulties in attracting talents that can manage or launch a new venture."
7,Rocket Internet,Good,2021-11-05,5.0,Rocket Scientist,They offer god bagels for breakfast. You eat them with cream cheese.,The cream cheeses are not that good.
8,Rocket Internet,nice place,2021-10-19,5.0,Software Engineer,nice working place and nice co-workers,package is not too high
9,Rocket Internet,Awesome place to work,2021-09-28,5.0,Senior Financial Reporting Manager,"- great work environment
- constructive work pressure",not much on the cons
10,Rocket Internet,Good Company to Work for,2021-09-13,4.0,Country Head,Flexible working hours and targets,Very aggressive in getting results
11,Rocket Internet,Best school for internet entrepreneurs / builders,2021-08-14,4.0,Founder %26 Chief Executive Officer,"I found Rocket Internet to be an amazing workplace, the learning curve is amazing and working with some of the most brilliant people across the world in the e-commerce sector allowed me to both make new friends and develop professionally","Not the most comfortable office environment or benefits, the real incentive is intellectual and not physical. Sometimes extremely centralized organisation and relatively weak tech structure"
12,Rocket Internet,There,2021-07-26,5.0,Loan Processor,Okay place to look at,Very low base pay no bonus
13,Rocket Internet,best,2021-07-21,5.0,Full Stack Web Developer,Creativity best ever I saw.,it best in her field.
14,Rocket Internet,great but tough,2021-06-16,3.0,Associate,"- nice team 
- strong growth
- huge impact",- high turnover in the team
15,Rocket Internet,Great experimentation ground for recent graduates,2021-06-14,4.0,Business Development Manager,Ownership of activities and steep learning curve,Aggressive environment and poor people care
16,Rocket Internet,Enterpreneur In Residence,2021-06-09,3.0,Enterpreneur In Residence,"-You learn a lot
-Great team effort. If you're lucky, you'll meet some amazing people.","- Very hectic, even if it is an unpaid position
- Hierarchy leads to corporate like behavior in, what should be a, start up environment, which is bad. This coupled with not being paid to work non-stop is not very appealing."
17,Rocket Internet,Good for learning,2021-06-03,2.0,Anonymous Employee,"International, multicultural, good environment for growth.","Too much start up mindset sometimes, depends on direct management."
18,Rocket Internet,Fast but good,2021-05-23,4.0,Anonymous Employee,* You can see different projects,"* High employee turnover
* Lower quality"
19,Rocket Internet,Recommended,2021-05-18,4.0,Product Manager,"fast pace, high growth enviro",work life balance is a challange
20,Rocket Internet,FBADFBADFBADF,2021-03-31,5.0,Sales Associate,lucky talanted hard working satisfy,preasure log healthy heat good
21,Rocket Internet,Terrible,2021-03-30,1.0,Operations Analyst,Good exposure to different roles and industries,Manipulative and overworking leadership with no compassion
22,Rocket Internet,Ok,2021-03-25,3.0,Sales Manager,Many to mention at the money,Even more I can imagine
23,Rocket Internet,Dynamic,2021-03-16,3.0,Recruiter,"Dynamic, fast, flexible, innovative, fast, faster","Nice, dynamic, organic., challenging, fast"
24,Rocket Internet,.,2021-03-15,3.0,Senior Agile Coach,opportunities to grow. Good athmosphere,Push culture that made some non realistic commitments
25,Rocket Internet,Very good .. highly recommended,2021-03-14,4.0,Software Developer,"- Good salary
- Good ethics
- Good suburb","- No work life balance
- No recognition 
- No increment"
26,Rocket Internet,Good company,2021-03-11,4.0,Content Manager,Great place to grow your career,Salary could be higher for job
27,Rocket Internet,Wow!,2021-02-24,5.0,Sales Representative,Great time working for Rocket!,Not much! They were pretty great. THanks!
28,Rocket Internet,Jsnsnamamabasnnsubssbsd,2021-02-01,2.0,Tax Assoxiate,Work culture in very good,Can do better in job opportunity
29,Rocket Internet,a nice place to work,2021-01-22,5.0,Software Engineer,a nice place to work,nothing ! it was a great experience
30,Rocket Internet,Cool Company,2021-01-02,4.0,Country Manager-Bulgaria,Very talented colleagues and team.,"chaotic, no processes, not enough money"
31,Rocket Internet,Corporate VC,2020-12-29,2.0,Rocket Internet SE,Responsibility - but toxic work environment,Toxic culture mostly -no work environment
