,company,headline,date,overall_rating,author_position,pros,cons
0,SailPoint Technologies,Great place to work,2022-03-25,5.0,Senior Sales Engineer,"The team is really collaborative
Great SaaS product
Many ways to make an impact
Good Growth capabilities
Flexible PTO",The transformation from on-premise to SaaS means there's lots of change happening at once
1,SailPoint Technologies,Amazing place to work,2022-03-14,5.0,Information Security Analyst,Work values are treated great.,No cons to report on
2,SailPoint Technologies,Great Company - 11 year employee,2022-03-10,5.0,Principal Architect,"The Company Vision, Company Execution, Leadership and Employee Treatment drive me to stay at the company.","Remote Culture has diminished with COVID, but hoping that changes as we come out of the pandemic restrictions."
3,SailPoint Technologies,Great people,2022-03-07,5.0,Technical Trainer,Great management and people and culture,Not the highest salary band I’ve ever worked
4,SailPoint Technologies,All-in-all good company to work for,2022-03-07,4.0,Inside Sales Representative,"• Decent compensation and benefits
• Gain a ton of experience working with some of the largest, most complex organizations
• Very good sales enablement program","• ISRs are always last to get their comp plans/ territory & rep alignments
• As everywhere right now, experiencing higher than usual levels of turnover with management"
5,SailPoint Technologies,Amazing place to be,2022-03-02,5.0,Director of Sales,"Truly a great culture with excellent leadership
Superb products
Customer success at our core
Strong foundation of principles
Competitive market, which validates our ambitions","Just staying one step ahead
Continue to innovate to stay on top"
6,SailPoint Technologies,Company Culture Needs Improvement,2022-03-02,3.0,Senior Field Marketing Manager,"Competitive compensation and benefit packages 
Good product","Company culture 
Disconnected business units"
7,SailPoint Technologies,I'm a boomerang re-hire...and I came back for a reason,2022-03-01,5.0,CSM Manager,"I've been in high tech for a long time now so when I came back to SailPoint, I felt like I was coming home. Reasons: Most benevolent and authentic CEO I've ever met. People are treated like adults. No jerk policy when hiring. Ability to improve processes and make an impact outside of my primary responsibilities. Superb office yet freedom to work at home. Awesome co-workers who enjoy collaborating. Great industry space to be in. Lots of learning available. Lots of apps to choose from to do your job. Challenging work. Culture of appreciation. Just a genuinely nice play to be and I hope I retire here.","Like any company I've ever been at, there are processes that can be improved."
8,SailPoint Technologies,Mark McClain is the best CEO ever.,2022-03-01,5.0,Manager,"Mark McClain is a brilliant, genuinely nice guy who cares about his people, and will stop and chat with ""worker-bees"" like me no matter how busy he is. Mark's philosophy: don't hire jerks who are SMEs. You end up with expert jerks no one wants to work with. Hire kind people who are good at what they do, interested in learning, and who work well on a team. The result? Market-leading identity security technology, and happy, motivated employees. Ask any SailPoint employee.","The company is growing rapidly, and scaling to meet the market needs is challenging at times. Some departments have grown really quickly, while others are still catching up. However, this is typical for a relatively small, incredibly successful Cloud company that is projected to dominate the identity security market in the coming years."
9,SailPoint Technologies,SailPoint puts people first!,2022-03-01,5.0,Engagement Manager,"SailPoint puts people first! 
I know many companies claim that, but SailPoint lives that value every day. 

Values are best measured at times of challenges. Whether through challenging projects or issues in personal life, SailPoint Management has supported me through everything. I know I can always count on SailPoint having my back. 

It's values that are more than (empty) words why people stay at SailPoint.","As a relatively small company, the career opportunities have limits."
10,SailPoint Technologies,Unbelievable place to work!,2022-03-01,5.0,Customer Technical Training,"I cannot say enough good things about working at SailPoint! If all companies were run like SailPoint, there would be a lot more happy and productive people in the world. Work life balance is a real priority. Management actually cares about the wellbeing of the employees and has done a phenomenal job navigating the challenges of COVID. 

The four company values of innovation, impact, integrity, and individuals are lived out every day. I do meaningful work, I am rewarded for it, and I am not micro-managed. Our products are phenomenal, and the camaraderie between teams never ceases to inspire me. I have never felt more fulfilled in my career.",There are no cons to working here!!!
11,SailPoint Technologies,Life at SailPoint,2022-02-25,5.0,Senior Project Manager,Inclusive organization with accessibility and support from all levels leadership. Strong cultural values. Innovation encouraged. Growth opportunities nurtured. No one is too busy or too important to help or take time to listen. Fun loving teammates that care about your professional and personal life.,It can feel like the Wild West. A lot of shooting from the hip solutions. You can ask ask several colleagues the same questions and get different answers due to a lack of collective best practices.
12,SailPoint Technologies,Best Place to Work,2022-02-25,5.0,Human Resources,"We value our Core Values: Innovation, Integrity, Impact, and Individuals. The work-life balance is nothing like any other company I have worked for in the past. Our CEO, Mark, stands by ""No Smart Jerks Policy"". We care and value those who work here. Your feedback is important to us.",Come check us and out see for yourself.
13,SailPoint Technologies,Best company I've ever been!,2022-02-24,5.0,Director,"Smart, fun and motivated teammates! What we have going is so rare in a corporate environment. I am very lucky!","Growing and scaling so fast is hard, but it is so much easier if everyone is pulling the rope in the same direction."
14,SailPoint Technologies,The best place I have ever worked!!!,2022-02-24,5.0,Senior Recruiter,The overall work atmosphere is incredible. It's the first time that I can say I actually miss going into the office. The level of support is unmatched and the pay is rewarding.,"We stay busy. But in this economy I take that as a plus. I can never say, ""I don't have enough work to do."" It definitely makes the day go by quickly."
15,SailPoint Technologies,Superb company culture and leadership,2022-02-22,5.0,Sales Executive,"Culture based on confidence and humility.
Leadership actions guided by values - Innovation, Integrity, Impact, Individuals,",Micromanagement and inefficient superfluous communication
16,SailPoint Technologies,Culture at Sailpoint exceeds expectations,2022-02-22,5.0,Cybersecurity Manager,"- The CEO Mark McClain leads by example and expects all employees live by the 4 Is to create an incredible culture
- Collaborative environment
- Fast paced delivery of innovative solutions to customers",- Other companies don't adopt the same culture
17,SailPoint Technologies,This company cares about its people!,2022-02-22,5.0,Talent Program Manager,"At SailPoint you are not just a fraction of a resource you are valued and heard. I have only been at SailPoint a couple years but I have never felt so recognized, seen and proud to call my self a SailPoint employee. Co-workers and managers care about work/life balance while also motivating and supporting each other towards career and personal growth.","Moving towards all remote, I miss the office environment"
18,SailPoint Technologies,Truly Great Place To Work,2022-02-22,5.0,Regional Sales Director,"Fantastic Culture
Incredible Customer Focus & Support
Excellent Technology",Need to expand marketing and brand awareness
19,SailPoint Technologies,SailPoint is absolutely amazing!,2022-02-10,5.0,Vice President,"- The people are fantastic ... seriously some of the nicest, most engaged and passionate people on the planet.
- No BS, no politics: Ok, obviously your manager ultimately determines your experience but its incredibly transparent from the top.
- The executive team is amazing! Mark and his team are some of the most thoughtful, non-ego driven leaders I have come across in my 20 years.
- The pay is excellent!",The company as a whole is still working to figure our the transition to remote first but doing an excellent job at it.
20,SailPoint Technologies,Great workplace,2022-02-10,5.0,Software Engineer,"Coworkers are great, the company expresses care for its employees regularly","Going through massive organizational growing pains due to its rate of recent growth, and direction is scattered at times"
21,SailPoint Technologies,Glad to be part of this Crew!,2022-02-09,5.0,Sales Executive,"Culture is the real deal - not just a slogan, we really live it here. SailPoint offers Industry-leading software that solves a business-critical problem. 
We continue to innovate and build upon our core solutions. There is a wonderful spirit of Teamwork. Opportunity abounds...we are growing fast and the company is rewarding it's employees for their participation in that growth.",Still looking...great news...haven't found anything yet.
22,SailPoint Technologies,Great culture,2022-02-08,4.0,Senior Software Engineer,Flexible and work life balance,Great culture. Cannot think of any negative
