,company,headline,date,overall_rating,author_position,pros,cons
0,Sandvine,Lot to learn with stressful environment,2022-04-07,3.0,Software Engineer,"Lots of work on the table every single day.
Learning curve is great compared to any other company.
People are always helping and friendly.","There is no time to finish all your work perfectly, because it is always rushed. And there is no point of doing some work if you are not doing it right or if you are not satisfied with it.
There is no thought of work life balance here. This is for the Employees who only love to work without any additional activities in their lives. It has very stressful environment."
1,Sandvine,"Dont join, SAVE yourself",2022-04-05,1.0,Software Engineer,"Just the tag of 'employment'. 
Scope of learning is high. 5G innovation.","Everything, from many old products or bad/old tech stack (almost all teams), to micromanagement, 
No stocks, Appraisal percentage is a joke, 
They forcefully gave new year holidays by cutting from our own leaves. 
Non critical issues which can be done later has to be done on weekends. 
Many senior people dont have life (or dont want to have) and keep working late hours purposely , they are more than just workaholic really.

When is Glassdoor planning to bring out ratings in negatives?"
2,Sandvine,work life balance,2022-03-27,5.0,Quality Assurance,Team is so supportive and excellent work life balance,i have seen no cons so fat
3,Sandvine,Great Technology,2022-03-23,4.0,Senior Sales Engineer,The underlying technology is excellent. The capabilities are unique and extremely valuable if applied correctly for customers.,Significant turnover within the Sales Engineering organization. The team is spread very thin and this makes the work more challenging.
4,Sandvine,Great place to work,2022-03-22,4.0,Senior Test Engineer-QA,"Good team management, flexible work life balance",great place to learn with highly motivated engineers
5,Sandvine,great place to work,2022-03-08,5.0,Senior Revenue Analyst,great people and culture. very encouraging and supportive management and team.,very technical industry. can be difficult to understand the products and overall business goals when the products are very abstract to anyone who is not familiar with tech
6,Sandvine,Disliked Post Acquisition,2022-03-05,2.0,Software Test Developer,Strong test team and talented developers,"poor work life balance, poor growth opportunities"
7,Sandvine,Great product,2022-02-13,4.0,Anonymous Employee,"Great product management
Great work environment","Needs to diversify products
Needs better acquisition strategy"
8,Sandvine,Good please to work for network profressionals and enhance your eareer,2022-02-08,4.0,Talent Acquisition Specialist,"Sandvine Network Solutions are best in Market
Very good leadership team
Last 8 quarters we have achieved our sales target",Nothing I can think of
9,Sandvine,"Simple and easy, be ready to be treated like never before",2022-02-08,1.0,Manufacturing Associate,"none that I can recall, nothing is ready to start with","No new hire training in place, poor leadership, bad treatment, very diminishing and toxic environment."
10,Sandvine,Salary,2022-01-25,4.0,Technical Writer,Joining salary is very good,Nothing to share yet about company
11,Sandvine,Great compensation,2022-01-22,3.0,Senior Software Engineer,"working with your friends, great compensation",nothing came to my mind right now
12,Sandvine,Was Better Before the Merge,2022-01-20,3.0,Technical Support Engineer,"helpful teams 
positive work environment
opportunity for self growth","too many products to support
merging has changed management attitude"
13,Sandvine,Great place to work,2022-01-17,4.0,Manager,"great product, smart people, flexible hours",difficult to advance or get promotions
14,Sandvine,"The best place to work, with lots of learning",2022-01-14,5.0,Software Engineer,"Good work culture 
Great pay
Interesting projects
Great learning
Everyone is very kind","Some days, you are loaded with work but that also provides great learning"
15,Sandvine,good,2022-01-13,4.0,Senior Software Engineer,"good work life balance, free food","There is no extra benefit such as share, stock"
16,Sandvine,"Full of politics, no growth opportunity, zero work-life balance, thankless bosses",2022-01-05,1.0,Senior Software Engineer,"you get to spend time with your family during weekends once in a while.
breakfast/lunch/evening snacks provided in limited quantity.
they have HR team too, though they don't get to do anything.
though working here is more like slavery, still some times you get bonus too.","Managers keep lying about the urgency of the task, and put hell lot of pressure to commit to unrealistic timelines, and then when you miss YOUR commitment you are humiliated publicly every now and then as long as you are in the company.
There is no clear roadmap for the products, mgmt keeps changing the direction/priorities frequently.
Salaries are good only for freshers, but once you are in, then nobody would care about your growth. That's why there is hell lot of attrition, but mgmt is not bothered."
17,Sandvine,Excellent,2022-01-02,5.0,Service Advisor IT,"Awesome company, will provide medical insurance ,Bonus ,Company Share and Breakfast ,Lunch.",No Cons to tell about sandvine.
18,Sandvine,Work life balance,2021-12-21,5.0,Software Engineer,Have work life balance while working in sandvine,No cons . . .
19,Sandvine,working as a FTE,2021-12-20,4.0,Software Engineer,"- Get to learn new things 
- Good company if you are starting your career","- Fewer perks
- no work-life balance"
20,Sandvine,Good company to work at,2021-11-23,4.0,QA Engineer,"Good company, good people, good learning",Sometimes hard work and long hours
