,company,headline,date,overall_rating,author_position,pros,cons
0,Selectra,Social media manager,2022-03-28,4.0,Social Media Manager,It was very goo nothing to complaint about d,Not remcommend for whom have a brain
1,Selectra,Low pay bad management hard work,2022-03-08,1.0,Sales Executive,Cool colleagues and cool environment,Compensation scheme has too many pitfalls to catch you out
2,Selectra,Its not as bad as people make out,2022-02-03,4.0,Sales Assistant,"Ambiance, Supportive management, The job itself is not that difficult, Easy to make decent wage with commission. Even on bad months, the base is livable","Can be stressful at times, mainly because of speaking to angry/aggressive callers. The changing shift patterns is a bit annoying sometimes."
3,Selectra,Awful experience,2022-02-01,1.0,Inbound Sales Agent,"Decent base wage for Madrid but the cost is your mental health and morals, free fruit once a week","Terrible management, unrealistic targets, no accountability, essentially a scam (UK/IE department), no regard for low level staff, sources of high staff turnover rates completely ignored, job advertisement said post included gym membership and health insurance; turned out to be a complete lie. Toxic and highly pressurised work environment"
4,Selectra,Awesome management & ambiance,2022-01-28,4.0,Sales Representative,"Great team & ambiance
Awesome manager
Very nice location
Very nice & useful coaching the first weeks","Not enough possibilities to evolve within the company
In the long run, changing shifts and working during weekends can be difficult to handle
Repetitive tasks 
Being in the frontline with customers who don’t understand why they end up calling the firm often makes the relationship difficult straight from the beginning & customers get angry and frustrated easily"
5,Selectra,Sales Agent,2022-01-07,3.0,Sales Agent,Pays well if you are good at making sales,Not the best management and is a little discouraging
6,Selectra,Great place to work,2021-12-14,4.0,Director,Good for new employees entering work space,Interesting to see how youngsters will like it here
7,Selectra,Great company,2021-12-05,5.0,Internal Consultant,"Amazing team and great people, always nice to come to the office in the morning ! The company also has great values !!!",Nothing bad to say about the company.
8,Selectra,Good place to learn/grow,2021-12-01,4.0,Content Specialist,"Good atmosphere
Friendly people
A good place to learn",The company does not pay much.
9,Selectra,Great Work Culture and Learning Curve,2021-11-19,5.0,Country Manager/Business Developer,"International Exposure
Good Work-life Balance
Your ideas are valued and you are free to experiment.
Different level training helps you with developing your professional and technical skills.
Management are very supportive.",I don't see anything yet.
10,Selectra,Don't take care of their staff,2021-11-18,1.0,Sales Team Manager,It might be possible to make decent comission,Constant micromanagement and unfair treatment
11,Selectra,good experience but stressful,2021-11-15,3.0,Agent Service clientè le,good experience but stressfull if it's tempory it's perfect,coworker are super nice but some people could be creepy
12,Selectra,A good opportunity for English speakers without much sales/marketing experience,2021-11-01,3.0,Anonymous Employee,It's possible to earn a very good salary virtually from the start,You're expected to answer phone calls non stop.  The majority of the calls don't realize who they're calling.  it can feel a bit scammy at times.
13,Selectra,Awful,2021-10-28,2.0,Inbound Sales Representative,"Ninguna., They scam their customers and their agents.","Todas. Bad salary and schedule, as well as Team Leaders,"
