,company,headline,date,overall_rating,author_position,pros,cons
0,Shopee,Absolutely diabolical,2022-04-09,1.0,Anonymous Employee,Nothing at all such ridiculous.,"Just naive inexperienced employees given the responsibility to manage a complex market like India. No wonder they quit. And in the interview process they think they know everything in the world. One of my interviews lasted 15 min, and the interviewer said I've got a gist about your experience. A naive 25 year old saying this!"
1,Shopee,Review,2022-04-08,2.0,Associate,"Great colleagues as everyone is mostly below 30, able to make great friends for life. Flexible WFH/WFO arrangement, generally flat management",No clear career progression guidelines
2,Shopee,working at shopee,2022-04-08,3.0,Anonymous Employee,"salary is ok, nice benefits",long working hours during campaigns
3,Shopee,Good Company,2022-04-08,4.0,Relationship Manager,Inviting team and nice office space,1 year lock in before being promoted or transferred to another department
4,Shopee,Good for junior software engineering,2022-04-08,4.0,Software Engineer,"- Learn a lot of knowledge for junior BE
- Coworker friendly, everything smoothly and professional",- Less cultural and benefit when comparing to other IT companies
5,Shopee,MKT Growth,2022-04-07,2.0,Associate,"Wellbeing, Less Pressure, Less Stress, Friendly Environment",Leaders are not trained to nurture subordinates
6,Shopee,Lack of Work Life Balance,2022-04-07,1.0,Business Development,Great pantries; young and fast-paced environment,Lack of work-life balance; expect to work long hours
7,Shopee,Homepage,2022-04-07,5.0,Homepage Management,"Great environment, competitive salary, great self development","work load job, flexibility time"
8,Shopee,Pros and Cons,2022-04-07,4.0,Business Development Analyst,"- Great team leader and colleagues
- Great benefit for transport and meals",Salary does not suitable with the job description
9,Shopee,A good place to work and learn,2022-04-07,4.0,Anonymous Employee,"Shopee is a good place to work and learn. Good benefits, amazing co-workers, cool perks!",Very top-down and “too Singaporean”.
10,Shopee,Nice place to work,2022-04-07,3.0,Senior QA Engineer,Good working place. Good team to be in. Good environment to grow your skills.,Very heavy workload due to lack of resource
11,Shopee,Great,2022-04-07,5.0,Content Operations,"- Overall a great workplace environment and culture
- Work life balance is prioritized in my department as well","None for me, all good from my side"
12,Shopee,Senior Associate,2022-04-07,5.0,Key Account Manager (KAM),Flexi hours and alot of snacks in the office.,Workload and OT for every d day campaign.
13,Shopee,Great company with great benefits,2022-04-06,4.0,Customer Service Associate,"- excellent benefits like medical claims and company also gives group term insurance that covers hospital fees for certain types of admission.
 - friendly colleagues. mostly.
- opportunities to grow",- nothing much i can say
14,Shopee,Overall Good company,2022-04-06,4.0,Seller Operations Services,supportive team and community. Very helpful in growth and career development,unsystematic processes/ not automated leading to slower and much harder work
15,Shopee,Demanding but exciting work experience,2022-04-06,3.0,Anonymous Employee,Exciting especially if you are passionate about e-commerce,Too fast paced. Systems are not advanced enough and workload is heavy
