,company,headline,date,overall_rating,author_position,pros,cons
0,Shutterfly,Lots of positive change,2022-04-08,4.0,Senior Software Engineer,New management is trying to right the ship.,There is a lot of legacy to overcome. Many senior engineers have left.
1,Shutterfly,A bureaucratic machine with bad company culture,2022-04-03,1.0,Software Developer,(Very) Slow software development processes leaves you lots and lots of free time to do stuff in your personal life unrelated to your job.,"Your brain will quickly deteriorate as you find yourself absorbed in a bureaucratic ""Borg"" where you are nothing but one (very) replaceable cogwheel in a very big inefficient machine.

Double digit of developers spend weeks and months on features that can be implemented by two experienced developers in a single sprint."
2,Shutterfly,amaz,2022-04-01,5.0,Financial Advisor,"it was brillian
excellent 
plz not good
I don't get it
people are terrible","long hours
short break
lesss pay
horrible staff
lose"
3,Shutterfly,keeps you guessing,2022-03-29,4.0,Seasonal Photographer,work life was easy and would recomend,system kept going down and lack of upper mangement support
4,Shutterfly,Great starter for career.,2022-03-24,3.0,Program Coordinator,I stuck around for many years and was able to grow but eventually like most of my colleagues figured management impediment in career advancements. They tend to bring a lot of outside talent for advanced careers instead of internally. Its a great company to get the name on your resume some experience and look for better paying job in a 2-3 yr plan.,long term isn't much of an option if you want career growth and a competitive salary.
5,Shutterfly,Great Company With Benefits,2022-03-21,5.0,Senior Software Engineer II,"Shutterfly is one of the great companies to work for. It offers good compensation. If you are a developer, you can learn various technologies in a short span of time. Learning is key to career growth. Shutterfly offers company-sponsored courses in LinkedIn Learning, Udemy, etc. Besides, Shutterfly has good benefits like employer matched 401K contribution, health insurance, free legal support if you need it,","Some employees feel health insurance can be better. 
No stock options."
6,Shutterfly,Product Manager,2022-03-21,3.0,Senior Product Manager,Nice company to work with,Not much growth opportunities at Shutterfly
7,Shutterfly,Love it,2022-03-19,5.0,Marketing,Shutterfly is a great company. No complaints at all. Management is transparent and works hard to share company direction and strategies.,None really very happy so far
8,Shutterfly,Used to be good but not any more,2022-03-17,1.0,Director of Engineering,"Reasonable salary
Health benefits are reasonable, though it used to be great.","Nonethical upper management,
A few 180-degree decisions by CTO, no consistency on the decision process.
A lot of the micromanagement process is getting pushed down with a lot of reviews
No full bonus for the last 3 years, but on your offer letter it is a full bonus."
9,Shutterfly,Shambles,2022-03-11,2.0,Employee,"Management doesn't hold any one accountable, so you can pretty much do what you like.","Management doesn't hold any one accountable, so you may have to pick up the slack of those that are either sucking up to senior management or just there to show face."
10,Shutterfly,Shambles,2022-03-11,2.0,Employee,"Management doesn't hold any one accountable, so you can pretty much do what you like.","Management doesn't hold any one accountable, so you may have to pick up the slack of those that are either sucking up to senior management or just there to show face."
11,Shutterfly,Great,2022-03-09,5.0,Production Process Technician,Great benefits and treated fairly,Very strict clock in / clock out times (not flexible)
12,Shutterfly,Awful,2022-03-06,1.0,Photographer,Your commute to and from could count towards your scheduled hours which was good so you get paid a lil more. Plus you were given a gas card to pay for gas as often as you needed.,Horrible work environment. The shifts were always much longer than they needed to be. Communication was poor. It looks weeks just to get your work email set up. Employee badges took just as long to receive. The 200lbs of equipment you keep in your car to and from schools were constantly breaking and they rarely fixed them. The company essentially capped the pay for everyone at 15 an hour including senior photographers with 20 years at this company. As a school photographer our shifts were twice as long as a school day for no extra pay. Shifts ranged from 10-12 hours with no guaranteed breaks or lunch breaks. Maybe if they were paying 21$ or any semblance of a living wage if would be doable but it's awful.
13,Shutterfly,...,2022-03-05,3.0,Photographer,If you're a manager you get hours,You're overworked for little pay
14,Shutterfly,Good company,2022-03-04,3.0,Senior Software Quality Engineer,"Challenging projects
Great colleagues who make working easy and fun",No stocks and job stability
15,Shutterfly,Think carefully,2022-02-27,3.0,Regional Manager,"Great people
Reasonable benefits 
Pay is low unless you can fight your way up the ladder.",It is common to reorganize to reduce staff.
16,Shutterfly,Isolated culture but good learning opportunities,2022-02-27,2.0,Product Manager,"-market pay
-good learning opportunities
-decent benefits
-diverse workforce","-hard to advance
-isolated, tribal culture
-long tenured, resistant management"
17,Shutterfly,Shutterfly Manufacturing,2022-02-25,4.0,IT Manager,Fast paced challenging fun environment to work in.,High turn over rate in the last few years since going private.
18,Shutterfly,Can be great,2022-02-24,3.0,Machine Operator,"Oportunities to learn lots of machines and keep busy most of the year.

Lunch room

(If you are in the right department on the right shift) communication is great.

Hard work is appreciated and rewarded (most the time)","Management would rather have one person working many peoples jobs and have 'voluntary' overtime during peak seasons because they couldn't get enough temps and the temps they do get just stand around doing nothing half the time. Or work so slow it's like they aren't there. 

They say yes you'll have oportunities to move around to other shifts and areas but if you know a machine no one likes to run your attemps to go to another area or shift are blocked most the time."
19,Shutterfly,Do more with less,2022-02-22,3.0,Manager,Job is ok. Down time is ok,Not worth the pay. Managers are beyond reasonable
20,Shutterfly,Leadership and culture is lost,2022-02-21,2.0,Director,"Great team executing the everyday, lots of opportunity for the transformation of the organization and business.",Leadership is constantly only focused on short-term growth and can't prioritize - everything is always important. Leadership is often distracted by new ideas like the metaverse/NFTs and loses focus on the core consumer product or experience. Company continues to cut resources/people but refuses to change process. CEO does not have skill set to lead a customer-first culture.
21,Shutterfly,Wanted to love this job,2022-02-21,3.0,Senior Product Manager,"I met some amazing people and made some great friends. I found a few leaders who had my back and truly tried to help.

There are some good ideas that will be amazing if they can find a way to pull them off.","-Trying to do more with less staff has created a culture of burnout
-Too many shifting priorities
-Salary and benefits are not competitive. They changed the tiers so most people who were in the middle tier are now at the top and can't get a raise without being promoted
-Many important roles are doled out to offshore which adds challenges"
22,Shutterfly,N/A,2022-02-17,3.0,Account Director,Product discount provided to employees.,Management support the the employees.
23,Shutterfly,Lots of resources to get comfortable in new job,2022-02-15,5.0,Account Manager,"I made a big job change from healthcare to come work at Shutterfly, and it has been a good transition. Shutterfly has so many resources to read and watch to learn about the company, the products and how to effectively do my job.","This is a time of transition for Shutterfly, acquiring Lifetouch who I work for, and a new software, so there are some kinks and duplications being worked out."
24,Shutterfly,People,2022-02-11,1.0,Anonymous Employee,Good people that want a true mission,Lack of Leadership and transparency
25,Shutterfly,Excellent Place to Work,2022-02-10,5.0,Director,Very supportive environment that has a strong focus on the Customer. rewarding high-performance is a focus for Shutterfly.,"The business is cyclical, so solid planning and execution are required in order to be ready for peak seasons."
26,Shutterfly,'Fly' with us at Shutterfly!,2022-02-10,5.0,Product Marketing Specialist,"• Our leadership team is outstanding. They are forthright, honest, transparent and always keep us informed about our company's progress.
• Our products are amazing. People love them! They help everyone preserve those magic moments of our lives.
• We take pride in the quality of our work. Our yearbooks are beautiful! Our portraits are unmatchable! Our sports photos and senior portraits are the best!
• We appreciate the varied cultures within our society, and our employee make-up reflects that philosophy of embracing people of all faiths, beliefs and cultures in our society.
• I love our company, and you will, too!",I love Shutterfly and have no negative comments to make.
27,Shutterfly,Completely neutral,2022-02-09,3.0,Voice of the Customer,Individual team members support eachother,Leadership is detached from reality
28,Shutterfly,Love my job!,2022-02-08,5.0,Sales Manager,"Lifetouch being a part of Shutterfly is such a blessing. Traditions are important and when you are a part of making sure families have those moments to remember, then your job is not work.
Great Leadership, Team spirit, Great work/life Balance.","Things can go wrong, we're dealing with technology and people. Not everything is perfect, but we always try to fix it."
29,Shutterfly,Nice Company,2022-02-07,5.0,Software Engineer,"WLB is good
People are nice and helpful","Salary is not competitive
Promotion period is long"
30,Shutterfly,Nice Company,2022-02-07,5.0,Software Engineer,"WLB is good
People are nice and helpful","Salary is not competitive
Promotion period is long"
31,Shutterfly,Customer service rep,2022-02-06,3.0,Customer Service Representative,Nice facility and break area,Mandatory overtime and lack of vacation days
32,Shutterfly,It’s alright,2022-02-05,3.0,Photographer,Interesting job to work in,Early hours/inconsistent hours in the morning
33,Shutterfly,Shutterfly,2022-02-05,4.0,Principal Program Manager,"Good Place To Work, with lots of opportunities",Don't have any at this time
34,Shutterfly,Meh,2022-02-03,2.0,Customer Service Representative (CSR),Some people work from home,"not great communication from higher ups, no flexibility"
35,Shutterfly,Talented Organization but High Turnover,2022-02-02,2.0,Finance,"- Talented co-workers
- Above-average visibility
- Turnover provides solid opportunities for advancement, especially for more junior employees","- Aggressive targets set by PE ownership creates a seemingly desperate culture at times despite solid performance in the post-COVID macro environment 
- Significant turnover that started well before ""The Great Resignation"" has continually set back progress and hurt swork-life balance
- Lack of clarity on WFH"
36,Shutterfly,sales professional,2022-01-31,3.0,Sales Professional,love the people - great to work with,sometime the labs have issues that you have to deal with
37,Shutterfly,Enjoyed working for Shutterfly until the end,2022-01-31,2.0,Anonymous Employee,for the first 5 years Shutterfly was very interactive and interested in grow as a company as well as helping employees grow in their careers.,After the 5 years of r great growth and enthusiasm in the company the company changed and be came overly obsessed with with controlling growth. In the process they lost sight of the things they were really good at. The overall management changed and the personality of the company changed. Since then Shutterfly has not been the success they had been over the years and it is sad to see that. They were a great company to work for until then.
38,Shutterfly,Horrible,2022-01-29,1.0,Lifetouch Preschool Photographer,Absolutely none. None.Absolutely none. None.,"I can not believe such a big corporation like Shutterfly pays such low wages. 
People that are in charge are very incompetent... Do yourself a favor and do not apply for this job or take this job."
39,Shutterfly,3.5/5,2022-01-24,3.0,Photographer,Working work kids and traveling to different schools,Not full time and lower pay.
40,Shutterfly,Review of mine,2022-01-20,5.0,Web Engineer,"Great place to work.
Productivity is good","Salaries need to hiked.
Nothing more"
41,Shutterfly,Good coworkers - poor ethics,2022-01-20,3.0,Anonymous Employee,I greatly enjoyed most of my coworkers,Having a temp agency in the building isn't a good excuse for hiring temp labor and then keeping them on for years without offering a position with benefits.
42,Shutterfly,Not the Best,2022-01-18,2.0,Machine Lead Operator,The pay is good with shift differentials.,Long hours. Short break time. Repetitive. Executives clearly do not care about the employees.
43,Shutterfly,Meh,2022-01-15,2.0,Technician,The pay was okay. Management was nice and understanding.,On your feet a lot. The employees have no idea what they are doing.
44,Shutterfly,Good place to work,2022-01-13,4.0,Senior Web Developer,"great work life balance, great teammates",Benefits are not very good.
45,Shutterfly,Great culture!,2022-01-13,5.0,Project Manager,Great place to work! Amazing team culture.,No Cons. Make your own experience.
46,Shutterfly,Job,2022-01-12,3.0,Camera Operator,Got to do what i love,"No insurance, drive to far, don’t get paid"
47,Shutterfly,Great place to work,2022-01-12,5.0,Anonymous Employee,Managers provide tremendous support. Co-workers are like family. Great resources and tools to make your job turn-key,Not much I can complain about
48,Shutterfly,company and interview review,2022-01-12,4.0,Anonymous Employee,"good values, friendly team atmosphere","all good so far, nothing so far"
49,Shutterfly,Make Memories come to life,2022-01-11,5.0,Machine Operator II,Less frantic than you would think. All resources needed are available on the job. Clear expectations and availability for OT. Great products!,"Long hours, whenever idle can seem like forever."
50,Shutterfly,"Great team of people, fun job",2022-01-04,5.0,Design Review,"Small team of people to work with
Opportunity for overtime
Professional
Good compensation
Great training",Long hours during holiday season
51,Shutterfly,Corporate job with the agency life culture,2021-12-28,2.0,Senior Marketing Manager,"Smart, fun and driven team, including e-team. Tons of change with tons of opportunity...take that for what it is worth.","Like I said, feels like agency life when it shouldn't. Work life balance may be different team by team, but marketing leadership doesn't walk the talk. Overall marketing/brand strategy is still in question IMO..."
52,Shutterfly,You'll wear many hats,2021-12-24,3.0,Account Manager,Tight nit company. Good people who work there for many years and are seasoned in their positions,You will wear many different hats and not be compensated for that flexibility. Also have seen 30yr employees have their jobs dissolved without loyalty or equivalent alternative position being offered to them resulting in immediately termination of their employment.
53,Shutterfly,Work/Life Balance,2021-12-22,4.0,Information Technology,Vacation Time is pretty good to start,Support from upper management can be lacking
54,Shutterfly,Not a bad gig,2021-12-17,4.0,IT Hardware Technician,Get to be on the computer,Some customers can be cranky and rude
55,Shutterfly,Salary,2021-12-15,4.0,Client Services Specialist,"PTO, Benefits, Great Team Members overall",Higher up management seems like there's no direction
56,Shutterfly,Just a cog in the machine,2021-12-09,1.0,Technical Engineer,"Co-workers are fantastic
Unique job experience","Higher ups do not know what they are talking about and disrespect those who do 
They do no care about anyone or anything but the money in their own pocket
They do not care about employee health and safety"
57,Shutterfly,Enjoy working here,2021-12-09,5.0,Partner Manager,Balanced work load. Unlimited PTO.,Lots of people wearing different hats makes things hard to get done sometimes. Higher ups sometimes dont see how decisions affect the large employee base.
58,Shutterfly,Awesome brand and great culture,2021-12-07,5.0,Anonymous Employee,"Shutterfly truly helps people capture or create magical moments and unleash creativity. Customers are excited when they get a Shutterfly / Spoonflower / Snapfish / Lifetouch product.

There's a lot of opportunity for growth and impact. The culture is inclusive.","Company is transforming and it can be super exciting for those driven and wanting to have impact, but there is constant change and you'll need to embrace it"
59,Shutterfly,Shutterfly is the company to work for,2021-12-07,5.0,Sales Professional II,"Some pros to the company - the company cares what the employees want. The company implements what the employees are saying, good or challenges. The company has hired a management staff that wants what's best for the teams they are in charge of. They are here to help you with whatever you are looking to grow at. The company has mentors that you can talk to for envisioning where you want to be in years to come. Best company I have ever worked for. The benefits are GREAT, which is important in the world today. Benefits are not expensive for low deductibles and minimum copays. Company is interested in peoples mental health and struggles with fertility in woman. They care about the diversity. Here at Shutterfly the company cares about its employees, not many employers do.",I don't have any cons about this company!
60,Shutterfly,Sales,2021-12-06,4.0,Sales Representative,Great company! I work as a sales rep. for the picture side (Lifetouch). We work remotely out of our home. Great benefits with UHC and 401K. You will need to love cold calling to schools to get their business. It's all about sales!,No bad cons..just the normal customer service stuff to take care of.
61,Shutterfly,Amazing company to work for,2021-12-06,5.0,Lead Development Representative,"Shutterfly has an amazing sense of community, they really take the time to listen to what employee concerns may be, as well as take the time to recognize and appreciate their hard working employees.",Not really any cons that I can think of
62,Shutterfly,Seasonal Worker,2021-12-06,3.0,Content Production Designer,Training was extensive but taught me a lot. Most of what you learn is very specific to Shutterfly and their product development.,Quick turnover. Didn't feel a good sense of community but mostly because I was just working from home.
63,Shutterfly,bad work experience,2021-12-03,1.0,Anonymous Employee,Get free coupon code with charged shipping fee semi-annually. Salary is acceptable compared to the similar position in other companies.,"No proper training, no work procedure, no work ethic, and no support from the manager. Ageing population in the company. Many people who are working for company for over 20 years don't like the changes. Young people find a better place and leave very quick. Bad work experience overall."
64,Shutterfly,Organization is changing way too much,2021-11-29,2.0,Anonymous Employee,No Pros at this time.,"1. Leader needs to be clearer.
2. Training or getting employees up to speed is a problem (Slow or no guidance).
3. Intermingling between departments (Marketing & Finance). 
4. Turnover is high."
65,Shutterfly,Awful,2021-11-28,1.0,Machine Operator,None it’s awful and not worth it at all!!,No training at all! Nobody wants to help you they move you around so much you never learn anything and everyone is rude and acts bothered by questions
66,Shutterfly,I like it,2021-11-24,5.0,Lead Production Associate,"Great pay, good energy, approachable management staff, teamwork","long hours that’s all, no other complaints"
67,Shutterfly,Loved it,2021-11-23,4.0,Cash Entry Clerk,Very easy going and laid back. Work was easy but still fun.,Seasonals get little to no hours sometimes around the end of a season. No benefits.
68,Shutterfly,"Was great, now decent",2021-11-22,4.0,Anonymous Employee,"Great coworkers, nice building, good benefits",No room for growth unless you know someone or are friends with estaff.
69,Shutterfly,printing pictures,2021-11-22,5.0,Machine Operator,good money and good environment,I like everything about Shutterfly but sometimes they can be too controlling
70,Shutterfly,A lot of moving pieces currently,2021-11-17,3.0,Anonymous Employee,Management seems to care about how they can improve as managers,They are taking on so much all at once
71,Shutterfly,Seasonal means replaceable,2021-11-15,2.0,Anonymous Employee,"Low skill requirements
Decent hourly pay","So much required overtime
No guarantee of a job after the season
High quotas"
72,Shutterfly,Quality of life,2021-11-10,5.0,Shift Manager,Quality of life and environment,"There isn't one, pretty positive experience."
73,Shutterfly,Great place for people with families,2021-11-03,4.0,Finance,Great work life balance at Shutterfly,Not much team bonding events
74,Shutterfly,Ok,2021-11-02,3.0,Graphic Designer,Dto is great and benefits,Teams are a bit Disorganized
75,Shutterfly,Sucks,2021-10-31,4.0,Anonymous Employee,Good overtime but that's it,It's work so it sucks
76,Shutterfly,Slave machine. Not worth it,2021-10-29,1.0,Creative Strategist,Barely any. Seems like there are a lot of positive reviews suddenly appearing and I would not be surprised if these are paid reviewers or if they made their employees write positive reviews to offset the real ones.,"They make you work like a dog with basic salary that is not competitive. Lip service, back-stabbing and lackadaisical behavior rules the day. Barely functioning leadership. It's a juvenile place where many people are promised the same promotion. Not kidding."
77,Shutterfly,great place to work,2021-10-25,4.0,Software Engineer,People here are really nice and willing to help other.,we are pretty busy in Q4
78,Shutterfly,Good wlb,2021-10-20,4.0,Anonymous Employee,good work life and culture,less compensation as compared to others
79,Shutterfly,It was a good short term job,2021-10-20,3.0,Anonymous Employee,"Culture, Opportunities for Growth, Perks","Management, Work/Life Balance, Salary and Raises"
80,Shutterfly,Great Place,2021-10-19,5.0,Software Engineer,Love the startup vibe even thought its a medium sized company.,Not any real cons honestly.
81,Shutterfly,Great place to work,2021-10-12,5.0,Anonymous Employee,Amazing management team. They listen to their employees and react well and make changes based on company surveys.,I have worked here for over 5 years and I don't have any cons.
