,company,headline,date,overall_rating,author_position,pros,cons
0,Sify,Employee consideration very low,2022-04-08,2.0,Consultant,Company has a huge learning scope due to exposure into lot of technologies.,"Low employee reward, not so good HR relation with employee"
1,Sify,GNOC,2022-04-08,5.0,GNOC Engineer,"good company, worklife balance carrier growth",No cons no cons no
2,Sify,Best Company,2022-04-07,4.0,Anonymous Employee,"Shift allowance, flexible timing, no pressure, no timing issue, best team","Management issue, politics, no better increment, bad management"
3,Sify,Good,2022-04-04,4.0,Software Developer,Good nice place to learn,Nothing is there everything is fine
4,Sify,Good place to work,2022-03-28,4.0,AM,"Growth opportunities in the company
Learning opportunities
Employee friendly","No cons as such. 
Good company"
5,Sify,Work culture,2022-03-22,1.0,Human Resources Manager,Hardly No pros to say,"No leave
Stressful
Zero empathy for employee"
6,Sify,Good company to learn,2022-03-20,4.0,Management Trainee,"Learning culture is good.
IT sales has good scope going forward.",They have a 2 year bond.
7,Sify,Great company to learn as a fresher.,2022-03-15,3.0,Business Finance Executive,"Good exposure to freshers
Lots of learning 
Amazing array of services
work life balance","work environment
Culture is that of a government organization
Career growth
Salary upgrades
average facilities"
8,Sify,Great learning opportunity,2022-03-11,3.0,Management Trainee,"Good compensation
Good office space
Good learning
Strong sales team
Old brand","Poor work life balance
Micro management"
9,Sify,Good place for freshers to learn and grow,2022-03-09,4.0,Software Engineer,As a fresher you get to learn a lot of new things in this company,Growth is not based on your performance
10,Sify,Good,2022-03-06,4.0,Pop Engineer (Field Engineer),"Stability
Lot of things to know in Technology.
Supportive Team members","No leave if you're working in 24*7shift duty.No competition leave or extra money.
Only you can take your regular shift allowance"
11,Sify,GOOD,2022-03-06,2.0,SAP Security and GRC Consultant,Better place to learn and explore.,Management and no appraisal and no salary increment
12,Sify,Good place to learning,2022-03-01,3.0,Anonymous Employee,Plenty of opportunities for learning,Poor pay scale and compensation
13,Sify,massive company,2022-02-28,5.0,Anonymous Employee,"Good Company to work , good place to learn",No problem Good company to work
14,Sify,Based on the project,2022-02-25,3.0,Network Engineer,Sify is good company for working and it's different from based on project,Based on project its different
15,Sify,Good place to learn,2022-02-24,3.0,Assistant Manager,"good place to learn, helping colleagues","no growth, Package very less than industry standards"
16,Sify,join if you wantt,2022-02-22,2.0,Management Trainee,good place to learn for freshers,work culture can be better
17,Sify,indian company,2022-02-20,4.0,Weg Engineer,best place to learn multiple learning platform .,have to manage little bit politics.
18,Sify,Good environment,2022-02-12,5.0,Systems Validation Engineer,"Good atmosphere good workplace, happy",NA there is no such cons
19,Sify,"Service desk, ITIL",2022-02-09,4.0,IT Service Desk Analyst,Good working environment and helpful people.,Growth area is less and slow growth rate
20,Sify,Good,2022-02-08,2.0,Sales BDM,"Good organization, best organization to learn in new technology",No cons in this organisation
21,Sify,Salary,2022-02-07,1.0,Associate Consultant,Nothing to be specific for Sify,Everything from the HR to the leaders to the managers etc
22,Sify,Bad,2022-02-07,1.0,Network Engineer,Nothing to say good about company,No salay hike.no management support
23,Sify,Enterprise sales,2022-02-04,3.0,Sales Manager,Wonderful work culture in sify,Work pressure to lot in this organization
24,Sify,excellent,2022-01-28,5.0,Excellent,good company. nice place to work,nothing much about the company negative
25,Sify,Decent place to work,2022-01-24,3.0,Senior Executive,"No work pressure
Growing company
Flexible work timing","Office politics
Lower salary
No new learning"
26,Sify,ICT Player,2022-01-20,4.0,Manager,"Agile, young team, really techie, lot of learnig",Nothing negative about the company
27,Sify,Positive Work Environment,2022-01-13,4.0,Full Stack Software Developer,"- Great Teams
- Multiple Projects
- Great Learning",- Not so good Management.
28,Sify,Hell,2022-01-12,1.0,Solutions Architect,You get to work on new things,"No work life balance
You are own your own"
29,Sify,Good,2022-01-11,4.0,Software Developer,"Good to work 
Learn lot of things",No cons about the company
30,Sify,Good organization to learn,2022-01-08,5.0,Management Trainee,Good learning culture. Wider career prospects.,Bond for 2 years is something that is very bad
31,Sify,Good company to work with,2022-01-07,4.0,Senior Software Developer,"Good working environment, supportive team. Employees from start up will get excited",Most of the teams having old technologies
32,Sify,Good,2022-01-07,4.0,Anonymous Employee,Work life balance is good,Nothing to say as it's NA
33,Sify,EMS Admin,2022-01-04,4.0,Senior Engineer,Good Company in terms of HR policy,Not observed such cons yet
34,Sify,Good place to work,2022-01-04,4.0,Manager,"Promotes learning
Less workload
Transparency
Good bosses
Open house","Less pay
Low hike
HR policies
Low bonus"
35,Sify,Good for all,2022-01-03,5.0,Engineer Systems,Easy to manage work and personal life.,All about good company and good culture.
36,Sify,Good learning,2021-12-29,3.0,Account Manager,Good learning and work life balance,"Low salary, no hike at all"
37,Sify,Customer Support,2021-12-28,5.0,Manager,Its nice place to work with,There are no negative issues
38,Sify,good,2021-12-28,3.0,Systems Engineer,Work life is good for Fresher.,Transfer policy and HR policy is bad
39,Sify,Improvements needed,2021-12-25,2.0,Anonymous Employee,"Compensation
Medical Insurance
More than industry average salary
Office location in main cities
Training is good","No work life balance
Toxic culture
Poor decision making
Lesser leaves
No importance to employee mental health"
40,Sify,Sify digital services gives me better opportunity,2021-12-24,5.0,Engineer Gnoc,Good company and provide good opportunity,No cons there to say
41,Sify,Advantages,2021-12-23,5.0,Anonymous Employee,Good to gain much knowledge,"Working at sify is good you can gain much knowledge working in sify

The only cons is shift timings, no free food."
42,Sify,Security Engineer@Sify Technologies lTD,2021-12-22,3.0,Security Engineer,"Good Shift Allowances, Health Insurance","Bad work life, Politics from Manager"
43,Sify,Below average IT company.,2021-12-19,2.0,Management Trainee,"1. Flexible work environment.
2. Work pressure is low.","1. Top management promotes a toxic work environment. Shaming people publicly, name-calling and derogatory remarks/abuses are a common sight. 
2. Unhelpful managers and no coherence between sales and technology teams.
3. Bad appraisals despite achieving the stated KRA and KPIs.
4. HR gave a very ambiguous JD and CTC breakdown.
5. All the company offices are struggling to accommodate the employees."
44,Sify,Good,2021-12-17,5.0,Anonymous Employee,Good Company to work with,No cons about this company
45,Sify,Data centre services,2021-12-15,4.0,Data Center Engineer,There is lots of new technologies available for learning a new platform.,Working environment is not gd
