,company,headline,date,overall_rating,author_position,pros,cons
0,Signpost ,Worn out pretty quick,2022-04-07,3.0,Sales Representative,"Young company with a lot of potential
Great training and a great way to start your career
Commission was decent","Base pay
Hard product to sell
Call 80-100 people a day"
1,Signpost ,Great Place to Learn Sales,2022-03-14,5.0,Sales Associate,"Helpful management, fun remote environment, clearly stated expectations, autonomy to structure your day.",Sales is a game of highs and lows.
2,Signpost ,I wouldn't take it.,2022-02-21,1.0,Sales Associate,Make your own schedule. Monday -Friday,Cold calling all day. They give you 6 weeks to make a sale if you don't make it you are fired. You're calling voicemails all day. People hang up in your face constantly. You're basically a telemarketer. And there's no method to success.
3,Signpost ,"Great, Communicative Team That GSD",2022-02-01,5.0,Senior Partner Marketing Manager,"Small company feel. Everyone works remotely so the culture is very communicative. People are authentic and there isn't a lot of politics or ego as we're all striving to figure things out and bring innovation to the company. While the company has been around for awhile, it feels like a start-up, so the world is your oyster! Competitive pay and unlimited PTO.",The company has gone through a rough period in the past in terms of relevancy and product development so it can be a challenge to shake off the old image when dealing with partners. With a complete new executive leadership team and backing from high tech investors- being part of the Georgian Group is making a huge difference.
4,Signpost ,Exciting new product releases + Management is amazing,2022-02-01,5.0,Anonymous Employee,"- I came into the business about a year ago, and I've been impressed and encouraged by my boss over and over. There is complete transparency and I've grown to trust the senior team.

- Honest, number-backed reviews. If you do a good job, treat others well and work hard, they have your back.

- New vision, products, and sales processes recently rolled out that are being well received by our customer base. It is a very exciting time and I'm pumped to be a part of what happens next.

- Talented leadership, especially in my department.",None that I have experienced yet.
5,Signpost ,Great atmosphere,2022-01-28,5.0,Sales Representative,The people and the culture are some of my favorite parts about Signpost. We've made some major changes to the company and the product in the last few months and I'm excited to see us grow more because of it. If you want to start your career in sales they have an amazing training program.,I'd say the base pay is a bit low but commission can make up for it.
6,Signpost ,COULDN'T BE HAPPIER!,2022-01-27,5.0,Support Worker,"I could not be happier ever since Signpost merged with Securus. Such an amazing group to work with and I am so proud to be apart of this company. Everyone is always willing to help others and upper management always makes sure you feel heard, valued and they truly care about you! I look forward to continuing to grow with this company and cheers to many more years to come here!",Nothing! I appreciate this company more than words can describe.
7,Signpost ,"10/10 Respect, Motivation, Opportunity",2022-01-27,5.0,Marketing,"I've worked for quite a few companies in the past decade, in both start-up and government environments. I can say that this is by far the best company I have worked for in terms of having a team that has a high level of respect for one another and a great sense of community. That is a hard thing to achieve in a remote work setting. 
To summarize the best things about Signpost, in my opinion: 
- The leadership team clearly defines their direction and goals, while being open and willing to listen and adapt 
- Signpost does a great job motivating individuals without immense pressure or undue stress
- There is a great opportunity to learn and grow without a sense of overstepping.","It's not perfect, but I think the fact that people are respectful and willing to listen and learn makes all the potential cons seem manageable and fleeting."
8,Signpost ,love,2022-01-21,5.0,Sales Associate,I love working here couldn't ask for a better job,love it here. nothing i would change.
9,Signpost ,Hounding on the calls,2022-01-19,1.0,Sales Representative,Benefits were decent. Good communication for the most part.,"If you're in the business of cold calling, this job is for you. But realize: cold calling over 100 times a day is brutalllllll. You'll get thousands of no's. And it's not fun. And you won't get to a point where you're finding success for several months."
