,company,headline,date,overall_rating,author_position,pros,cons
0,Silicon Valley Bank,Great company with values and principles!,2022-04-01,4.0,Senior Software Engineer,Good pay and employees are encouraged to upskill.,Rapidly changing goals as the company is transforming digitally.
1,Silicon Valley Bank,Good for young people,2022-04-01,3.0,Managing Director,"strong collaberation culture, Innovation, and insights in VC sector",political in senior management level
2,Silicon Valley Bank,Best place to work,2022-03-31,5.0,,Best Company to work for,No cons as far I see
3,Silicon Valley Bank,Good design culture,2022-03-30,4.0,Lead Product Designer,"Good design team culture. You get to work with cross-functional teams including researchers, content strategists, service designers, product managers, engineers.","But the organization's UX maturity level is overall low. If you are up for the challenge and to make a change here, there is definitely the opportunity to make an impact."
4,Silicon Valley Bank,Great benefits,2022-03-30,3.0,Anonymous Employee,Co-workers are great and really helpful,Changes in senior management and reporting structure
5,Silicon Valley Bank,Technician,2022-03-29,4.0,Technician,"Good all fine, thanks.
good work environment to work",nothing as such to address
6,Silicon Valley Bank,great company,2022-03-29,5.0,Investment Analyst,great company to work for,great work life balance here
7,Silicon Valley Bank,Great Culture,2022-03-24,5.0,Senior Financial Analyst,"Very understanding of personal time
Great Culture",Career growth is a bit limited
8,Silicon Valley Bank,Great environment,2022-03-20,4.0,Associate Development Program,"Great environment, support, benefits, compensation.","Work life balance, lack of support, lack of training"
9,Silicon Valley Bank,Decent Company,2022-03-19,3.0,Compliance Analyst,"Benefits, pay, work life balance",Often political at the management level
10,Silicon Valley Bank,Overall Great,2022-03-18,5.0,Anonymous Employee,SVB is consistently focused on hiring great people and maintaining a great culture.,Fast pace of growth poses challenges to some legacy technology.
11,Silicon Valley Bank,Employee oriented,2022-03-17,4.0,Anonymous Employee,"Company works on it’s ethic, employee oriented.",No onshore opportunities and below par level for promotion hike percentage
12,Silicon Valley Bank,Great company culture,2022-03-15,5.0,IT Project Manager,The company really cares for employees,I have not experienced any cons
13,Silicon Valley Bank,SVB's Design Culture is second to none,2022-03-15,5.0,Senior User Experience/UI Designer,"Working at SVB has been a wonderful experience, granted with a few growing pains along the way which is normal for a fintech company its size going through the transformation it has. The team fosters open communication, diversity, inclusivity, transparency, and using empathy for their team members and clients they design for. 
Being remote first also has its obvious advantages and disadvantages these days, but the leadership team manages to bring people close and build relationships through fun virtual team building workshops and non forced fun time to connect with each other that continues to strengthen the culture there.",The IT support could use improvement but again a normal part of the process of a company growing fast.
14,Silicon Valley Bank,Software Engineer 1 - Global Services,2022-03-15,5.0,Software Engineer,Amazing group of people and culture,- - - - -
15,Silicon Valley Bank,I understand why people love working here now,2022-03-11,4.0,Product Manager,Great culture - Everyone that has worked at SVB for a while are very friendly,"Some of the new hires from other traditional banks bring their own toxic culture to SVB - micromanagement, unnecessary stress, knowing how to delegate work to others but does not know how to do any of the work. 

Some senior product managers are not technically and technologically proficient. Spends a lot of time in meetings chatting about nonwork-related things."
16,Silicon Valley Bank,It's OK..,2022-03-07,3.0,Financial Crime Associate,"Work from home
Team members are nice","Few career progression opportunities 
Salaries and bonus low but pension is good
Managers don't do much to help out"
17,Silicon Valley Bank,Great place to work,2022-03-04,4.0,Anonymous Employee,Great leadership globally. Really look after the employees,"Career progression can be tough depending on what team/department you work in.
Not all departments are like this though"
18,Silicon Valley Bank,Hard to progress in UK,2022-03-03,4.0,Anonymous Employee,Great company and great benefits. Awesome culture and they really care about staff,No chance of progression unless you are in relationship banking or GFB to senior positions. There are now about 40 MDs in Relationship Banking with many staff promotions in job with no more responsibility. Very few MDs in RB would be at similar levels in other organisations and hugely over promoted. MDs in functions are few and far between with experienced individuals filling these roles and unlikely to move.
19,Silicon Valley Bank,Great place of work,2022-03-03,5.0,Senior Analyst,"Culture, people, clients. Growht has been great the past 10 years.","Salary is lower than other firms, and promotions are adhoc"
20,Silicon Valley Bank,Great company,2022-03-03,4.0,Senior Business Operations Analyst,great place to work and really cares about employees,low pay compared to other companies
21,Silicon Valley Bank,Good company to work,2022-03-03,4.0,Anonymous Employee,"Work life balance 
Remote options",No real career development pathway
22,Silicon Valley Bank,SVB,2022-03-02,5.0,Administrative Assistant,"amazing benefits, great incentives, strong friendly culture",hard to progress/be promoted given structuring of companies and scope for new roles to be created.
23,Silicon Valley Bank,Best place to work,2022-03-01,5.0,Relationship Banker,Great coworkers and good management.,"Outdated banking systems, which makes job challenging."
24,Silicon Valley Bank,Great People & Lots of Change,2022-03-01,4.0,Risk Manager,The best aspect of working for SVB is the people. Great people makes all the difference and SVB has tons of smart hardworking and kind people.,Lots of change. As SVB has become a Large Financial Institution it is undergoing significant change which means confusion around roles and responsibilities and different unsettled opinions about how to do things.
25,Silicon Valley Bank,Great Culture,2022-02-25,5.0,Senior Product Manager,Great Salary and bonus. Strong and healthy culture oriented to have a work/life healthy balance.,"Growing pains (i.e. silos, slow innovation/implementation/delivery, career development is said to be important, but at the end of the day, is really up to your direct manager)"
26,Silicon Valley Bank,Finally a place to call home!,2022-02-25,5.0,Recruiter,"Mission Rich Culture
Amazing People
Phenomenal Benefits
Pay for Performance",We're growing so fast that there is always so much to do!
27,Silicon Valley Bank,Good workplace environment,2022-02-24,4.0,Senior Operations Analyst,Good work culture n employee friendly.,Mid level management is the worst.
28,Silicon Valley Bank,Good place to Work,2022-02-22,5.0,Solutions Architect,"Good place to Work, Remote job, good benefits etc",Remote job/ no personal interaction
29,Silicon Valley Bank,Good Company lacking HR Leadership,2022-02-15,1.0,Human Resources Project Manager,Company is solid and has great benefits. The mission of the company is great. A lot of wonderful and smart people. Branding is great.,HR Leadership seems inept to deal with problems within the HR organization. They keep loosing key people and not realizing the reason why. The reason are HR leaders who can’t manage people and are stuck in their ways. I’ve seen HR leaders make people cry in meetings. The CHRO needs to clean house or else they will loose significant talent (which they already have).
30,Silicon Valley Bank,Startup Banking,2022-02-14,4.0,Associate,"Great benefits, great work life balance, fair pay and no work on the weekends.",Company is growing incredibly fast and it feels like some employees are being left behind while others are getting ahead. The employees that are getting ahead are either legacy employees or employees that mirror the cultural ideology at the bank. Performance reviews are barely discussed in detail.
31,Silicon Valley Bank,Good company but over worked,2022-02-13,3.0,Client Service Advisor,"Great benefits, the company has good potential",No work life balance no development of employees
32,Silicon Valley Bank,No,2022-02-12,5.0,Anonymous Employee,Best reason is the people,Downside is the travel code
33,Silicon Valley Bank,Excellent Employer,2022-02-10,5.0,Credit Officer,"- strong culture
- high growth
- innovation economy focused",- growth poses a challenge to infrastructure keeping pace
34,Silicon Valley Bank,SVB Review,2022-02-08,4.0,Credit Associate,"Good culture, interesting clients, good development program",Pay is not as competitive
35,Silicon Valley Bank,Great Rotational Program,2022-02-06,5.0,Associate,"Begin your career surrounded by high character, intelligent peers.",None. The best in venture lending.
36,Silicon Valley Bank,Good work environment,2022-02-06,3.0,Intern,Nice culture so everyone helps in achivj g goals,Fast growth so have to keep up with responsibilities
37,Silicon Valley Bank,Great culture with growth opportunity,2022-02-04,4.0,Portfolio Manager,Solid team environment with supportive senior staff,Client facing staff are pulled in multiple directions without enough support to deliver on all expectations
38,Silicon Valley Bank,Amazing culture and Leadership,2022-02-04,5.0,"Senior Manager, Talent Acquisition","SVB stays true to their core values and it is embedded into their company culture. The leadership team is empathetic, patient, brilliant and genuine. It's so nice to be working with professionals that treat you like a human first. It's such a warm environment that truly cares about the people working there. Competitive compensation and bonuses, amazing benefits and unlimited PTO",Can't think of any cons.
39,Silicon Valley Bank,Great people,2022-01-29,5.0,Director,"Excellent culture, low ego people, very relationship focused",Fast growth & all of the organizational challenges that come with that
40,Silicon Valley Bank,Excellent culture,2022-01-27,5.0,Software Test Engineer II,"Extremely employee centric organization
Great benefits","None as of now, working with SVB since last 1 year"
41,Silicon Valley Bank,Great Company,2022-01-26,5.0,Anonymous Employee,"Great benefits, fast past and growing",Continued need to build on technology
42,Silicon Valley Bank,Excellent Employer,2022-01-25,5.0,Administrative Assistant III,SVB actually walks the talk. They take care of their employees.,Internal shuffling of departments happens too often. Internal joke is that your group will report to a new area at least once a year.
43,Silicon Valley Bank,Great,2022-01-24,5.0,Anonymous Employee,Work life balance is great.,Great place to work. Awesome
44,Silicon Valley Bank,good,2022-01-21,5.0,Administrative Assistant,"good, productive, fair and fun",no complaints on my end
45,Silicon Valley Bank,Great Culture,2022-01-21,5.0,Investment Analyst,A departure from the traditional stuffy banks,Can be slightly disorganized given exponential growth but it’s not too much of a hinderance
46,Silicon Valley Bank,Associate,2022-01-21,5.0,Associate,SVB has a great culture and amazing people.,Not as big of a name in Boston.
47,Silicon Valley Bank,Awesome Company,2022-01-18,5.0,Associate,"Very interesting clients
Very structures program out of undergrad
Awesome and welcoming culture",None that come to mind
48,Silicon Valley Bank,Associate at SVB,2022-01-18,3.0,Associate,"Get to work with exciting tech companies and great benefits, nice and intelligent employees",Not paid enough for the hours put in
