,company,headline,date,overall_rating,author_position,pros,cons
0,SiliconIndia,Research of technologies,2022-03-20,3.0,Marketing Executive,Good work environment to work,Timnings are not flexible to work
1,SiliconIndia,Associate in process team,2022-03-18,5.0,Process Associate,"Good peoples. All are supporting.
Treat equally","No canteen
Need to improve facilities"
2,SiliconIndia,Market Research Executive,2022-03-16,4.0,Market Research Executive,"ontime salary
good place for freshers to start the career
good learning platform to learn about trending technologies","daily targets
no satisfactory hikes
work pressure
10 hours working
no other cons"
3,SiliconIndia,Gdhdh,2022-03-13,4.0,Technology Process Specialist,Not more may be employee are good,"Work, Timing, Price, Management, No Canteen"
4,SiliconIndia,Good to start.,2022-03-07,3.0,Market Research Role,Learning new things and experience.,Management very poor and selfish.
5,SiliconIndia,Company review,2022-02-27,2.0,News Writer,There are no positive reviews.,"Management is extremely rigid and does not try to understand the problems of the employees. 
I have worked for 2 years but did not get a single increment, whenever you try to talk to them about increasing salary they will not listen. 
Extreme pressure of work and no flexibility. 
There are no paid leaves in the company. 
The company can also fire you whenever they want. 
I can go on and on with the problems in the company and it won't end."
6,SiliconIndia,"It was mild, work schedule was hectic .",2022-02-24,2.0,Technology Process Executive,Good in Exposure your skills and talent. Good for Fresher,It has a very bad work culture.
7,SiliconIndia,Good experience,2022-02-23,2.0,Content Writer,"Good package
Learning opportunity
Incentives
provides good training","Bad culture
Night shift
No focus on values"
8,SiliconIndia,Subtle casteism,2022-02-20,2.0,Content Writer,"You get to meet people from different backgrounds. Although many people gets hired from Bihar, a considerable amount of people are from other states.",You don't get freedom to express your views through your articles. Beware of not getting paid at the right time. Will be working a minimum of 10 hours each day. Sometimes 6 days a week.
9,SiliconIndia,Good,2022-02-18,4.0,Market Research Analyst,For a freshers it's good,For experience salary is less incriment
10,SiliconIndia,Okay Company,2022-01-31,3.0,Senior Market Research Executive,Incentives given are quite okay.,"Too much unnecessary work pressure is created.
Can't complain to anyone about anything wrong happening to you while working."
11,SiliconIndia,Job experience,2022-01-30,4.0,Market Research Executive,It's good place to start your carrier. You have to be workaholic to settle here,Management issues. Asked to work overtime with no compensation.
12,SiliconIndia,A,2022-01-29,2.0,Market Research Analyst,"One and only thing, money",Everything apart from the above
13,SiliconIndia,Awesome,2022-01-19,5.0,Anonymous Employee,Great company everything great good seniors great ceo,Nothing as such everything is good
14,SiliconIndia,good,2022-01-18,3.0,Technology Process Executive,its is good company gain knowledge,thank you for the job
15,SiliconIndia,Not Recommened,2022-01-03,1.0,Anonymous Employee,"Nothing
There are no pros
There are no pros","No Growth
Pathetic Life
No Work-Life Balance"
16,SiliconIndia,Worst Workplace,2022-01-03,1.0,Market Research Executive,Please ignore this company soon.,Overtime work no bonuses no promotions
17,SiliconIndia,Fulltime,2021-12-28,2.0,Research Executive,Good enviornment. Working time flexible no night shift,salary is less 15 thousand
18,SiliconIndia,Good for Short Time,2021-12-20,1.0,Market Research Analyst,Used to be few pros when i worked now nothing,"Work-Life Balance
No proper pay structure can deduct anytime due to minor mistake
Most employees treated like slaves and can be fired anytime"
19,SiliconIndia,Not Bad,2021-12-10,3.0,Visualizer,A good place to work for,No work-life balance and no Compensations & Benefits
20,SiliconIndia,fine,2021-12-06,3.0,Software Engineer,"it's honest-to-goodness willingness to listen, learn, and grow.",no cons in this company.
21,SiliconIndia,Not Even worth for single start,2021-12-01,1.0,MRes Student,No pros as such.. Better sell chai,lot of cons need full day to explain
22,SiliconIndia,Overall it was a good experience,2021-11-27,3.0,Market Research Executive,Good work environment and support,"Politics and partiality
No proper hikes"
23,SiliconIndia,Fraud Company,2021-11-24,1.0,Sales Executive,None - Absolutely nothing good about this company.,"Cheats people with fraud promise. They claim 72k readers in US and 3-4 lakh readers in India, all blatant lies. They hardly print 200 magazines and cheat clients by just sending them a few copies.
Employees are not treated with respect, no benefits and really bad work culture."
