,company,headline,date,overall_rating,author_position,pros,cons
0,Simon & Schuster,good,2022-02-10,4.0,Account Manager,great place to work with,a lot of pressure need to bear
1,Simon & Schuster,"Great job, low pay",2022-01-24,4.0,Acquisitions Editor,"Creative, interesting work. Flexible hours and good management","Low pay, not a lot of room for growth/more pay"
2,Simon & Schuster,OVerall,2021-12-23,4.0,Associate Publicist,- Good working environment for me,- Lower pay than I expected
3,Simon & Schuster,Great,2021-12-05,5.0,Event Coordinator,"kind people
nice office
fun events
v b n j","low pay
low exit opps
bad area"
4,Simon & Schuster,Best place to work,2021-12-01,5.0,Financial Services Representative,"Awesome management, friendly staff and the best culture",Workload can get hectic sometimes
5,Simon & Schuster,Good work environment,2021-11-24,3.0,Experienced Senior Publicist,"Co-workers are amazing people who are smart, witty and well-read.",Lengthy and time-wasting meeting every day.
6,Simon & Schuster,S&S Employment,2021-11-08,4.0,Technical Designer,"Generally progressive values, flexible scheduling, creatively challenging.","Slow wage growth, no overtime."
7,Simon & Schuster,S&S,2021-11-05,5.0,Editorial Director,"Dynamic, scrappy, layered and nuanced.",A little cheap to go with the scrappy.
8,Simon & Schuster,Banalities abound,2021-10-21,3.0,Editor,The Subway is in the basement of the building,Arrogance amongst staff. Totally grounded in white supremacist business practices. Always reaching for the middle. The most important women in Editorial go after each other like it's roller derby.
9,Simon & Schuster,Okay,2021-10-11,3.0,Anonymous Employee,"Pretty supportive, good systems. Not into taking risks.",Not very into taking risks.
10,Simon & Schuster,Amazing job,2021-09-22,5.0,Nail Technician,It was a good time,Not really any cons at the moment.
11,Simon & Schuster,"People are great, but management decisions and support are lacking",2021-09-20,3.0,Graduate Student,"People are friendly, supportive, and want you to succeed",What management says doesn't align with actual decisions made
12,Simon & Schuster,Fantastic company,2021-08-27,5.0,Office Manager,"A caring ,collaborative extremely pleasant working environment.",No cons -Covid gave limited experience
13,Simon & Schuster,Not honest,2021-08-13,1.0,Anonymous Employee,Pay is good and benefits are decent there are other companies that don’t pay as much as SS and the benefits are better as well,They aren’t an honest company and you will be pressured to cover up any indiscretions made by the company and/or other employees
14,Simon & Schuster,Career Advancement,2021-08-13,3.0,Anonymous Employee,Most of my colleagues are easy going and have a good sense of work/life balance,There is limited room for career advancement as upper management places a premium on keeping low overhead
15,Simon & Schuster,"Mixed bag, but low pay was most important.",2021-08-08,3.0,Production Editor,"Intelligent, decent coworkers; decent benefits. Direct supervisors generally distributed work in a way that avoided late nights/weekends. Flexibility in taking on outside projects if they interest you.","Salaries were not generally adequate to the cost of living in NYC. (Many coworkers commuted from LI or Jersey.) That's true of a lot of book publishing, but companies really need to do all they can to make their employees' lives better. 

Bouts of layoffs, restructurings, and early retirement packages left a general feeling of fear about employment status."
