,company,headline,date,overall_rating,author_position,pros,cons
0,Slide Inc,Good,2022-04-07,5.0,Entrepreneur,Good time working as self employed,No permanent office to work at
1,Slide Inc,Self employment pro n cons,2022-04-07,5.0,Painter,Be your own boss at self-employed.,You have no one to ask questions because you are the boss.
2,Slide Inc,Work,2022-04-05,4.0,Shop Manager,They provide good opportunity to grow.,Salary packages are low level.
3,Slide Inc,Great place to work,2022-04-05,4.0,Marketing Coordinator,"1. Good work culture
2. Remuneration
3. Incentives
4. Opportunities
5. Flexible hours","1. Monotonous
2. Scope for improvement"
4,Slide Inc,Very GOod,2022-04-04,5.0,Product Specialist,A good company very good,Not many downside. very satisfied
5,Slide Inc,Great Work Experience,2022-04-04,5.0,Project Manager,"Good Job, Love working there","God Job, Long travel to work"
6,Slide Inc,Ok,2022-04-03,3.0,Anonymous Employee,"Self employed, make own schedule",Unreliable paycheck and benefits etc
7,Slide Inc,Loved It,2022-03-31,5.0,Senior Project Manager,Great environment. Good Management. Dynamic.,Low pay. Long Hours. No benefits.
8,Slide Inc,Good,2022-03-31,5.0,Student,Friendly atmosphere to work for,Challenging work that is also rewarding
9,Slide Inc,Fun,2022-03-30,5.0,Game Tester,Cool projects and flexible hours,Can get very boring at times
10,Slide Inc,neato,2022-03-30,4.0,Software Engineer,good to be honest yeah,not bad at all to be fair
11,Slide Inc,NSE,2022-03-29,3.0,Systems Analyst,Good to start with career.,Cannot afford for a long term.
12,Slide Inc,Good place to work,2022-03-25,5.0,Business Management Executive,"Flexibility, lot of options to learn",Small company with limited growth options
13,Slide Inc,Working for myself,2022-03-24,5.0,Business Development,Working from home. Highly flexible.,Not much opportunity to travel.
14,Slide Inc,amazing,2022-03-23,5.0,Data Analyst,amazing this is very cool. This is amazing.,I think the management board should improve
15,Slide Inc,Amazing,2022-03-23,4.0,SDE-1 Backend Developer,Work culture is very good here,Not counted any cons there
16,Slide Inc,Great experience,2022-03-23,5.0,Software Engineer,Intellectually interested and great company to work for,Work life balance can be challenging
17,Slide Inc,freelance consultant review,2022-03-16,5.0,Consultant,freedom to select clients and create your own schedule,developing self-discipline to be your own boss and to set deadlines
18,Slide Inc,no proper inputs,2022-03-15,4.0,Bakery Clerk,this is a good company,but it's also only here for me to see results
19,Slide Inc,Hhzjzj,2022-03-14,5.0,Software Engineer,Good nice amazing okay likeable,Long Turing expensive management okay
20,Slide Inc,Self employed,2022-03-09,5.0,Real Estate Broker,You set your own schedule.,It is Commission based pay.
21,Slide Inc,awesome,2022-03-08,5.0,Sales,benefits gym food court friends,work hours are very long
22,Slide Inc,Great experience,2022-03-08,5.0,Anonymous Employee,I loved working over here.,No cons for this particular company
23,Slide Inc,Great,2022-03-07,5.0,Project Manager,Great experience and good management,Too many hours. No time to myself
24,Slide Inc,Good company to work for,2022-03-07,4.0,Anonymous Employee,"Good hours, flexible schedule , good managers","Low pay , stressful job environment"
25,Slide Inc,Good,2022-03-07,4.0,Anonymous Employee,Good salary and good guidance,High pressure during certain periods
26,Slide Inc,Dev,2022-03-05,4.0,Software Developer,develop inside on test system,very very very very very
27,Slide Inc,Good place,2022-03-04,5.0,Software Engineer,Good place to work nice,Not a bad place to work
28,Slide Inc,Okay,2022-03-03,5.0,Business Analyst,Good management I love them,Bad salary ugh it sucks
29,Slide Inc,Best boss I've had,2022-03-03,5.0,Anonymous Employee,The deadlines are self-imposed. The boss never put pressure on me.,The pay is abysmally low.
30,Slide Inc,i work,2022-03-03,3.0,Software Engineer,cool work place overall it’s nice,a lot of work and not as much training for beginners
31,Slide Inc,good place to work,2022-03-02,4.0,Janitor/Cleaner,"people, office, management and many benefits","nothing to add here, really nice place to work"
32,Slide Inc,great company,2022-03-01,5.0,Customer Service Representative,thank you for letting me work here,nothing bad to say about this
33,Slide Inc,Sakes,2022-03-01,5.0,Sales Associate,It’s good to work here,There are none for gere
34,Slide Inc,Good,2022-02-26,5.0,Analyst,Good at pretty much everything there is.,None at all everything great
35,Slide Inc,Great place to work,2022-02-26,5.0,Anonymous Employee,Good benefits and work environment,Not as high pay as could be
36,Slide Inc,Spent valuable time here,2022-02-24,5.0,Director,Deep know how in the sector served.,Business flow tended to be volatile.
37,Slide Inc,good benefits,2022-02-22,3.0,Anonymous Employee,good benefits and flexible hours,limited room to grow in the position
38,Slide Inc,Great Company,2022-02-22,5.0,OFFICE MANAGER/BOOKKEEPER,Good work life balance and coworkers,None that I can think of
39,Slide Inc,software development,2022-02-20,3.0,Software Engineer,"nice culture, work life balance",no growth and promotions. very bad
40,Slide Inc,Great company,2022-02-20,1.0,Office Manager,"Great team
Great Location
Great team
Great Location
Great team","Low salary
Low salary
Low salary
Low salary
Low salary"
41,Slide Inc,Nice culture,2022-02-20,3.0,Software Engineer,Friendly coworkers and good working env,Work life balance and career progression
42,Slide Inc,Good company,2022-02-18,5.0,Software Engineer,"Good pay, good benefits, nice company",No cons experienced as of in the past
43,Slide Inc,Great place to work and learn,2022-02-17,5.0,Business Operations,Great place to work and learn,I cannot think of anything at this time
44,Slide Inc,very good,2022-02-17,5.0,Cleaning Services,so good and very satisfying,"no aspect lacking, all is good"
45,Slide Inc,good compony,2022-02-16,5.0,Junior Software Engineer,it is work life banlance company,too far for my home.
46,Slide Inc,Well and good,2022-02-16,5.0,Software Development Engineer In Test (SDET),"Less efficient, salary negotiable,Good environment , super place,salary is ok, Friendly employees, Superb","Less efficient, salary negotiable,Good environment , super place,salary is ok,"
47,Slide Inc,Super,2022-02-16,5.0,Expert,"super ,great, wow, excellent, mindblowing",don't know the reasons why we are here
48,Slide Inc,Good,2022-02-15,3.0,Research Executive,Good environment and working culture,Extended working time limit for employees
49,Slide Inc,Great company,2022-02-13,5.0,Deputy General Manager,"focus on medical, develop people's potentials",small company and not well organized
50,Slide Inc,coool,2022-02-11,5.0,Fry Guy,nice people and people be cooling for time,Long hours and people be bugging 24/7
51,Slide Inc,I don't know,2022-02-09,2.0,Assistant Manager,Why do I need to fill this in ? I just want to do some search,"This website sucks
You should let people search without making them fill in some info
What
Huh
Where"
52,Slide Inc,-,2022-02-09,5.0,Sales Assistant Lidl,"Good manager
Friendly staff
Staff discount
Great team
Nice place","Heavy work
To early shifts
Friendly Friendly Friendly great awesome"
53,Slide Inc,good environment,2022-02-07,5.0,Sales Associate,"good people, good environment, etc",Not much to add here
54,Slide Inc,amdkd,2022-02-07,4.0,Digital Marketing Manager,It was amazing to work here.,I was a little nervous at first but it was a holistic environment.
55,Slide Inc,lets go,2022-02-07,5.0,Anonymous Employee,very fun and enjoyable to work at.,nothing really - great environment and people.
56,Slide Inc,Piano Teacher,2022-02-06,5.0,Private Piano Teacher,"- self employed
- flexible time",- limited sessions per student (weekly)
57,Slide Inc,nice,2022-02-05,5.0,Engineer,The environment is very nice,There are no cons ok
58,Slide Inc,All right,2022-02-04,4.0,Campus Ambassador,"Good environment, great people, good connections",A lot of independent work
59,Slide Inc,Review,2022-02-03,4.0,Anonymous Employee,Good atmsophere and easy to work with others,Demanding job that requires a lot of overtime
60,Slide Inc,Land Development Firm,2022-02-03,5.0,Design Engineer,Small company with family atmosphere. Care about their employees. Lots of projects with reputable clients in the Tampa Bay area.,Limited room for employee growth.
61,Slide Inc,Self Employed,2022-02-03,5.0,Self Employed,"Flexible schedule, unlimited earning potential",No healthcare or other perks of working for a large company.
62,Slide Inc,Nice and sweet,2022-02-01,5.0,Job Captain,Great place to have snacks,Not much to say here
63,Slide Inc,great experience,2022-02-01,3.0,Creative,"lovely people, cool projects, fun environment, personal growth","lacking focus, a bit too scattered, not very clear"
64,Slide Inc,Excellent employer,2022-01-31,5.0,Artist,"Self employed
Interesting work
Creative work 
Room to grow","Self employed
Unpredictable 
Covid issues
Lots of hours"
65,Slide Inc,Telesales job don't be fooled,2022-01-29,1.0,Admissions Producer,Brand seems slick and cool,"Everything. The job is cold call telesales which they try to make sound prestigious. As a person of colour working for this company is bleak. They have a clear view of where you are when you are hired despite how qualified you are. It was a demoralising experience. The work was cold calling uninterested people all day. They don't like ideas or innovation. Sit down, shut up and be a telephone nuisance."
66,Slide Inc,Work here!,2022-01-28,4.0,Senior Manager,Amazing work environment and great benefits,Work life balance is not prioritized
67,Slide Inc,.,2022-01-27,5.0,Software Engineer,Great to work and nice environment,Lot of work load not manageable
68,Slide Inc,Great,2022-01-26,5.0,Paralegal,"Flexibility, location, work life balance","None, quiet, none, none, none"
69,Slide Inc,Good,2022-01-26,1.0,Software Engineer,Very good and I like it.,Not at all very good it
70,Slide Inc,great,2022-01-26,4.0,Anonymous Employee,good pay and work life,poor culture and health benefits
71,Slide Inc,job,2022-01-24,5.0,Anonymous Employee,great job at the slide company,could not work from home
72,Slide Inc,Great experience,2022-01-21,5.0,Self Employed,"pick your own hours
pick your clients","marketing 
finding new clients
sometimes work is slow"
73,Slide Inc,salary,2022-01-21,5.0,Associate Consultant,"Good lifestyle and offices, and nice food",many people working remotely righ now
74,Slide Inc,teach,2022-01-21,5.0,Anonymous Employee,culture exchange， culture exchange，culture exchange,lots of good staff good. nice
75,Slide Inc,Good experience,2022-01-20,4.0,Marketing Assistant,"Good salary
Good work environment
Caring bosses","Long work hours
Negative competition
Not many career progression opportunities"
76,Slide Inc,Go Good,2022-01-18,5.0,Sales Associate,"I really enjoyed working at Slide, Inc. So many interesting people, products and experiences. I am so glad I had the opportunity to work there",They need to pay a living wage. They lose so many people sincethey expect them all to intern.
77,Slide Inc,GreAt,2022-01-12,5.0,Account Manager,Great company to work at.,No cons I can think of
78,Slide Inc,Happy,2022-01-12,4.0,Manager,Good best Wow great nice,No cons as of now.. but good
79,Slide Inc,Good,2022-01-11,4.0,Anonymous Employee,Good for grow your career,Too much pressure to be the best
80,Slide Inc,Good,2022-01-06,3.0,Analyst,Good learning experience with team members,No work life balance management.
81,Slide Inc,Mangementt,2022-01-04,3.0,Management Trainee,Good for experience and fresher,No work life balance here
82,Slide Inc,Review for slide inc,2022-01-04,5.0,Software Developer,"Great environment 
Disciplined
Had a good experience",No cons for me i
83,Slide Inc,Ok,2022-01-03,1.0,Barista,Staff meal for free on shift,Nothing major comes.to mind now
84,Slide Inc,This isnt a real review,2021-12-30,1.0,Automation,Get to see salary on job title.,Forced to do a review on this site to see salary.
85,Slide Inc,brief opinion,2021-12-29,4.0,Part Time Cashier,"great place
well diversified
people were nice and helpful",There isnt a con that I currently think of right now for this company.
86,Slide Inc,Good,2021-12-29,4.0,Assistant Manager,Decent coffee cups in the office,Good place to work now
87,Slide Inc,GOod,2021-12-28,5.0,Software Development Engineer (SDE),Good for the freshers & senior,Every thing is so easy here
88,Slide Inc,Manage projects,2021-12-24,5.0,Senior Project Associate,Maple is the best ever,Syrup is great all the time
89,Slide Inc,Entry level,2021-12-20,5.0,Facilitator,Good Job overall. Great company and decent benefits,Not many cons overall decent job.
90,Slide Inc,Good,2021-12-20,5.0,Senior Legal Associate,Good work and good learning curve,Work life balance not there
91,Slide Inc,Working for myself,2021-12-16,5.0,Anonymous Employee,The hours are tippy top,The salary is no bueno
92,Slide Inc,I didn't do much,2021-12-14,5.0,Anonymous Employee,Its a great place to work,It has some not great parts
93,Slide Inc,Great company,2021-12-14,5.0,Engineer,Great experience for your career,Hard to get things done sometimes
94,Slide Inc,Head,2021-12-12,4.0,Anonymous Employee,Good good good good good,None none none none none
95,Slide Inc,Good company with excellent benefits.,2021-12-09,4.0,Anonymous Employee,Strong promotion on internal mobility,Some teams are great but some teams are just chaotic.
96,Slide Inc,not interested,2021-12-06,4.0,Customer Service Representative,remote work makes life easier,cant think of any at this time
97,Slide Inc,Nice,2021-12-04,3.0,Software Development Engineer In Test (SDET),Its a good company in salary,its to hectic for me
98,Slide Inc,Fun place,2021-12-04,5.0,Administrative Assistant,Nice place for a long t,Not fun placement lol but
99,Slide Inc,Great place to work!,2021-12-04,5.0,Receptionist,"Good pay, collegial staff, nice offices.",Too far of a commute (for me).
100,Slide Inc,Salary,2021-12-03,5.0,Senior Software Engineer,Good company to work and its godd,Nothing specificGood company to work and its godd
101,Slide Inc,Good,2021-12-03,4.0,Agent,Nice people clean and safe,Lower salary benefits are okay
102,Slide Inc,Ugh,2021-12-02,4.0,Financial Advisor,Management are really great would love to work their again,"Hate 
No 
Worst 
Stop 
No"
103,Slide Inc,Great comradery,2021-11-27,4.0,Data Engineer,Lot's of transparent communication within the company,- Strict hierarchy within the company
104,Slide Inc,Great,2021-11-24,5.0,Security Officer,Great and super kind people,None I can think of
105,Slide Inc,Private tutor,2021-11-23,5.0,Math Tutor,"Flexible times, and decent money.",There were not many negatives.
106,Slide Inc,Great Workplace,2021-11-23,5.0,HR Manager,They pay you a good Salary and provide nice Boni,Much work to do in not enough time.
107,Slide Inc,Yes,2021-11-22,5.0,Marketing,Yes - it’s a great company,No - nothing bad to say
108,Slide Inc,Good people but not a great IT culture!,2021-11-20,4.0,SRE%2FDevOps Engineer,"People are very helpful
Team is small","Not a great IT cultural
No tasks assigned"
109,Slide Inc,Self-Employed,2021-11-18,3.0,Anonymous Employee,"I am self-employed, which gives me a high degree of flexibility.",Being self-employed requires a lot of discipline and performance of administrative tasks.
110,Slide Inc,Nice work culture,2021-11-18,5.0,Associate Software Engineer,"Nice work culture 
Lots of benifits
Lots of friends
Huge salary benifits","More work load
Food not provided"
111,Slide Inc,Self Employed is the only way to go,2021-11-18,5.0,Chief Executive Officer,"Absolute freedom, accountability, flexibility, maturity, transparency",Chief cook and bottlewasher of all
112,Slide Inc,pretty good,2021-11-17,5.0,Software Engineer,pretty okay but no free lunch,yes not bad not bad i just wanna sign up
113,Slide Inc,Good experience,2021-11-12,3.0,Private Tutor,Teaching experience at your ease.,"Low payment
Moderate freedom
Poor status in society"
114,Slide Inc,Ok,2021-11-10,5.0,LVN,Stay busy and active in community,Too much work for pay and safety
115,Slide Inc,review,2021-11-08,5.0,Analytics,good charm and high progress,bad teamwork with some different people
