,company,headline,date,overall_rating,author_position,pros,cons
0,Snapdeal,bad company,2022-04-03,2.0,Anonymous Employee,none to write here or mention,"vc funded company, poorly executed"
1,Snapdeal,Nice place to work learn new skills,2022-03-31,4.0,Lead Developer,Good work life balance . Good to learn and enhance skillsets. Few managers are very good . Hr and support team is best,"Need to improve little in managers attitude.
More relaxation to female employees."
2,Snapdeal,Product Analyst,2022-03-28,5.0,Anonymous Employee,"Amazing culture
So much to learn here",No cons yet experienced by me
3,Snapdeal,A pleasant experience,2022-03-24,5.0,Anonymous Employee,"It was a good experience overall, nice benefits",It can get busy and the workload can be large at times
4,Snapdeal,Good work,2022-03-21,3.0,Lead Engineer,This is a good company to work for,"Innovation 
Nothing else to be honest"
5,Snapdeal,good company,2022-03-19,3.0,Enterprise Manager,Good Work culture in sd,learning is slow in sd
6,Snapdeal,Great Culture,2022-03-08,4.0,Lead Data Scientist,"1. Freedom to experiment
2. Opportunity to work on some of the best data science problems in e-commerce
3. Employee friendly culture","1. Lack of clarity at times when it comes to data science.
2. Not enough investment towards building a great Machine Learning team."
7,Snapdeal,Amazing place to work with,2022-03-07,5.0,Senior Executive Operations,Amazing place and awesome people ang health environment.,Lovely place and learning environment.
8,Snapdeal,Day 1 @ Snapdeal - Honest Review on Onboarding,2022-03-07,5.0,Category Manager,I worked with 5 companies in the past 8 years but never experience such a flawless onboarding process. Everything is well planned and organized by the HR Team. Policies and Benefits are looking favourable to us fingers cross.,No Cons as of now.
9,Snapdeal,Company culture is so so good,2022-03-07,5.0,Assistant Manager,"The company culture is very friendly, especially the HR behavior and the first induction I loved.
 I have not seen this in any of my previous organizations.
 I'm feeling Very proud to work with Snapdeal.",Nothing to say. Because all are looking good
10,Snapdeal,great orientation,2022-03-07,5.0,Quality Assurance Manager,"1. making well comfortable to all new employ...

2 .provided all relevant info about the organisation in such simple and jolly way...",its too early to say ...
11,Snapdeal,Good learning environment but pay not upto industry standards,2022-03-06,4.0,Software Engineer-1,"Awesome team, tons of exciting projects to work, learn from.
Good work life balance","Pay not matching industry standards, resulting in frustration.
Lowballing is prevalent, especially in appraisals."
12,Snapdeal,Excellent place to work,2022-03-02,5.0,Manager,"A great culture where executive to CEO all sit at open desk , No cubical. 
Nice office, comfirtable work environment. 
So good so far",Office location is slightly odd
13,Snapdeal,Onboarding Process,2022-02-28,5.0,Manager Supply Chain,"1. It was a great 1st day.
2. Karre OK - I really enjoyed it",No cons in this organisation.
14,Snapdeal,"Company lacks focus, innovation but it's a good tag to have on your resume",2022-02-24,2.0,Lead Business Analyst,"Work life balance, Tag of a Product based company,decent peer group,flexible work hours","Lacks innovation,good for people who want their salary on time but don't want to work or learn,no work from home,no learning on the job, company's future looks bleak"
15,Snapdeal,Honest and not a forced positive review,2022-02-24,3.0,,"Flexible timings are the best thing and when on site, no one records the number of hours spent in office.","1. Employees especially in the data science department are over worked and reach their saturation point real quick.

2. Micro management (they tell you to make an excel where you write what you are doing and update it constantly everyday)

3. An analyst is forced to handle 3-4 tasks going on simultaneously and expected to deliver at 1-2 hours of notice.

4. Work can come at 8pm after you have shut your laptop and they expect you to deliver during the same day itself. (You somehow deliver the huge analysis and the next day ur manager tells you he has not done anything with the data and told you to add more stuff to it, so he can send it later on the next day)

5. Only sql and excel is used 99% of the time. (No
python,tableau,power Bl,etc if someone wants to learn)

6. No respect and dignity shown to the employees, they are treated as objects.

 7. The best thing is that an analyst does everything but actual analysis."
16,Snapdeal,Good,2022-02-15,4.0,Operations,"Good working environment, good perks",Too much pressure to achieve targets
17,Snapdeal,mix,2022-02-10,2.0,Manager,Good place to work till the covid time.,Job Stability is an issue
18,Snapdeal,Good,2022-02-08,3.0,SSE- Development,"Good place to work
Work Life balance",Not much to learn there
19,Snapdeal,Good culture,2022-02-07,5.0,Anonymous Employee,Interesting project and Good learnings,Too much work load :)
20,Snapdeal,It was great experience with snapdeal,2022-02-03,4.0,Team Leader,Seller helpdesk there was awesome process in snapdeal,But upper management was so supporting only company should provide the cap also..
21,Snapdeal,Gurukul of E-commerce...!!,2022-01-27,5.0,"Senior Manager, Business Development",The Best Place for Learning..!,I will update once I experience it...!
22,Snapdeal,Great,2022-01-25,4.0,Software Engineering,Very good company to work with,Salary and benefits are not good
23,Snapdeal,Awesome Place to work,2022-01-25,4.0,Senior Director,"Output oriented culture, Great colleagues, lots of opportunities to learn",Too much of office politics
24,Snapdeal,Great place to work,2022-01-24,5.0,Senior Product Manager,Great place to work in snapdeal,no cons working in snapdeal
25,Snapdeal,Best company to work,2022-01-21,5.0,Business Analyst,"Good work environment
Long term vision
Teams knows how to stay active in tough times",No Cons feels in a spam of 8 year.
26,Snapdeal,Great Experience,2022-01-21,5.0,Senior Manager Merchandising Strategy & Category Development,"Smooth onboarding, vibrant office, supportive teams",Nothing as such. All is good till now
27,Snapdeal,All Good,2022-01-21,4.0,Associate Marketing Designer,Good HR team nice on boarding experience,Till now nothing all good
28,Snapdeal,Best place,2022-01-20,4.0,Assistant Manager,Learning experience and new skills,Working hours are more than 9 hrs
29,Snapdeal,Good,2022-01-20,4.0,Operations Manager,Very good company to work with,No cons could find till now
30,Snapdeal,Onboarding Experience,2022-01-20,5.0,Category Manager,"Helpful people and culture
Clarity of purpose",Could include cross functional team KT
31,Snapdeal,Dream Comes True,2022-01-20,5.0,Cluster Head,I heared lots of positive things about snapdeal like helpful nature of seniors and lots more.. i feel lucky to working at snapdeal.,I didnt feel that there are any downsides of working at snapdeal.
32,Snapdeal,Company you can look to work for,2022-01-14,5.0,Deputy Manager,Very healthy work culture in Snapdeal,Still can’t find any cons in the company
33,Snapdeal,Best Place to learn and Work,2022-01-13,5.0,Assistant Manager,Snapdeal is really a best to work and learn simultaneously.,Nothing have been found yet.
34,Snapdeal,Great culture,2022-01-13,5.0,Senior Director,"1. Collaborative culture
2. Great team
3. Fabulous founders",Work life balance can be better
35,Snapdeal,Great Place to Work,2022-01-13,5.0,Category Manager,Good people to work with and great work environment and culture.,I don't find yet any problem
36,Snapdeal,Best Place to Work and Good Work Culture,2022-01-13,5.0,Associate Lead,Good environment & very supportive team,"No, nothing from my side."
37,Snapdeal,Head First Mile Ops,2022-01-12,5.0,Associate Director,"Freedom working environment, good leadership team",nothing to say as of now
38,Snapdeal,My experience at Snapdeal.,2022-01-12,5.0,Data Analyst,"1) Amazing Work Culture.
2) Flexibility.
3)Great work.",No cons as of now.
