,company,headline,date,overall_rating,author_position,pros,cons
0,Swiggy,Good,2022-04-09,5.0,Online Reputation Management,Swiggy is like a family. Amazing management and excellent efficient in handling the employees,No cons as such. I really admire the work place
1,Swiggy,Good one,2022-04-08,5.0,Software Development Engineer,One of the best salary. Helping colleagues. Awesome culture,Not as such. Employee benefits could have been better.
2,Swiggy,Great company to work for.,2022-04-07,5.0,Software Engineer,"Work Culture, Good pay, Balance",Nothing as such cons are there
3,Swiggy,Na,2022-04-07,5.0,Manager Sales,"Good culture , employee centric",Growth and culture post covid has changed
4,Swiggy,It's good,2022-04-07,4.0,Swiggy Delivery Boy,Not to work under pressure and we work upon flexibility,Payout is less and sometimes customer care didn't support well
5,Swiggy,best company,2022-04-07,5.0,Key Account Manager (KAM),best company to lean and work,none to highlight or that matter
6,Swiggy,Good,2022-04-07,3.0,Delivery Driver,Good good good good good,None what so ever here
7,Swiggy,good,2022-04-06,5.0,,i will work in another country,language and peoples are good enviroment
8,Swiggy,Good company,2022-04-06,4.0,On Call/Freelancer,Lots of opportunity for newcomers.,Less margin is provided for freelancers
9,Swiggy,Good,2022-04-06,5.0,Business Analyst,Money is good in swiggy,Delhi is bad for health
10,Swiggy,Good,2022-04-06,5.0,Business Analyst,Money is good in swiggy,Delhi is bad for health
11,Swiggy,I will recommend the company,2022-04-05,4.0,Marketing Specialist,"1. Culture 
2. People 
3. Flexibility","1. Processes are missing (most startups are like that)
2. They don't hire experienced laterals in domains where its required. I have noticed there is no logic in hiring process. People with 6-8 yr experience are hired at position of GM or Director etc. 
3. Be careful before accepting the offer & negotiate well."
12,Swiggy,Ops role,2022-04-04,4.0,City Ops Head,"Good work culture, strong learning.","Frequent policy changes, 24/7 ops"
13,Swiggy,Nice Place to Work,2022-03-30,5.0,Software Development Engineer (SDE),"- Good salary
- every quarter leave apart from exisiting.
- Recognition for different swiggy values. 
- Good place to learn","Work load is more comparatively, but its not a con"
