,company,headline,date,overall_rating,author_position,pros,cons
0,TechTarget,Enjoyable place to work,2022-04-06,5.0,Senior Account Manager,"Selling industry leading technology in the B2B intent marketing space 
Strong client retention and satisfaction which makes renewals easier 
Nice new office 
Merger with BrightTalk yielding results 
Strong benefits, lots of social outings, fun colleagues",Basic package perhaps below industry average.
1,TechTarget,Poor pay and low morale,2022-03-31,2.0,Marketing Manager,"The job and work culture are incredibly laid back. It's not a good environment for learning about marketing or advancing your career, but it's good if you're looking for something relatively pressure and stress-free.","The pay is very low. Raises come annually, but never at a high enough rate to get you close to market value. It's not a very good environment for learning because the company culture is as a whole very laid back. A good portion of upper management has been at the company since its start in the early 2000s, so the company overall lacks the fast-paced feel you might imagine at the tech companies TechTarget serves."
2,TechTarget,"Nice company with good vibes, but not so generous with salary",2022-03-24,5.0,Marketing Associate,"-good benefit
-comprehensive training
-upscale modern office
-perfect for fresh grad
-awesome leadership","-low salary, $50k/ year, healthcare, company will match 50% with your 401k for up to 3k per year. We are talking about 26k per month after tax, If u have mortgage, then this place is not for you."
3,TechTarget,"Overall great experience, low pay forced me out",2022-03-18,4.0,Marketing Associate,"Great company overall, the product is very useful and exciting. Unlimited PTO and so many Holidays it was hard to keep count. The team was very supportive and had a great impact on my professional growth!","The pay is VERY low compared to industry average, I think this is a great company for recent college graduates to get started at. New internal campaign request roll out is a little disorganized which makes things difficult to stay on top of."
4,TechTarget,Good Place to Learn and Be Proactive,2022-03-14,4.0,Senior Data Analyst,"Lots of opportunity to explore different data sources and business areas, especially if you are interested in project management, specifically direct communication with stakeholders and developers; great paid holiday and paid time off benefits; friendly and collaborative atmosphere.",Shared goal setting across teams and departments could use improvement; opportunities for career advancement were limited.
5,TechTarget,Na,2022-03-09,2.0,Campaign Manager,Colleagues are very nice friendly,Everything else in the company
6,TechTarget,An exciting time to be at TechTarget!,2022-02-25,5.0,Senior Sales Enablement Manager,"-TechTarget is seeing a lot of growth right now, which gives the business (and the employees at the business) a lot of opportunities to maximize their potential.
-Supportive culture that invests in the mental health of their employees (recently introduced more company holidays)
-Flexibility and understanding in different people's schedules","-Maybe not the right fit for someone that doesn't like a fast paced environment, but for me fast paced means I get to see immediate gratification for my efforts"
7,TechTarget,Great spot for young marketers,2022-02-23,5.0,Anonymous Employee,"If you want to go into marketing or are already in marketing, it's a great company because it sells marketing services/data so almost every department has a marketing element to it. Product marketing, customer success teams that advice clients on digital marketing best practices, sales enablement/field marketing, market research, corporate marketing, audience recruitment, etc. These are all different and sizable departments so if you don't like the first job you're in, there's probably something else you would like and if you perform well, inter-department transfers/promotions are common. Great place to learn the ropes and work with an entire company that feels passionately about online marketing.",The experience can vary depending on the department although most are good.
8,TechTarget,Bad place to work,2022-02-23,1.0,Marketing Ops,"Unlimited PTO, but they guilt you if you take it so you just have to be strong and set boundaries.","Low pay, hard expectations, bad management"
9,TechTarget,Amazing Company!,2022-02-22,5.0,Anonymous Employee,"Great culture, fantastic people, lots of flexibility
Solid benefits, including many 4-day weekends",I haven't found any yet!
