,company,headline,date,overall_rating,author_position,pros,cons
0,Telmex,Good,2022-01-17,3.0,Programmer,"small company
friendly team
salary is good","old company
hardware oriented
location is far from big city"
1,Telmex,good,2022-01-14,4.0,Network Engineer,"good, punctual, bonus, flexible, robust","n/a, dos, tres, cuatro, cinco"
2,Telmex,Good company,2021-07-09,5.0,Warehouse Manager Assistant,good payment compared to average in Torreon,I havent found one in my 5 years experience
3,Telmex,"Great company, people and benefits, but workloads and stress not that much",2021-05-26,4.0,Sales Manager,"The market leader for IT/Telco in Mexico, Central and South America
Everyone recognizes Telmex background and benefit
All the benefits by law and even more
Belonging to one of the biggest corporate groups in Mexico","Extreme workloads
Micromanagement is usual
Stress and overtime at full"
4,Telmex,Front End Developer,2021-03-06,3.0,Front End Developer,"Good coworkers, sometimes interesting projects.","Repetitive tasks, tight deathlines out of nowhere."
5,Telmex,Good place to work,2020-12-22,4.0,Network Engineer,Salary Is good but not the best,It needs a lot of time to grow
6,Telmex,Top company of telecommunications organization in LATAM,2019-09-24,3.0,Talent Management Coordinator,"Good salary
First in market in their sector","Need to improve their culture
narrow budget policy sometimes is challenging to manage"
7,Telmex,"Hard work, high discipline required",2019-09-05,3.0,Product Manager,"High stability, good opportunities to learn, high volume, big numbers","Lots of work, dehumanization,  volatile decisions, Negative Internal competition, Low Executive communication"
8,Telmex,Work Experience In a Large Company,2019-06-26,4.0,Maintenance Supervisor,Stability. Income Above Average. Interpersonal Work Relationship. Broad Technical Expertise Learning.,Relationship / Conflicts with the syndicate.
9,Telmex,This is like a SEALs training in Corporate. Everything is easy after Telmex.,2019-05-21,4.0,Business Manager,"You will learn everything about business and telecommunications here, and if you are keen to really understand how things work in a corporation, this is your best opportunity.
Everything you do impacts the whole country and you can tell immediately.","It is a centralized organization. Everything is decided by the CEO, so it makes the company extremely slow. You have to be good (or willing to learn) at Business Politics to understand and make things happen."
10,Telmex,Stable work,2019-04-27,3.0,Operador Multiplataforma,"Good benefits above the law
Stable work","Very slowly growth
Lack of good managers"
11,Telmex,Old fashioned management... not so bright future!,2018-10-22,3.0,Customer Experience Executive,"Stability, Salaries, Learning Oportunities, Benefits","Poor leadership, machismo, not customer centric culture, bureaucracy, non existent flexibility"
