,company,headline,date,overall_rating,author_position,pros,cons
0,Tencent,tencent is the dream from my younger age,2022-04-08,5.0,Senior Artist,"Resource , tech support, good income, have it's own system for everything",Need to be more international.
1,Tencent,Challenging and Rewarding Environment,2022-04-07,5.0,Recruiter,"- Great work environment 
- open-minded and internationally experienced management 
- Individual ownership
- good company perks (gym, and etc)",- long decision making processes internally
2,Tencent,Pretty good in game industry,2022-04-07,4.0,Anonymous Employee,great place to work but so much politics,"lots of over time working, too heavy"
3,Tencent,A nice and different journey in my career,2022-04-07,5.0,Recruitment Manager,"* Mentor assigned for me in first 3 months to help me get into Tencent and the team easily.
*Nice benefits like free coffee, gym, shuttle bus and festival celebration
*Lots of training courses for employees to learn
*Manager and the team are very professional, lots of knowledge and skills to learn from them. Easy and equal to discuss everything openly.
*Change is quick here, busy but you can grow rapidly.",Looking forward to more cross-cultural things to make the company more international.
4,Tencent,Overall a Good Company,2022-04-07,5.0,Anonymous Employee,"- Good Culture
- Flexibility
- Competitive Salary and Benefit","Fast Pace, Many Things to Learn"
5,Tencent,1,2022-04-06,5.0,Game Designer,so cool to work here welcome vibe,as no too many cons
6,Tencent,Researcher,2022-04-05,5.0,Researcher,"good payment, flexible environment, good people","high workload, plan less, keep trying and hit the wall, and try again"
7,Tencent,a,2022-04-04,4.0,Associate Director,The company feels good so far,The company is currently feeling disorganized
8,Tencent,Balanced View,2022-04-01,5.0,Corporate Functions,"1) This may be surprising but I'm having adequate WLB - Bosses are flexible, colleagues are supportive - End of the day, it's an output driven company - Work smart and deliver results, you can plan how your schedule goes.

2) Culture is great, there are team bonding budgets for team planned activities, social activity clubs for people to participate outside of work (running club / badminton club etc)

3) It's always about looking to be better, faster and of higher quality - The company is relentless in its pursuit of excellence which is why they have grown to what they are today

4) I was blessed with great team managers, through them I felt empowered and they had often pushed me to do better - Again, this is all in the mindset, do you perceive feedback as constructive or criticism?

5) Compensation is competitive but when is money ever enough?","1) Systems are not the best, unintuitive and often fragmented - You will need to be versatile in finding alternative ways to track your own work processes and deliverables

2) Ambiguity is really for breakfast, lunch and dinner - If you enjoy solving problems as they come and not having a dull day, this will be great

3) Structure is more business group driven as opposed to a regional format, might take some adjusting of mindsets to get used to the matrixed environment

4) Market share in some business groups may not be great but that presents opportunities to make things happen

5) Pros mentioned above might vary from team to team, it still largely depends on the team's leadership and style - so please do your own due diligence during the interview process"
9,Tencent,Chinese Tech giant on the way to become a Global player,2022-03-31,5.0,Global Operations,"- Startup mindset, flat teams
- Nice mix of China/International colleagues 
- Leading position in videogames 
- Good work environment: more flexible & semi-remote opportunities
- Focus on 'quality', not just 'fast' esp. on Games/Talent/Design","- Most of the culture is quite China-centric (but I see some changes)
- Globalization is still in progress: main decisions & resources are at the HQ"
10,Tencent,best culture in Chinese tech giants,2022-03-31,4.0,Data Analysis Manager,"-best culture among Chinese internet companies
-big platform and can learn from different business","- not the best pay in the industry 
- ToB business not as strong as ToC"
11,Tencent,"Great company, Nice Colleagues",2022-03-31,5.0,Intern,"Fruitful learning resources, Friendly colleagues, Good welfare","relatively demanding, the pace is fast"
12,Tencent,Lousy mid management,2022-03-31,3.0,Anonymous Employee,a generous company and strong position in gaming and WeChat,"losing the innovation momentum, lousy mid-management, and very hierarchical"
13,Tencent,happy,2022-03-30,4.0,Security Engineer,Strong technical atmosphere and happy,no no no no no
14,Tencent,Relatively Good to join,2022-03-30,5.0,Human Resources Specialist,"flexible working style
working with talents","bad work-life balance.
location of HQ"
15,Tencent,Good company,2022-03-29,5.0,Anonymous Employee,Great work atmosphere and high-tech oriented,Full of hard-working colleagues around you
16,Tencent,overall evaluation,2022-03-29,4.0,Software Engineer,"flexible working hours, benifits.
WLB when compared to other giants.","Frequent reorg of non-core businesses, PIP."
17,Tencent,1,2022-03-28,5.0,Software Engineer,full of enterprise and initiative,do not like communication and careless
18,Tencent,Tencent,2022-03-27,4.0,Game Designer,Benefits are decent. It's a huge company with rooms to grow.,The structure of the company can get very complicated and hence affect decision makings.
19,Tencent,Great Team,2022-03-25,5.0,Product Manager,Worth coming! I love the team,No annoying issues I believe
20,Tencent,quite decent workplace,2022-03-25,4.0,Anonymous Employee,"company values are overall quite good；
colleagues overall are young, nice and energetic people；",still new to its internationalization；
21,Tencent,100%,2022-03-24,5.0,Human Resources,Great culture very people centered,Not a big presence in Canada yet
22,Tencent,Only join if you’re comfortable with Chinese,2022-03-23,2.0,Product Manager,Great benefits and exposure to problems at scale,"Super Chinese culture, if you’re Chinese is not strong please stay away"
23,Tencent,1,2022-03-22,5.0,Account Manager,"very nice,  a lot of opportunity",too juan no work life balance
24,Tencent,System Engineer,2022-03-21,5.0,Systems Engineer,A very good company for developing,Work time is too long
25,Tencent,Good working environment and nice colleagues.,2022-03-21,4.0,Senior Researcher,Everyone has good qualification and is smart there and I feel I can learn from them everyday.,"The software infrastructure of the overseas offices is not easy to use, compared to AWS or azure."
26,Tencent,bad,2022-03-21,1.0,Software Engineer,"no any good points, very bad","it's a very bad company, many ot"
27,Tencent,good place for work,2022-03-20,5.0,Anonymous Employee,1. good employee benefits 2. good business resources,1. not international enough 2. housing price in shenzhen (global headquarters) is too high
