,company,headline,date,overall_rating,author_position,pros,cons
0,Texas Instruments,Texas Instruments Dallas,2022-04-09,4.0,Mechanical Engineer,Good compensation and profit sharing is a huge plus.,"Very fast paced, work life balance can be hard"
1,Texas Instruments,Constant Change,2022-04-08,4.0,Manufacturing Supervisor,Good people to work with! Great benefits!,Management changes constantly which changes company priorities.
2,Texas Instruments,Good Place to Stay (Bread and Butter),2022-04-06,4.0,Senior Process Engineer,"Good work opportunity, environment and Ethics is a top priority.","There will come a point wherein you will burn out due to high demand, hectic and stretch in roles."
3,Texas Instruments,Texas Instruments,2022-04-06,4.0,Manufacturing Engineer,Good company to work for. Good work environment,Benefits are not great. No WFH
4,Texas Instruments,Decent to work if you want to learn supply chain sales and marketing,2022-04-06,4.0,Senior Member Technical Staff,"TI has a huge portfolio of product so for marketing, sales,supply chain its a good place to work. Their portfolio is > 50k products! Its also essentially a manufacturing company .",Ok TI is cheap cheap cheap when it comes to salaries in engineering. Expect a 2% increase year on year. Run for the hills if you are a SW guy. Innovation has gone close to zero. Just look at IEEE papers and you will see none or few from TI. so the quality tech folks  are gone. You have either some old folks ( brilliant) but close to retirement so they dont want to move or the fresh grads from college who couldnt join a better company. A lot of their engineering has also moved to india. so Dallas is mostly marketing sales demand create.
5,Texas Instruments,yeds,2022-04-06,3.0,Anonymous Employee,great work ahead yay. Love,Not a signle bad word
6,Texas Instruments,Title,2022-04-06,4.0,Engineer,It's an amazing facility to work at,I wish i had a closer parking spot
7,Texas Instruments,"Great company, tough times",2022-04-06,5.0,Product Marketing Manager,"Great company to work for
Great early career company to learn a lot
Most manager are engineers (no-BS culture and can be great coaches)
Internal promotion prioritized so 'company hopping' is not needed to have a successful career","COVID and hiring practices are making work/life balance tough.
Most manager are engineers (good engineer =/= good manager)"
8,Texas Instruments,Meh...,2022-04-05,2.0,Engineering Manager,Steady job with decent pay. Could be more competitive. That's about the only good thing so far.,"I’ve been with the company about six months now and doubt I’ll be there much longer. I was part of the Lehi Fab that Micron sold to Texas Instruments. Mediocre sums up my experience so far. TI was a once industry defining company that is now one that most people don’t even realize is still in business. TI is in a business that just doesn’t promote or rely on innovation, and as such they don’t incentivize their talent in any special way, nor do they seem to concern themselves with the retention of any of their workforce.
Their claim to fame is the efforts of a single employee, Jack Kilby, whose contributions to TI are over forty years old, back when TI was a different company with different goals. Now they’ve devolved into a budget business reliant on used equipment, decades old technology, and human resource practices that I haven’t seen any company employ in over twenty years.
TI is a profitable company, for sure. But profitability is not a direct measure of the employee experience or the culture of the company. The truth is that my transition to TI saw a huge increase in my employee health care costs, a massive reduction in budget, and a complete 180 in enabling innovation and career growth.
My advice to people that are looking at jobs at TI is to not be fooled by any of the short-term recruiting tactics. There are extremely limited career opportunities once you hire on. There is a huge lack of incentive to retain employees past the first 2-5 years. And finally, and most importantly, the culture of doing the bare minimum for the bare minimum is extremely frustrating, especially if you want to do bigger and better things with your life. Other than a simple steady paycheck, which I understand is all that some folks need, TI doesn’t do much for the soul. In the end working at TI feels hollow and unappreciated."
9,Texas Instruments,Good place to start your career,2022-04-04,3.0,Applications Engineer,"Exciting projects to learn from, good rotation programs,","Too much politics, bureaucracy. Management don't know what their doing, Confined to your role: apps do apps, marketing focused on marketing, validation in lab, bored doing the same tests."
10,Texas Instruments,Environment,2022-04-04,3.0,Technician,Profit sharing benefits were good,The management style didn't work out well for me
11,Texas Instruments,Good for starter,2022-04-04,4.0,Designer,Nice colleagues and learning experience,Work life balance Is not goods
12,Texas Instruments,TI,2022-04-04,4.0,Engineer,Very very flexible work hours,I can’t think of anything
13,Texas Instruments,Senior Design Engineer,2022-04-03,4.0,,"work life balance, career growth","older tech nodes, slow execution"
14,Texas Instruments,"For Baguio, PH plant only - Great company but really stressful",2022-04-02,4.0,Test Engineering Manager,"Good pay for Baguio & in Philippines in general
Work is fulfilling
Great opportunities for good performers
Gives good trainings
One of the best companies to work for in Baguio","Quite political
Really stressful culture
Lots of clerical work for engineers"
15,Texas Instruments,Okay,2022-04-02,5.0,Machine Specialist,"Nice coworkers
Get to have 3-4 days off 
Overtime pay
Yearly bonus","Management
No room for getting better position unless you know people in the higher ups"
16,Texas Instruments,Great working place for fresh man,2022-04-02,5.0,Operations,"Provide tons of opportunities for new graduate 
Clear bonus rule
Work life balance
Team building",Not too competitive salary compare to TW IC industry
17,Texas Instruments,A great place to work long term,2022-04-01,5.0,Product Development Manager,"Employee friendly, excellent work culture, innovative environment","Median pay instead of top, although made up by the softer aspects"
18,Texas Instruments,Deep Technical Knowledge,2022-03-31,4.0,Process Engineer,deeply technical industry with lots of opportunities to learn,spend more in training resources to increase onboarding ramp rate
19,Texas Instruments,Manufacturing clean room production lead,2022-03-29,5.0,Shift Leader,Texas Instruments work environment great with diversity inclusion and lots of opportunities within the company for advancement.,The 12hr shifts are very long and takes awhile to adapt on a compressed schedule. Requires an extreme amount of dedication.
20,Texas Instruments,Good for analog,2022-03-29,4.0,Digital Design Engineer,"Innovation is encouraged, basics are revisited frequently.","For digital design, opportunities are limited."
21,Texas Instruments,Good pay,2022-03-28,4.0,Equipment Technician,"Great people, Relaxed environment, Freedom","Pushes liberal agenda
Poor training opportunities"
22,Texas Instruments,Overall nice experience,2022-03-28,5.0,Senior Digital Design Engineer,Good work.End to end ownership for digital engineers,Working hours are higher during project deadlines
23,Texas Instruments,Good Company,2022-03-27,4.0,Manufacturing Technician,"The work was easy, in a clean room, temperature-controlled environment. Most of the managers were decent and caring and kept the heat from rolling downhill so you could concentrate on the task at hand.","TI was an ok company to work for. The pay was good, raises were not, benefits were good. The work was easy, in a clean room, temperature-controlled environment. Most of the managers were decent and caring and kept the heat from rolling downhill so you could concentrate on the task at hand."
24,Texas Instruments,Good starting company,2022-03-27,4.0,Analog Design Engineer,People are really smart and you will learn a lot,Pay is not competitive. Work life balance is not that good for the pay
25,Texas Instruments,Fair work,2022-03-26,5.0,Anonymous Employee,Fait work and salary plus bonus,I cannot think of what is bad
26,Texas Instruments,A bellwether company,2022-03-26,5.0,Anonymous Employee,"Competitive work environment
Culture of winning
Ethical; winning ethically",Family and friends believe we build calculators
27,Texas Instruments,-,2022-03-26,4.0,Manufacturing Process Engineer,Great company for professionals in Semicon,Prefer not to give a comment at this time
28,Texas Instruments,Great place to work (at least on the IT side),2022-03-25,5.0,Software Developer,"RTO
Great feedback
Great culture
Work on a lot of different things","Not on the bleeding edge of technology
Dont offer remote work opportunities"
29,Texas Instruments,Salary,2022-03-25,4.0,Software Engineer,Good company and great to learn,So much into hardware and stuff
30,Texas Instruments,Nic eompany,2022-03-24,5.0,Product Marketing Manager,GOod company with very good ethics,Nice options to move around within company
31,Texas Instruments,"Good, Hard, System",2022-03-24,4.0,Technical Sales Representative,Base Salary is good and sales bonus also make me motivation,Hard to management customer supply issue
32,Texas Instruments,Great work life balance,2022-03-24,5.0,Account Manager,Work-life balance is respected by management,Management likes to overload with work so it can be stressful to get everything done in a day
33,Texas Instruments,Employee friendly,2022-03-23,5.0,Applications Engineer,Technical opportunities are very good,Growth is a little slow
34,Texas Instruments,N/A,2022-03-23,4.0,Anonymous Employee,Great bonuses at the beginning of the year,Cycling through managers every couple of years
35,Texas Instruments,Great place to start,2022-03-23,4.0,Product Marketing Engineer,"TI is a great place to start, everyone goes through the rotation programs. Most people leave within 5 years for better pay and promotions elsewhere. Many smart engineers that you will come across at the company.","Hard to get recognized in such a big company, upward mobility is not so easy. Average person is working at least 45-50 hrs a week."
36,Texas Instruments,Work Culture,2022-03-23,5.0,Senior Lead Engineer,Very good flexible work culture and mutual respect to peers. Accomplished colleagues with deep technical knowledge,"Lacks dedicated focus towards extra curricular activities like ideations, papers at outstanding forums"
37,Texas Instruments,Good Company,2022-03-21,4.0,Applications Engineer,They care about their employees and try to ensure that everyone has the support they need. Joining as a NCG you will learn a lot and gain valuable experience rather quickly.,Employee turnover is quite high. We find ourselves unable to keep good people which can make the job very difficult and hectic sometimes. I often find myself as the only person left on my team and feel that I have no real peers.
38,Texas Instruments,Great Company,2022-03-21,5.0,Manufacturing Engineer,Good compensation and conducive for career growth,Work environment is a little challenging at times
39,Texas Instruments,A company where you’re just a number! They hope the lowest.,2022-03-16,1.0,Equipment Engineering Technician,There are no pros for this company unless you’re moving from Samsung.,"Tool to technician ratio. Dishonest hiring strategies. Pay. Environment. Work life balance.

At this company, there are a number of technicians with the same years of experience, same tool set experience, and even coming from the exact same position at the same company at the same time that make drastically different hourly pay. We are talking 12+ dollars an hour difference! This is because one asked for a low number thinking that is typical pay for the industry and the other asked high. I work with a guy on night shift that makes 28 an hour while his friend is making 40 an hour with less experience for the same exact position. Management and HR openly accept people at low amounts and then question why they leave later. This is bad business imo. My discussion with my supervisors while attempting to “retain” me included them factoring in my night shift differential as my pay. They use this to compare against a higher hourly day shift position and act as if this is why your pay is what it is. A night shift differential is given because NOBODY wants night shift and you are missing out on time with your family so they pay you an extra amount based on that aspect. IT IS NOT TO MAKE THE SAME HOURLY AS A DAYSHIFT EQUIVALENT POSITION WHILE WORKING NIGHTS! Do yourself a favor and go to a company that will pay you what you’re worth and not just what you say the minimum you’ll accept is. There are much better options and much better environments to spend your days at! Check Broadcom and Qorvo first before landing here. Don’t short yourself while performing more work than you would at almost any other company."
40,Texas Instruments,"Overall, a decent experience",2022-03-16,4.0,Product Marketing Engineer,"The pay is great, lots of bonuses, and lots of PTO","They won't allow you to be fully remote and move despite a large group of jobs could be remote. Personally, my manager did a terrible job managing people and the job can be really stressful depending on your team."
41,Texas Instruments,Good Company,2022-03-16,4.0,Engineering Manager,A well run company with a lot of opportunities.,Expected to be available 24x7 and unforgiving timelines when missed
42,Texas Instruments,Superb company,2022-03-16,5.0,Anonymous Employee,"Great culture, great benefits, great people",Nothing that sticks out at all
43,Texas Instruments,Good working environment,2022-03-16,5.0,Product Engineer,Good starting salary. Friend working environment. Challenging activities,Salary growth is not that high
44,Texas Instruments,Mixed experience,2022-03-15,3.0,Human Resources Administrator,"Great benefits, generous time off, and 20% profit sharing. Coworkers are great.","Upper management will step on anyone to get ahead in their own career. Managers give special treatment to other managers / VP's. Keep employee's who don't do their job, yet let go emploee's who broke a mask rule."
45,Texas Instruments,Great,2022-03-15,5.0,Software Engineer,Pays well for the dallas area.,Work 100 hour weeks occasionally
46,Texas Instruments,Texas Instruments Review,2022-03-14,5.0,Senior Product Engineer,"Handsomely paid, an organized management structure. Established processes.","24 hours operation escalation, under pressure."
47,Texas Instruments,High Stress/High-ish Reward,2022-03-14,4.0,Manufacturing Supervisor,Pay is good especially if you work the Night Shift.,"Very stressful with Management's demands/expectations. 
Specialists are of low quality hence the job is mostly just a high paying babysitting role but it gets old after awhile."
48,Texas Instruments,Company Review,2022-03-14,4.0,Anonymous Employee,The company has great products.,The company has big company culture.
49,Texas Instruments,Great place to work,2022-03-13,5.0,Digital Designer,"Excellent work culture , promotes inclusiveness",None that i know of
50,Texas Instruments,Very good place,2022-03-11,4.0,Design Engineer,High growth with best work environment,I don't have anything to say
51,Texas Instruments,Good Place,2022-03-10,4.0,Engineer,"Good benefit, on job training and guidance",Overwhelm with projects and due dates
52,Texas Instruments,Technical Sales Engineer,2022-03-10,5.0,Anonymous Employee,"Friendly managers, comfortable atmosphere, flexible work time","huge pressures, and lots of reviews"
53,Texas Instruments,Great place,2022-03-10,5.0,Analog Design Engineer,Work ethic is excellent here,Hours expected is too hight
54,Texas Instruments,Very good international company,2022-03-10,4.0,GBO_OG-III,"English is important, aboard working/study experience is preferred","Lots of round table, people is reasonable and smart"
55,Texas Instruments,Good compensation and Career Progression,2022-03-09,4.0,Product Engineering Manager,"Well compensated and the company values diversity.
There is also good career progression.",Extended working hours support if working in operation team
