,company,headline,date,overall_rating,author_position,pros,cons
0,TikTok,Good,2022-04-10,4.0,Anonymous Employee,Everything except the salary and shifts,Low salary compared to the amount for work required
1,TikTok,Very good benefits,2022-04-09,5.0,Safety Labeller,Company that value the employee,Interview process a bit mess
2,TikTok,Growing fast and a lot of work,2022-04-08,5.0,Software Engineer,"1. High impact product
2. Growing fast
3. Competitive total comp
4. Smart and friendly co-workers",1. A lot of work
3,TikTok,Good 'resume builder' but not an organization you'd want to work for long-term.,2022-04-08,2.0,Product Strategy Operations,"• Hottest place to be in social media right now

• Pre-IPO

• Pretty directionless, so you can chart your own path.

• Everyone has a voice in meetings - the very structured and polite nature of Chinese culture impacts interactions - a formal agenda is almost always present, a clear leader, and everyone's opinion is asked. It's nice for people who don't ordinarily volunteer to speak.","• Very strange, secretive culture. I did not anticipate how large of the role would be 'ByteDance' (parent company) vs. TikTok. No knowledge sharing across orgs (e.g. side of business that makes money and/or user side).

• Nickel & dime with salary - TikTok is rapidly hiring and is somewhat at the advantage of being the 'hot' place + send low-ball offers (I was borderline offended when I got my first offer; nearly 75% less than what I was making at the time) 

• Wouldn't bank on an IPO (at least anytime soon): In salary negotiations,, they focused on the 'pre-IPO stock' as being key in the total compensation package (so they could pay you less in direct cash). In all honesty, I would not be surprised if this company never went public. The amount of information they would need to disclose would be radically different from how the company operates today. They were set to IPO a while back on on the Hong Kong Stock Exchange (to appease the Chinese government), but this got axed amid the anti-trust investigations towards Alibaba, etc. 

• High turnover - a fast growing company is great, but a fast growing company with fast turnover is a sign. After losing several people on my team (also - my recruiter quit while she was working with me!), it definitely impacts morale. Few are committed for the long-term. 

• Non-existent culture: If you're coming from another big tech company, don't expect anything like what you had previously. Whether or not the Google's of the world are actually committed to their mission statement is up for question, but ByteDance's mission (which does not exist) would be 100% growth at all costs. It feels a bit brutal. 

• China-based: This was probably the most jarring part when I first began. Everything (and I mean EVERYTHING) is in Mandarin – emails, internal chats, documentation. I would estimate 90% of engineering teams sit in China, so communicating with them is nearly impossible due to 1) time difference and 2) language barrier. This, of course, impacts every team (as we are reliant upon them to build what is needed). 

• Working Hours/Expectations: Aside from the fact that the China-based teams are regularly *required* to work on weekends to balance 'holidays', working with these teams means late night/early morning meetings all the time. If you're up for that, great - if you have kids or just would prefer to not start work before 7:30am and end at 8:30pm, I would be cautious. 

• No organizational structure - ByteDance believes in a 'flat culture' (which does not work for a 100k personal company) - you have absolutely no way at all to know who works on what. Onboarding was a total nightmare because of this - you just have to speak with people who are more tenured to know who does what."
4,TikTok,"Heartless at times, overall horrible.",2022-04-07,1.0,Product Operations Manager,Being able to work with smart people. Things move fast and you can learn a lot of things.,"1. Super unfair pay practices that favors new employees. Employees who have been with the company for over 2 years have not salary adjustments to reflect the current market. 
2. Lack of transparency in pay ranges. People with same role and same job titles may have WILDLY (2 or 3 times difference) different salaries. 
3. HR refers to certain “policies” that are not published or shared with employees. 
4. Have a significant amount of entitled employees who don’t respect others. 

Overall amyou don’t want to be here more than a year."
5,TikTok,content moderator,2022-04-07,5.0,Content Moderator,"get shift allowance, meal allowance, and overtime pay on public holiday",shifting hours that can be changed everyweek
6,TikTok,Quality Analyst for content moderation queues in Trust & Safety,2022-04-06,3.0,Anonymous Employee,"Pension (company match contributions up to 5% of salary), 3 days in office and 2 days remote (permanently offered), 3 weeks remote work available every 3 months (pending manager approval). Perks: gym, health and dental insurance (employee paid, BIK).","No fully remote arrangements. No competitive remuneration (below market), no actual promotion process, excessive and mandatory over delivery or no annual bonus, minimal salary increase depends on incredible annual performance review results (exceptional employee standard, minimal compensation, no motivation), no HR support nor career progression, Operation QA TLs manage too many QAs and are unable to offer proper support,"
7,TikTok,"Good environment, bad company",2022-04-06,2.0,Community Associate,Really good environment and a good job for your career development.,"Not easy to be promoted, and the job is quite exhausting. Not the best organisation either."
8,TikTok,Leadership and Work Culture not the best!,2022-04-06,2.0,Anonymous Employee,"Flexibility, loads of projects to work on","Bad Leadership 
Lack of transparency 
Organizational culture is very unpleasant"
9,TikTok,TikTok Content Creator,2022-04-06,5.0,Content Creator,"Working remote
Work own hours
Freedom
Money can be very good","Can be misleading
Not always reliable"
10,TikTok,This company are truly a dream company,2022-04-06,5.0,Account Manager,"Doing the jobdesk with heart
Supporting Teammates 
Good salary
Good bonus",Nothing because I work from heart
11,TikTok,PM,2022-04-06,5.0,Product Manager,Open Culture and Flexible Location,New Company and Global timezone
12,TikTok,Quite busy but acceptable,2022-04-06,4.0,Senior Software Engineer,relatively high salary and benefits,It quite busy working here.
13,TikTok,1,2022-04-05,4.0,Software Development Engineer (SDE),software dev. Engineer  of course,"that is right, of course"
14,TikTok,A good start,2022-04-05,4.0,Anonymous Employee,"Nice benefits, nice work environment",Salary should be higher compared to the job
15,TikTok,Good working environment,2022-04-05,4.0,Anonymous Employee,Positive working environment. Good benefits.,Global time zone makes working across time zones necessary.
16,TikTok,poor management,2022-04-05,3.0,Ad Moderator,no comment nothing to add,"micro management, lack of communications"
17,TikTok,Messy management,2022-04-04,2.0,Operations Specialist,"1. work life balance is ok, holidays are good
2. Working with young & clever people","1. Fast-paced company in general
2. Meeting-oriented company, expect 9 meetings in a day at peak times
3. VERY very messy management, or no management at all, the turnover of staff is frequent and no validation or reward can be given, not to mention promotion opportunities"
18,TikTok,N/a,2022-04-04,5.0,Optimization Specialist,Values / opportunities / be unique,Don’t be invited to visit china office 😬
