,company,headline,date,overall_rating,author_position,pros,cons
0,Tripadvisor,Eh,2022-04-06,3.0,Sys Administrative/Devops,"Food, big office, free drinks",At nothing ever changing there
1,Tripadvisor,Don't join this company,2022-04-06,1.0,Anonymous Employee,Exposure to travel industry if you don't mind being in a dead industry,"Poor leadership, everyone's leaving in droves.
Does not value employee growth. All words, no action, no follow ups. When you leave, you don't even know if you're getting your last paycheck which is unprofessional. I wouldn't recommend this company to my network."
2,Tripadvisor,Excellent all around,2022-04-04,5.0,Business Development Representative (BDR),They focus strongly on employee satisfaction and provide excellent ongoing training,Being virtual (remote) does have its struggles
3,Tripadvisor,Great place to work and learn,2022-04-04,5.0,Senior Software Engineer,Awesome place to work with difficult challenges and teams that can help you accomplish amazing things.,The amount of time you spend working is 55+hrs a week.
4,Tripadvisor,You cannot work from abroad,2022-03-31,1.0,Customer Service,"International environment, colleagues, nice job","If you work in the Customer Service organisation (which includes, Fraud, Moderation, and other teams), you are only allowed to work from abroad for a maximum of 2 weeks. The Uk law allows you to work up to 3 months from abroad but your manager will refuse it. Many other companies are adapting to a new flexible world but Tripadvisor is not. (Which is curious since it’s a travel company and they should encourage travelling)."
5,Tripadvisor,Steer clear,2022-03-24,1.0,Customer Service Representative,The only pro about this job is the perks!,There is no communication at all with or between upper management and customer service. You are micromanaged! Your job is always on the line because you are not appreciated or valued
6,Tripadvisor,"Good Company, good environment for a few months",2022-03-20,4.0,BDE,"Felxibility and experience are the top two.
The environment is amazing and some managers are really good and able to teach a lot. 
Location, benefits and team are tops",Its all about the numbers and push you to the limit every day.
7,Tripadvisor,Tripadvisor review,2022-03-17,4.0,Software Engineer,"good wlb 
nice culture
great team
decent perks
great vacation","struggles during covid
progression uncertain overall"
8,Tripadvisor,not worth anymore,2022-03-15,1.0,Fraud Analyst,"people, made lots of friends.","It's not what it used to be anymore. They say the pandemic would made us better..the contrary was said for Tripadvisor and their policies. First they refused to let employee within the kingdom of customer service's Vice presidents, to work from anywhere in Europe even for few days, creating disparities between departments. The sales team can go and come back as they please. Second they are refusing me to pay my annual bonus because I gave formal notice on the 8th of March and having the 30th of March as my last day, after it was discussed in a formal conversation withe the managers and already processed. They say it's company policy to be employed the day in which the bonus will be paid, I've asked HR and payroll where I could find this info as it should be accessible to everyone and they didn't reply...joke of a company..is this the way you treat your employees after 10 years of service?
Not to mention that in the time I've been there, I have been trough at least 10 changes in the reorg, because the previous ones didn't work..I've always been flexible and happy to do it, and this is how they repay you.."
9,Tripadvisor,Good company,2022-03-09,4.0,Software Engineer SE2,"- Good comp
- Decent culture
- Work life balance","- Nothing is outstanding
- Company isn't performing as well as it could"
10,Tripadvisor,Great Benefits,2022-03-05,5.0,Business Development Executive,Great benefits at the company,"Big organizations, things can change quickly"
11,Tripadvisor,T&S,2022-03-05,5.0,Trust & Safety,The tasks are a bit repetitive,Possibility to grow within the company
12,Tripadvisor,Great company,2022-03-04,5.0,Customer Service Representative,"Good work life balance
amazing onboarding training","Not challenging enough
Hard to develop within the company"
13,Tripadvisor,A company that take care of employees,2022-02-28,5.0,Anonymous Employee,"* A very good work life balance
* Friendly environment",* NIL for now :)
14,Tripadvisor,CPC Account Management,2022-02-22,4.0,Ad Sales,"Great Management, supportive, attentive, caring",Constant change in business and strategy
15,Tripadvisor,Good,2022-02-22,5.0,Communications,"Paid well, good remote working",No cons I can think of
16,Tripadvisor,Travel is fun,2022-02-22,4.0,Software Engineer,Travel is fun and people are nice.,Nice people and work life balance.
17,Tripadvisor,Account Executive for less than a year,2022-02-17,3.0,Account Executive,"Good food, good culture, great benefits","Lack of internal opportunities for promoting, expanding or shifting teams"
