,company,headline,date,overall_rating,author_position,pros,cons
0,Trulia,One of the best places I've worked at,2022-03-14,5.0,Senior Software Engineer,"- Amazing work-life balance
- Exciting and rewarding work
- Great pay",None that I can think of
1,Trulia,Great Culture,2022-01-10,4.0,Senior Software Engineer,"All highly friendly colleagues, great to work with and be friend with.",Career progression is a bit slow
2,Trulia,a long time ago,2021-03-14,3.0,Sales Associate,fun place to work while it lasted,comoany got bought out... take over
3,Trulia,Trulia sinking fast...really fast,2019-06-07,2.0,Data Scientist,"free food, commuter benefits, Health","In short a lot that you can count.  I am highlighting  a few. ....
To start with, politics and favoritisms are two big things which is letting Trulia down. So many people are leaving and Management is so scared that they are not allowing them to write a farewell mail to their colleagues. Its has become boy's club.

Constantly changing directing and technology is killing the productivity. 

Zillow's biggest mistake is Trulia.

Work from home is a myth and non existing. (Do not be fooled if your recruiter tells you it exists)"
4,Trulia,Lack Leadership and Integrityy,2019-06-06,1.0,Marketing Communications Manager,The time off policy is very generous.,"Lack of true leadership
Cult like culture
Step sister brand to Zillow with no true future path forward"
5,Trulia,Meh,2019-04-13,2.0,Trulia Engineering,"Culture is generally positive. 
Location of the downtown SF building is great, it's a special place to be.","The flex vacation policy is a myth.  You are told that higher ups - including our general manager -  are watching how much vacation people are taking and that if you are high on 'the list'  it gets noticed.  There is an unstated limit of 4 weeks.

I have found it to be political and unforgiving.  There is no warning on something to improve, you are directly dinged on performance.

Not all roles and responsibilities are well defined and no desire to fix it.

There is some tension between product and engineering, with painfully untechnical product managers hard charging engineering.  Product managers are generally more directly than collaborative."
6,Trulia,Great Place to Work,2018-09-26,5.0,,"Very open work climate: hierarchal structure almost seems non existent. VPs working next to interns, easy to communicate with anyone and everyone, and great team environment .",None that I can think of
7,Trulia,Best Place to Work,2018-08-31,5.0,Software Development Engineer,"- Great coworkers - smart, helpful, and kind
- Competitive pay and benefits; rewards for good effort made
- Semi flexible workday schedules 
-lots of room for growth in both skill level and responsibilities
-awesome senior management","- Too many meetings
- Some remote work was possible when needed, but more would have been better :)"
8,Trulia,Marketing Manager,2018-08-31,5.0,Anonymous Employee,"The recruitment process was both streamlined and thorough, and there was active communication from both recruiting and the hiring manager.

The company really does abide by their core values - focusing on collaboration, innovation and transparency. 

There is a visible emphasis on employee satisfaction, as evidenced by the breadth of benefits offered, and the general demeanor of fellow employees.",No observed cons to date.
9,Trulia,Cutting-Edge Tech Stack,2018-08-12,4.0,Anonymous Employee,"- The people you'll work with end up being your friends
- Great leadership team
- Leadership team solicits feedback from (what seems like) everyone
- There is a focus on using cutting-edge tech like React, Nextjs, GraphQL, Typescript, and AWS","- Not everyone sweats the small details
- Sub-optimal managers continue to drive good talent away from the company
- It's becoming less fun to work there (fewer happy hours, very few team outings, hard deadlines and huge pushes to get to those deadlines)
- I see people working on the weekends (submitting pull requests, responding to emails, reading and replying to Slack messages, etc...)"
10,Trulia,Great Tech Talent but ineffective mid level managers,2018-08-10,1.0,Anonymous Employee,"Great Tech stack.
Good Engineers.
Free snacks and Fruits.","Most Mid level managers are ineffective and make poor decisions.  Caring for employees is one thing and pretending to be caring is another.  The culture has more imposters than genuine Leaders.

No Bonus at all. 

Work from home policy is Terrible. Leadership has no trust in employees and unwilling to make exceptions. These three reasons cause a lot of frustration and great Tech talent leaves the company."
11,Trulia,Smart and Amazing People,2018-07-19,5.0,Anonymous Employee,"Everyone that works here says the same:  they love the people here. 
People are smart, kind, and care about you on the personal level. Its an innovative company to this day and we only hire the best because we want to create an environment that will lead to success. The CEO of Zillow Group creates a culture that is employer focused and it resonates down to the managers of the individual contributors.","Not too much cons in my opinion. The only main comment is that career paths are not always super clear. However, our management encourages career development discussions so if you want to get this feedback you can if you initiate it."
12,Trulia,Senior Software Engineer,2018-05-07,5.0,Senior Software Engineer,"The company is great to work for, they have great benefits, good compensation and an awesome culture, I recently became a parent and their support both personally and professionally is outstanding.

Technology wise they are constantly trying to improve and have a lot of resources for growth.

Finally they have the best diversity I've seen in my career, there is almost always at least a 50% female representation and in general all around welcoming to diversity.",They don't have everyday lunch.
13,Trulia,Amazing culture,2018-04-30,5.0,Anonymous Employee,"Culture, smart colleagues, interesting work",Needs to make more profit
