,company,headline,date,overall_rating,author_position,pros,cons
0,Trustpilot,Great place to work!,2022-04-07,5.0,Commercial,"- Huge amount of professional opportunities and growth
- Friendly, supportive culture 
- You can make an actual impact and actively engage management with your ideas
- Fast-paced, growing, young and dynamic
- Internal mobility opportunities
- Great name to have on your CV
- Flexible working encouraged
- CEO is very approachable",Salaries aren't as competitive as other similar roles in the London market
1,Trustpilot,Great Company and Culture,2022-04-07,5.0,Anonymous Employee,"People, ambition and mission are all tied together well",Doesn't always move as quickly as other tech businesses
2,Trustpilot,Low salaries,2022-04-03,1.0,Customer Success Manager,Possibilities of remote or flexible work.,Salaries are very low. It seems impossible to negotiate higher salaries. Difficult/impossible to create changes that make ones job more efficient.
3,Trustpilot,2 years review,2022-04-01,5.0,Service Delivery Manager,"Value- based company. Serious attempt to build a company culture based on trust, transparency and inclusion.",I don't have so much cons to be honest. A bit political in high level of management maybe.
4,Trustpilot,Incredible failure. BEWARE,2022-03-26,1.0,Senior BDM,None. The culture is toxic.,"Where to start. Mass sackings. Toxic culture. Weak leadership. This outfit is the worst of the worst in almost every sense.

The only reason people used to be happy here was due to a good bunch of people long since led to slaughter so others could grasp power and maybe a below inflation payrise. That's now gone. The 'HR' team... are truly shocking and almost relish trying to run the place like a police state.

Countless genuine examples of leaders in many functions doing things for their own self promotion at the detriment of mid or low level staff. Let's not get started on sexual harassment topics... video evidence is floating around rest assured.

If you're selling and enjoy double glazing sales processes give it a go. If you want to be micro managed you will love it! Want to pitch a product that is nowhere near a SaaS solution? Come on board. Want to work with junior sales managers and ring a bell like 1990 when you blag a client into paying you 1k aov then sign here and your onboarding will be done in the pub after you sign your pip.

You'll not hit target either way as this is nothing but an automated sell nowadays in a market that quite frankly has moved on. Seen an advert with 4.5 stars plastered on it? Yeah you can get that for free... Trust on the Internet? Come on... reps make up the pricing remember?

I can honestly say some of the most horrendous human beings I've ever crossed paths with in life reside at this place. I can not stress how unhappy myself and many others were here. Its not a spring board to SaaS sales despite what your told. Try getting a decent job at a comparable level / title elsewhere... no chance.

Hope anyone internal reading this takes a good look at themselves. Anyone thinking of joining you are insane. Final note, I fully expect this review to be taken down so screenshot it while you can, this place I hear has a storied track record of removing glassdoor reviews (yes it's quite possible) Accept what you are and it would be nice to see this one remain as a genuine flag to people considering this place as somewhere to invest their time. #trust

Hows the share price doing? 🤔"
5,Trustpilot,Best company,2022-03-24,5.0,Anonymous Employee,"Very agile way of working, strategic decisions very often on point.",Sometimes slow execution against plans
6,Trustpilot,Good company to work for,2022-03-22,4.0,IT Support Specialist,"Salary, bonus and working from home",Pay reviews tend not to match inflation and bonuses are always a given.
7,Trustpilot,Where is the Trust?,2022-03-18,1.0,Sales,"- Met very nice and smart people in the company, although not consistently and very dependent on the team/organization. Unfortunately, this comment does not apply - with few exceptions - to the management team.
- Paradoxically but true: some GREAT people in the HR team, who cares.
- Nice office with a good view
- Very good work life balance.","- High pressure and expectations (which is fine) but not matched by a balancing level of support and compensation package. The compensation is subpar Vs the market, the tools and processes are not - in my opinion - enough to enable Salespeople to work at the speed and ambition required
- Mass firing people in waves since COVID'19. While they do some initiatives to support you to find a new job outside, I have experienced, and this is my opinion, a lack of consistent commitment (more talking the talk, than walking the talk)
- Baffling enough, even high-performance individual contributors and managers were fired! By high performance, I mean a mix of delivering numbers but also contributing to a positive culture.
- Lack of backfilling creates a massive and unsustainable workload
- In my opinion, managers are stripped of their power, at least in Sales. 
- The Culture should be based on Trust but I witnessed massive micro-management
- In my opinion, there is massive siloing: departments do not communicate with each other enough.
- I have never experienced and felt such a low psychological safety. I was afraid to speak fearing from my job, although I did when I witnessed things that went against my values. The colleagues I spoke with, which are several, were also afraid to speak.
- In my opinion, processes are not fair. An example: leads and accounts, at least when I was there, were distributed arbitrarily by the manager instead that by an Ops Team. This created room for favoritism, demoralization, and a general lack of trust toward the management.
- ""Lone wolves"" were usually celebrated, over the perhaps slightly less performing but cultural enhancing people in the other teams
- I have often heard ""corridor stories"" of people gossiping and even physically fighting
- Politics and gossiping, in my opinion, is at endemic levels and really too much for a company of this size

- There is unfortunately so much more, and I suggest you to read other reviews to have a more complete view of the company"
8,Trustpilot,Good place to grow your career,2022-03-16,4.0,Student Assistant,"Nice people, lots of social activities, flexibility, growth opportunities, flat org structure.",Leadership and management changed very often. If you're looking for stability this is not the place. It's a fast moving environment.
9,Trustpilot,It's getting messier every year,2022-03-14,2.0,Anonymous Employee,"- Working from home + flexibility. Great to have the choice!
- Amazing office with lovely views
- Great name to have on CV","- Lack of resources. Trustpilot has mass fired employees yearly for the past 3 years in our department, and has never replaced them, leaving team members like me with so much work to do and not enough time, not to mention huge mental health issues. So many of us are feeling burnt out but don't have any choice but to keep going
- Leadership in my department change direction drastically every year and everything changes so often that employees have no idea what they're meant to do and can't keep up. I'm all for change but it's getting so bad that people are joining calls and have no idea what's being discussed because no one informed them of changes before
- No communication. Leaders don't communicate with each other or with their teams, and employees are getting so many different messages and hearing different things from different people. Nothing's ever crystal clear, and this is affecting people's projects and strategies hugely"
10,Trustpilot,Great experience,2022-03-13,5.0,Account Development Representative,"- Nice work environment 
- Good benefits","- Low base salary
- Hybrid system but not free to do what you want"
11,Trustpilot,Great place to work at,2022-03-04,5.0,Sales Advisor,I love that place it is amazing work,Stress sometimes but nothing more
