,company,headline,date,overall_rating,author_position,pros,cons
0,Turo,good,2022-04-07,5.0,Claims Adjuster,good pay good company yay,nothing it was great working there
1,Turo,Turo,2022-04-02,5.0,Recruiter,Culture is 2nd to none!,There are no cons at Turo
2,Turo,Amazing Company & Getting Better Everyday!,2022-03-16,5.0,Manager,Turo has maintained true to its values but is also open to listen to everyone’s concerns. He executive team is not afraid or worry about changes. The moral is very high and Turists are referring friends in record numbers.,"Literally, I can’t think of a single one."
3,Turo,Fun startup,2022-03-16,4.0,Senior Claims Associate,Cool people. Fun & relaxed culture.,"There were many problems in our department during my time there, but management finally began to resolve most of these issues by the time I left the company. They've likely continued to improve things since then."
4,Turo,Good,2022-03-12,4.0,Anonymous Employee,A good place to work.,No cons that I can remember.
5,Turo,Highly recommend Turo,2022-03-09,5.0,Anonymous Employee,"Great executive team, transparent and employee oriented culture",employees required to work onsite
6,Turo,Amazing company,2022-03-01,5.0,Senior Account Executive,The company and the C level leadership are amazing. You feel part of something great and there is a very good feeling of belonging.,Sometimes it feels that there is not enough growth.
7,Turo,Unknown,2022-02-22,5.0,Trust and Safety Specialist,"Good work environment, amazing people. Opportunity to work from home.",No cons at the moment
8,Turo,Top company,2022-02-17,5.0,assistant administration des ventes,Great product and great material advantages,not really noticed any inconvenient
9,Turo,"Great company, but benefits can really improve",2022-02-10,4.0,Anonymous Employee,"- Highly collaborative culture
- Down to earth, approachable leadership
- Good product with strong momentum","- Poor parental leave that’s become more apparent as many companies partake in the #ShowUsYourLeave movement (just 8 weeks for men / 12 weeks for women vs 12-24 weeks everywhere else)
- Only up to $1500 in annual 401k match when other tech companies offer a 100% match on up to 4-6% of salary"
