,company,headline,date,overall_rating,author_position,pros,cons
0,UOL,Good place to work,2022-02-18,5.0,Anonymous Employee,"Passion, flexibility, opportunities, evolvement and values.","Culture of excessive work, wrong side of diversity, life balance and senior management."
1,UOL,Nice culture and environment,2022-01-03,4.0,Assistant Manager,"Good management, nice office and colleagues are good","poor pay, no bonus, limited room for promotion"
2,UOL,salary,2021-11-05,3.0,Senior Lecturer,good place to work short term,lack of progression long term
3,UOL,PhD salary,2021-09-20,3.0,PhD Student,"flexible time, interesting, apply your ideas, vacations, conferences","hard work, low pay, time consuming, long hours, repeat"
4,UOL,Software developer,2021-08-13,4.0,Software Developer,Friendly environment tot work. Work life balance is good,I didn't find any cons.
5,UOL,Saudades,2021-07-12,5.0,Marketing,"Lugar incrível para trabalhar, fui muito feliz aqui, se tiver essa chance não deixe passar","Crescimento um pouco lento, mas estável"
6,UOL,good,2021-06-18,5.0,Academic Tutor,overall its a good company to work with,nothing specific as such. I like the org overall
7,UOL,Contact agencies and clientes and sell advertisiment to them,2021-05-31,4.0,Account Executive,"Nice environment.
Nice people.
Great opportunities.
Close to the subway","Too much boses
Far from commute"
8,UOL,Great,2021-03-03,4.0,Engineer Manager,Overall life balance is good,Micromanagement on small activities should be avoided
9,UOL,Review,2021-02-16,4.0,Post Doctoral Fellow,Good place to work and live,nothing bad about the place
10,UOL,OK,2021-02-02,3.0,Clerk,stable hours per working day,short period of work contract
11,UOL,Could be better,2021-01-12,3.0,Engineering Manager,You have the autonomy to do almost anything you want from an engineering standpoint.,"Lots of office politics to get promoted.
No career ladder or feedback on how to improve and get promoted."
12,UOL,Nice place to work,2020-09-04,4.0,UI Designer,"- Flexible hours
- Good team
- Good environment","- Too long process
- Moved to the downtown of SP which is not a really good location"
13,UOL,-,2020-03-03,4.0,Student Advisor,"Experience, learning, skills, networking, money","Progression, stress, allocations, time, training"
14,UOL,Buyer Beware,2019-10-07,2.0,Account Manager,"Freedom in the workplace, somewhat friendly people.","No clear direction, whispering all around, hidden agendas."
15,UOL,Great place,2019-05-10,5.0,Finance Manager,"Salary and benefits, nice environment and clear policies",Very tight deadlines and a little dangerous location
16,UOL,the best company in Brazil,2019-04-19,4.0,Senior Software Engineer,"excellent salary and benefits, like health insurance and dental insurance",a lot of old process in the development
17,UOL,Great place to work,2019-04-08,4.0,Anonymous Employee,"Good environment, good people","Staff are not paid well,Lots of charges from management."
18,UOL,Administrative,2019-03-15,5.0,Administrative Assistant,"Good environment 
Good pay and pension",Communication can be improved throughout a bit more
19,UOL,Great place to learn and develop relevant projects.,2019-03-04,4.0,User Experience Team Lead,"Great coworkers, a lot of opportunities to learn new methodologies and develop relevant projects.","Some top-down decisions, sometimes not very well explained."
20,UOL,great place to work,2019-02-19,3.0,Anonymous Employee,"great place to work, great sallary and culture",management turnover and no perks
21,UOL,"Great place, old bureaucracy",2019-02-18,4.0,Web Developer,IT-driven company. Good space to learn and improve your skills.,Bureaucracy. Every small decision needs too much approval for testing.
22,UOL,A good company to work for,2018-12-21,5.0,Anonymous Employee,"Interesting people, good products, cool office.",Less parking places for cars and bikes.
23,UOL,Fullstack developer,2018-10-16,3.0,Fullstack Developer,A good professional opportunity indeed,I dont have anything bad to say
24,UOL,I worked at UOL full-time,2018-10-08,3.0,Anonymous Employee,Good working environment and benefits,"Traditional company, not innovative and don't have a growth plan"
25,UOL,Senior Product Analyst,2018-09-14,3.0,Senior Product Analyst,"Good benefits, company is based on a good location","Too much politics, hard to raise up the scale, culture in-between departments are way too different."
26,UOL,Solutions Architect,2018-08-27,4.0,Anonymous Employee,"Great people in the company, nice projects","nothing bad there, just some professionals"
27,UOL,Good company,2018-07-27,3.0,Anonymous Employee,You can use new technologies and the decision is up to you. Lots of freedom.,No carreer plans. Promotions are difficult to happen.
28,UOL,Journalist at UOL,2018-07-27,3.0,Senior Journalist,"Big company, beneficts, good location","Bad management, not open to employes ideas, favoritism, high rotation"
29,UOL,Great company to learn,2018-06-29,4.0,Senior User Experience Designer,Many people with a large Skills. Awesome place to work and learn.,"After some time you haven’t more what to learn and the work still the same, over after over after over day"
30,UOL,Great company,2018-06-05,5.0,Paralegal,Decent pay and very good perks,Hr could use some work
31,UOL,Good company to work,2018-05-06,3.0,Webmaster Pleno,Good company to work for and gain experience,Company without career plan and feedback
32,UOL,Senior Sysadmin,2018-02-06,4.0,Senior Systems Administrator,Good place to work and develop,"The company still figuring out how to use public cloud and DevOps tools, a lot of tools are developed in the house, causing to different teams developing the same tool instead of search for an opensource project or a tool to do the same thing"
33,UOL,It Is a great Company,2018-01-09,5.0,Designer,"the benefits, planning carrear, the friends anda projects are motivation to goals, the workspace is wonderful and inspirational to new projects",I think that company could invest in courses and training for teams and manager because it extremely important to company
34,UOL,Business Teams,2017-11-06,5.0,Sales Team,"Great company in complete new transition, lots of opportunity:
- Fair balance work life
- great challenge
- people empowerment","no really cons, some  department are slower"
35,UOL,Nice company,2017-10-06,4.0,Anonymous Employee,"Huge scale, your job have impact all over the country. No stupid rules regarding clothes and lunch time, ""no blame"" culture, managers practicing lean culture and somewhat good compensations",Not much attention to the building itself (it getting crowded) and there's still a lot of bureaucracy for simple things
36,UOL,What is it like to work without UOL?,2017-09-09,5.0,Systems Analyst,"Is a good company, in her you have good opportunities for improve you career",You localization is not good.
37,UOL,Not bad,2017-08-08,2.0,Anonymous Employee,Depende muito do seu gestor,"Organização familiar, apesar do tamanho do grupo"
38,UOL,Good company to work,2017-05-30,4.0,Front End Developer,"- Good place to start your career
- Friendly environment
- Chance to have your projects viewed by a huge audience
- Exposure to a producible content ambient","- Using of out of date technologies sometimes
- Policy of promotions is not clear
- Feedbacks are not constant
- You don't have access to other areas to share experiences"
39,UOL,Web Developer,2017-03-31,4.0,Anonymous Employee,Flexible hours; Good Compensations & Benefits;,Outdated technology; Lack of Career Opportunities;
40,UOL,Executive editor,2017-03-27,4.0,Senior Editor,"Great Atmosphere, nice people, work and private life balance","No career plan, poor benefits"
41,UOL,Interesting from a Brazilian tech company.,2017-03-14,3.0,Senior Legal Counsel,"A lot of different matters to understand and challenges to face up! That's nice to grow as a professional. It's an Brazilian tech company, completely different way of think as a multinacional company thinking",The company grows up very fast on e-commerce and we need to catch up vary fast under a lot of pressure. Limited autonomy to decide or expressive your ideias. The place could be much better.
42,UOL,Good to learn,2017-03-11,4.0,Anonymous Employee,"Good ambient, person, ideas and tech team.","HR not present and career plan,"
43,UOL,Good,2017-01-05,3.0,Anonymous Employee,"Friendly environment, well known company",Low opportunity to enhance you career
44,UOL,No feedback loop,2016-12-29,3.0,Systems Analyst,Depending on the project it may have a significant impact on the company and customers,"Too many management positions that lead to a diffuse workplace and lack of long time planning. Most of managers and above are really bad in managing people, only focusing on projects."
45,UOL,Strees free environment,2016-11-25,3.0,Customer Support Analyst,"Payment is ok, bonuses were also nice, work environment was really friendly","Mindset is too narrow, lack of training in every aspect, management was null, no recognition at all"
46,UOL,Go horse,2016-10-24,3.0,,"- Flexible work shift
- Casual dress code
- Friendly environment
- Great parties in the end of the year
- You can learn a lot on how handle people
- You can learn technical skills","- Too much overtime, like 16 hours in a day and manager force to go on weekends and holidays and treat you bad if you are not available.
- Low wages
- Most of employes are not cotnracted under CLT
- No coaching, assessment, feedback or recognition
- Low opportunity to enhance you career"
47,UOL,Great place learn,2016-10-18,5.0,Software Developer,"There are great programmers.
There is a flexible time.
Work with new techs in new projects.
It is good location in São Paulo.","The low salary bellow of market.
Some managements are boring.
Fault cooperate between teams of company."
48,UOL,Great place to learn,2016-09-13,4.0,Anonymous Employee,Great place to learn and work with a lot of brilliant people. Company invest in its employees and it's very mature in almost anything related to web business.,"Difficult to grow inside the company. Sometimes the better are not rewarded, but instead, people with a long time in the house. Also there are quite a few people that don't want to work at all and will still be promoted."
49,UOL,Good company !!!,2016-08-02,3.0,Anonymous Employee,"The company provides a lot of opportunities to learn and develop new projects, good portfolio and strategic positioning in the IT Market.","Compensation plan is not aligned with sales goals and sales results, to many changes in the Mid level management team."
50,UOL,Good Experience and Bad salary,2016-07-13,3.0,Front End,"Good team experience, good atmosfera, attentions team leader. A good place to learn.",Old methodologies and old mentality
51,UOL,Digital Designer,2016-06-16,2.0,Digital Designer,Great company with large market share,Excessive work hour per day
52,UOL,Great place to work,2016-03-21,3.0,Linux Systems Administrator,"very nice environment, very flexible time to work",the infrastructure IT is so deprecious
53,UOL,UOL - A good place to learn,2016-02-25,4.0,Anonymous Employee,You have the chance to learn about all databases.,Sometimes you need to work extra hours due to some emergency
54,UOL,R&D Director,2016-02-10,3.0,R&D Director,Great people working over there,Short investments in people development
55,UOL,"Good, but could be better",2016-02-03,3.0,Anonymous Employee,"Good environment, benefits and good colleagues.","Don`t pay bonus, and has some bad professionals"
56,UOL,Software Engineer Interview,2015-12-31,4.0,Senior Software Engineer,"Great people building and thinking about awesome products, with lots of technical knowledge. Flexible working hours (e.g. 2PM to 11PM).","Some products are dying because of other big players. Other products lacks a business plan and aren't even launched. 
Depending on your manager, you can be never promoted. They simply forgot you."
57,UOL,Used to be good,2015-12-21,2.0,,it is a well known company that looks good on your resume.,"Inexperienced management
Poor benefits
Compensation is way bellow average
Wrong business decisions are ruining the company's reputation"
58,UOL,Well organized company.,2015-11-25,4.0,Software Developer Engineer,I'm working with top notch technologies.,"Too big to make a quick change,  everything takes ages.
A lot of legacy systems."
59,UOL,General Manager,2015-11-20,3.0,General Manager,"Flexible Hours, Compensation, Environment, Company car, Learning possibilities","Lack of intelectual chalenge
Infra-structure
Building, etc
No Bonus for 2 years, rule changing"
60,UOL,Systems Coordinator,2015-11-17,2.0,Systems Coordinator,Good benefits and human resources management.,Too much politics. Old technologies.
61,UOL,Project Manager,2015-10-06,5.0,R&D Project Manager,They work with new technologies.,"A lot of processes, that make the slow company."
62,UOL,Great Company,2015-10-01,5.0,Front End Developer,"I have learned and I'm still learning new things working in here.
The salary and benefits are very good.
The work schedule is flexible, you can determine your own entry time, since you work the 8 hours","Very bureaucratic company.
The employees have no voice, only the managers and directors make decisions and choices, and you have to agree."
63,UOL,Many levels of hierarchy,2015-09-28,4.0,Information Architect,Easygoing environment and nice place to work.  Smart people to work with.,Many levels of hierarchy. Too many managers. Not much power on decisions over the hands of developer and designer teams.
64,UOL,Web Development,2015-09-06,4.0,Webmaster,Great environment and opportunities to grow with the teams.,I don't see any downside at the company
65,UOL,Nice environment to work,2015-09-02,3.0,Software Analyst,"Good opportunities to learn new stuff. Friendly environment to work. Reasonably salary. Depending on the team you work at, interesting challenges. Flexible shifts.","No career plan (usually you only get promoted when you get another job, i.e., when it is too late). Not an innovative company, but rather a follower one. No space to change company's culture, which is imposed top-down."
66,UOL,Working at UOL,2015-08-21,2.0,Project Manager,"One of the main Brazilian online companies, Brazilian greatest news portal with products ranging from advertising to online payments, also including many other such as hosting and e-mail.","Small teams are responsible for very large projects, not enough resources. Many development teams are already trying to adapt to an agile software development culture, however, other areas are not following this mandatory evolution. Company managed by journalists without realizing it has become a technology company. Strong hierarchy and lots of bureaucracy."
67,UOL,Very good place to work,2015-08-11,4.0,Anonymous Employee,A lot of challenges and great projects to be done!,People should be more focused on delivery value to costumers.
68,UOL,Mess!,2015-08-06,2.0,Manager,"good money, good benefits! difficult to find in another company!","total mess! After a merger of too many companies, organisation is a mess, usually the best politician wins, not the best employee!"
69,UOL,Flexibel time,2015-07-07,3.0,Marketing Analyst,"Good coworkers, Flexibel Time, Good working environment and benefits.","Traditional company, Salaries and low opportunities for grow (Directors and Managers have their groups of friends or relatives who have big salaries and opportunities to grow)."
70,UOL,newspaper culture,2015-06-14,1.0,UOLHOST/UOLDIVEO IT Infrastructure,you can work to make experience,"no culture, no expectation to grow, the same all days since you start working there, including salaries with just obligation of labor union readjustment"
71,UOL,Product Dependecy,2015-06-11,3.0,QA Analyst,Open minded and strong culture of development process,Carrer growth depends on the success of the product you work for
72,UOL,Great to improve experience,2015-06-07,3.0,Senior Technical Project Manager,"Open Culture, Open Mind, Nice Workplace.","Not so much organized, each area have different process and different approach to deal with employees."
73,UOL,Excelent,2015-06-04,5.0,Anonymous Employee,Good working environment and benefits,"Traditional company, not innovative and don't have a growth plan"
74,UOL,UX designer,2015-04-18,5.0,Anonymous Employee,Invests time and resources in training and education for the employees,The huge corporation size sometimes impairs rapid implementation of new methodologies and technologies
75,UOL,Good company to learn,2015-03-18,3.0,Senior Developer,"Lots of different projects, frameworks. Good environment. Nice people to work with.","Traditional company. Does not move at fast paced. Difficult to become permanent, mostly you have only contract option."
76,UOL,I had been working there for 10 years. Eight of these years working as Front End developer and more two as mobile dev.,2015-02-25,4.0,Mobile Developer,"Good environment, flexible schedule and good salary","No challenge projects, too much repetition projects."
77,UOL,A good company to work,2015-01-31,3.0,Webmaster,"It's a good company to work.
You feel in home in most of cases.
Good benefits.",You must wait 6 months for apply another position.
78,UOL,Very nice and huge company but no investment on employees satisfaction.,2015-01-21,3.0,,"- Very known company
- Strong brand
- Different segments where you can learn a lot","- No worry with employee
- Just numbers"
79,UOL,From developer to manager,2014-11-24,5.0,,"Great environment to work, flat communication between projects, great place to evolve your career","Very conservative company, sometimes I feel we lose some opportunities due to the low risk acceptance."
80,UOL,"Great tech people, weak leading",2014-11-06,4.0,Senior Java Developer,"Flexible working hours, lots of competent developers, good localization. Lots of oportunities to outstand. Management seems to have good willing on improving things - from processes to developers' lifes.","Management people are no leaders at all. They also seem to be totally lost on what they're doing. Things have changed in the last years, from an awesome workplace to a total regular one. Managers making choices based on personal impressions about people (but not on their professional history) seems to be just above the acceptable."
81,UOL,Java developer,2014-09-20,2.0,,Localization near restaurants. Flexible hour to work.Scrum process. A good company to start working because in keeo in touch with new internet tecnologies.,The leaders seems to be lost. They dont to handle with human resources. They are weak in to solve relationship matters. These leaders were just good developers in the past.
82,UOL,"No contract, but it's a modern enterprise",2014-09-15,3.0,Reporter,"schedule, salary, time-off policies, structure, modern","No contract, no promotions, personal growth, participation, company values"
83,UOL,It's a good company,2014-09-01,3.0,Software Analyst,"Agile enviroment, informal clothing, flexible work hours and everybody is friendly.",You will never be promoted or get a raise.
84,UOL,It is a good place to work.,2014-07-07,4.0,,We are free to use different technologies.,Contracting model per hour in most of the cases.
85,UOL,"Medium salary, good benefits, organized",2014-05-07,3.0,Java Developer,The place is nice. It is very organized. Good professionals.,"I felt disposable, cold environment, difficult to be promoted"
