,company,headline,date,overall_rating,author_position,pros,cons
0,Uber,Good company,2022-04-09,4.0,Independent Contractor/Driver,"Flexible hours, great communication, and vast opportunities",Need more opportunities to make more money
1,Uber,One of the best place to work,2022-04-09,5.0,Senior Software Engineer,Been here for more than a year. Awesome workplace a lot of things to learn and contribute,Too many meetings and discussions.
2,Uber,Great tips!,2022-04-09,5.0,Delivery Driver,Tips are decent and the minimum payout is fair.,The gas prices are inflated and some of the trips are far out so it is not worth the travel expense to make the trip.
3,Uber,Awesome place to work,2022-04-09,4.0,Independent Contractor,Great place to work everyday,Compensation could be better for workers.
4,Uber,Challenging Work after Pandemic,2022-04-08,5.0,"Senior Manager, Operations","Great scalable company, great amenities",Loosing colleagues and high attrition
5,Uber,Easy but low paying and toxic culture,2022-04-08,3.0,Account Executive,easy sale makes for a quick sale and not much competition on the team,constantly changing quota and a toxic culture with european leaders on every team
6,Uber,Great,2022-04-07,4.0,Beverage Cart Attendant,"Traveling, self reliant, customer service, meeting new people","Gas prices, heat, many miles on car, merchants that don’t care about their customers"
7,Uber,My Experience,2022-04-07,4.0,Uber Eats Driver,"Work on your own time.
Good pay",you don't get tipped good if you deliver to certain chains
8,Uber,Superb,2022-04-07,5.0,Customer Service Representative,"Good pay
Discount on rides and food
Flexible hours","So many calls
Long sitting
Mostly work from home"
9,Uber,Smart Strategies Required for Fair Earnings,2022-04-07,3.0,Delivery Driver,"I loved having the ability to create my own schedule, take breaks as often as I needed to, and formulate strategies for maximum income. It was possible to earn an impressive hourly rate during peak hours.","As a full-time delivery driver, the wear and tear on my car was not worth the overall compensation. The cost of gas, especially when accepting longer-distance trips, often turned a $25 hourly rate into less than minimum wage."
10,Uber,Average,2022-04-07,4.0,Delivery Driver,Good app easy to use,Not showing how far the delivery will be
11,Uber,Love working at Uber,2022-04-07,5.0,Anonymous Employee,"- Great benefits, super interesting work, great people","- Super fast paced, can be slightly chaotic (though to an extent its controlled chaos)"
12,Uber,lkniubi,2022-04-07,3.0,Ride Share Driver,flexible schedule and great pay,too many rude customers here
13,Uber,Great Experience,2022-04-07,5.0,Operations Manager,"Freedom, Team quality, Compensation, Impact, Career opportunities",Too much politics at some point
14,Uber,Great company to learn and grow,2022-04-07,5.0,Anonymous Employee,"Work life balance, employee centric environment, lots of learning opportunities, perks and benefits",I haven't found any cons so far
15,Uber,Real freedom,2022-04-06,5.0,Delivery Driver,"Work when you want
Great promotions",None at all very good
16,Uber,Great,2022-04-06,5.0,UberEATS Delivery Driver,Its the best and easy,Gas prices is expensive right now
17,Uber,Not bad,2022-04-06,4.0,Sales Development Representative (SDR),"You never know who u get in your car , I mostly get the good one",Gas price and  have to drive for hours to make  money
18,Uber,Great Place to Work,2022-04-06,5.0,Customer Success Coordinator,"So many opportunities to move up in the company, they also offer a variety of workshops to improve your career. Amazing perks.",Constant change and demanding work at times.
19,Uber,Great place for learning and career growth,2022-04-06,4.0,Senior Strategic Operations Manager,"- Interesting and stimulating problems to solve
- Everyone is extremely smart and collaborative
- Lots of freedom to learn new skills
- Generally solid work life balance, flexible PTO
- Great office amenities","- Below market compensation, but employees are expected to be more technically proficient than competition. For example, the majority of Strategy & Ops managers have the skills to be data analysts and are required to use those skills on a daily basis, but aren't comped as such
- High employee churn rate creates thrash"
20,Uber,Great Company and Great Culture,2022-04-06,5.0,Staff Software Engineer,"- Real world problems which are interesting to solve
- Great culture
- Good Work life balance
- Great transparency - has Global All Hands every 2 weeks where CEO answers highly ranked Qs","- High attrition
- Need better communication about companies mission"
21,Uber,"No cons -Only pros, Best work culture and great ethics",2022-04-06,5.0,Systems Engineer II,"Work life balance
Benefits 
Salary
Work culture 
Learning environment 
Care for employees",No cons I found till now
22,Uber,My Uber experience,2022-04-06,4.0,Delivery Driver,"Getting paid everyday was a plus and also being your own boss meaning, you work at your own terms! 
They will offer you can vehicle if you are working full time.",There not a set amount of payment. You can never determine how much that delivery will pay out.
23,Uber,Good,2022-04-06,5.0,Program Specialist,"Very good, a lot of learning and opportunities",Increased competition and less benefits in wfh
24,Uber,Simple,2022-04-05,4.0,Independent Contractor,Own boss and good money,Keeping up with maintenance of vehicle
25,Uber,it was the best company,2022-04-05,5.0,Software Engineer,the always expect the workers to be,by far the best company i have ever seen
26,Uber,It's okay,2022-04-05,3.0,Delivery Driver,Work on your own time.,Days and weeks never matchup to what kind of money you should be making hourly.
27,Uber,Great company values,2022-04-05,5.0,Risk Compliance Specialist,"Great senior management team, monthly Uber cash, great engagement events",low compensation and benefits but they are always improving
28,Uber,Good,2022-04-05,4.0,Computer Programmer,Easy to setup for driving food,No help from customer service
29,Uber,Uber Eats Delivery Driver is a good self employment job,2022-04-05,5.0,Food Delivery Driver,You make your own schedule which is nice so you get a good balance of work and home life.,"You have to keep yourself motivated since you don't have the traditional ""boss."" You are your own boss and therefore it can be easy to not be as diligent working. Also, all the driving does put a toll on your vehicle, so you have to maintain it. Gas is expensive too."
30,Uber,Amazing place to work with,2022-04-05,5.0,Program Manager WFM,"Balanced life,good salary amazing benifits",Non that I can think of
31,Uber,Amazing work culture,2022-04-05,5.0,Anonymous Employee,Amazing work culture and people,I had a very good experience
32,Uber,Ok,2022-04-05,3.0,Driver,"Flexible, own boss, good job if you enjoy driving","No bonus, no career, no holiday pays"
33,Uber,Great Culture,2022-04-04,4.0,Account Executive,"great culture, great team environment, supportive management, flexible PTO policy, Uber Cash benefits",Quota system constantly changing and its stressful for sales team
34,Uber,Customer service/Rider reviews,2022-04-04,3.0,Rideshare Driver,Working in-state you live in is lucrative.,Trying to work in city of New York was problamitc. Rider reviews are harsh.
35,Uber,Eh,2022-04-04,3.0,Operations Manager,"Good benefits, good to have on resume","Elitist, segmented, and impersonal work environment"
36,Uber,Great place to work,2022-04-04,4.0,Client Success Specialist,"- Startup culture - lots of room for growth and new opportunities
- Great PTO/benefits
- Good work/life balance","- Lack of official structure (but has started to improve)
- Does not match 401K"
