,company,headline,date,overall_rating,author_position,pros,cons
0,Viasat,Stay away.... not everything that glitters is gold.,2022-04-07,3.0,Quality Specialist,Company pushes a unicorn culture.,Nothing but Nepotism at this company... especially if you're a white male you are a part of the in crowd. Favoritism and Nepotism abounds. This company is the quintessential embodiment of a systemic racist institution. All complaints of racial harassment are swept under the rug and offenders recieve wrist slaps while the victim is shamed. Opportunities for advancement are given to cronies.
1,Viasat,"Pay is so good, but no training or structure to new hires in Software",2022-04-04,3.0,Software Engineer New Grad,"Pay is amazing for a new hire right out of school

Office is nice and food is good, although they make you pay for it.","401k is terrible. 50% match.(most decent tech companies do 100%match, yet these people do 50%)

No training structure or training at all for software roles. First few months I just came into work with no idea what i would be doing for the day besides meetings. Just had to act busy . Im happy with what I do now being here for a year and half but like i said first bit was rough without a training on how to code/test/projects/do things. I had to self teach everything to just keep up.

Unlim time off but never been able to use it without mgmt getting upset when I took time off."
2,Viasat,"Great Atmosphere, bad Pay",2022-03-29,5.0,Manufacturing Engineer,"Atmosphere, benefits, people, community, environment","really, really, really lousy pay"
3,Viasat,great people and culture,2022-03-29,5.0,Anonymous Employee,"great people and culture, great teams","work load a bit high from time to time
sometimes need to look for work yourself since you must fill timecard"
4,Viasat,Excellent working environment,2022-03-29,5.0,Software Engineer III,Good work-life balance and work culture.,"Nothing to say, everything is good."
5,Viasat,It was good stuff during my time there.,2022-03-25,5.0,Anonymous Employee,"Great company, great environment, great pay.",Location requires driving close enough to Atlanta to be part of the world-famous traffic.
6,Viasat,Awesome Company and Great Place to Work,2022-03-24,5.0,Anonymous Employee,"Relaxed culture, empowerment to explore other business areas/functions if you are interested",5 day work week should be part of the past
7,Viasat,Don't waste your time,2022-03-24,1.0,Anonymous Employee,"Good benefits, good people in some pockets.","I wish I had never accepted a job at this company. I came across a job posting and decided not to apply, but a recruiter reached out. I thought why not give it a chance? Worse mistake ever. There is a culture of reprimanding people even though things are not communicated or expectations set. There is a lot of lip service to transforming the company but the people that have been there a long time will go out of their way to make sure that doesn't happen. Some leaders are in their roles because they have been at the company for a long time and not because they have the expertise to lead their functions. In my particular case leaders were often controlling and would not listen to any feedback even while they pretended to be open. Oh and they will make you track your time in ridiculous and minuscule ways even for divisions where it is not a need."
8,Viasat,Great company,2022-03-23,4.0,Program Engineer,Great company culture and work-life balance,Compensation isn’t competitive compared to industry.
9,Viasat,A company that cares,2022-03-22,5.0,Anonymous Employee,"There's opportunity to grow internally, passionate leaders that care about their employees, and innovative, groundbreaking work with a vision to connect the world. 

Throughout my time at Viasat, I have not been bound to one role or had to stay in my own lane. Even in the midst of shifting to a virtual setting due to COVID-19, there has been collaboration, the desire to help employees succeed, and new projects to take on.",Implementing change can sometimes take longer than expected.
10,Viasat,Great company,2022-03-22,5.0,Internship,The company was great and onboarding made things very clear. Would recommend applying here.,I wasn’t there long enough (internship) to see and cons.
11,Viasat,Work experience,2022-03-22,4.0,Software Development Engineer (SDE),Teams are very good and helpful.,Salary is little low as compared to another company
12,Viasat,Great place to work,2022-03-21,5.0,Technical Analyst,"Great work environment, culture, and work life balance.  Challenging work and cutting edge technology.","As company has grown, it has lost the fast paced feel that it once had"
13,Viasat,Great place to work!,2022-03-21,5.0,EHS Specialist,Great team and fun work environment,Can be super stressful and demanding
