,company,headline,date,overall_rating,author_position,pros,cons
0,Weather Channel,Good benefits,2022-04-05,4.0,Ads Specialist,"great benefit 40k match, insurance is good, time off policy generous.",management wants inner circle people only will ignore people who have performed
1,Weather Channel,Great family oriented company,2022-01-25,5.0,Anonymous Employee,"Great benefits, no hesitation to help incase of family problems.",Salary is on the lower end of market
2,Weather Channel,Downhill,2022-01-13,2.0,Anonymous Employee,The people and brand are great.,The management is definitely the worse part
3,Weather Channel,Salary,2021-12-31,3.0,Studio Floor Director,They have good paid time off.,No real plan of sussession for you to progress in the company.
4,Weather Channel,TOC Help Desk,2021-12-01,4.0,Technical Operations Center Help Desk Analyst,"Great entry level IT role that focuses on learning various systems, technologies, and devices. Gave everyone opportunities to shadow other engineering groups depending on your interests. Good communication with leadership.","Shift work, it is 24/7/365 Ops Center so you may get called in to cover shifts on your day off."
5,Weather Channel,good,2021-11-12,4.0,Conservator,good team and not very stressful,there are no cons here.
6,Weather Channel,Good pay and good work for a dream job,2021-10-27,5.0,Meteorologist,"Good Pay
Work with high class professionals in the weather community
Allows flexibility","Long hours
Can be hard for sure
Late night events do occur"
7,Weather Channel,Great Place to Work,2021-07-14,5.0,Account Executive,Small company where you felt you really made a difference. Significant Growth opportunities. Great bonus accelerators for sales team.,"It was a hard sell in the marketplace when IBM purchased the digital side of the business, but not a ton of cons for the company."
8,Weather Channel,"Great people, overworked & underpaid",2021-07-05,3.0,Anonymous Employee,The people are some of the brightest meteorological minds out there. Very few egos to deal with.,"Management has competing priorities, don't reward people who deserve more $ and don't provide enough equipment support."
9,Weather Channel,Bad management,2021-06-20,3.0,Technician,Pay and benefits are decent,Bad management styles and inter office politics
10,Weather Channel,great,2021-06-19,5.0,Marketing Executive,great place to work really enjoyed it,nothing bad about working here
11,Weather Channel,inexperienced management at the top,2021-06-04,3.0,Systems Engineer,"talented, vital management at lower levels",working with a skeleton crew
12,Weather Channel,Really enjoyed working here prior to IBM acquiring it.,2021-05-09,4.0,Software Development Engineer,Good work-life balance. Fun team atmosphere.,Should do better about honoring promotions. Drag their feet when it was time for a pay raise for almost a year but once I put my two-week notice it magically appeared...not a good way to keep someone.
13,Weather Channel,"Beware of ""The Weather Channel Way""",2021-04-07,2.0,Video Producer,"Name recognition aka it'll probably help you land a better job, elsewhere
Salary is decent",No culture of respect or benchmark for success
14,Weather Channel,"Good company, smart people.",2021-04-07,4.0,Director,"Work/life balance, benefits, fun environment.",Needs to adjust to the market.
15,Weather Channel,stressful environment with a lot of turnover,2021-04-06,3.0,Finance Manager,"Good salary, benefits, and co-workers","overworked, lots of management changes"
16,Weather Channel,Decent Role but IBM Processes Slow and Challenging,2021-03-10,4.0,"Vice President, Measurement",The worklife balance and office location was great,IBM Acquisitions drove increased timelines and processes as well as many re-orgs
17,Weather Channel,Fast paced and technically challenging environment,2021-02-19,4.0,Software Engineer,Great group of developers of many specialties and open to ideas on moving the tech stack in positive directions. Lots of room to grow and move around.,"IBM corporate policies negated some of the ""open source"" knowledge sharing and ""small shop feel"" of the teams. Fall in line and get a number."
18,Weather Channel,Another Quibi in the Making,2020-11-24,2.0,Associate Producer,"• Relatively competitive pay at entry level positions
• Part time / Permalancer employees are given a lot of schedule freedom
• Work from home transition was fairly seamless
• Benefits offered to both part time and full time employees","• Little to no career opportunities beyond your hired position
• Product quality is of little concern
• Upper management completely disconnected from lower level workers
• Poor budgetary management"
19,Weather Channel,Disgust,2020-10-17,3.0,Anonymous Employee,"Good benefits, flexible work hours","Our work truly isn't appreciated as it once was in years past. Viewer input is read then disregarded. We thought things would improve post NBC, but they've actually grown worse."
20,Weather Channel,"Good experience, poor management",2020-09-09,3.0,News,"Accommodating towards time, good benefits (under IBM).","No raises, nonexistent bonuses, only title promotions, which were also difficult to come by unless you pushed."
21,Weather Channel,Okay,2020-09-09,3.0,QA Technician,Decent place to work if there are no other options.,Unappreciative of good workers and dedication
22,Weather Channel,loved it,2020-08-17,4.0,Manager,great company To work for,"Open 24 hrs a day , ALWAYS ON"
23,Weather Channel,well-run but ruthless,2020-07-20,3.0,Advisor,"employees are given autonomy, highly motivated, highly focused on financial success","can be cold, too focused on numbers"
24,Weather Channel,It's just okay,2020-06-11,3.0,Yield Analyst,"Good pay, decent people, comfortable","Not really going anywhere, outdated technology"
