,company,headline,date,overall_rating,author_position,pros,cons
0,Wildlife Studios,A large company but run like a start up,2022-03-26,4.0,Procurement Manager,"Flexible work hours
Great people to work with
Provide adequate equipment for the job","Management lacks transparency 
Messy RTO"
1,Wildlife Studios,Great place to work,2022-03-02,5.0,Business Analyst,Everyone is smart and friendly,Long work hours can be normal
2,Wildlife Studios,DO NOT WORK HERE!,2022-02-11,1.0,Senior Software Engineer,"Horrible place to work, do not work here!","No matter how much $$$ offered, do not work here!"
3,Wildlife Studios,"Dynamic, challenging and rewarding environment",2022-02-11,5.0,Anonymous Employee,"Fast-paced, exciting and growing industry
Working on challenges and problems at scale
Working with people that you admire and care about you","As a company that is scaling up, processes are still not mature"
4,Wildlife Studios,Great,2022-01-25,4.0,Anonymous Employee,great place to work at,no issues at the place of work
5,Wildlife Studios,Great place to work,2022-01-18,4.0,Anonymous Employee,"- Challenges that help you grow
- Team play
- Good working conditions","- Quick management turn arounds, which can directly impact your work (and role)

- Unclear or hard to estimate goals and their impacts, mostly in terms of studio level."
6,Wildlife Studios,Incredible Work culture,2021-12-20,5.0,Senior Analyst,"- We work with really competent and intelligent people
- We have very much autonomy
- We learn a lot
- We are very transparent about our shortcomings","- The company is hectic
- Low predictibily, high turn over, changes to team"
7,Wildlife Studios,Toxic culture,2021-11-30,1.0,Marketing,"Cutting edge technology, 1st class equipments and services, cool events and benefits.","If you enjoy micromanagement, that's the place. Some of the managers, directors and leads are there just because. They're not good with people nor technical matters, but they are layers of approval for most of the things.
Also, the company will invest money but not efforts about diversity or people care, burnout is part of the culture, caused by too many unpaid extra hours and the toxic environment."
8,Wildlife Studios,Fast-growing company,2021-11-04,4.0,Anonymous Employee,"Great talent working together, you learn a lot",Not a lot work-life balance
9,Wildlife Studios,Great place to work,2021-10-31,5.0,Senior Business Analyst,The people are amazing and you learn a lot.,"Career paths and performance evaluation are unclear.
Diversity is not treated as a priority and there is little diversity in the company, especially for more senior positions.
Excess of confidentiality and overall lack of transparency."
10,Wildlife Studios,Amazing culture,2021-10-21,5.0,Anonymous Employee,People can thrive at Wildlife. The culture is very inclusive and welcoming.,"Nothing major. I feel the company is undergoing the growing pains as it becomes a larger multinational business, but enlisted a very strong executive team to tackle this challenge."
11,Wildlife Studios,Amazing Company,2021-10-02,5.0,Business Analyst,"Great people, great benefits, amazing vision for the future",Not really anything to say until now.
12,Wildlife Studios,"Great team, big challenges",2021-09-29,5.0,Engineering Manager,"I really love the energy of everyone around me at this company.
My team is incredible and I seem to grow both as a person and as a professional with each new project/task that I'm doing.
We constantly review processes that are good/bad for the team, so we can improve little by little every week.
I feel listened to and respected by my coworkers and by my manager.

I really enjoy working here","The company needs to work more on D&I and in top-down communication to teams, that sometimes are not fully clear and lack data information."
13,Wildlife Studios,Love the energy,2021-08-10,5.0,Anonymous Employee,"* Passionate Founder who demonstrates the ability to learn, grow and inspire
* Great Industry
* Values fun!
* Young and passionate team","Classic, stage-appropriate growing pains. Additions to leadership are encouraging, especially in HR and culture items that are improving. Global, remote nature of the business can be a challenge (not uncommon these days for other companies too)."
14,Wildlife Studios,"Awesome firm, competitive salary and benefits",2021-08-05,5.0,Data Engineer,"Very great salary and benefits, even a house rental sponsorship to live near the office! A lot of happy hours with great voucher. Safe environment, short hours (40), smart people, autonomy, fresh technologies and flexibility to migrate between teams. Amazing to work in technology field!","No much people diversity, mainly straight and white men. But the company has been trying to improve with initiatives such as dedicated job positions."
15,Wildlife Studios,"Very high talent density, but lack of organisational clarity makes the work more difficult.",2021-07-22,4.0,Business Analyst,"To work with top talented people. WildLife is one of the companies with the highest talent density I've ever worked at, and this made me develop myself a lot during my period there.

Good compensation package.

Good middle management people.","The executive team constantly changes the goals of the company, making it hard for the teams to plan. The decision-making rationale is not clear, and many decisions are influenced by personal beliefs (which are susceptible to bias) instead of data-driven backed-up. 

I also feel that the company focuses a lot of time on explaining why things went bad instead of thinking about how to improve things, which in my opinion is one of the main reasons why the company is not reaching its full potential today.

Career leaders are quite confusing, and discussion regarding this topic usually only happens twice a year, instead of happening regularly."
16,Wildlife Studios,Wild Culture,2021-07-13,1.0,Confidential Employee,"Money, good benefits, perks (food at the office, happy hours)","Toxic environment and culture: it is common to see sick employees, with exhaustion, depression and burnout due to high workloads and limitless pressure. We have been working from home for over a year and there is no effective financial aid or mental support. Subsidizing therapy sessions and keeping people working 16 hours a day is paradoxical and hypocritical. 
Incredibly, the entertainment is left only to the users: the culture is boring and bureaucratic. Things just don't happen because you fill out thousands of meaningless documents that get stuck with the executives or the CEO. 
Leadership is young, male, and weak. In general, composed of bright students from Ivy League universities and who do not value people. They are completely focused on business, and in general treat people like robots, with very few exceptions. 
Diversity is a joke. There is no affirmative action to include women, homosexuals, transgender people, black people, or people with disabilities. Almost all employees have the same education, live and go to the same places, and think alike. 
At top management, the company is a complete mess. There is no direction, and depending on what book the executives are reading, things change course completely, without explanation or logic. The OKRs are poorly written and uninspiring. The company's vision is non-existent, as is the practice of its values. 
Due to the lack of direction, it is common to see excellent people questioning their own ability, because nothing is good enough for the executives. 
For the user, the experience is terrible: they are not valued, the games are full of bugs and only made to make the company money. There are not enough staff to serve everyone, because this is not the company's priority. It is common to see players, in forums, complaining about the lack of assistance (yes, the company just leaves the game generating money and stops giving support). 
Apart from money and a few good people, there are no good points to be considered."
17,Wildlife Studios,Great Place to Work,2021-07-12,5.0,Senior Game Producer,"Wildlife Studios have a great environment where people care for each other and care for diversity with internal organization for Women, Black people and LGBTQIA+. Also is a great environment for technical improvemente with the use of the latest technologies.",As the company is doubling every year it has some organization issues that are still being addressed.
18,Wildlife Studios,Burnout as a culture,2021-07-05,1.0,Game Engineer,"There is no pro, for real.","You have no time control, you work overnight everyday trying to achieve impossible deadlines. Its part of the culture to publicly humiliate employees under you (they may tell you that they are a horizontal company, but they aren't! The company hierarchy its very well defined) and to ""quit the meetings if the slides are ugly or difficult to understand"" (that is exactly what we are told to do).

Basically, you are not human for them, you are a machine. Inclusion is just part of their marketing.
Oh, and do not expect to work with the same peers for too long, they all will quit the job or be fired.

But if you already know somebody that is on the top of the hierarchy of the company it may be interesting to join the company, they have a career plan for you."
19,Wildlife Studios,Amazing place to work,2021-06-30,5.0,Anonymous Employee,Very nice environment and culture.,The market is quite competitive.
20,Wildlife Studios,Refreshingly different place to work,2021-06-17,5.0,Manager,Every single person is great at what they do and care about their input,The overall objective/goal of the company doesn’t match with their approach but it doesn’t effect the day to day
21,Wildlife Studios,Great place to work,2021-06-01,5.0,Engineering Manager,"Interesting products
Great compensation
Smart and engaged co-workers
Great onboarding experience","Big company with almost a thousand employees
No remote work for regular positions"
22,Wildlife Studios,Talk talk talk no walk,2021-05-18,2.0,Data Scientist,"Good salary
Cool events
Good benefits
Some promising talents","Nepotism
Long hours of work 
No cooperation but a lot of ego
Managers are a joke"
23,Wildlife Studios,Amazing company to work,2021-04-23,5.0,IT Support Technician,"*Good values;
*Excellent environment.
*Care about each other.",*Lack of career planning and opportunities.
24,Wildlife Studios,Good challenges / Not experienced leadership,2021-04-12,2.0,Senior Data Scientist,"good data\problem challenges
good salaries
some good professionals","The leadership of the company is rather young with only experience gained in this company. This leads sometimes to not very effective management and weak vision for a good company expansion.

There are many young talents, but for the same reason above mentioned most of them are not willing to listen to any criticism and suggestions from more experienced professionals; instead, they become defensive of their solutions and thus not constructive. They are frequently not pragmatic; just follow ""fancy"" technologies instead of considering simple baselines.

I have an impression that the leaders tend to avoid any real hard work and not even trying to really understand  what is actually going on.

A bit of nepotism is also present versus the older employers -> two weights for the same measure.

If the company does not put in key points more experienced talents, it will fail in a few years (not on the board level but on the team level leadership)."
25,Wildlife Studios,Amazing company to work,2021-03-26,5.0,Business Analyst,Highly data driven and awesome people,"Avg. number of working hours is considerable higher than other industries, but IB"
26,Wildlife Studios,Such a mess,2021-03-23,1.0,Software Engineer,"good paid, nice problem, very bad managment.","the life inside is a mess. there is almost no process, for anything, serious managment problem. there is no strategic thinking."
27,Wildlife Studios,Great environment,2021-03-16,5.0,Anonymous Employee,"Amazing culture, people, and exciting challenges.",No problems at the moment.
28,Wildlife Studios,Top company that looks to continuously improve,2021-03-11,5.0,Anonymous Employee,"* Great team to work with that are really passionate about working in gaming
* Opportunity to be involved in an array of projects 
* Management listen to feedback and encourage alternative ideas
* Very open and honest culture
* Handled WFH in a great way
* The company has a culture for recognising hard work (either monetary, career progression or a simple kudos)",* There has been some delays with projects being kicked off which can cause frustration
29,Wildlife Studios,"Great company to work for, with lots of opportunities",2021-02-26,5.0,Anonymous Employee,"Great ownership, recognition and compensation","Sometimes chaotic organization, lack of optimized processes"
30,Wildlife Studios,Fast paced environment with lots of learning and potential to create impact,2021-02-23,5.0,Senior Data Scientist,"- Talented, humble and collaborative colleagues
- Lots of interesting problems to tackle
- Strong team ethic that encourages and promotes individuals to learn and contribute
- Excellent compensation and benefits","- Sometimes there's a lack of clarity and structure around leadership's vision and plans
- Extremely talented teammates set a high bar, and it's a great opportunity to learn. But that also means it takes a lot to stand out."
31,Wildlife Studios,Great place to work overall if you're looking for stability,2021-02-17,4.0,Senior Artist,"- Great Structure and Career Growth
- Wonderful and passionate people to work with
- Great benefits
- Very stable place to work in","- Products are successful but not that exciting to work in a creative role
- Art doesn't have a unified voice or strong presence in the company
- Top-Down decisions disrupt the ownership of some products
- Teams work fast and quality comes in second"
32,Wildlife Studios,Work on interesting problems with friendly teammates,2021-02-12,5.0,Senior Data Scientist,"Super colleagues, global scale, impactful opportunities, interesting technical problems","Very high bar, workloads can be tough to manage"
33,Wildlife Studios,Fast-paced environment with good growth opportunities,2021-02-02,5.0,Senior Data Scientist,"* Great compensation and good benefits
* Fast-paced environment
* Opportunities for growth (personally by learning and professionally by having an impact)
* Challenging problems to solve and a lot of data available to solve them, plus access to the resources needed
* Strong team with data scientists from all over the world","* Hard work is required to stand out
* Constant changes can create some anxiety and uncertainty"
34,Wildlife Studios,"Overall, a good place to work.",2021-01-25,4.0,Senior Software Engineer,The company moves really fast and there are always new opportunities for growth. People overall are great and are interested in improving and making things better.,"Management is lacking, especially as the company is growing. Di is not as advanced, but they are working on improving it."
