,company,headline,date,overall_rating,author_position,pros,cons
0,Wix,Best Company to Work For,2022-04-07,5.0,CUSTOMER CARE EXPERT,The Company gives you the freedom to do the job the way you are more comfortable. All co-workers are proactive and help you during issues or specific situations. Great work environment and hours.,It takes you 12 months to apply for other positions inside the company.
1,Wix,Great company,2022-04-06,5.0,Business Analyst,"Flexibility, Super interesting, great people","Location, few integrations between companies"
2,Wix,Great company to work for,2022-04-05,5.0,Product Manager,Startup culture despite being a large company,A good amount of politics
3,Wix,"Overall, great company to work for",2022-04-05,4.0,Senior Product Manager,"Wix work for her clients and put them in the center
Lot's of growing opportunities
Great employee experience
Amazing & talented people","Complex product with lots of internal dependencies, which makes it hard to push ideas and features."
4,Wix,Great place to work,2022-04-05,5.0,CUSTOMER CARE EXPERT Remote,"Great team atmosphere. 
Great onboarding.
Nice perks",Not felxible with more shifts
5,Wix,Good,2022-04-04,4.0,Customer Service,Wix is good but customer care isnt a thing for life,Progression is not good at wix
6,Wix,Good place,2022-04-03,5.0,Software Developer,Nice people and culture on work,A lot of work to do
7,Wix,The best place for a front-end engineer to work in Vilnius,2022-04-02,5.0,Software Engineer,Great offices in Vilnius downtown,"Salary is good but not top tier
Limited career opportunities above certain level"
8,Wix,Great workplace,2022-04-02,5.0,Back End Developer,"Best in class engineering 
Great attitude
Flexible",Company grew 3x in last few years doesn’t have that start up feel anymore
9,Wix,Dev culture,2022-04-01,5.0,R&D Manager,"Wix has some of the most advanced dev cultures I have seen.
Companies and guilds is all about personal growth and standardization.
TDD and code quality.
State of the art CI pipeline",Dev standards and tool are very opinionated and its hard to stray from the central golden path
10,Wix,Amazing young company,2022-04-01,5.0,Anonymous Employee,"Great perks, great people and culture","No cons, great company to Work"
11,Wix,Amazing environment great benefits interesting jobs,2022-04-01,5.0,Customer Support Representative,"Wonderful people 
Lovely atmosphere
Overall great hours","Fast paced
Sometimes stressful
Management is not always transparent"
12,Wix,"Good company, but benefits are challenging",2022-04-01,4.0,Anonymous Employee,"Good vibes, flexibility, professional mobilty",Salary is low (dependent on stocks) compared to the market
13,Wix,"Run, its a robot factory and no room for growth.",2022-03-30,1.0,Customer Success Specialist,decent meal benefits and some friendly coworkers,Inept managers who are Yes Men to higher ups
14,Wix,"Unless your TL likes you, you're toast!",2022-03-29,1.0,Customer Care Expert,"-Good food credit every two weeks. 
-They send you what you need to work.","-You can't move to a different shift during the day, even if it is available.
-No room to move up unless you are someone that the TL likes. (I have been told by my TL multiple times via Zoom that I would never be recommended for a different position, even if it was available, and I am qualified). These positions include a TL position, working as a PSS, moving to a chat shift during the day, etc. 
-You will be micromanaged."
15,Wix,Amazing company,2022-03-27,5.0,Senior Developer,"great culture, amazing atmosphere, lots of parties","no cons, great company to work for"
16,Wix,Great organization,2022-03-27,5.0,Product Manager,"Organized, great people, love the work.",I can't find something worth mentioning.
17,Wix,Great Company!,2022-03-27,5.0,Senior Software Engineer,"great engineering school, friendly people and full ownership
less bureaucracy and titles",great infra that makes dev focus only on BL and maybe lose the big picture
18,Wix,Good overall,2022-03-26,4.0,Automation Engineer,"Work life balance is great, supportive colleagues and interesting day-to-day work","The guild structure makes it impossible to move from roles.. If you are thinking of moving around in roles, this is not the place."
19,Wix,Almost perfect,2022-03-26,4.0,Customer Care Specialist,"For the most part, they take care of their employees, extensive training, takes most feedback and implements change, great benefits, gives out swag and gifts often.","Pay, pay, pay, pay. PAY is too low and the raise process is asinine. Rather than have reviews one or twice a year, your manager has to submit you, make the case, and then the site management decides. So if your manager isn’t a fan of yours, your less likely to get the raise."
20,Wix,Almost perfect,2022-03-26,4.0,Customer Care Specialist,"For the most part, they take care of their employees, extensive training, takes most feedback and implements change, great benefits, gives out swag and gifts often.","Pay, pay, pay, pay. PAY is too low and the raise process is asinine. Rather than have reviews one or twice a year, your manager has to submit you, make the case, and then the site management decides. So if your manager isn’t a fan of yours, your less likely to get the raise."
21,Wix,Not the best company,2022-03-26,1.0,Sofrtware Engineer,Hard to find any pros,"No bonuses
Manager not existing
Product team changing every quarter 
Not paying in time"
22,Wix,Dynamic and powerful,2022-03-24,5.0,Operations Manager,"Operations manager is different in each team, Very dynamic and powerful role.","Work with people, Many events."
23,Wix,Amazing company that building a great product through empowering its people,2022-03-24,5.0,Dev Team Leader,Amazing company that building a great product through empowering its people,Need to do some rearrangements since it grew up rapidly
24,Wix,Great Company,2022-03-24,4.0,Lawyer,Inovative. Very open.  Good tech. market leader. very good place to work.,A bit slow in growth.
25,Wix,great,2022-03-24,4.0,Product Manager,great place to work at,no cons here at our company
26,Wix,Great company to work for / can be better in benefits,2022-03-23,4.0,Sales,"CEO and the leadership are really people to work for. They are influential. They care about the business and the people. Great culture. 

People are constantly learning and growing. 

The company is rapidly growing under different brands. Room to grow. 

They are the industry leader for a reason. 

Leadership really do care about their customers, and they want the customers to have the best experience.

CEOs' support in Ukraine is highly respected by the employees. All the leaders did their best for their employees which was heartwarming.","Side benefits are not really competitive compared to the other tech companies: 

Health Care doesn't cover dental. It hardly covers most consultations. It doesn't include family. The tech industry average in health insurance is much better. 

Maternity & Paternity benefits are way lower than the industry. Maternity is less flexible and paternity is only 2 weeks. 

They need to match the tech industry average and also it is a necessity for the well-being of the employees."
27,Wix,Good place,2022-03-23,4.0,CUSTOMER CARE EXPERT,Good work environment and people,The pay is lower than I would like
28,Wix,Decent,2022-03-22,3.0,Conversation Designer,There's a team so you don't feel alone.,Company culture is toxic and harmful to employees
