,company,headline,date,overall_rating,author_position,pros,cons
0,YOOX NET-A-PORTER GROUP,"Luxurious, sterile, slow progression",2022-04-02,3.0,Anonymous Employee,"Nice offices, some friendly, talented staff","Really quite sterile offices although spacious, you do feel a bit trapped as it’s so quiet. Message on Teams rather than talk culture even in your own team, my team always looked shocked if I dared go to talk to them two desks away rather than send them a message. Not sure what’s happening with investment in tech, you can see issues on the site even when using it which Net A Porter can’t afford to happen- I can see them lagging behind competitors in a few years. Progression isn’t great- three years or more in same role."
1,YOOX NET-A-PORTER GROUP,Run away,2022-04-02,2.0,Anonymous Employee,Lovely bonus scheme and very open long term staff,"Uses too many temps.
Great with customers but not to staff.
HR is inefficient at dealing with staff issues that arise with managers."
2,YOOX NET-A-PORTER GROUP,not the best place to work!!,2022-03-31,2.0,Merchandise Coordinator,Benefits were pretty good overall.,"no room for growth, management had favorites and some were racist."
3,YOOX NET-A-PORTER GROUP,Great place to work,2022-03-23,4.0,Delivery Manager,"Benefits, great staff and professionals",Bureaucratic quite tough to get decisions on big projects
4,YOOX NET-A-PORTER GROUP,Employee burn out and little room for advancement.,2022-03-21,3.0,Anonymous Employee,"Good benefits, solid team and mostly friendly, hard working people. NJT train station right behind the parking lot, making commuting easy. Hours are good.","Upper management and HR is checked out, and not on the side of the lower level employees. The last two years have seen the dwindling of staff without replacements or promoting the current staff that have taken on extra responsibility. Upper Management is avoidant of holding meetings to address the concerns of staff. Current teams have been burned out and not fairly compensated for their efforts. Contact tracing was extremely lax and concerning. Outdated equipment makes a complex workflow frustrating. Revolving door of HR, rarely on site."
5,YOOX NET-A-PORTER GROUP,Great place,2022-03-19,4.0,Merchandiser,People are nice and the discount is good,But mental with multiple systems and deadlines
6,YOOX NET-A-PORTER GROUP,"Limited Career Progression Prospects,",2022-03-17,3.0,Project Coordinator,"Remote Work 
London Offices
Healthcare Benefits
Staff Discount","Lack of Diversity in Management or Senior Roles
Lack of Training and Development
Salary Review
Annual Performance review generally not reflected in prospects of Salary increase or promotion, counter productive."
7,YOOX NET-A-PORTER GROUP,comfortable,2022-03-17,5.0,Size and Fit Specialist,"4 day work week, great people",repetitive work that isn't creative
8,YOOX NET-A-PORTER GROUP,Easy to catch on,2022-03-14,4.0,Inventory Specialist,Easy scanning and inspe process,"Fast paced, quota driven standards"
9,YOOX NET-A-PORTER GROUP,Great Finance team,2022-03-14,4.0,Senior FP&A Manager,Great Finance team to work with and be a part of. The company also does a lot to look after employees.,"Level of workload and pressure was high, and the reporting structure with Yoox created difficulties."
10,YOOX NET-A-PORTER GROUP,hair,2022-03-13,5.0,Hair Stylist,great place to work for sure,food is not so good
11,YOOX NET-A-PORTER GROUP,Not so good,2022-03-09,2.0,Anonymous Employee,Great work-life balance and culture,"Company should invest more in tech
Low career opportunities"
12,YOOX NET-A-PORTER GROUP,"Amazing team, low salary and few work perks",2022-03-08,3.0,Executive Assistant,Most people I speak to or work with are very nice.,It’s only when it concerns those higher up where you realise your well-being isn’t a top priority. The work load is insane and the pay isn’t great. Not diverse at all.
13,YOOX NET-A-PORTER GROUP,Excellent company,2022-03-01,5.0,Anonymous Employee,"Love working here, people are so nice and accommodating. 
Career progression is great and a lot of sharing and coaching",too many projects but retail alone can be stressful
14,YOOX NET-A-PORTER GROUP,Would avoid,2022-02-28,2.0,Merchandiser,"Discount is good
Nice office
WFH 2-3 times a week","Workload
Lack of progression
Bitchyness
Systems are awful"
15,YOOX NET-A-PORTER GROUP,Stay away,2022-02-24,1.0,Customer Care Representative,Generous pto and staff discount,"Favoritism, no accountability, no flexibility"
16,YOOX NET-A-PORTER GROUP,Review,2022-02-22,3.0,Events Coordinator,"Great employee discount, nice office location","Manager was crazy, team was disorganized, no KPI, spending with no goals"
17,YOOX NET-A-PORTER GROUP,Not the best place to work,2022-02-22,1.0,Sales Associate,"The teams are nice and helpful. The training does provide a lot of guidance
The discount is great",- The management team micro manages. The company doesn't really care for their employees. The company culture doesn't really transient to their employees.
18,YOOX NET-A-PORTER GROUP,"good discount, treats employees like crap",2022-02-20,3.0,Book Keeper,there is good discounts and benefits,treat their employees in the warehouse like crap
19,YOOX NET-A-PORTER GROUP,Customer Care Consultant,2022-02-17,4.0,Customer Care Consultant,Luxury market and speaking with customers worldwide. Great benefits such as staff discounts and brand training.,high turnover of staff and varied experience
20,YOOX NET-A-PORTER GROUP,Worst job ever,2022-02-15,1.0,Delivery Driver,Some coworkers are great and The people I delivered to were always nice,"This was by far the worst and most annoying job ever .. The Pay is terrible,lunch breaks are impossible they harrass you by calling you 5 times a Day.I was called while doing my job driving making deliveries most frustrating thing....No job ever does this .And they fire hard working employees for the most ridiculous reasons I wouldn't recommend a hard working person with experience ."
21,YOOX NET-A-PORTER GROUP,Great company,2022-02-08,5.0,Customer Service Representative,Great company to work for,None that come to mind
22,YOOX NET-A-PORTER GROUP,Okay place to work,2022-02-08,1.0,Anonymous Employee,Co-workers are great to work with,Upper management sucks they dont know what the hell they doing
23,YOOX NET-A-PORTER GROUP,Run for your life,2022-02-08,1.0,Devops Manager,None to be shared really.,One of the most exhausting company I worked for in my career.
24,YOOX NET-A-PORTER GROUP,Good company to work for,2022-02-04,4.0,Finance,"Good work-life balance
Good benefits
Good management","No review of Salary
Slow recruitment"
25,YOOX NET-A-PORTER GROUP,Run,2022-02-03,1.0,Software Engineer,There aren't any to be honest.,"Business drama affecting the decision making process at the company. People who are closer to the project were never consulted but have to take orders from higher-up with random deadlines.

HR is hopeless and treats engineers like a cog in a wheel that could be swapped out."
26,YOOX NET-A-PORTER GROUP,Excellent,2022-02-03,4.0,Administrator,"Wonderful offices, dangerous discount and great people",None I can think of
27,YOOX NET-A-PORTER GROUP,OK ISH,2022-02-02,2.0,22000,Amazing discount - sample sales etc,Micro management was a big thing!
28,YOOX NET-A-PORTER GROUP,Assistant Buyer Review,2022-01-31,2.0,Assistant Buyer,"Great exposure to amazing brands. 
Building valuable relationships within the industry.","No salary negotiations. 
Many hiring freezes. 
Lack of progression opportunities. 
Lack of salary increases."
