,company,headline,date,overall_rating,author_position,pros,cons
0,Yahoo,Fine big org,2022-04-08,3.0,Account Manager,It’s a big org with a named brand. Learned a lot.,"Cog in the wheel, doesn’t really feel like you’re working toward anything"
1,Yahoo,"Great place to work, but too many people leaving",2022-04-08,4.0,Software Engineer,"The working environment is amazing. People are really nice. As a junior engineer, I do receive a lot of guidance and get many great opportunities to grow. They really put your personal interests first. The managers will often ask what I enjoy working on and assign something similar or something that can lead me to the next step.","But ever since the selling last year, way too many people had left. It doesn't feel nice when so many people are leaving and no new people coming in. I don't feel the same energy I felt a year ago."
2,Yahoo,Good,2022-04-07,5.0,Senior Soft Engineer,Good company to work for freshers,Good company for freshers and new grads.
3,Yahoo,It's an okay job.,2022-04-06,3.0,Software Developer,"- Work from home
- Organized work flow
- Adaptive deadline","- Salary
- Location
- cross team issue"
4,Yahoo,Great workplace,2022-04-06,5.0,Associate Production Engineer,"Fantastic team , encouraging and always helpful . Working on a complex number of problems tackling them with the latest tech stack. 
Very friendly people making you feel like you are part of a family.",None that i can think off
5,Yahoo,Strategic Manager,2022-04-06,5.0,Manager,"- Good culture
- Loving and Caring",Globally not managing very well
6,Yahoo,Great company,2022-04-05,5.0,Anonymous Employee,Amazing culture and you can learn a lot,Owned by private equity (Apollo)
7,Yahoo,Nothing,2022-04-05,4.0,Ad Operations Associate,Good place to start your carrer,"Not any, monotonous after a while"
8,Yahoo,Nice,2022-04-05,5.0,Senior Solutions Architect,Has a positive culture and long history.,Changing senior management usually positive.
9,Yahoo,slowing sinking,2022-04-05,3.0,Editor,good wlb; nice culture; people are kind; pay is ok,things move too slow; new projects take forever
10,Yahoo,Good culture and flexibility during the day,2022-04-05,5.0,Analyst,"No micro-managing
My bosses encourage me to have a life and seek new challenges","There isn't a lot of upward mobility, but that might change in the next year or so if Apollo releases us and we grow.
Pay is good, but I would like clear objectives from HR on how I can maximize my pay."
11,Yahoo,Good,2022-04-05,5.0,Associate,Good. Colleagues are nice and helpful,"NA, the website is lousier then google"
12,Yahoo,Yahoo,2022-04-04,2.0,Marketing Manager,"Great people overall, pay is competitive","Strategy is not clear under Apollo, uncertainty and fear of future re-orgs"
13,Yahoo,Room to Grow but not without many cuts first,2022-04-03,3.0,Operations Manager,"-Company can only improve from here (Apollo is working to set vision and WILL execute it)
-Good WLB (for now)
-Decent pay","-Top talent across the company are leaving in droves...not sure who will be left to do the work
-Backwards ways of assessing product strategy but that should change soon"
14,Yahoo,Yahoo is a good company,2022-04-01,4.0,Software Developer,Yahoo is big. Yahoo's news are awesome.,Nothing much. Everything's good. What else do you want to know?
15,Yahoo,OK,2022-04-01,3.0,Anonymous Employee,WLB is pretty good overall,Feels a bit rudderless and unsure of itself
16,Yahoo,Reasonable,2022-03-31,3.0,Manager,Stable and collaborative work environment,Overall quite slow compared to competitors
17,Yahoo,"Well known brand, OK workplace",2022-03-31,3.0,Contributor,"Well known masthead
Possible to get experience from the ground up","Fussy, conservative management
Out of touch"
18,Yahoo,Difficult to retain talents,2022-03-31,3.0,Software Engineer,"- Good working environment
- Nice workmates","- Less attractive pay
- Delayed tech renovation"
19,Yahoo,Working at Yahoo,2022-03-31,4.0,Research Engineer,"Working with a lot of really smart people on interesting problems.
Everyone is welcoming and helpful.
Feels like a community.
Working fully from home.
Good sports options.","Salary could be a bit more competitive.
Working with groups in different time zones means evening or early morning meetings, but not everyone does."
20,Yahoo,Good job,2022-03-30,5.0,Software Engineer,It is a good jobs.,No free coffee provide now
21,Yahoo,Good company slowly going to maintenance,2022-03-29,3.0,Software Dev Engineer II,Excellent technology from the past,"* No new products or innovations
* No future prospects"
22,Yahoo,Learning opportunity,2022-03-29,5.0,Software Engineer,Great learning opportunities for freshers in building highly scalable system.,Firing people affects employee morale and belief on the company.
