,company,headline,date,overall_rating,author_position,pros,cons
0,Yandex,The best IT company in Russia,2022-04-07,5.0,Software Engineer,A lot of professionals to learn from. Competitive salary. Best attitude to an employee. Most modern technologies.,No cons except the country it is operating.
1,Yandex,Awesome,2022-04-06,5.0,Frontend Developer,"Great work conditions, good medical insurance","Relatively low salary, bad work-life balance"
2,Yandex,ok,2022-04-06,2.0,Researcher,"good office, free food, large computational cluster","low salary, company acts as government propaganda machine"
3,Yandex,Ok,2022-04-06,5.0,Software Engineer,Very cool company with a lot of good engineers,"No cons actually, I think"
4,Yandex,"good company for Russia, not bad for Eastern Europe",2022-04-06,4.0,Software Developer,"free food, friendly and clever colleagues, interesting problems.","Putin, salary less tnan average in Europe"
5,Yandex,Good company,2022-04-06,5.0,Director,"Lots of responsibility, smart and nice people",Not much work life balance
6,Yandex,leading it russian company,2022-04-05,5.0,Business Analyst,"strong brand,  exciting tasks, experienced team",360 review is very nervous
7,Yandex,Great company to work,2022-04-05,5.0,IT Project Manager,The best crew ever. Many opportunities.,Sometimes a little bit too corporate
8,Yandex,Good to take a lot of experience,2022-04-04,4.0,Senior Frontend Developer,"- Programmers around are very smart
- Very democratic management",- Salary is below the average
9,Yandex,Best company in Russia,2022-04-03,5.0,Software Engineer,"Best offices, interesting tasks, very skilled colleagues",Long and difficult interview process
10,Yandex,good,2022-04-03,5.0,Project Manager,Excellent corporate culture and an amazing team,"it is a very flexible corporation, but still a corporation"
11,Yandex,Yandex - best place in russia to work,2022-04-02,5.0,Project Manager,"Warm, free company with very interesting projects and nice bonuses",Salary is not the highest
12,Yandex,"Leading IT company (search, ride hailing, foodtech, marketplace, ultra-fast delivery)",2022-04-02,5.0,Commercial Director,"Great learning experience, Fantastic colleagues, Fast Growing",to many focuses at the same time and working  hours
13,Yandex,Good,2022-04-02,5.0,Software Developer,"beautiful office, good team, free eat",frequent processing during the review is possible
14,Yandex,yandex,2022-04-01,5.0,Anonymous Employee,"stability, safety, growth opportunities, making services w/ big influence","too big, performance review, work/life balance"
15,Yandex,One of the top tech companies in Russia,2022-04-01,5.0,Lead Product Designer,There are lots of opportunities to widen your responsibilities and be in charge of challenging and interesting projects for yourself and thus grow as a specialist. A strong business and leading positions on the russian market,The price of stock bonuses could vary dramatically because of the governments actions and not the business results
16,Yandex,Technical,2022-04-01,5.0,Principal Technical Writer,"sociability, accuracy, commitment, punctuality, humor",But I don't have any issues.
17,Yandex,Design at yandex,2022-04-01,4.0,Product Designer,Very professional team and company. You will be on a cutting edge of technologies. Have a lot of opportunities to try best equipment and tools,Moderate salaries. A lot of red tapes
18,Yandex,Great,2022-03-31,5.0,Anonymous Employee,"Technologies, people, products
Comfortable offices
Many variants to apply your potential",General office and business situated in Russia
19,Yandex,One of the best companies to work in Russia,2022-03-31,5.0,Product Manager,- the best company with great culture and values in Russia,- there are different cons depends on team as everywhere
20,Yandex,That was... controversial.,2022-03-30,4.0,Software Engineer,Really good average level of engineers.,"Nobody cares, that's a conveyor."
21,Yandex,Strong result-driven culture,2022-03-30,5.0,Growth Product Manager,"- good products
- exceptional culture",salaries is below market due to the brand power
22,Yandex,European style company,2022-03-30,5.0,Procurement Specialist,"- Flexible working environment which is rare in Russia
- Competitive salary
- Comfortable offices
- Interesting projects
- Possibility for internal rotation
- Stock-based compensation","- Sometimes organisation is a mess
- Not all projects seem to be competitive
- Often have to work extra-hours
- Small career prospects for back-office positions"
23,Yandex,Good,2022-03-30,5.0,Web Designer,Very very very very good,absolutely no cons at all
24,Yandex,I get lot of experience from this company,2022-03-29,5.0,Human Resources,In this company i have learnt lot of things from my seniors which may help in my future to get a great job,Day to day different operations to visit outside
25,Yandex,super,2022-03-29,5.0,Junior Analyst,all is great love it,no cons lucky hi friends
26,Yandex,Low salaries and fast pace,2022-03-29,3.0,Anonymous Employee,"-Good culture
-Smart and friendly colleagues
-Fast pace","Low salaries, sometimes nervous atmosphere, poor adaptation process"
27,Yandex,Yandex is the best employer in Russia,2022-03-29,5.0,Data Analist/Digital Marketeer,Interesting products: Alice voice assistant and smart home. A wonderful office and an informal business atmosphere. The ability to influence the product and the quality of people's lives.,It's a very complex RSA payout system and months-long calibration of results
28,Yandex,Good employer,2022-03-29,5.0,Senior Product Analyst,"- strong technologies & code practices 
- lots of different products you cat develop",- no reallocation options from Russia
29,Yandex,Best russian IT company,2022-03-29,5.0,Senior Software Engineer,Many products that change the world around. You can find difficult engineering tasks to suit your taste.,Compensation for junior/middle positions is not high enough.
30,Yandex,Nice place to work,2022-03-28,5.0,Python Developer,"There are a lot of top-skilled colleagues, nice projects and many possibilities to grow up as an engineer
Great working culture","The pay is average, the bureaucracy"
31,Yandex,"Good for bleeding edge and bugs fixing, might be tough for normies",2022-03-28,4.0,Android Developer,"Yandex is very good if you want to either:
- Want to work with bleeding edge technologies and are willing to work extra hours and put a lot of extra effort,
- Want to have a boring stable job where you would do same routine almost every day, or would just fix a lot of bugs.","If you want to grow as a developer at normal pace without putting in extra hours, the pace in the company might be tough.
There are a lot of over-achievers in the company, so a ""normie"" might feed forced to work extra hours as well."
32,Yandex,Russia's top It company,2022-03-28,3.0,Product Marketing Manager,"fast-changing environment
opportunity to launch new technologies and innovetions","lack of work-life balance
lack of team-building activities"
33,Yandex,Good company,2022-03-28,4.0,Junior Software Engineer,It's best tech company in Russia,sometimes you have to work hard
34,Yandex,SE 3years+ at Yandex,2022-03-27,4.0,Software Engineer,"- culture
- coworkers
- interesting tasks
- nice management
- salary
- stocks","- salary size
- stocks price
- poor work/life balance"
