,company,headline,date,overall_rating,author_position,pros,cons
0,Yelp,I assume positive reviews came from pre-Covid experiences.,2022-04-08,2.0,Manager Level,"Great benefits, WFH stipend. Any positives are related to the perks and not the actual working experience. Coworkers were nice.","This place was so bad I left after only two months because the manager was horrible. Management takes no responsibility for any process shortcomings, you will feel like you’re on an island if onboarding remotely; micromanaging, toxic work culture that feels like gaslight city. I don't know if management is afraid of their superiors, but if I asked for more thorough training or more resources, my manager would blame me for not knowing things that only an employee with the company for a longer period would know. Lots of belittling to avoid responsibility for their team member's successes or failures. 

Oddly enough, the hands-off approach to helping employees goes out the window when it's time to do work as they want to ensure you are micromanaged and never away from your home desk. Not on their watch! They give good PTO but the usage expectation is ridiculous - they make you use PTO hours for a doctors appointment, even if it’s just one hour during the work day (aka when most doctors see patients). Not at all a flexible work environment as advertised - they want manager level to be butt-in-seats which is offensively childish. I've had enough real jobs after 8 years in this field to know this is a joke. I assume the good perks people reported here are related to previous office culture. What is the cool and happy Yelp employee culture when only remote??? They haven’t figured it out. It may have been a good place to work years ago, but do yourself a favor and ask former employees what they think of Yelp while you're in the interview process. 

The negative reviews are spot on and I wish I looked at them sooner myself. I quit Yelp without another job lined up and let me emphasize how much happier I was to even be unemployed. I'd advise you skip my mistake altogether."
1,Yelp,Toxic and terrible,2022-04-07,1.0,Account Executive,"Coworkers , snacks , healthcare, pto, happy hour","Toxic managers
Micromanagement 
Lying out of touch executives 
Stressfulll 
Cold calling 
Terrible leads
Extremely high turn over
Unhealthy drinking culture"
2,Yelp,Good starting sales job,2022-04-07,4.0,Account Executive,Great culture and remote work life balance with a strong sales training program,"Short sales cycle, very repetitive"
3,Yelp,Great for entry level,2022-04-07,4.0,Account Executive,"Yelp was a great community for young employees starting careers and wanting to gain experience. Fully stocked kitchen and great benefits were what lured me to the company. There were great amenities and social functions that were catered towards younger, single people with no families or responsibilities outside of work. Socials after work and at lunch were encouraged, but overall work life balance was great. I never needed to check my work email outside of office hours which was not something I previously experienced.","I felt that management was inexperienced for their roles. There is more to management than just being good at sales. I felt like experience, coaching, mentoring, and overall people management was severely lacking within management. Although Yelp offers sales training, I did not feel like their approach to sales was very well rounded or even ethical. I think the majority of people without prior sales experience would probably struggle within the role. Although the benefits were great, the salary and the commission structure really wasn't reasonable in my opinion. Territories assigned to you can make or break your production and commission potential."
4,Yelp,work - life balance is great,2022-04-07,3.0,Sales,great work - life balance,compensation could be much more competitive
5,Yelp,nice people,2022-04-06,5.0,Anonymous Employee,everyone is helpful and friendly,commission structure needs to be improved
6,Yelp,Great Team,2022-04-05,5.0,Project Manager,Work-life balance; Pay; Great team,It's been good for me
7,Yelp,Great,2022-04-05,5.0,Account Executive,Culture is great- met awesome people,Pay isn’t the best for 2022
8,Yelp,Good quality of life,2022-04-03,4.0,Software Engineer,Work life balance is great.,Career direction can leave a bit to be desired.
9,Yelp,Decent Sales Job,2022-04-03,4.0,Account Executive,"-Easy Hours
-Work from home
-comfortable
-easy to close deals
-fun and low pressure","-too many viriables
-poor leadership
-favorites
-not enough money
-taxes eat all commish"
