,company,headline,date,overall_rating,author_position,pros,cons
0,Zalando,"Safe job, fast-paced environment",2022-04-08,4.0,Head of Engineering,"- safe job
- ability to participate in stock programs
- well structured organisation","- partially low quality of senior management
- too strict hybrid work setup with a too high share of office presence"
1,Zalando,It can be good depending on which part you work for,2022-04-07,3.0,Assistant Manager,possibilities to grow in the company usually,"treated differently if you're from customer care, don't get the same advantages learning wise or even opportunities wise"
2,Zalando,One of the best companies to work for in Berlin,2022-04-06,5.0,Assistant Merchandise Planner,"Diversity, startup benefits, supports internal moving and change of career path if that’s your passion",Low salary at entry levels
3,Zalando,Working Student Buying,2022-04-03,4.0,Working Student,"Good corporate culture, amazing work-life balance","No propoer onboarding, the processes at the beggining are quiet hectic"
4,Zalando,Great company to work for,2022-04-01,5.0,Product Manager,"Big company
Wide range of people
Lots of development opportunities",Sometimes it's hard to get things done
5,Zalando,"It was, it is and it will be a pleasure",2022-04-01,5.0,Software Engineer,"Many talents in many fields
A lot to learn from each other
Supporting and being supported
International feeling","Nothing particular
Maybe, after growing so much and with Covid19, it is a little hard to keep contacts and finding what is happening.
Remote helped in keeping working but the contact is - on my opinion - still essential."
6,Zalando,It’s a rollercoaster business,2022-03-31,3.0,Head of Product Management,Good place to meet people,Crazy management and poor decision making
7,Zalando,Software Engineer,2022-03-30,5.0,Software Engineer,Great company with great technology,"low salary, and low rais"
8,Zalando,An excellent starting point,2022-03-27,3.0,Anonymous Employee,Great atmosphere with great opportunities for growth.,Low salaries and under staffed
9,Zalando,ok job,2022-03-25,4.0,Intern,"nice colleagues, employee discounts, chill athmosphere","long onboarding, remote office not the best, offices are not open"
10,Zalando,Zalando SE,2022-03-25,4.0,Pricing Manager,Open minded and dynamic atmosphere. Great pool of talent.,Company too stingy on salaries and working conditions (e.g.hardware provided)
11,Zalando,Frontend develope,2022-03-24,1.0,Software Engineer,Big company. Good salary. Live product.,"Stupid, unqualified, and unprofessional managers. Likely I doesn't work in this company any more."
12,Zalando,International environment,2022-03-24,3.0,Senior Manager,Interesting people from diverse nationalities,Leadership not prepared. Was not lucky with mine.
13,Zalando,Great place to grow,2022-03-23,5.0,Senior Buyer,Work with autotomy and a great team,High pressure and heavy workload
14,Zalando,Great company,2022-03-21,4.0,Anonymous Employee,"Great place to work, nice colleagues and good benefits.",The company is becoming very big and hard to make an impact.
15,Zalando,Great place to grow,2022-03-21,4.0,Anonymous Employee,"Transparency on salary decisions, great opportunities for growth, employees encouraged to move across departments for personal development. Employees encouraged to ask questions of management.","Becoming more corporate as company grows, despite stated aims to remain entrepreneurial, experimental etc."
16,Zalando,B2C channel Intern,2022-03-16,5.0,Channel Marketing Intern,"Multicultural, English-speaking and fast-paced
Efficient and talented employees","Competitive, political, Non-chalant leads, Underrepresentation of minority group, Salary disparity"
17,Zalando,Great place to work for a mom,2022-03-15,5.0,Senior Talent Acquisition Partner,"I love working at Zalando because I can work flexibly so that I can spend the whole afternoon with my child and still be included in all important projects and tasks. 40 hours a week are super possible due to the flexibility and I am very appreciated by all stakeholders. In our team we support each other and I have fantastic development and career opportunities. I myself applied internally for another position while I was pregnant and was immediately supported from all sides and even got the job. I even got a raise during my parental leave and that was in the middle of the Corona crisis.

I really appreciate the trust and support from Zalando and am very proud to be part of the story.",It is hard to reach a level over senior within Talent Acquisition. I know in another company it would be way easier.
18,Zalando,Healthy environment,2022-03-14,5.0,Product Security Lead,"Carrier opportunity, new technology, fast grow company, innovative","No annual bonus, salary growth does not cover inflation"
19,Zalando,Start up energy,2022-03-11,4.0,Anonymous Employee,Still had start up energy even as a big company,Teething pains from rapid growth (
20,Zalando,Great learning path,2022-03-10,4.0,Customer Success,"Smart people, good benefits, fun atmosphere when in office",New markets coming online and scaling the teams to support
21,Zalando,Toxic,2022-03-09,1.0,Senior Designer,"Development and training, if you get time to do them that is
Young environment
Fast to promote 
Exposure
Berlin is a great place to live","Toxic environment
Extremely high workload
Chaotic, in a bad way
Poor leadership and lack of experience 
Burnout culture"
22,Zalando,Software Engineer,2022-03-09,4.0,Anonymous Employee,"Good culture, Cares for Employees",Salary is average compared to market
23,Zalando,could be better,2022-03-06,3.0,Digital Marketing,"- big company (possibilities to change departments)
- a lot of young and enthusiastic people 
- additional learning opportunities i.e. trainings, talks with interesting guests etc.","- average salary
- mid level management that lacks leadership skills"
24,Zalando,Great collaborative culture,2022-03-04,5.0,Data Scientist,"Independent work, benefits, feedback, tech tools","Often changing goals, over engineering solutions"
25,Zalando,Very good company,2022-03-02,4.0,BI Developer,"- very kind and friendly people that care about each other
- a lot of internal opportunities","- depends on the team, however sometimes the way of working would require a little bit of structure"
26,Zalando,The government probably moves faster,2022-02-27,3.0,Software Engineer,"Nice colleagues, lots of tools","Teams are understaffed so everyone is constantly under an undue amount of pressure or stress.

Processes for everything ."
27,Zalando,nice company,2022-02-24,5.0,Data Scientist,"good work-life balance, nice vibe and people",difficult to climb the career ladder
28,Zalando,a,2022-02-24,4.0,Assistant Buyer,"Flexible, Positive, Growth, Innovation, Sustainable",Sometimes it takes too long to get promoted
29,Zalando,Great place to work,2022-02-23,5.0,Senior Product Designer,"Very flexible, competitive salaries and bonuses, and amazing people to work with",Nothing to share here for now
30,Zalando,Has its ups and downs,2022-02-21,3.0,Product Manager,"- interesting products
- strong engineering teams","- chaotic
- lack of senior alignment on strategy"
31,Zalando,It's ok but nothing special,2022-02-18,4.0,Customer Care Specialist,"They care about their customers.They are actually easy going on the vacation days, sick leaves etc.",Too much work for a little pay.
32,Zalando,Different companies (and experiences) in one,2022-02-15,3.0,Anonymous Employee,"If you're in a good team, you'll have a good manager and a good salary - for some roles, Zalando pays above market average.","If you're not in a good team, you'll have a hard time as it is bureaucratic and confusing. It might also take you a long time to grow in the career.

Recently, during a live all hands, one employee said they have been with the company for 10 years but they don't want to go back to the office (which Zalando said will happen in 2023). The CEO basically said to this employee who has been 10 years with the company that they are free to leave the company if they don't share the excitement🤡"
33,Zalando,Great place to work!,2022-02-15,5.0,Product Analyst,"- Great environment/colleagues
- Interesting projects
- Lot's of growth & learning opportunities","- Sometimes things can move a bit slow due to the company size
- Politics can be involved in how certain decisions are made"
34,Zalando,good,2022-02-10,3.0,Manager Governance and Compliance,All round satisfying tasks and projects,speed of dynamism of the organisation often require a lot from newbies
35,Zalando,Excellent work culture,2022-02-09,5.0,Senior Product Manager,If you look for work life balance and stable growth this is the company,You won't be shipping features like a startup
36,Zalando,Understaffed,2022-02-08,2.0,Email Marketing Specialist,Nothing special…just like any other company…free cheap drinks etc.,"Understaffed 
Everything takes ages
Vaccine lunatics"
37,Zalando,Great,2022-02-06,5.0,Recruiter,Great company to work for.,Super benefits and perks there.
38,Zalando,"Great place to work, but lacking a culture of mentorship",2022-02-06,4.0,Applied Scientist,"Flexible hours, location, growing fast with interesting projects","Mentorship, lots of reorgs, some of the culture feels like more talk than doing, e.g. diversity inclusion, hiring based on diversity and inclusiveness"
39,Zalando,Forward thinking company,2022-02-05,5.0,Commercial Planning Manager,"Lots of responsibility and freedom.
Ambitious mindset
Fast pace","Too many meetings.
Sometimes junior teams lack of experience shows"
40,Zalando,Overall good work experience,2022-02-05,4.0,Market Place Manager,"Corporate training, project management, forward thinking",Lack of good and professional management.
41,Zalando,Great benefits but low salary,2022-02-04,4.0,Marketing Manager,"- employee discount
- health & wellness
- relocation costs covered 
- help with admin and personal paperwork, registrations etc","- low salaries across the board
- very corporate and lots of hierarchy"
42,Zalando,Good,2022-02-03,4.0,Anonymous Employee,Good team. Good team. Good team.,Pay could be much better.
43,Zalando,"The InfoSec departmentis a dump, do NOT work there",2022-02-02,1.0,Senior Security Architect,"There are so many things to do in InfoSec, you will have tons of interesting stuff to work on. The IAM team is incredibly professional and does an excellent job, top-notch engineers. The non-InfoSec folks tend to be excellent engineers and great people to work with, e.g. the data teams, SRE, developer productivity, etc. Lots to learn from these non-InfoSec teams.","InfoSec is an utter mess, out of 60 people in InfoSec, except for IAM, only 1-2 know how to do security, compliance, or risk management. You will be surrounded by people who have no idea what they are doing, and why.

The ex-CISO didn't know what a VPN was -- never used one, didn't know what it did. He hired most of the people, so buckle your seatbelt Dorothy, 'cause Kansas is going bye-bye! All your dreams of becoming a security architect will be buried in this dump.

Team leads are fighting purely over what utter nonsense they will do next that sounds good but does nothing in terms of risk reduction. The compliance team barely understands compliance, the SOC hasn't written a single meaningful incident report in the 3+ years. It's a complete and utter mess. If you know how to open a Linux shell, you will be the brightest mind among them all. If you know what risk management means, you will be a shining star. But if you know these things, don't worry, they won't recognize your work, because all they care about is internal politics.

Stay away from InfoSec at Zalando. Join a company that you can grow in.

PS:
* Compensation is terrible
* InfoSec culture is one of infighting, greed, and nonsense
* Diversity&inclusion was so bad, someone was promoted AFTER they left the company, otherwise the company was afraid it will face legal action.
* HR and Internal Compliance is only there to protect executive management."
44,Zalando,Working at Zalando is not easy,2022-02-02,3.0,Team Leader,"Location (Berlin)
Newly built head office
Employee discount","Horribly biased towards employees who are German
Difficult to progress in the company, lack of direction
Top of the pyramid is a boys club"
45,Zalando,Hard to get support from the leads,2022-02-01,1.0,Project Manager,An international multi-cultural environment with D&I strategy,"- regardless of D&I strategy D&I team is not actually working on including people
- many leads and BPs are not supportive when it tackles bullying or bad dynamics towards someone in the team"
46,Zalando,never stop growing,2022-01-31,5.0,Transportation Manager,"development, self-realisation, balanced, demanding, different",Communication could be better in parts
47,Zalando,Good,2022-01-31,3.0,Data Scientist,"Great working environment, people, a lot of benefits","Good or bad, not so ambitious if you are looking for startup"
48,Zalando,Senior Marketing Manager,2022-01-26,2.0,Senior Marketing Manager,"Nice corporate environment, fancy office, good equipment (phone, laptop),
exciting big projects","Atmosphere, culture, everyone works for themselves, no team work."
49,Zalando,Great Place to Work,2022-01-26,5.0,Merchandise Planner,"- Always moving, you will not get bored
- Growth path allowing for numerous career opportunities
- Lateral moves to different departments
- Trust / Flexibility","- Some communication mishaps 
- Benefits (transport allowance, gyms ..) vs Berlin companies"
50,Zalando,Manager Tenders and Contracts,2022-01-24,5.0,Manager Tendering,"Diversity, Openness, Flexible, Hybrid, Discounts, Ownership",Nothing so far found at the moment
51,Zalando,Fast-growing company,2022-01-23,4.0,Assistant Merchandise Planner,"If interested in e-commerce and fashion, this company can potentially offer a fast-paced career and a healthy work-life balance. Good environment, strong culture and possibility to work from remote (in Germany, to a lesser extent from EU and globally).","Salary below average, if compared with Amazon or consulting companies."
52,Zalando,Really great work-life balance,2022-01-23,5.0,Software Engineer,"Great work-life balance, awesome culture and benefits, a really nice environment to work with. Your opinion is always heard and they have really nice remote possibilities too.",Pay scale can be improved for engineers since they cover almost 5-6 rounds of interview before making it to the final job offer.
53,Zalando,Nice working environment,2022-01-20,4.0,Junior Software Engineer,"Very big company.
Lots of learning.",Pays less as compared to other companies
54,Zalando,Decent,2022-01-18,3.0,Software Development Engineer In Test (SDET),- Good work life balance,- diff promotions within the company
55,Zalando,Poor payroll,2022-01-18,1.0,Photographer,International environment in a well known company,"Really poor payroll, impossibility to grown within the company and bad management decisions"
56,Zalando,Working at CuCa,2022-01-18,4.0,Customer Care Specialist,"For being a customer service agent, this job was great.",Very stressful at times and no time to relax.
