,company,headline,date,overall_rating,author_position,pros,cons
0,Zalora,Good for mental health,2022-04-07,5.0,QC Analyst,"- Good company culture
- Seniors are super friendly
- Team lead super supportive and caring
- Work Life Balance
- Flexible",- Overall all still good
1,Zalora,Good place to learn,2022-04-07,3.0,Regional Manager,Learning is great in zalora,Turn over is too high
2,Zalora,Perks of working with Zalora,2022-04-06,3.0,Onsite Analyst,"Insurance, health benefits, welcome gift, staff voucher, seasonal gift, staff purchase for defect items, fashion show/special invitation","No work-life balance, no reviews from bottom to top, salary gap with colleague, career movement"
3,Zalora,Overworked yet challenging,2022-03-31,3.0,CRM Executive,Staff benefit is good. Flexible.,Difficulty in achieving work-life balance
4,Zalora,Great workplace!,2022-03-29,4.0,Internship,"- Amazing welfare
- Fully WFH
- Overall great company culture","- Workload dependent on teams
- Team seems to have millennial grind culture"
5,Zalora,Growth opportunities,2022-03-28,4.0,Associate,"Learning and training opportunities, good management","Location is too far, no cafeteria"
6,Zalora,Pros and Cons Working with Zalora,2022-03-27,3.0,Associate Manager,"- Good and conducive working culture
- Friendly colleagues
- Young team","- Lack of motivation
- Bonus and increment is below market"
7,Zalora,Enjoyable,2022-03-23,5.0,Buying Assistant,Young and flexible working environment,- - - - -
8,Zalora,internship at zalora,2022-03-22,5.0,Student,People are friendly and helpful,"workload heavy, didn't get to work from office"
9,Zalora,"Modern workplace with the best, employee-friendly practices",2022-03-22,5.0,Anonymous Employee,"They share a very open culture, people are driven by goals and growth. People help each other during peak days. The current WFH setup is really helpful",New office location in Muntinlupa is a bit distant and a little difficult to reach.
10,Zalora,Feedback,2022-03-22,5.0,Senior Customer Service Associate,"Nice People, Environment and lastly Culture","As of now, I'm still looking for this one."
11,Zalora,Great,2022-03-22,5.0,Customer Service Associate,"Friendly environment. professionals, everything is great!",Nothing. everything is great with zalora.
12,Zalora,"Wonderful company to work with, lot of career opportunity and growth.",2022-03-22,5.0,Senior Customer Service Representative,"They have lot of departments, so whenever you need a specific help you can easily reach out to them.",na na na na na
13,Zalora,Zalora Ph,2022-03-22,5.0,Anonymous Employee,"Just by listening to the speakers from the different department, I've notice that they are all approachable and love what that are doing which give me an impression that Zalora is one of the best company to work with.",I don't see anything as of the moment.
14,Zalora,Working at Zalora,2022-03-22,5.0,Senior Customer Service Representative,Cool office and great setup for work from home,None so far but it seems like fun working here
