,company,headline,date,overall_rating,author_position,pros,cons
0,Zeta Suite,Great Place to work,2022-04-08,5.0,Software Development Engineer (SDE) II,"- Love the environment and culture here
- Great Opportunities to learn with great minds around.
- Employee friendly with dedicated People's team and modern policies.
- Compensation and Benefits above par",- None as of now
1,Zeta Suite,Good place but quite chiaotic,2022-04-07,3.0,Technical Program Manager,"Good salary , perks , and benefits","Lack of stability in work , leadership is well organised"
2,Zeta Suite,Startup + MNC Feel together,2022-04-07,5.0,Devops Engineer,"- multiple benefits
- employee friendly
- work from home culture
- enterprise architecture learning
- no micromanagement","- monotonous work sometimes
- indian mentality"
3,Zeta Suite,Great Place to work,2022-04-06,5.0,IT Administrator,Nothing to mention as such.,I don't find any cons as such.
4,Zeta Suite,Good company,2022-04-05,5.0,Software Development Engineer II,"Flexible working hours.
5 working day.
Work from home.
Good environment.
Salary on time.","Nothing as of now.
Work pressure."
5,Zeta Suite,Great Place To Work for Young Individuals,2022-04-03,4.0,Devops Engineer,"Great Tech Stack
Good Compensation
Contribute to growing architecture in a large manner
Intelligent People mostly",Some days can be really hectic with long and irregular working hours. Requirements change very frequently although adaptable.
6,Zeta Suite,Flexible work culture,2022-04-01,5.0,Software QA Engineer,No rigid timelines for work,Process to be improved for the projects
7,Zeta Suite,Loving the Unlearning and Relearning Experience,2022-03-31,5.0,Engineering Director,"Zeta gives you a platform to unlearn and relearn by embracing your vulnerabilities and giving large-scale problems to work on. You get an opportunity to work with some smartest brains in the industry who are self-motivated, resilient, and always ready for self-transformation. The work environment is infectious and always pushes you to strive for operations and engineering excellence.","Internally, we are like a marketplace with so many clusters and squads working towards a common vision. The biggest challenge is to maintain active collaboration, empathy, and proactiveness all the time. These are the teething problems of any start-up that is in a hyper-growth mode. I am sure we will soon overcome this. 

The next challenge that we all face is the steep learning curve with so many functional and technology concepts which sometimes become challenging to retain and recall but, that’s what unlearning and relearning is all about and we all really enjoy this experience every day though sometimes it becomes frustrating:-)"
8,Zeta Suite,software,2022-03-30,4.0,Software Engineer,Flexible work timing and good team,Compensation is not so good compared to the market.
9,Zeta Suite,Great Peer and Good work life balance,2022-03-30,5.0,Software Engineer II SDE2,"1. Great Work Life Balance
2. Talented Peers
3. Great Brand
4. Good comp","Its been 45 days, no cons as of now."
10,Zeta Suite,Average company with lots of hype,2022-03-28,2.0,Software Development Engineer (SDE) II,"1. Good products
2. Paying customers
3. Good funding","The recent 4 and 5 star rating stating no cons are really suspicious. As soon as there are a few negative reviews, people rush to give their glowing 5 star reviews. The negative reviews tell the true story of what's happening inside the company.

Zeta is an average company with above-average hype. The caliber of work is about normal and nothing that you would not find in other companies.

Management at Zeta is below average. Top management especially lacks experience and think engineers and middle managers are the problem. Their experiment with Nova failed badly due to inept top management and wrong strategy. 

There's rampant nepotism where relatives of VPs get roles beyond their competence levels and experienced people get blamed for any delays and failures. No wonder then that people leave for better environments.

People who have been in the company for more than 3-4 years get away for their mistakes with nothing more than a mild reproach from the CTO. Many of them try to hide their mistakes and blame the new people for not understanding the functionalities. How can they understand if the documentation is misleading and the old timers don't respond to questions?

Stay away from this company."
11,Zeta Suite,UX designer,2022-03-22,3.0,User Experience Designer,"Good team, work culture, work life balance","Less ownership, less challenging work"
12,Zeta Suite,Great work and product,2022-03-20,4.0,Software Development Engineer,"1. Great tech team and work environment
2. Competitive salary","1. Work life balance is not good
2. Too many meetings in a day"
13,Zeta Suite,"Not Bad, Not Great",2022-03-17,3.0,Senior Software Engineer,Good learning opportunities and fast paced environment,Very unstable infrastructure and poor design choices.
14,Zeta Suite,Day by day turning into a nightmare company,2022-03-16,2.0,Software Developer,"Smart people to work with
New tech stack","Worst hr ever turns blind eye to the concerns raised
If you are ok working 14 hours a day on an avg  till you die, please join
Top management has screwed up lot of things, unable to manage the current situation clueless"
15,Zeta Suite,Great place to work,2022-03-15,4.0,Project Manager,"Amazing work life balance, good culture",Nothing could be considered as cons expect the organisation should focus more on internal growth of employees rather bringing outsider
16,Zeta Suite,Great place to work,2022-03-14,5.0,Software Development Engineer II,It’s a Great place to work,No cons that i can think of
17,Zeta Suite,Awesome,2022-03-14,5.0,Solution Analyst,Balanced work life. Employee care,There is no Con as of now
18,Zeta Suite,A great place to learn & grow,2022-03-13,5.0,Senior Software Development Engineer In Test,"A lot of space to learn new stuff
You will be surrounding with Industry experts to learn from them
Organised system
Flexible leaves
Lot of gits/surprises
High compensations.!",I don't see any cons as of now.!
19,Zeta Suite,Poor Work Life Balance,2022-03-13,3.0,Software Development Engineer II,It is a good company to join during the start of your career.,"Poor technical infrastructure . It keeps on breaking. Very less documentations.
You are expected to work on weekends as well."
20,Zeta Suite,Awesome Company,2022-03-09,5.0,Senior Software Engineer,"1. Company's policies are people centric.
2. They take cares of their employees like WFH workstations, covid care, medical care etc.
3. People are brilliant and dedicated towards their responsibilities here.
4. Technology wise great learning opportunity, start up culture.
5. Zeta's ""People Must Learn"" policy motivate employees to learn new technologies.
6. Periodically trainings are scheduled .
7. Leadership are easily approachable here.
8. Supportive teammates.",If you are a tech guy and love to see your changes in production environment soon then there is no cons here.
21,Zeta Suite,Work culture,2022-03-07,5.0,Anonymous Employee,Employee friendly and nice work culture,There are no cons. Company is good
22,Zeta Suite,worst org- with no work life balance -with no streamlined process,2022-03-07,1.0,Senior Software Engineer,didnt see any pros till date.,"one clear suggestion dont go by other feedbacks because was suprised to be asked to provide good feedback on the day of induction.
- no process oriented development 
- no work life balance
- no clarity of tasks
- tech wise mobile development is very outdated."
23,Zeta Suite,Nice,2022-03-04,4.0,Product Solution Engineer II,"Good to work,learning, nice experience overall,good exposure","Work pressure,Time extending, colleague not cooperating"
24,Zeta Suite,Great place to work,2022-02-28,5.0,Software Development Engineer II,"Great engineering team and platform
Org provides opportunities for learning and growth
Most people are supportive
Good leadership that help employees and listen to their problems
Appreciation given to employees proportionate to their contributions","As a mid-sized startup, things move at a fast pace."
25,Zeta Suite,Good learning environment,2022-02-27,4.0,Product Manager,Good learning environment and flexibility.,Lack of organized process and lot of reuse of existing products.
26,Zeta Suite,Good,2022-02-25,4.0,Software Development Engineer (SDE),"Good product
Good Execs
Good tech stack",The Work becomes hectic sometimes
27,Zeta Suite,Network Engineer,2022-02-22,5.0,Network Engineer,"As a network engineer, most of the companies are not giving access to all devices, but zeta given me. This is the most important thing in my career.",I do not have any negative feedback except the delay from HR team for some of the process.
28,Zeta Suite,Great Work Culture,2022-02-20,5.0,Sse-2,"Joined recently but can say for sure that the work culture is amazing and the onboarding was really smooth. 
A lot of opportunities to learn and the people who we will work with are smart and knowledgeable.",None so far. Too early to comment on anything.
29,Zeta Suite,Don't join,2022-02-16,2.0,Software Engineer,Great colleagues and managers. Loads of smart people.,"There is one God and his name is Ramki Gaddapatti. 
Gave a Lowballed salary too.
There are highly sexist people in the top management, and HR doesn't bat an eyelid."
30,Zeta Suite,Zeta is a great place to work! :),2022-02-13,5.0,Anonymous Employee,"Zeta is a great place to work! :) 
We can reach-out to people for any concerns and they are very approachable. A good observation is that people are very co-operating not only the internal team but also the external teams as well.",There is no cons as of now.
31,Zeta Suite,Hiring,2022-02-11,5.0,Technical Recruiter,Good company and excellent mgt,No cons as of now
32,Zeta Suite,Extremely Happy to work with Zeta,2022-02-09,4.0,PR Lead,"The company gives employees a lot of opportunities to grow and learn. The senior leadership is very transparent and supportive. The HR functions are very employee-friendly and they really take care of your needs. Flexible work hours, work from home and covid care support, supportive team members, etc keep us motivated to keep working here.",No cons as such. Everything has been good with me till now.
33,Zeta Suite,Culture is detoriating day by day,2022-02-08,2.0,Devops Engineer,"Good team. 
Good scale.
Good pay.","- Company is following top down approach. 
- Org is confused whether they are product company or service company.
- The components are not well tested . All are seems to be hurry to release new features every day.
- Chaotic environment due to some big deliveries.
- Upper management is clueless, YES puppet of CTO. They are never opposing him and trying to put pressure on team for unrealistic deliveries.
- The above points are leading to worst work life balance in org."
34,Zeta Suite,Great place to learn,2022-02-08,5.0,Senior Product Manager,"1. Rocketship
2. Approachable leadership
3. Well funded","1. Poor process
2. Too many old-timers"
35,Zeta Suite,Great,2022-02-04,5.0,Anonymous Employee,Wonderful place to work at,No such cons to mention
36,Zeta Suite,Program manager,2022-02-02,4.0,Anonymous Employee,Good culture and people to work with,No career path & many managerial changes
37,Zeta Suite,Place to learn,2022-02-02,4.0,Anonymous Employee,Best place to learn how to scale up.,Need to work on their culture.
38,Zeta Suite,Best place to experience a startup journey,2022-02-01,4.0,Anonymous Employee,"* Ownership and Autonomy
* Smart people(in most teams)
* Learning and growth","* Frequent strategy changes and weak end to end planning/alignment
* Yet to fully evolve from partner led product development to a product led culture
* Firefighting due to overpromise to customers"
39,Zeta Suite,Great company and  Talented People,2022-01-30,4.0,SDE-2 Backend,"Decent Work life balance
Great Tech
Really awesome founders","Don't seem to be much
Management is slow and not really responsive
Cross team communication is bad"
40,Zeta Suite,A good place to plan your career long term,2022-01-28,4.0,Anonymous Employee,"Amazing work culture, engineering/product driven, good compensation","very Engineering/tech driven, Work gets hectic sometimes"
41,Zeta Suite,Awesome place to work,2022-01-27,5.0,Software Development Engineer,Just joined and am eager to explore more. Onboarding was smooth. Learned a lot of things in the few days itself. If you're looking for some real problems to solve and challenge yourself continuously Zeta is the place for you. Loving the work culture and the team.,None as of now as have just joined
42,Zeta Suite,Best workplace for exponential growth,2022-01-26,5.0,Software Development Engineer (SDE),"1. Opportunity to work on the latest tools and technologies.
2. Senior engineers are of pro level. 
3. Focused on individual learning 
4. It has fun-filled organizational culture and people.
5. Systematic, well-planned sprints",Solutioning is complicated due to the system complexity and needs solid documentation.
43,Zeta Suite,"great people,  work quality depends on the team",2022-01-26,3.0,Software Development Engineer (SDE1),great people to work with,work quality depends on the team
44,Zeta Suite,Work Culture,2022-01-26,4.0,Product Analyst,"Work from home temporarily
Good work life balance for my role",Growth of this role is slow
45,Zeta Suite,Great company For Exponential Growth,2022-01-23,4.0,Software Engineer,"Exponential growth , latest technologies",Startup culture can be hectic due to strict deadlines
46,Zeta Suite,Bad Company,2022-01-22,1.0,Software Development Engineer,Good salary is the only thing,"No appreciation even if you put more effort 
No one cares if you put extra efforts
Politics all around in the company
Doesn't care if you think of new things
No work life balance
Bad senior managers"
47,Zeta Suite,BS culture,2022-01-21,1.0,Developer,No positive reason that I can see except the external boasting of products.,"1. Bad culture.
2. Too much internal politics.
3. Mediocre people"
48,Zeta Suite,Good Package,2022-01-19,4.0,Territory Sales Executive,Good package & Fatty Allowances,Job Security is the jonly problem
49,Zeta Suite,No,2022-01-17,1.0,Senior Software Engineer,"pays well, maybe the only advantage","- bad wlb
- bad managers
- bad culture"
50,Zeta Suite,Good place to work,2022-01-15,4.0,SDE-2 Backend,"Systematic, well planned sprints, Good place to work",Hard to find anyone to help. Nobody to guide.
51,Zeta Suite,poor employee benefits,2022-01-15,1.0,,learning is good and fast paced,"poor employee benefits, poor HR support. HR has no idea abt any process. employees are left by themselves to figure out"
52,Zeta Suite,"a geek's paradise, but not for everyone",2022-01-14,5.0,Senior Engineer,"a lot of deep tech work is happening at Zeta. I haven't in my experience seen real enterprise platforms being built in India (From scratch!) I started my career with Microsoft and was thrilled with the work we were doing with Azure but soon it started bugging me that the core work was done and we were working on incrementally improving it. At Zeta we are building the core! 

The platform is very, very rough right now - so its not for everyone. I see so many of my colleagues struggle since documentation is not clean etc. But I love the exposure",Need a mindset of learning/ working on complex problems and therefore be ok with so many things that keep going awry - a sharp mind and a thick skin LoL
53,Zeta Suite,Great,2022-01-13,5.0,Assistant Project Manager (APM),"Great work culture, intelligent folks",Nothing as such to speak
54,Zeta Suite,"Good Money, No Work Life balance",2022-01-06,3.0,Product Analyst,Good Money and great exposure,Extremely bad work and life balance
55,Zeta Suite,Zeta is a great workplace for learning and growing,2022-01-02,5.0,Product Analyst,"1. It has inspiring leadership.
2. It has fun-filled organizational culture and people.
3. Lots of learning opportunities.","Work hours are flexible here, which is a good thing. Though, it can be too comfortable for some people who cannot put hours without time restrictions."
56,Zeta Suite,Awesome company to work,2022-01-02,4.0,Business Analyst,"- In zeta we will always learn something new everytime. 
with the Etho's of people must grow as a pillar. Zeta provides opportunity to everyone who wants to showcase their skill 
- Employee first organization. A dream company especially for engineers","- As any start up is, we will have some ups and downs. But that's normal. we learn together and grow. For me i haven't seen any cons as of now"
57,Zeta Suite,Not a product company culture,2021-12-23,2.0,Software Engineer,Getting market standard pay only nothing more than that.,"Zero work life balance maintain. 
Some managers are doing micro management.
From early morning to late night call, employee need to available."
58,Zeta Suite,good company,2021-12-22,5.0,Software Quality Assurance Engineer,lot of opportunity to learn,work life balance can be improved
59,Zeta Suite,Best place to work for,2021-12-18,5.0,Anonymous Employee,Lots of learnings due to the fast-paced environment and products that the company is working on and is a rocket ship kind of growth for individuals.,Solutioning is complicated due to the system complexity and needs solid documentation.
60,Zeta Suite,Great place to learn and grow,2021-12-15,4.0,SDE-2,"Great salary.
Good work culture in Axon team",No senior frontend Engineer or tech lead
61,Zeta Suite,Chaotic and confusing,2021-12-14,1.0,Anonymous Employee,"+ Decent comp
+ Salary paid on time","- Base platform for Neo-banking has been sold before its made; this is a core issue which leads to sales, product, engineering all confused as to why we are building what we are building
- Thinks its a product company, but actually behaves like a services company
- Has one big bank as its client, and is confused on whether its a partner or a vendor; bank thinks its a vendor, Zeta thinks its opinion matters
- Overcommits on timelines leading to stress and pain at all levels; poor program management adds to confusion
- Understaffed engineering teams at all levels, uses contractors to supplement
- No clear process between platform and front-end teams
- Uninspiring leaders; CEO is focused on selling to US banks, CTO is trying to align everyone to deliver and assumes systems are ready, Sales heads are constantly meddling with product and engineering and confusing them
- No ESOPs for most, pittance for others, although this is being revamped I believe"
62,Zeta Suite,Zeta's Review,2021-12-13,5.0,SDE-2,"-> Inspiring CEO and CTO
-> Amazing HR Policies
-> Great Learning potential",-> Long hours in client-side delivery projects
63,Zeta Suite,Super talented folks and awesome culture,2021-12-12,5.0,Principal Software Engineer,"* Awesome People. 
* Open culture. 
* Solving real world complex problems 
* Great scale",Accounts team is not flexible.
64,Zeta Suite,Working with devops for finding engineering issue s,2021-12-11,5.0,Product Solution Engineer,Awesome environment and amazing people's,"The is no downside, infinite numbers of career opportunities"
