,company,headline,date,overall_rating,author_position,pros,cons
0,ZipRecruiter,Good Benefits,2022-04-06,4.0,Anonymous Employee,"Good Benefits, hybrid, unlt pto,",Currently there is a lot of turnover in leadership.
1,ZipRecruiter,Awesome Company,2022-04-03,5.0,Anonymous Employee,"Friendly co-workers
Great benefits and compensation
Meaningful projects","Not too many cons, except the market problems aiming to be solved are quiet abstract"
2,ZipRecruiter,Manager,2022-04-03,5.0,Manager,"Very high engineering level.
Great benefits.
Work life balance.
A company with a true mission.",Switched from a startup to big corporate
3,ZipRecruiter,Great company with mega earning potential,2022-04-03,5.0,Account Manager,"Pay, Culture, Leadership, Career Progression, and Great Benefits",Spend the majority of your day on the phones.
4,ZipRecruiter,General Insight,2022-04-02,5.0,Recruiter,This Position was great and I would highly recommend,Workflow was sometimes inconsistent so it was hard to plan work schedules
5,ZipRecruiter,Great company,2022-04-01,5.0,Account Manager,Culture and pay. Great all around,Nothing it’s a great place
6,ZipRecruiter,Great Company and Position,2022-04-01,5.0,IVR Inbound Account Executive,"Unlimited Paid Time Off 
Stock Options
Full Benefits, with internet compensation 
Obtainable Goals and Monthly challenges with prizes for winners
This position is 25% commission!
I work Remote
All equipment including a standing desk and very nice chair for b ack support shipped to my home","Pretty big learning curve when you first start.
Office is in Tempe AZ, which does not use Daylight Savings Time, can be a hurdle at times for appointment setting in other parts of the continent."
7,ZipRecruiter,Great place to have real impact,2022-03-23,5.0,Manager,"Inspiring mission, Good compensation, Ability to work on things that make a difference, The company really cares about its employees.",In order to make an impact you need to convince others that your idea is valuable.
8,ZipRecruiter,A frustrating place where you can have an impact,2022-03-18,4.0,Senior Software Engineer,"This is the only job I have ever felt that my choices have a real impact on the business.
Good to great compensation (depending on where you live).
They handle fully remote employees well.","Having agency means others have agency as well, which can lead to prioritization problems and difficulty ensuring we are moving in the same direction.
We have too many VPs and SVPs and there are some people who are VPs and SVPs who shouldn't be.
The People Team is a mess.
There is a lot of legacy results of not-invented-here syndrome that bog down attempts to modernize the stack."
9,ZipRecruiter,Best colture and poeple,2022-02-28,5.0,Data Engineer,"Special enviroment and people
Fun place to work",Too Complex product and missing centrelized info for engineers
10,ZipRecruiter,Sales Manager,2022-02-15,5.0,Sales Manager,"Good Culture, Good People, Good",Not very good at managing people
11,ZipRecruiter,Love it,2022-02-14,5.0,Data Analytics Manager,"Good team
Good salary
Work From Home",Usual growth pains of new-ish company
12,ZipRecruiter,Interview experience,2022-02-11,5.0,Software Engineer,"very nice experience overall, easy questions and nice interviewers",there's not really any bad expriences
13,ZipRecruiter,Great,2022-02-10,5.0,People Specialist,Everything Everything Everything Everything Everything,Nothing Nothing Nothing Nothing Nothing
14,ZipRecruiter,low pay,2022-02-10,2.0,Trust and Safety Analyst,nice people and benefits are okay.,very low pay for remote work in areas where 18 dollars an hr is just above minimum wage. For a Trust and Safety position 18 is nothing. They will only get that caliber of individuals.
15,ZipRecruiter,Work environment,2022-02-10,5.0,Logistics Specialist,"Cannot think of better company for customers and employees. No fails, no regrets or complains. Customer and people oriented team.
I would recommend this company for anybody to do business with.","there are some, cannot think of.. there always room for improvement"
16,ZipRecruiter,Great Company,2022-02-07,5.0,Data Scientist,Great place to work at. Nice and smart people. Interesting ML challenges.,I have to write at least five words
17,ZipRecruiter,Account Manager,2022-02-05,4.0,Account Manager,Great company culture. Good benefits,"I'm not getting the support I need from management, my current manager doesn't have the experience needed."
18,ZipRecruiter,Garbage,2022-02-03,3.0,Sales,Great culture…… great culture and….yoga?,Pay your sales reps!!! You brag about profitability and growth but you pay 1.5-2 times less than your competitors! Enough w the smoke and mirrors. You are about to experience a mass exodus of reps if you don’t practice what you preach. Recruiters poach us daily. Pay your reps or sink your ship.
19,ZipRecruiter,Good company if you never get sick.,2022-02-02,3.0,Sales Associate,"Overall, a pleasant virtual environment (wfh), adequate training, some management is more responsive than others, great insurance.","Don’t get sick. They don’t care. Your immediate manager has little influence- no matter how much talk of culture and treating workers well, and responsive they may be to work questions, your manager has their heads tied. This is an executive policy. They seem to look for a reason to fire people who are sick. There is a draconian attendance policy in your first 120 days (and beyond), even under doctors care it seems that they look for a reason to write you up, and after 1 1/2 missed days (regardless of medical reason)  you have unfair corrective action, then if you are really sick you get fired if you miss 4 days. 

They say well we give you Sick and Safe time- but that accrues 1+ hour per week working- definitely not enough should you fall victim to any number of illnesses that a wreaking havoc in our society- let alone a pandemic. If you have Covid, they require you to jump through hoops of documentation to prove you need time off. I’ve never had an employer with such a willful disregard for employees health. Work or get fired in your first 4 months."
20,ZipRecruiter,Great place to work!,2022-02-01,5.0,Statistical Analyst,Great people and benefits. Yay Zip!,"Remote work is frustrating, but all in all a good experience"
21,ZipRecruiter,cOULD BE BETTER,2022-02-01,3.0,CEO-Founder,1 : an argument or evidence in opposition. 2 : the negative position or one holding it an appraisal of the pros and cons. con.,"The chief executive officer (CEO) is the highest-ranking person in a company. While every company differs, CEOs are often responsible for expanding the company, driving profitability, and in the case of public companies, improving share prices. ... Across many companies, CEOs are elected by the board of directors."
22,ZipRecruiter,Well Rounded Company,2022-01-31,5.0,Human Resources Specialist,Has a lot of great things in store and really cares about their employees!,Still growing and navigating what that looks like - will allow a lot of great things in store for the future!
23,ZipRecruiter,Amazing culture,2022-01-27,5.0,Marketing Executive,"Great team
Everyone is very smart
Great management",I really don't see any cons
24,ZipRecruiter,Good company,2022-01-26,4.0,Sales,Benefits are really good compare to other companies,Pay is low compared to the industry
25,ZipRecruiter,Lack of advancement,2022-01-21,5.0,Self-Employed,"Good company, good leadership, good mission.",Lack of advancement opportunities. It's a good place to work so managers tend to not move on to other companies.
26,ZipRecruiter,Great Place,2022-01-10,5.0,Anonymous Employee,Good team and strong future outlook,Pay could be higher for entry level.
27,ZipRecruiter,Great Company,2022-01-02,5.0,Senior Revenue Operations Analyst,"Great employee experience, nothing to complain about",Nothing to really complain about
28,ZipRecruiter,Good place to work at,2021-12-29,5.0,Customer Service Representative (CSR),"Decent pay, ability to move up or to different departments",None as of right now.
29,ZipRecruiter,Great Benefits,2021-12-27,2.0,Marketing Specialist,Amazing fun benefits for entire family,Huge layoff via zoom and lots of politics more than usual at a company. Many people are related or management hiring friends in the company.
30,ZipRecruiter,Customer Success,2021-12-15,1.0,Customer Success,You have a job and make money by helping people.,They do not allow you to be an individual. And they are very clicky.
31,ZipRecruiter,I like videos,2021-12-15,4.0,Video Editor,I am willing to edit videos and have a whole story about them,I sometimes lag on premiere pro
32,ZipRecruiter,"So far, so good!",2021-12-13,5.0,Account Executive,Great experience with both hiring managers right to the point of a role play they assigned to you after that quick behavior questions. Like I said right to the point can’t wait to get started !,Don’t have any cons so far a great experience.
33,ZipRecruiter,Growing Company,2021-12-10,4.0,Cudtomer Service Representative,"Coworkers
Company events 
Communication 
Insurance benefits","Leadership
Low pay
If you do not know anyone you will not promote"
34,ZipRecruiter,Great company with great people,2021-12-06,5.0,Senior Data Scientist,"Interesting problems to solve
* Great people to work with
* Very professional
* Feels like a small startup, but with job security and backup of hugely successful company
* competitive salary",None that I can think of
35,ZipRecruiter,micromanagement,2021-11-19,1.0,Retention Specialist,"great benefits.
free food.
free snacks.
holiday parties.","being hourly and having to be on time. if you were a min. late you were written up.
if you didn't hit quota, you get written up.
no help from managers, always customer is right."
36,ZipRecruiter,Great Company,2021-11-18,5.0,Associate Account Executive,I love Ziprecruiter it’s a great company,Different pricing doesn’t make sense
37,ZipRecruiter,Meh,2021-11-02,3.0,Anonymous Employee,"Benefits, coworkers, company parties and all roles have commissions","Communication within the company, between departments, sucks. They add more stuff before fixing the broken stuff"
38,ZipRecruiter,good work life balance,2021-10-30,4.0,Data Analyst,People are very nice and there is good work life balance,nothing i can think of right now it's pretty enjoyable
39,ZipRecruiter,Greatest Company I have ever worked for,2021-10-18,5.0,Account Executive,"Pros Include: Salary, managers, no micromanagement","They need better health care. For example, they don't cover hearing aids."
40,ZipRecruiter,Pleasantly Fake Culture,2021-10-13,3.0,Anonymous Employee,Great benefits and Santa Monica office. Lots of autonomy and room to grow.,"Being part of the ""in"" crowd will get you more opportunities than simply working hard."
41,ZipRecruiter,Great Leaders,2021-09-28,5.0,Customer Success,Great leaders and really treat the staff like family.,None while I was there
42,ZipRecruiter,Pretty standard for a company trying to IPO,2021-09-22,4.0,Enterprise Solutions Manager,"-The benefits were the best part of this position. (Pay, bonuses, insurance, time off,...)
-Two weeks paid training.","-Management doesn't take action against abusive co-workers.
-Short-sighted when it comes to hiring.
-Doesn't handle change well."
43,ZipRecruiter,Just a Number,2021-09-16,1.0,Sales Account Manager,Remote is the only good aspect,"Poor management.
Expendable.
Poor Culture.
Overall, don't really make as much as the recruiter said you would."
44,ZipRecruiter,Great company!,2021-09-13,5.0,Anonymous Employee,Great company to work for,Needs to have policies a little more organized
45,ZipRecruiter,Good place,2021-09-05,4.0,Sales Manager,Great business model much better than a job board,No stock and compensation is often below market.
46,ZipRecruiter,Do not have your back,2021-08-24,1.0,BDR Representative,Free snacks were good. Ping pong too.,"Nobody there cares about your career, only the bottom line. Worked there for almost a year, then COVID happened and we were moved to WFH. Told on Wednesday that our jobs were safe, on Friday we were all let go without warning. They pride themselves in being “family-oriented”, but I will never go back to a company that blatantly lies to its employees about job security just to make their Q3 numbers look better."
47,ZipRecruiter,Great Technology - Over Complicating sale,2021-08-20,5.0,Enterprise Sales,"The technology and the audience you are selling are growing, young, and the AI does do what they say it does. j","Heavy learning in the sales world. They are quickly becoming the leader in the job seeker marketplace but are overcomplicating, rejecting some companies from using the tools that would be a win-win."
48,ZipRecruiter,Amazing Growth!,2021-08-11,5.0,Talent Acquisition Partner,ZipRecruiter fosters a culture that promotes internal growth within the company. Promo paths are clearly laid out and structured.,"Processes are constantly changing to account for growth, and it can sometimes be difficult to determine the best solutions due to this."
49,ZipRecruiter,Wonderful company,2021-08-09,5.0,Account Manager,"Great benefits, pay, company morale, comradery, and help develop future leaders.","Early mornings can be rough but otherwise, everything else is solid!"
50,ZipRecruiter,A recruiting company that retains employees extremely well,2021-07-21,5.0,Senior Software Engineer,The management is extremely transparent. Genuinely cares for the well-being of its employees. Goes the extra mile to help every employee succeed.,"The company is trying hard, however the company is still predominantly white."
