,company,headline,date,overall_rating,author_position,pros,cons
0,Zomato,Not good,2022-04-10,3.0,Service Delivery Executive,No pros working with Zomato,Less pay with lot of working
1,Zomato,Work culture,2022-04-08,5.0,Business Analyst,"Good working culture
People are nice and helpful
The management is supportive 
They listen to you 
Very friendly culture","No cons
No cons
No cons
No cons 
No cons"
2,Zomato,"Great culture, supportive HR",2022-04-08,4.0,Associate,"HR team is supportive, liberty to take up different projects","Long working hours, No food benefits"
3,Zomato,Nice place to work,2022-04-07,4.0,Team Leader,"1. Good work culture
2. Excellent growth 
3. Good salary
4. Super employee benefits","1. Job security 
2. Poor management"
4,Zomato,Place full of energy and opportunities to explore,2022-04-07,5.0,"Senior Manager, Operations","People and the culture. This is the core of Zomato.
It’s fast paced and people think and act fast. Experimenting and failing is encouraged and if you’re willing to give it all you’ll get it all as well.",The pace sometimes can be overwhelming.
5,Zomato,Good,2022-04-07,5.0,Key Account Manager,It’s a good company to work for,Long working hours and no flexibility
6,Zomato,Good company to work,2022-04-07,5.0,Anonymous Employee,Good company to work with,No clarity on opportunities across different teams
7,Zomato,Good,2022-04-07,2.0,Delivery Driver,Very much exposure to customer handling,Bad growth and no hike
8,Zomato,Excellent Work Environment,2022-04-06,5.0,Anonymous Employee,"1. Ownership
2. Great Work Environment",1. Lesser opportunities to grow in the Supply Team
9,Zomato,Good,2022-04-05,5.0,Purchase Manager,Good company. Nice environment. Good salary,No cons no cons no
10,Zomato,Super Pumper Work Culture,2022-04-04,4.0,Anonymous Employee,Very Energetic Work Environment amongst all team members and superiors,Sometimes you can feel burnt out because of the continuous hustling
11,Zomato,It was good experience,2022-04-04,5.0,Business Development Executive,The working environment is very healthy.,Too much pressure of work load.
12,Zomato,Zomato,2022-04-04,5.0,Delivery Driver,"Good, Not Bad, Nice, Highly recommended","Not Bad, Good, No cons, Nice Food"
13,Zomato,working is fun,2022-04-04,5.0,Associate,we are getting overall customers,some abusive customers crosses limit
14,Zomato,Hard working job,2022-04-04,4.0,Student,good for starting your career,it will suck you of all your energy
15,Zomato,It was decent,2022-04-03,3.0,Cafe All-rounder,"The owner was nice, and the team was nice. Good place to gain some experience.",The pay was not amazing.
16,Zomato,Not good,2022-04-02,1.0,Customer Service,Part time job option allows you to focus on studies,Pay less and makes you work more
17,Zomato,Business Development and Business Analyst,2022-04-02,4.0,Key Accounts Manager,Great work culture no hierarchy followed,targets pressure slow growth in career
18,Zomato,Management of the riders fleet,2022-04-01,3.0,Fleet Operations Manager,There are many pros if you want to learn about operations.,"Hectic work, too many calls, field visits."
19,Zomato,Company Deliberations,2022-03-31,5.0,Anonymous Employee,Good work atmosphere is provided.,The work culture at Zomato was good. No cons to be added
20,Zomato,Don't go to Zomato,2022-03-31,2.0,Product Manager,There are no pros in joining Zomato except the salary,"Coming to office is more important than quality work
No appreciation is given to your hard work"
21,Zomato,Sr engineer,2022-03-31,3.0,Senior Engineer,Good good good good good,Vary good but it always have impact
22,Zomato,About Zomato,2022-03-30,5.0,Manager,"learning attire
Employee work and life balance
Leadership is amazing","Frequent process movement
Business/ process changes"
23,Zomato,NA,2022-03-30,4.0,Senior Associate,"Good, excellent, great policies, leave policies","No food, no cafe, near metro"
24,Zomato,Good payout,2022-03-29,4.0,Delivery Driver,Nill none Nill none Nill none,Zomato services and payments are good
25,Zomato,Enterprise Sales Manager,2022-03-29,4.0,Sales Manager,Great HR benefits? Good culture,Manager issues and micromanagement regarding work
26,Zomato,"New learnings and Experiences, great journey.",2022-03-29,4.0,Sales Account Manager,"Great learnings and new experience feel, Launches, inspections and visits, can enjoy the work environment. Great incentives and good pay.","work life balance, late night works. Late support from higher employees."
27,Zomato,Fantastic work culture,2022-03-28,5.0,Growth Manager,"Growth, Personality development, Market value, good salary, amazing culture.",Nothing as such except monotony.
28,Zomato,really great place to work,2022-03-28,5.0,Anonymous Employee,everything is amazing at zomato,have not seen any con yet
29,Zomato,Zomato,2022-03-27,5.0,Anonymous Employee,A great company to work for! They have one of the best work cultures,Been here for 6 years. No cons.
30,Zomato,Awesome awesome,2022-03-26,5.0,Senior Associate,"You learn to be responsible 
Freedom to create and manage things
You will learn to prioritise 
Fun atmosphere",Too good to find something wrong
31,Zomato,Good,2022-03-26,5.0,Delivery Executive,Flexible timing and weekly earning pay and better order price and incentive,Company marketing hase down reason regular new delivery boy haired without experience
32,Zomato,NA,2022-03-25,3.0,Anonymous Employee,No notice period and flexible work,Nothing as of now. All looks good
33,Zomato,"Timely salary, high workload",2022-03-24,5.0,Executive Operations,"Salary always arrives on time, no delay.
Option of work from home and office
Sufficient training provided with assessments","Inbound calls have no limit, you may recieve as low as 5 and as high as 150 calls per day."
34,Zomato,Best Company in terms of work culture,2022-03-24,5.0,Associate In Merchant Delight,"Work Culture, Reachability, Internal Movement",Hiring only on recommendation by current employees.
35,Zomato,Good place to work,2022-03-23,5.0,Business Analyst,Nice start up culture at zomato,not really anything to say
36,Zomato,Great place to work,2022-03-21,4.0,Data Analyst,Great place to work overall,No cons everything is great
37,Zomato,Working experience,2022-03-20,3.0,Anonymous Employee,Without referral you can not join in this company,No growth in this company
38,Zomato,Good place to work,2022-03-20,4.0,Business Analyst,Nice opportunity for freshers and new comers.,Not recommended for those who are looking for proper work life balance with this job.
39,Zomato,Senior KAM at Zomato,2022-03-19,3.0,Anonymous Employee,Good people and policies are good,There is no fixed time so we end up working for long hours
40,Zomato,Extent,2022-03-18,4.0,Delivery Driver,Good and clear very much a give me incentives weekly,Not bad much better I am surching new job
41,Zomato,#3YearsatZomato,2022-03-17,5.0,Business Analyst,"Great Salary, Work Life Balance, Great Bosses, Top Management Cares for you","Lacks only Hierarchy Growth, NA"
42,Zomato,Awsome,2022-03-17,5.0,Area Lead,"Flexibillty
good package
good appraisal
too much learning
data orianted work","no timing
no proper week off
if manager is bad then you are gone"
43,Zomato,Very good,2022-03-16,5.0,Growth Lead,"Growth, stability, fast paced, salary on time",No cons no cons no cons no cons
44,Zomato,A good place to work,2022-03-15,4.0,"Manager, Customer Success","Flexible work hours
Company sponsored some job related certificate trainings
Good experience working in one of India's Unicorn Companies",There were not many growth prospects
45,Zomato,Food delivery Associate,2022-03-14,1.0,Seller Support Associate,No prons to support them presently,"Treating like slaves.
Payouts are getting decreased"
